"","ILMN.Open","ILMN.High","ILMN.Low","ILMN.Close","ILMN.Volume","ILMN.Adjusted"
"2020-07-01",369.26001,370.690002,362.350006,368.549988,624700,368.549988
"2020-07-02",372.630005,377.420013,371.220001,373.100006,698400,373.100006
"2020-07-06",375,384.209991,373.399994,379.390015,816400,379.390015
"2020-07-07",370.220001,378.790009,369.109985,372.119995,719800,372.119995
"2020-07-08",375.98999,376.329987,366.450012,369.869995,1101400,369.869995
"2020-07-09",370,375.279999,367.140015,372.600006,891300,372.600006
"2020-07-10",372.600006,374.230011,369.899994,370.25,571000,370.25
"2020-07-13",370.51001,382.320007,366.529999,369.130005,952800,369.130005
"2020-07-14",367.98999,376.920013,361.529999,376.25,716900,376.25
"2020-07-15",380,383.23999,375.339996,382.329987,1008100,382.329987
"2020-07-16",382.320007,382.320007,373.070007,375.880005,812800,375.880005
"2020-07-17",378.23999,385.230011,376.149994,383.640015,1319000,383.640015
"2020-07-20",385.130005,402.140015,383.859985,398.619995,1258000,398.619995
"2020-07-21",399,401.540009,388.220001,389.839996,902400,389.839996
"2020-07-22",391.420013,394,384.649994,391.709991,574400,391.709991
"2020-07-23",395.5,399.459991,383.799988,386.450012,784100,386.450012
"2020-07-24",385,385,376.630005,382.25,537900,382.25
"2020-07-27",384.98999,395.5,383.230011,393.040009,668100,393.040009
"2020-07-28",392.679993,396.549988,384.179993,385.420013,591200,385.420013
"2020-07-29",387.73999,388.5,384.279999,385.279999,629500,385.279999
"2020-07-30",381.549988,386.179993,380.200012,382.779999,612300,382.779999
"2020-07-31",382,384.679993,377.230011,382.160004,933500,382.160004
"2020-08-03",385.190002,401.769989,384.940002,397.859985,1033000,397.859985
"2020-08-04",397.730011,399.309998,391.019989,393.679993,571900,393.679993
"2020-08-05",397.399994,404.200012,395.109985,400.73999,526800,400.73999
"2020-08-06",400.73999,403.660004,393.130005,399.329987,853100,399.329987
"2020-08-07",343,360.690002,343,355.660004,4266400,355.660004
"2020-08-10",357.01001,357.98999,352.100006,353.350006,951200,353.350006
"2020-08-11",354.390015,354.390015,339.899994,341.209991,1117800,341.209991
"2020-08-12",342.480011,346.130005,339.290009,344.140015,1124600,344.140015
"2020-08-13",346.059998,357.100006,344.149994,353.529999,991400,353.529999
"2020-08-14",354.290009,354.869995,344,347.559998,693400,347.559998
