"","IQV.Open","IQV.High","IQV.Low","IQV.Close","IQV.Volume","IQV.Adjusted"
"2020-07-01",141.979996,142.679993,139.399994,141.529999,1426800,141.529999
"2020-07-02",143.220001,144,140.869995,141.520004,777200,141.520004
"2020-07-06",143.300003,144.029999,141.720001,143.639999,1171800,143.639999
"2020-07-07",142.559998,144.440002,141.740005,141.940002,817900,141.940002
"2020-07-08",142.559998,144.419998,142.309998,144.169998,783700,144.169998
"2020-07-09",143.970001,145.949997,142.720001,144.990005,742800,144.990005
"2020-07-10",145.029999,145.309998,141.389999,142.679993,761900,142.679993
"2020-07-13",144.220001,146.350006,141.149994,141.279999,816100,141.279999
"2020-07-14",141.800003,147.990005,140.600006,147.779999,1320300,147.779999
"2020-07-15",150,152.889999,149.259995,152.369995,1004200,152.369995
"2020-07-16",151.850006,151.850006,148.160004,149.679993,940800,149.679993
"2020-07-17",150.940002,155.070007,149.910004,154.050003,968700,154.050003
"2020-07-20",153.619995,155.570007,153.029999,155.199997,945900,155.199997
"2020-07-21",156.190002,159.240005,155.919998,156.949997,1443700,156.949997
"2020-07-22",160.059998,166.160004,160,164.289993,1836700,164.289993
"2020-07-23",164.699997,164.990005,160.550003,161.479996,1937900,161.479996
"2020-07-24",160.570007,161,156.460007,157.880005,1071900,157.880005
"2020-07-27",158.419998,163.550003,158.009995,162.279999,1047700,162.279999
"2020-07-28",158.75,160.929993,157.720001,158.649994,1677600,158.649994
"2020-07-29",159.649994,160.880005,159.020004,160.059998,1170800,160.059998
"2020-07-30",158,159.089996,156.169998,158.259995,893100,158.259995
"2020-07-31",158,158.630005,155.710007,158.389999,1014000,158.389999
"2020-08-03",159.070007,161.970001,158.460007,161.179993,743800,161.179993
"2020-08-04",160.110001,160.839996,159,160.149994,890000,160.149994
"2020-08-05",161.5,161.820007,159.669998,160.75,721500,160.75
"2020-08-06",161,161.679993,159.490005,161.039993,1150900,161.039993
"2020-08-07",160.050003,161.039993,159.009995,160.539993,680900,160.539993
"2020-08-10",160.850006,160.929993,158.970001,159.639999,794200,159.639999
"2020-08-11",160.410004,161.960007,158.970001,159.309998,718300,159.309998
"2020-08-12",160.220001,163.380005,159.919998,162.869995,785800,162.869995
"2020-08-13",162.220001,165.020004,162.220001,163.75,682300,163.75
"2020-08-14",162.649994,162.880005,160.479996,161.229996,560300,161.229996
"2020-08-17",161.820007,163.259995,161.149994,161.5,489300,161.5
"2020-08-18",161.809998,161.809998,159.429993,160.529999,529700,160.529999
"2020-08-19",160.669998,161.679993,159.089996,160.160004,396800,160.160004
"2020-08-20",158.949997,158.949997,157.429993,157.960007,651100,157.960007
"2020-08-21",158.520004,158.699997,156.339996,157.570007,661200,157.570007
"2020-08-24",158.429993,158.529999,155.089996,156.240005,990100,156.240005
"2020-08-25",156.910004,157.789993,154.580002,156.940002,1149200,156.940002
"2020-08-26",156.660004,159.149994,156.660004,158.520004,745700,158.520004
"2020-08-27",158.399994,159.940002,156.520004,158.5,917900,158.5
"2020-08-28",158.5,161.25,157.820007,161.220001,684800,161.220001
"2020-08-31",160.639999,164.880005,160.25,163.75,1304100,163.75
"2020-09-01",164,165.880005,163,165.130005,959200,165.130005
"2020-09-02",165.520004,170.509995,164.649994,169.75,972300,169.75
"2020-09-03",169.960007,169.990005,163.130005,164.800003,796900,164.800003
"2020-09-04",165.539993,165.710007,157.179993,160.210007,1152500,160.210007
"2020-09-08",158.619995,161.559998,157.199997,157.789993,1041100,157.789993
"2020-09-09",160.740005,163.179993,159.429993,161.059998,974700,161.059998
"2020-09-10",162,163.740005,159.5,159.669998,923500,159.669998
"2020-09-11",160.960007,161.630005,158.139999,159.529999,545600,159.529999
"2020-09-14",161.610001,163.110001,160.679993,161.649994,766000,161.649994
"2020-09-15",162.729996,165.75,162.729996,164.710007,1242500,164.710007
"2020-09-16",165.600006,165.910004,162,162.009995,1268000,162.009995
"2020-09-17",160.789993,161.309998,158.589996,160.5,1019700,160.5
"2020-09-18",160.380005,160.880005,156.720001,157.119995,3615900,157.119995
"2020-09-21",154.619995,154.919998,150.610001,154.080002,1251200,154.080002
"2020-09-22",153.770004,154.440002,152.5,153.300003,1157700,153.300003
"2020-09-23",153.350006,153.770004,148.869995,148.960007,809900,148.960007
"2020-09-24",149.75,149.75,146,148.070007,1081000,148.070007
"2020-09-25",147.320007,152.529999,146.029999,151.300003,1792700,151.300003
"2020-09-28",153.5,156.990005,153.5,155.309998,910600,155.309998
"2020-09-29",155.25,158.050003,154.610001,154.779999,858600,154.779999
"2020-09-30",155.440002,158.970001,155,157.630005,778700,157.630005
"2020-10-01",159.160004,160.800003,157.479996,158.330002,799000,158.330002
"2020-10-02",156.410004,158.380005,155.809998,156.830002,561700,156.830002
"2020-10-05",158.600006,161.649994,157.809998,160.619995,560300,160.619995
"2020-10-06",161.149994,162.919998,159.399994,159.399994,472900,159.399994
"2020-10-07",160.320007,164.720001,160.320007,164.190002,579800,164.190002
"2020-10-08",164.570007,166.110001,163.830002,164.490005,561100,164.490005
"2020-10-09",165.380005,167.539993,164.970001,166.759995,926500,166.759995
"2020-10-12",167.940002,171.880005,166.490005,170.460007,923100,170.460007
"2020-10-13",169.5,170.990005,166.570007,166.589996,815100,166.589996
"2020-10-14",167.369995,168.130005,164.289993,165.889999,771500,165.889999
"2020-10-15",163.529999,164.190002,161.350006,162,1173600,162
"2020-10-16",163.330002,166.389999,163.330002,164.559998,1047500,164.559998
"2020-10-19",164.770004,166.5,163.070007,164.050003,1361000,164.050003
"2020-10-20",172.160004,176,171.839996,173.5,2158900,173.5
"2020-10-21",173.899994,174.720001,169.080002,169.25,918300,169.25
"2020-10-22",169.869995,171.979996,167.490005,169.399994,946100,169.399994
"2020-10-23",170.770004,170.770004,166.529999,167.470001,760600,167.470001
"2020-10-26",165.330002,165.710007,159.809998,162.169998,1301300,162.169998
"2020-10-27",162.619995,162.740005,158.580002,159.139999,1216800,159.139999
"2020-10-28",155.75,158.639999,155.220001,155.710007,1400200,155.710007
"2020-10-29",156.419998,157.75,153.550003,154.649994,1226200,154.649994
"2020-10-30",153.940002,155.009995,150.660004,153.990005,1009700,153.990005
"2020-11-02",156.210007,157.570007,154.240005,155.130005,787900,155.130005
"2020-11-03",157.660004,160.949997,157.089996,160.139999,765500,160.139999
"2020-11-04",162.039993,174.210007,162.039993,170.899994,1583500,170.899994
"2020-11-05",173.669998,176.160004,171.259995,171.710007,1007100,171.710007
"2020-11-06",171.990005,173.330002,169.860001,171.440002,759500,171.440002
"2020-11-09",180.130005,180.770004,173.309998,173.660004,1276300,173.660004
"2020-11-10",172.759995,173.410004,165.490005,166,1272400,166
"2020-11-11",168.009995,169.710007,165.580002,167.880005,885000,167.880005
"2020-11-12",167.809998,169.649994,166.679993,167.800003,746000,167.800003
"2020-11-13",168.979996,174.520004,168.970001,173.929993,745400,173.929993
"2020-11-16",175,175.380005,171.889999,173.740005,620000,173.740005
"2020-11-17",171.779999,172.399994,168.910004,172.210007,613100,172.210007
"2020-11-18",172.320007,173.529999,168.869995,169.070007,837100,169.070007
"2020-11-19",168.350006,169.850006,167.009995,169.550003,714000,169.550003
"2020-11-20",169.75,171.080002,168.139999,169.770004,606000,169.770004
"2020-11-23",170.800003,171.419998,169.309998,170.559998,682700,170.559998
"2020-11-24",173.050003,173.820007,170.779999,172,742800,172
"2020-11-25",171.990005,171.990005,169.339996,169.869995,817100,169.869995
"2020-11-27",170.479996,170.889999,168.029999,168.809998,591800,168.809998
"2020-11-30",169.610001,170.419998,167.740005,168.990005,1644000,168.990005
"2020-12-01",170.619995,173.770004,170.309998,171.229996,1635700,171.229996
"2020-12-02",170.300003,170.809998,168.309998,170.039993,1050700,170.039993
"2020-12-03",170.5,171,167.190002,167.630005,1560100,167.630005
"2020-12-04",167.899994,170.610001,165.820007,170.610001,1496000,170.610001
"2020-12-07",170.690002,172.139999,169.139999,170.070007,1660200,170.070007
"2020-12-08",169.440002,171.449997,168.380005,171.289993,1579900,171.289993
"2020-12-09",171.179993,171.5,168.389999,168.5,1086100,168.5
"2020-12-10",168.399994,169.979996,167.429993,168.470001,866300,168.470001
"2020-12-11",167.399994,168.589996,165.520004,167.809998,1069200,167.809998
"2020-12-14",169.080002,172.25,166.910004,167.300003,1091000,167.300003
"2020-12-15",168.720001,173.339996,167.669998,172.419998,1490600,172.419998
"2020-12-16",172.419998,175.460007,171.070007,174.690002,1124500,174.690002
"2020-12-17",175.729996,179.220001,175,178.949997,1884400,178.949997
"2020-12-18",179.580002,180.990005,177.660004,180.389999,1901500,180.389999
"2020-12-21",177.309998,177.970001,173.869995,176.75,1396700,176.75
"2020-12-22",177.369995,177.369995,174.610001,176.979996,856400,176.979996
"2020-12-23",177.839996,178.990005,174.899994,175.550003,894700,175.550003
"2020-12-24",175.910004,176.460007,174.940002,175.940002,261800,175.940002
"2020-12-28",177.5,177.5,173.830002,175.320007,560700,175.320007
"2020-12-29",177.490005,177.520004,174.309998,174.830002,441500,174.830002
"2020-12-30",175.550003,178.580002,175.199997,177.520004,871900,177.520004
"2020-12-31",178.039993,179.369995,175.389999,179.169998,528800,179.169998
"2021-01-04",178.440002,179.809998,174.279999,176.600006,1046500,176.600006
"2021-01-05",175.729996,180.330002,175.729996,179.339996,775100,179.339996
"2021-01-06",177.130005,187.050003,177,186.25,1123800,186.25
"2021-01-07",187.800003,189.809998,187.320007,188.059998,741300,188.059998
"2021-01-08",188,192,187.529999,191.080002,805500,191.080002
"2021-01-11",190.070007,192.070007,188.270004,191.440002,617100,191.440002
"2021-01-12",191,192.339996,187.940002,189.419998,607700,189.419998
"2021-01-13",189.039993,191.369995,188.960007,189.360001,529200,189.360001
"2021-01-14",189.380005,190.550003,187.699997,188.110001,568200,188.110001
"2021-01-15",187.919998,188.75,185.610001,187.789993,1028200,187.789993
"2021-01-19",191.5,191.5,186.470001,188.970001,948300,188.970001
"2021-01-20",189.029999,191.270004,188.029999,190.539993,684100,190.539993
"2021-01-21",189.649994,191.270004,187.630005,187.690002,1154500,187.690002
"2021-01-22",186.990005,187.410004,185.130005,185.589996,824000,185.589996
"2021-01-25",185.75,186.440002,179.529999,183.020004,930600,183.020004
"2021-01-26",184.479996,184.679993,180.059998,180.339996,755100,180.339996
"2021-01-27",176.119995,176.850006,170,173,1574200,173
"2021-01-28",175.940002,180.339996,174.910004,178.660004,1028400,178.660004
"2021-01-29",178.050003,181.75,176.509995,177.800003,881200,177.800003
"2021-02-01",180.179993,182.199997,178.830002,180.440002,1251600,180.440002
"2021-02-02",183.149994,187.339996,182.25,184.410004,953400,184.410004
"2021-02-03",183.910004,185.5,182.350006,182.990005,724800,182.990005
"2021-02-04",183.360001,185.970001,182.029999,184.320007,654500,184.320007
"2021-02-05",186.029999,187,184.830002,186.100006,932300,186.100006
"2021-02-08",187.470001,189.080002,186.419998,186.910004,1344100,186.910004
"2021-02-09",185.639999,187.139999,183.789993,183.820007,1127700,183.820007
"2021-02-10",195.75,199.990005,189.589996,190.050003,2085400,190.050003
"2021-02-11",191.660004,196.970001,191.309998,192.850006,1051900,192.850006
"2021-02-12",191.570007,193.220001,188.899994,192.660004,755400,192.660004
