"","IRM.Open","IRM.High","IRM.Low","IRM.Close","IRM.Volume","IRM.Adjusted"
"2020-07-01",26.280001,26.610001,26.07,26.25,3250800,23.214958
"2020-07-02",26.58,26.66,25.959999,26.16,2705100,23.135361
"2020-07-06",26.66,26.77,26.219999,26.42,2974800,23.365303
"2020-07-07",26.02,26.379999,25.799999,26.040001,2928700,23.029236
"2020-07-08",26.030001,26.18,25.75,26.16,2499200,23.135361
"2020-07-09",26.16,26.219999,25.58,26.18,2860800,23.153049
"2020-07-10",26.209999,26.780001,26.190001,26.74,2910400,23.648304
"2020-07-13",26.879999,27.059999,26.549999,26.860001,2720400,23.754425
"2020-07-14",26.860001,27.379999,26.709999,27.309999,2053600,24.152399
"2020-07-15",27.709999,27.75,27.35,27.6,2544500,24.408869
"2020-07-16",27.4,27.719999,27.290001,27.35,1559900,24.187777
"2020-07-17",27.5,27.58,27.1,27.27,2405400,24.11702
"2020-07-20",27.059999,27.200001,26.700001,26.879999,1484300,23.772114
"2020-07-21",27.09,27.309999,26.950001,27.27,2460600,24.11702
"2020-07-22",27.17,27.860001,27.09,27.5,3248100,24.320429
"2020-07-23",27.370001,27.75,27.200001,27.51,2311200,24.329273
"2020-07-24",27.51,27.68,27.200001,27.24,1169700,24.090492
"2020-07-27",27.25,27.75,27.1,27.75,1626900,24.541523
"2020-07-28",27.700001,28.08,27.67,27.870001,3100600,24.647652
"2020-07-29",28.120001,28.32,27.790001,28.26,2293000,24.992559
"2020-07-30",27.85,28.27,27.790001,28.25,2258800,24.983713
"2020-07-31",28.34,28.440001,27.940001,28.190001,3273100,24.930655
"2020-08-03",28.049999,28.15,27.84,28.049999,2108600,24.806837
"2020-08-04",27.969999,28.940001,27.969999,28.860001,2835000,25.523188
"2020-08-05",29,29.15,28.620001,28.98,2759700,25.629313
"2020-08-06",29.76,29.799999,28.799999,29.09,5511600,25.726595
"2020-08-07",29.1,29.690001,29,29.450001,2837500,26.044971
"2020-08-10",29.469999,29.870001,29.450001,29.75,3068700,26.310284
"2020-08-11",30,30.08,29.5,29.559999,2847900,26.142252
"2020-08-12",29.709999,29.92,29.450001,29.82,1621000,26.37219
"2020-08-13",29.74,30.15,29.26,29.360001,2739500,25.965378
"2020-08-14",29.27,29.85,29.129999,29.74,1997700,26.301437
"2020-08-17",29.790001,30.41,29.549999,30.33,2948400,26.823221
"2020-08-18",30.309999,30.379999,29.860001,30,2081300,26.531378
"2020-08-19",30,30.120001,29.629999,30,1513300,26.531378
"2020-08-20",29.969999,30.23,29.9,30.1,1558900,26.619818
"2020-08-21",30.190001,30.299999,30.09,30.209999,1686700,26.717098
"2020-08-24",30.190001,30.34,29.67,30.34,2123700,26.832067
"2020-08-25",30.450001,30.59,29.98,30.379999,1562200,26.867443
"2020-08-26",30.23,30.299999,29.780001,30.26,1680800,26.761316
"2020-08-27",30.33,30.629999,30.23,30.450001,2131200,26.92935
"2020-08-28",30.459999,30.469999,30.01,30.34,2141300,26.832067
"2020-08-31",30.34,30.379999,30.02,30.09,2467800,26.610973
"2020-09-01",30.030001,30.139999,29.73,29.940001,1711100,26.478315
"2020-09-02",29.93,30.540001,29.74,30.5,2736200,26.973566
"2020-09-03",30.58,30.68,30.01,30.290001,2235700,26.787851
"2020-09-04",30.440001,30.639999,29.860001,30.16,2173700,26.67288
"2020-09-08",30.030001,30.389999,29.58,30.1,2358800,26.619818
"2020-09-09",30.299999,30.790001,30.030001,30.07,3116500,26.593285
"2020-09-10",30.1,30.209999,29.780001,29.799999,3035100,26.354502
"2020-09-11",29.93,30.01,29.530001,29.82,2458000,26.37219
"2020-09-14",29.5,29.57,28.879999,28.959999,2624300,26.154535
"2020-09-15",29,29.33,28.76,29.07,2052700,26.25388
"2020-09-16",29.049999,29.559999,28.91,29.32,2814400,26.47966
"2020-09-17",29.110001,29.25,28.719999,28.860001,2655800,26.064222
"2020-09-18",28.65,28.83,28.299999,28.33,3288400,25.585566
"2020-09-21",27.889999,28.049999,26.99,27.27,3741500,24.628256
"2020-09-22",27.27,27.6,27.120001,27.190001,2805200,24.556004
"2020-09-23",27.059999,27.200001,26.040001,26.059999,4368700,23.535469
"2020-09-24",26.049999,26.73,25.969999,26.5,3114600,23.932846
"2020-09-25",26.43,26.639999,26.299999,26.530001,2914800,23.95994
"2020-09-28",27.02,27.049999,26.52,26.6,2749600,24.023161
"2020-09-29",26.530001,26.82,26.35,26.76,1613600,24.167658
"2020-09-30",27,27.280001,26.49,26.790001,2217300,24.194754
"2020-10-01",26.84,27.059999,26.549999,27.01,2164600,24.39344
"2020-10-02",26.68,27.389999,26.57,27.34,2825100,24.691471
"2020-10-05",27.48,27.549999,27,27.35,2075500,24.700502
"2020-10-06",27.459999,27.629999,26.969999,27.110001,2295100,24.483751
"2020-10-07",27.110001,27.370001,26.940001,27.1,1850500,24.474722
"2020-10-08",27.200001,28.309999,27.129999,28.24,2876700,25.504286
"2020-10-09",28.51,28.690001,28.07,28.25,2369000,25.513313
"2020-10-12",28.24,28.379999,28.030001,28.35,2039000,25.603628
"2020-10-13",28,28.030001,27.33,27.629999,2361700,24.953377
"2020-10-14",27.73,27.809999,27.33,27.51,1539500,24.845003
"2020-10-15",27.4,27.98,27.34,27.65,1357300,24.971441
"2020-10-16",27.58,27.75,27.41,27.51,1201200,24.845003
"2020-10-19",27.75,27.75,27.25,27.33,1997600,24.682442
"2020-10-20",27.5,27.76,27.440001,27.49,1240600,24.826939
"2020-10-21",27.309999,27.49,27.190001,27.379999,1498300,24.727592
"2020-10-22",27.459999,27.68,27.32,27.65,1585100,24.971441
"2020-10-23",27.809999,28,27.5,27.85,1569400,25.152065
"2020-10-26",27.68,27.700001,27.219999,27.299999,2422900,24.655346
"2020-10-27",27.26,27.51,27.01,27.02,2100800,24.402472
"2020-10-28",26.66,26.799999,26.309999,26.35,2784200,23.797379
"2020-10-29",26.299999,26.719999,25.82,26.33,2491900,23.779312
"2020-10-30",26.360001,26.450001,25.76,26.059999,3604100,23.535469
"2020-11-02",26.299999,26.65,26.09,26.52,2963300,23.950907
"2020-11-03",26.98,27.459999,26.82,27.299999,2411900,24.655346
"2020-11-04",27.23,27.549999,26.6,26.620001,2660300,24.04122
"2020-11-05",27.35,28.09,27.18,27.48,3215000,24.817907
"2020-11-06",27.620001,27.98,26.799999,26.809999,2955100,24.212814
"2020-11-09",28.219999,28.950001,26.610001,26.65,4332700,24.068314
"2020-11-10",26.67,27.290001,26.610001,27.16,4441700,24.52891
"2020-11-11",27.309999,27.700001,26.32,26.459999,5271300,23.896723
"2020-11-12",26.549999,26.559999,25.469999,25.58,6825900,23.101969
"2020-11-13",25.629999,25.889999,24.85,25.49,12031500,23.020689
"2020-11-16",25.950001,26.200001,25.610001,26.09,8343300,23.562565
"2020-11-17",25.91,26.1,25.66,25.9,2765400,23.390972
"2020-11-18",25.940001,26.379999,25.780001,25.9,3033800,23.390972
"2020-11-19",25.780001,25.940001,25.469999,25.790001,2766900,23.291628
"2020-11-20",25.620001,25.799999,25.48,25.690001,2924300,23.201313
"2020-11-23",25.76,26.43,25.67,26.16,3285400,23.62578
"2020-11-24",26.540001,27.049999,26.5,26.58,3609500,24.005096
"2020-11-25",26.65,26.940001,26.24,26.93,2877100,24.32119
"2020-11-27",26.93,27,26.41,26.620001,1496200,24.04122
"2020-11-30",26.58,27.5,26.530001,27.5,6963200,24.835972
"2020-12-01",27.57,27.870001,27.1,27.24,3317800,24.601158
"2020-12-02",27.15,27.440001,26.950001,27.440001,2730200,24.781782
"2020-12-03",27.440001,28.129999,27.440001,28.09,3186300,25.368814
"2020-12-04",28.23,29.16,28.129999,29.16,4666500,26.335161
"2020-12-07",29.01,29.82,29,29.48,5067000,26.624163
"2020-12-08",29.4,30.280001,29.360001,30.15,6196100,27.229256
"2020-12-09",30.26,30.620001,30.209999,30.360001,4368400,27.418913
"2020-12-10",30.219999,30.43,29.98,30.290001,3394000,27.355696
"2020-12-11",30.190001,30.58,30.120001,30.379999,4349500,27.436974
"2020-12-14",29.9,30.07,29.209999,29.27,2855900,26.984316
"2020-12-15",29.41,29.469999,28.93,29.370001,3117300,27.076509
"2020-12-16",29.459999,29.799999,29.040001,29.049999,2449700,26.7815
"2020-12-17",29.25,29.629999,29.120001,29.59,2536800,27.279329
"2020-12-18",29.59,29.77,29.35,29.48,3684800,27.177919
"2020-12-21",29,29.16,28.780001,29.15,2584700,26.873688
"2020-12-22",29.360001,29.67,29.25,29.59,3346700,27.279329
"2020-12-23",29.76,29.870001,29.309999,29.469999,2883600,27.168695
"2020-12-24",29.639999,29.690001,29.33,29.540001,1070800,27.233234
"2020-12-28",29.6,29.93,29.27,29.530001,2268800,27.224014
"2020-12-29",29.58,29.73,29.290001,29.389999,1641300,27.094946
"2020-12-30",29.440001,29.51,29.139999,29.290001,2215500,27.002758
"2020-12-31",29.190001,29.5,28.98,29.48,2776600,27.177919
"2021-01-04",30,30,28.459999,28.66,4853900,26.421949
"2021-01-05",28.68,29.129999,28.6,28.879999,2099400,26.624771
"2021-01-06",29.139999,29.190001,28.73,28.809999,3368100,26.56024
"2021-01-07",28.809999,28.91,28.209999,28.540001,3231800,26.311325
"2021-01-08",28.77,29.02,28.530001,28.549999,2443700,26.320541
"2021-01-11",28.42,28.549999,27.83,28,3983400,25.813492
"2021-01-12",28,28.25,27.719999,28.059999,3349900,25.868805
"2021-01-13",28.209999,28.5,28.15,28.440001,2136200,26.219133
"2021-01-14",28.559999,30.200001,28.549999,30.190001,4449500,27.832474
"2021-01-15",30.1,30.43,29.790001,30.02,3018800,27.675751
"2021-01-19",30.01,30.25,29.459999,29.52,2763400,27.214796
"2021-01-20",29.48,30.559999,29.32,30.299999,3328500,27.933884
"2021-01-21",30.190001,30.32,29.75,30.27,1515600,27.906229
"2021-01-22",30.129999,30.209999,29.77,30.15,2486200,27.795597
