"","IR.Open","IR.High","IR.Low","IR.Close","IR.Volume","IR.Adjusted"
"2020-07-01",28.18,28.65,27.91,28.040001,3287100,28.00499
"2020-07-02",28.610001,29.219999,28.35,28.459999,3861400,28.424463
"2020-07-06",28.92,29.4,28.615,29.309999,2797600,29.273401
"2020-07-07",29.110001,29.139999,28.07,28.1,2380700,28.064913
"2020-07-08",28.08,28.41,27.719999,28.120001,2630400,28.084888
"2020-07-09",28,28.110001,27.16,27.860001,2904900,27.825212
"2020-07-10",27.82,28.41,27.780001,28.309999,3594500,28.274651
"2020-07-13",28.549999,29.309999,28.4,28.629999,3655000,28.59425
"2020-07-14",28.68,29.76,28.43,29.73,3045400,29.692877
"2020-07-15",30.17,31.049999,30.17,30.959999,3462000,30.921339
"2020-07-16",30.889999,31.32,30.450001,30.68,2676800,30.641691
"2020-07-17",30.809999,31.139999,30.41,30.65,2905600,30.611727
"2020-07-20",30.610001,31.379999,30.41,31.299999,3138600,31.260916
"2020-07-21",31.5,32,31.4,31.65,3143700,31.610481
"2020-07-22",31.719999,32.150002,31.51,31.9,2453500,31.860165
"2020-07-23",31.799999,32.110001,31.41,31.629999,2109800,31.590502
"2020-07-24",31.68,31.790001,31.280001,31.6,2427600,31.560543
"2020-07-27",31.780001,31.955,31.42,31.82,1862200,31.780268
"2020-07-28",31.870001,31.969999,31.18,31.35,3074800,31.310856
"2020-07-29",31.629999,32.16,31.4,32.16,1957800,32.119843
"2020-07-30",31.67,31.91,31.24,31.809999,1930000,31.770279
"2020-07-31",31.66,32.080002,31.01,31.59,2658200,31.550554
"2020-08-03",31.84,32.66,31.65,32.630001,2969600,32.58926
"2020-08-04",32.939999,33.509998,32.09,32.650002,5173500,32.609234
"2020-08-05",32.939999,33.599998,32.785,32.900002,2362900,32.858917
"2020-08-06",32.84,33.185001,32.540001,33.040001,1847800,32.998745
"2020-08-07",32.939999,33.919998,32.759998,33.900002,2916200,33.857674
"2020-08-10",33.959999,35.040001,33.810001,35.029999,3477500,34.986259
"2020-08-11",35.360001,36.243,35.360001,35.860001,3626000,35.815224
"2020-08-12",36.07,36.189999,35.380001,35.610001,1977300,35.565536
"2020-08-13",35.369999,35.459999,35.044998,35.119999,1710000,35.076141
"2020-08-14",34.849998,35.599998,34.52,35.400002,1572700,35.355797
"2020-08-17",35.450001,35.540001,34.68,34.810001,1595500,34.766533
"2020-08-18",34.73,35.009998,34.599998,34.619999,1917900,34.576775
"2020-08-19",34.68,34.98,34.299999,34.43,1363000,34.387009
"2020-08-20",34,34.700001,33.830002,34.630001,1647600,34.586758
"2020-08-21",34.599998,34.919998,34.43,34.709999,1364700,34.666656
"2020-08-24",34.939999,35.450001,34.709999,35.439999,1304500,35.395744
"2020-08-25",35.560001,35.639999,34.939999,35.240002,1303300,35.195999
"2020-08-26",35.169998,35.389999,34.889999,35.16,1202800,35.1161
"2020-08-27",35.389999,35.505001,35.080002,35.290001,1421600,35.245934
"2020-08-28",35.389999,35.84,35.205002,35.759998,2421100,35.715347
"2020-08-31",35.84,35.84,35.060001,35.060001,1779900,35.016224
"2020-09-01",34.919998,36.23,34.599998,36.209999,1895400,36.164787
"2020-09-02",36.259998,36.355,35.68,36.099998,2314700,36.054924
"2020-09-03",36.099998,36.34,35.029999,35.389999,2030600,35.34581
"2020-09-04",35.889999,36.200001,35.189999,35.310001,2199100,35.265911
"2020-09-08",35.07,35.110001,34.049999,34.470001,3055700,34.42696
"2020-09-09",34.860001,35.669998,34.66,35.419998,2028000,35.375767
"2020-09-10",35.419998,35.762001,34.959999,35.029999,2172200,34.986259
"2020-09-11",35.23,36.105,35.029999,35.98,2233100,35.935074
"2020-09-14",36.009998,36.389999,35.82,36.32,1947400,36.274647
"2020-09-15",36.369999,36.599998,35.990002,36.330002,1992800,36.284637
"2020-09-16",36.560001,37.389999,36.459999,36.93,2970600,36.883888
"2020-09-17",36.5,37.630001,36.099998,37.189999,3151600,37.143559
"2020-09-18",37.060001,37.34,35.82,35.900002,8420100,35.855175
"2020-09-21",35.139999,35.439999,34.02,34.66,2536000,34.616722
"2020-09-22",34.529999,35.205002,34.48,35.099998,2757000,35.056171
"2020-09-23",35.23,35.786999,35.009998,35.029999,2097200,34.986259
"2020-09-24",35.189999,35.970001,34.200001,35.369999,2025200,35.325832
"2020-09-25",35.040001,35.615002,34.84,35.369999,1787200,35.325832
"2020-09-28",36.029999,36.77,35.880001,36.049999,2406100,36.004986
"2020-09-29",36.18,36.549999,35.669998,35.869999,1470000,35.825211
"2020-09-30",35.91,36.424999,35.209999,35.599998,2069400,35.555546
"2020-10-01",35.889999,36.09,35.130001,35.57,1420800,35.525585
"2020-10-02",34.990002,36.580002,34.860001,36.080002,1920700,36.03495
"2020-10-05",36.59,37.110001,36.450001,36.91,2247500,36.863911
"2020-10-06",37.009998,37.43,36.380001,36.450001,2281000,36.404488
"2020-10-07",36.919998,37.150002,36.439999,36.66,4214800,36.61422
"2020-10-08",36.900002,37.310001,36.490002,37.23,2165800,37.183514
"2020-10-09",37.580002,37.779999,37.099998,37.130001,1914900,37.083637
"2020-10-12",37.299999,37.41,36.904999,37.209999,2034800,37.163532
"2020-10-13",37.09,37.639999,37.060001,37.529999,2597600,37.483135
"2020-10-14",37.57,38.099998,37.299999,37.369999,2631900,37.323334
"2020-10-15",36.560001,37.150002,36.310001,37.07,2636400,37.023708
"2020-10-16",37.459999,37.98,37.205002,37.220001,1611800,37.173523
"2020-10-19",37.16,37.459999,36.52,36.599998,2084100,36.554298
"2020-10-20",36.939999,37.793999,36.935001,37.240002,1932800,37.193504
"2020-10-21",37.279999,37.91,37.244999,37.259998,1648900,37.21347
"2020-10-22",37.169998,38.044998,37.07,37.93,1392500,37.882637
"2020-10-23",38.18,38.380001,37.459999,38.27,1827400,38.22221
"2020-10-26",37.75,37.75,36.025002,36.560001,2390300,36.514347
"2020-10-27",36.5,36.799999,35.939999,36.099998,1882000,36.054924
"2020-10-28",35.349998,35.900002,35.150002,35.240002,1918000,35.195999
"2020-10-29",35.060001,35.459999,34.689999,35.080002,1865300,35.036198
"2020-10-30",34.950001,35.279999,34.369999,34.939999,2369300,34.89637
"2020-11-02",35.560001,36.130001,35.360001,35.98,2145500,35.935074
"2020-11-03",36.32,38.990002,36.040001,38.75,3722000,38.701611
"2020-11-04",38.689999,38.720001,37,38.07,3710900,38.022465
"2020-11-05",38.57,40.209999,38.16,39.799999,2432600,39.750301
"2020-11-06",39.669998,40.465,39.645,40.25,1899000,40.199738
"2020-11-09",42.009998,45.529999,42.009998,42.779999,4984900,42.726582
"2020-11-10",42.5,43.855,42.470001,42.75,3268400,42.696617
"2020-11-11",43.150002,43.169998,42.200001,42.610001,1440600,42.556797
"2020-11-12",42.150002,42.869999,42.02,42.5,1609700,42.44693
"2020-11-13",42.98,43.77,42.52,42.759998,2822900,42.706604
"2020-11-16",43.610001,45,43.23,44.990002,3257500,44.933826
"2020-11-17",44.560001,44.970001,43.75,44.639999,1725200,44.584259
"2020-11-18",44.970001,44.990002,43.889999,43.91,1458700,43.855171
"2020-11-19",43.709999,44.310001,43.43,44.200001,1525800,44.14481
"2020-11-20",44.27,44.450001,43.909,44.259998,1433400,44.204735
"2020-11-23",44.790001,45.080002,44.459999,44.48,1773800,44.424458
"2020-11-24",45.290001,45.580002,44.939999,45.470001,2076300,45.413223
"2020-11-25",45.330002,45.330002,44.73,44.810001,1006400,44.754047
"2020-11-27",45.189999,45.189999,44.630001,44.799999,594900,44.744061
"2020-11-30",44.580002,44.889999,44.029999,44.27,2517300,44.214722
"2020-12-01",45.029999,45.639999,44.759998,44.799999,2909300,44.744061
"2020-12-02",44.439999,44.900002,44.023998,44.330002,1760500,44.274647
"2020-12-03",44.209999,44.98,44.009998,44.459999,1720600,44.404488
"2020-12-04",44.799999,45.450001,44.799999,45.189999,1578800,45.133572
"2020-12-07",45.099998,45.25,44.169998,44.330002,1992700,44.274647
"2020-12-08",44.040001,44.580002,44.009998,44.540001,2148800,44.484383
"2020-12-09",44.799999,45.080002,44.669998,44.990002,2161900,44.933826
"2020-12-10",44.709999,44.93,44.43,44.790001,2208200,44.734074
"2020-12-11",44.299999,44.630001,44.080002,44.32,2631600,44.264656
"2020-12-14",45.25,45.459999,43.75,43.860001,2269800,43.805237
"2020-12-15",44.5,44.93,43.865002,44.759998,1716700,44.704109
"2020-12-16",44.830002,44.855,43.830002,44.32,1526500,44.264656
"2020-12-17",44.439999,45.575001,43.959999,45.439999,2312200,45.383259
"2020-12-18",45.540001,45.889999,44.900002,45.220001,5238800,45.163536
"2020-12-21",44.279999,45.700001,44.009998,45.66,1579300,45.602982
"2020-12-22",45.810001,45.98,45.5,45.560001,1523400,45.503109
"2020-12-23",45.779999,45.990002,45.330002,45.759998,859600,45.702858
"2020-12-24",45.779999,46.040001,45.189999,46.029999,609700,45.972523
"2020-12-28",46.290001,46.820999,45.049999,45.099998,1106000,45.043686
"2020-12-29",45.189999,45.43,44.150002,44.48,1010300,44.424458
"2020-12-30",44.5,45.380001,44.5,45.240002,1439800,45.183514
"2020-12-31",45.25,45.639999,44.43,45.560001,1506100,45.503109
"2021-01-04",45.68,45.759998,43.84,44.310001,2232100,44.254673
"2021-01-05",44.369999,45.415001,44.369999,45.200001,1797500,45.143562
"2021-01-06",45.860001,47.650002,45.794998,46.68,1968300,46.621712
"2021-01-07",47.009998,47.41,46.580002,47.02,990800,46.961288
"2021-01-08",47.130001,47.459999,45.830002,46.400002,1659000,46.342064
"2021-01-11",45.91,46.68,45.59,46.490002,739800,46.431953
"2021-01-12",46.990002,47.779999,46.540001,47.060001,1245200,47.001236
"2021-01-13",46.869999,47.169998,46.080002,46.080002,1577100,46.022461
"2021-01-14",46.389999,46.779999,45.93,46.34,1799100,46.282139
"2021-01-15",47.169998,47.299999,45.540001,45.91,4578000,45.852669
"2021-01-19",46.360001,46.59,45.93,46.290001,1642900,46.232201
"2021-01-20",46.450001,46.709999,45.824001,45.990002,1367100,45.932575
"2021-01-21",45.93,46.23,45.709999,45.759998,1101900,45.702858
"2021-01-22",45.43,45.715,45.009998,45.23,1319600,45.173523
"2021-01-25",45,45.220001,44.16,44.509998,1826100,44.454422
"2021-01-26",44.900002,45.244999,43.580002,43.59,1485600,43.535568
"2021-01-27",42.560001,42.599998,40.639999,40.810001,2178400,40.759045
"2021-01-28",41.48,42.990002,41.209999,42.639999,2174600,42.586754
"2021-01-29",42.369999,42.650002,41.400002,41.84,3165200,41.787758
"2021-02-01",42.389999,42.709999,41.68,42.599998,3118900,42.546806
"2021-02-02",43.130001,43.665001,42.619999,43.380001,1257200,43.325832
"2021-02-03",43.119999,43.744999,42.84,43.560001,1255900,43.505611
"2021-02-04",43.779999,44.040001,42.849998,42.990002,4587700,42.936321
"2021-02-05",43.549999,44.110001,43.189999,43.779999,1357100,43.72533
"2021-02-08",43.84,44.200001,43.689999,44.049999,1275400,43.994995
"2021-02-09",43.779999,44.529999,43.68,44.07,1339100,44.014969
"2021-02-10",44.209999,44.639999,43.799999,44.459999,1534000,44.404488
"2021-02-11",44.439999,45.27,43.5,44.029999,1743700,43.975021
"2021-02-12",43.889999,44.369999,43.41,43.919998,1683300,43.865154
"2021-02-16",44.27,44.5,43.299999,43.57,1338600,43.515594
"2021-02-17",43.439999,43.580002,42.830002,42.990002,1001600,42.936321
"2021-02-18",42.700001,43.009998,42,42.77,1250200,42.716595
"2021-02-19",43.049999,44.310001,43.049999,43.889999,1610100,43.835194
"2021-02-22",43.490002,44.82,43.330002,43.77,3412600,43.715343
"2021-02-23",44.68,46.990002,43.956001,45.580002,4562700,45.523087
"2021-02-24",45.84,48.259998,45.459999,48.099998,4067000,48.039936
"2021-02-25",48.009998,48.919998,46.200001,46.349998,3534000,46.292126
"2021-02-26",46.369999,46.933998,45.716999,46.34,2381200,46.282139
"2021-03-01",47.040001,47.970001,46.990002,47.459999,1978400,47.400734
"2021-03-02",47.27,47.5,46.75,46.799999,1548500,46.741558
"2021-03-03",46.709999,47.5,46.599998,46.810001,2813300,46.751549
"2021-03-04",46.639999,47.740002,46,47.060001,3444900,47.001236
"2021-03-05",47.619999,49.68,46.810001,49.490002,3619300,49.428204
"2021-03-08",49.82,51.610001,49.490002,50.549999,6393300,50.486877
"2021-03-09",50.529999,50.549999,48.080002,48.09,2216300,48.029953
"2021-03-10",48.720001,49.439999,47.91,48.970001,1454000,48.908855
"2021-03-11",49.02,49.950001,48.731998,49.02,1405000,48.95879
