"","JBHT.Open","JBHT.High","JBHT.Low","JBHT.Close","JBHT.Volume","JBHT.Adjusted"
"2020-07-01",120.959999,121.389999,117.25,117.650002,604900,115.820206
"2020-07-02",118.870003,119.739998,117.889999,118.260002,563200,116.4207
"2020-07-06",119.199997,121.580002,118.769997,120.839996,650400,118.960564
"2020-07-07",120.040001,125.18,119.720001,124.040001,935600,122.110802
"2020-07-08",124.199997,127.220001,123.910004,125.910004,775200,123.951729
"2020-07-09",125.830002,126.160004,123.269997,125,874800,123.055878
"2020-07-10",125.459999,127.760002,125.209999,127.639999,1083000,125.654816
"2020-07-13",128.660004,130.279999,125.220001,125.650002,1093100,123.695778
"2020-07-14",126.650002,129.029999,125.650002,128.690002,676000,126.688499
"2020-07-15",129.160004,131.139999,128,130.339996,943900,128.312851
"2020-07-16",129.979996,133,129.360001,132.550003,1268000,130.488449
"2020-07-17",137,138.759995,135.199997,136.820007,2292300,134.692062
"2020-07-20",135.529999,137.399994,133.679993,134.399994,1491600,132.309662
"2020-07-21",135,136.199997,132.070007,133.029999,869000,130.960953
"2020-07-22",132.800003,135.149994,131.279999,132.160004,1147200,130.104523
"2020-07-23",131.410004,133.5,131.050003,131.470001,718300,129.425247
"2020-07-24",131.050003,132.190002,130.199997,130.789993,912200,128.755829
"2020-07-27",131.100006,132.669998,129.759995,130.350006,981300,128.322662
"2020-07-28",130.160004,130.949997,127.709999,127.980003,854500,125.98954
"2020-07-29",129.130005,131.669998,128.860001,130.210007,853700,128.18486
"2020-07-30",128.539993,129.449997,127.580002,129.039993,532800,127.033051
"2020-07-31",128.630005,129.610001,125.540001,129.399994,990300,127.387444
"2020-08-03",130.119995,132.279999,130.100006,130.619995,847300,128.588455
"2020-08-04",130.570007,132.240005,129.940002,132.169998,832200,130.11438
"2020-08-05",132.399994,133.600006,131.330002,131.839996,785600,129.789505
"2020-08-06",132.449997,134.089996,131.029999,133.889999,758200,132.07811
"2020-08-07",133.110001,136.050003,133.110001,135.949997,962500,134.110245
"2020-08-10",136.660004,138.059998,135.949997,136.699997,752800,134.850082
"2020-08-11",137.460007,139.830002,136.860001,137.690002,852200,135.826691
"2020-08-12",138.529999,141,136.979996,137.309998,855200,135.451828
"2020-08-13",136.449997,137.979996,136.039993,136.710007,527500,134.85997
"2020-08-14",137.300003,138.940002,136.729996,137.190002,638000,135.33345
"2020-08-17",137.759995,139.429993,137.449997,139.419998,521900,137.533264
"2020-08-18",139.350006,139.619995,137.779999,138,859500,136.132507
"2020-08-19",139.149994,139.880005,137.850006,138.270004,692500,136.398834
"2020-08-20",137.259995,139.440002,136.660004,138.720001,470600,136.842758
"2020-08-21",138.589996,141.649994,137.960007,141.419998,620600,139.506195
"2020-08-24",141.820007,142,140.429993,141.630005,770300,139.713379
"2020-08-25",141.360001,141.630005,140.410004,140.940002,491700,139.0327
"2020-08-26",140.789993,142.279999,139.720001,142.199997,572600,140.275665
"2020-08-27",142.5,144.350006,141.710007,142.800003,608500,140.867538
"2020-08-28",143.529999,143.660004,141.380005,141.75,534900,139.831726
"2020-08-31",142.050003,143.160004,139.520004,140.539993,629000,138.638092
"2020-09-01",140.339996,141.570007,139.149994,140.970001,695200,139.062286
"2020-09-02",141.080002,142.059998,140.240005,141.570007,497500,139.65419
"2020-09-03",142.070007,142.070007,137.210007,138.270004,724300,136.398834
"2020-09-04",138.759995,139.300003,134.229996,136.619995,813200,134.771179
"2020-09-08",136.110001,138.300003,134.089996,135.389999,1084100,133.5578
"2020-09-09",136.389999,139.300003,136.389999,138.050003,574600,136.181808
"2020-09-10",138.050003,138.720001,135.160004,136,697600,134.159546
"2020-09-11",136.940002,137.679993,134.229996,135.119995,760800,133.291458
"2020-09-14",136.259995,136.630005,131.039993,132.020004,902400,130.233429
