"","JCI.Open","JCI.High","JCI.Low","JCI.Close","JCI.Volume","JCI.Adjusted"
"2020-07-01",34.240002,34.580002,33.830002,33.889999,4954300,32.51973
"2020-07-02",34.43,35.02,34.25,34.34,3585600,32.951538
"2020-07-06",34.880001,35.07,34.540001,34.73,3220000,33.325775
"2020-07-07",34.419998,34.619999,34.16,34.25,4771000,32.865177
"2020-07-08",34.27,34.529999,33.93,34.150002,3901300,32.769226
"2020-07-09",34.080002,34.279999,33.330002,33.380001,5543300,32.03035
"2020-07-10",33.459999,33.880001,33.310001,33.869999,5140000,32.500542
"2020-07-13",34.110001,34.560001,33.93,34,5851500,32.625286
"2020-07-14",34,34.98,33.549999,34.970001,6221700,33.556076
"2020-07-15",35.73,36.720001,35.639999,36.439999,8046200,34.966629
"2020-07-16",36.400002,37.57,36.07,37.169998,7025000,35.667114
"2020-07-17",37.23,37.720001,36.950001,37.669998,6259900,36.1469
"2020-07-20",37.439999,37.849998,36.790001,36.799999,4176000,35.312073
"2020-07-21",36.799999,37.110001,36.560001,36.709999,4355000,35.225708
"2020-07-22",36.470001,37.16,36.41,37.049999,3335400,35.551971
"2020-07-23",37.07,37.639999,36.98,37.349998,4929100,35.839828
"2020-07-24",37.34,37.43,36.700001,36.799999,3674100,35.312073
"2020-07-27",36.720001,37.209999,36.5,37.07,3199100,35.571156
"2020-07-28",36.919998,37.150002,36.529999,36.580002,3124600,35.100971
"2020-07-29",36.639999,38.279999,36.560001,37.990002,6896500,36.453964
"2020-07-30",37.330002,37.490002,36.84,37.240002,4262800,35.734291
"2020-07-31",39.119999,39.950001,38.110001,38.48,8532500,36.924145
"2020-08-03",38.580002,39.150002,38.310001,38.919998,8042800,37.346359
"2020-08-04",38.59,38.779999,37.82,38.360001,5214000,36.809002
"2020-08-05",38.299999,38.630001,38.080002,38.34,4306400,36.78981
"2020-08-06",38.139999,38.610001,38.139999,38.389999,2762100,36.837784
"2020-08-07",38.41,39.16,38.34,39.049999,3218700,37.471104
"2020-08-10",39.330002,40.200001,39.080002,40.099998,5176000,38.478642
"2020-08-11",41.299999,42.130001,40.720001,40.790001,8454300,39.140747
"2020-08-12",41.09,41.41,40.810001,41.060001,4808700,39.399834
"2020-08-13",40.75,41.049999,40.349998,40.650002,4043300,39.006413
"2020-08-14",40.380001,41.029999,40.259998,40.860001,3105200,39.20792
"2020-08-17",40.77,40.939999,40.580002,40.73,3545200,39.083172
"2020-08-18",40.650002,40.93,40.240002,40.330002,4218300,38.699348
"2020-08-19",40.220001,40.66,40.130001,40.23,3395100,38.60339
"2020-08-20",39.959999,40.619999,39.799999,40.110001,4732700,38.488243
"2020-08-21",40.23,40.639999,39.950001,40.59,7170600,38.948833
"2020-08-24",40.799999,41.240002,40.740002,40.990002,4331800,39.332664
"2020-08-25",41.25,41.369999,40.790001,41.200001,3753000,39.534172
"2020-08-26",41.139999,41.490002,40.900002,41.07,4702200,39.40942
"2020-08-27",41.240002,41.470001,40.779999,40.900002,3356800,39.246304
"2020-08-28",41,41.330002,40.75,41.299999,3702100,39.630127
"2020-08-31",41.290001,41.41,40.709999,40.73,4452800,39.083172
"2020-09-01",40.52,41.34,40.369999,41.18,3580700,39.514977
"2020-09-02",41.25,42.330002,41.110001,42.18,4217500,40.474545
"2020-09-03",42.200001,42.34,40.34,40.540001,4930700,38.900856
"2020-09-04",41.099998,41.580002,40.700001,41.310001,8616400,39.639725
"2020-09-08",41.049999,41.34,40.450001,40.740002,5846100,39.092762
"2020-09-09",40.779999,41.630001,40.75,41.209999,4436700,39.543766
"2020-09-10",41.369999,41.650002,41.009998,41.130001,5009500,39.467003
"2020-09-11",41.450001,42.32,41.299999,41.669998,4951300,39.985165
"2020-09-14",41.950001,42.810001,41.91,42.509998,4234000,40.791199
"2020-09-15",42.52,42.869999,42.240002,42.290001,4711500,40.580105
"2020-09-16",42.700001,43.130001,42.240002,42.900002,5812700,41.165432
"2020-09-17",42.48,43.150002,42.07,42.970001,4498400,41.232613
"2020-09-18",42.759998,43.200001,42.41,42.779999,5590500,41.050278
"2020-09-21",41.939999,42.029999,40.470001,40.91,4655200,39.255898
"2020-09-22",40.799999,41.48,40.790001,41.330002,3451500,39.65892
"2020-09-23",41.32,41.689999,40.299999,40.349998,3748000,38.718536
"2020-09-24",40.34,41.299999,39.799999,40.93,4299600,39.275093
"2020-09-25",40.380001,40.779999,40.189999,40.490002,4389200,39.101261
"2020-09-28",41.080002,41.959999,41.049999,41.439999,4504800,40.018673
"2020-09-29",41.41,41.459999,40.73,40.959999,5056300,39.555141
"2020-09-30",41.16,41.549999,40.599998,40.849998,4861000,39.448914
"2020-10-01",41.240002,41.389999,40.48,40.68,5196700,39.284744
"2020-10-02",40.150002,42.110001,40.150002,41.59,6407700,40.163532
"2020-10-05",41.950001,42.57,41.919998,42.150002,3819400,40.704327
"2020-10-06",42.349998,42.610001,41.560001,41.650002,4009600,40.221478
