"","JKHY.Open","JKHY.High","JKHY.Low","JKHY.Close","JKHY.Volume","JKHY.Adjusted"
"2020-07-01",184.809998,184.929993,180.669998,183.830002,388400,179.743896
"2020-07-02",185.360001,187,183.660004,184.509995,256900,180.408783
"2020-07-06",185.789993,188.410004,182.529999,183.059998,402200,178.991013
"2020-07-07",182.070007,185.350006,179.619995,179.820007,453600,175.823029
"2020-07-08",181.630005,182.740005,180.809998,181.960007,248100,177.915466
"2020-07-09",182.119995,182.850006,179.399994,182.300003,573300,178.24791
"2020-07-10",183.470001,183.860001,180.300003,181.529999,378100,177.495026
"2020-07-13",181.559998,182.820007,177.889999,178.380005,723800,174.41507
"2020-07-14",178.539993,181,176,180.059998,360300,176.057709
"2020-07-15",181.610001,182.289993,178.789993,180.130005,568400,176.126144
"2020-07-16",179.669998,180,177.669998,178.820007,464700,174.845291
"2020-07-17",179.220001,182.110001,178.940002,181.580002,367600,177.5439
"2020-07-20",179.360001,183.199997,179.360001,182.850006,579800,178.785706
"2020-07-21",184.639999,184.970001,181.940002,183.279999,275900,179.206116
"2020-07-22",183,184.580002,181.470001,184.059998,306300,179.968796
"2020-07-23",184.490005,186.850006,181.149994,181.770004,298300,177.729675
"2020-07-24",181.240005,181.559998,178.889999,179.589996,213400,175.598129
"2020-07-27",179.399994,181.229996,179.259995,180.699997,268100,176.683456
"2020-07-28",179.399994,180.259995,175.949997,176.539993,429900,172.615921
"2020-07-29",177.320007,181.210007,176.009995,180.75,377000,176.732361
"2020-07-30",178.300003,180.649994,176.899994,178.490005,435300,174.522614
"2020-07-31",179.270004,179.270004,176.179993,178.300003,580100,174.336823
"2020-08-03",179.699997,183.059998,178.25,182,545400,177.95459
"2020-08-04",182.960007,182.960007,178.710007,179.589996,569700,175.598129
"2020-08-05",180.559998,181.460007,179.369995,179.699997,445600,175.705688
"2020-08-06",179.850006,182.639999,179.729996,182.429993,370100,178.375031
"2020-08-07",181.550003,185.399994,181.300003,184,665300,179.910126
"2020-08-10",183.080002,185.460007,182.220001,183.779999,732400,179.695007
"2020-08-11",183.809998,184.910004,180.990005,182.880005,412200,178.815018
"2020-08-12",184.550003,188.070007,182.770004,187.860001,382200,183.684311
"2020-08-13",187.570007,193.070007,187.570007,191.979996,542400,187.712753
"2020-08-14",192.270004,194.990005,191.619995,194.360001,620400,190.039841
"2020-08-17",195,199.679993,195,199.130005,435100,194.703812
"2020-08-18",198.059998,200.979996,195.789993,197.669998,642900,193.276276
"2020-08-19",184.559998,185.740005,171.190002,172.220001,2445600,168.391983
"2020-08-20",170.699997,173.460007,167.850006,168.199997,1227100,164.461304
"2020-08-21",168.339996,168.449997,163.960007,165.850006,877300,162.163559
"2020-08-24",167.100006,168.199997,162.899994,164.729996,608300,161.068451
"2020-08-25",164.229996,166.779999,163.259995,166.380005,585800,162.681778
"2020-08-26",166.139999,168.369995,163,167.259995,493500,163.542206
"2020-08-27",168.309998,168.309998,164.5,165.850006,536200,162.163559
"2020-08-28",166.470001,168.309998,165.970001,167.479996,523700,163.757339
"2020-08-31",168.009995,168.5,164.699997,165.419998,577900,161.743103
"2020-09-01",165.679993,167.270004,163.5,164.360001,535900,160.706696
"2020-09-02",165.830002,171.809998,164.380005,171.100006,585700,167.29686
"2020-09-03",170.160004,170.259995,163.119995,165.699997,1088100,162.016876
"2020-09-04",165.399994,166.580002,160.360001,163.169998,618900,159.543137
"2020-09-08",160.279999,160.820007,156.880005,158.509995,592900,155.396225
"2020-09-09",160.940002,162.100006,159.539993,160.710007,407900,157.553024
"2020-09-10",160.850006,161.899994,155.679993,156.039993,450200,152.974731
"2020-09-11",156.75,157.490005,154.160004,155.779999,316100,152.719833
"2020-09-14",158.350006,159.600006,156.970001,158.470001,411200,155.357025
"2020-09-15",159.990005,160.429993,158.089996,159.789993,568100,156.651062
"2020-09-16",160.399994,161.990005,155.509995,155.669998,541000,152.61203
"2020-09-17",154.039993,162.070007,153.350006,161.759995,771400,158.582382
"2020-09-18",161.690002,164.690002,161.149994,161.830002,1847600,158.651016
"2020-09-21",160.520004,160.839996,157.169998,159.210007,482100,156.082474
"2020-09-22",160.350006,163.550003,158.990005,163.119995,355300,159.915634
"2020-09-23",162.869995,163.399994,159.039993,159.410004,515300,156.278534
"2020-09-24",158.330002,159.639999,156.690002,157.619995,526900,154.523697
"2020-09-25",158.860001,161.089996,157.020004,161,577300,157.837326
"2020-09-28",162.830002,165.380005,161.820007,162.720001,447700,159.523499
"2020-09-29",162.75,164.539993,162.130005,162.130005,365700,158.945129
"2020-09-30",161.380005,164.100006,161.380005,162.589996,378700,159.396057
"2020-10-01",163.800003,165.589996,162.5,163.539993,466600,160.327423
"2020-10-02",161.600006,163.089996,160.800003,161.559998,354900,158.386322
"2020-10-05",163.240005,163.509995,161.279999,162.089996,381300,158.905899
"2020-10-06",163,165.279999,161.839996,162.059998,346600,158.87648
"2020-10-07",163,165,162.570007,164.440002,339700,161.209732
"2020-10-08",165.399994,166.490005,163.130005,164.320007,302600,161.092102
"2020-10-09",164.619995,165.779999,164,164.490005,520500,161.258743
"2020-10-12",165.970001,165.970001,163.570007,164.710007,510300,161.474411
"2020-10-13",164.589996,166.220001,161.639999,161.910004,472300,158.729416
"2020-10-14",163.240005,163.259995,160.270004,160.929993,362200,157.768692
"2020-10-15",157.830002,162.529999,157.679993,162.309998,334800,159.121552
"2020-10-16",161.119995,163.740005,161.119995,162.259995,289700,159.072571
"2020-10-19",162.839996,163.240005,157.690002,158.070007,312500,154.964874
