"","JNJ.Open","JNJ.High","JNJ.Low","JNJ.Close","JNJ.Volume","JNJ.Adjusted"
"2020-07-01",140.690002,141.389999,140.059998,140.380005,6174800,133.366547
"2020-07-02",141.25,141.839996,140.330002,140.970001,5152200,133.927063
"2020-07-06",142.169998,143.770004,141.880005,142.979996,6156400,135.836624
"2020-07-07",141.389999,143.970001,141.229996,142.850006,5622600,135.713104
"2020-07-08",142.869995,143.389999,141.699997,143.270004,6257400,136.112152
"2020-07-09",142.759995,144.429993,140.580002,142.490005,5738600,135.371124
"2020-07-10",142.75,142.869995,141.429993,142.369995,4282400,135.257111
"2020-07-13",143.610001,146.639999,143.279999,145.210007,6951900,137.955231
"2020-07-14",145.320007,148.389999,145.259995,147.919998,7447100,140.529831
"2020-07-15",149.729996,150.210007,148.229996,148.259995,8512800,140.852829
"2020-07-16",148.679993,149.339996,146.679993,149.25,9304700,141.793365
"2020-07-17",150,150.580002,148.690002,149.350006,7441100,141.888367
"2020-07-20",150.229996,150.320007,148.429993,149.600006,6191500,142.125885
"2020-07-21",149.600006,151.669998,149.5,149.740005,5575900,142.258896
"2020-07-22",149.929993,150.410004,147.850006,150.009995,5910200,142.515411
"2020-07-23",150.210007,150.850006,149.279999,149.610001,6566300,142.135391
"2020-07-24",150.5,150.600006,147.029999,148.119995,5405900,140.719849
"2020-07-27",147.369995,148.919998,146.860001,147.179993,5675200,139.826797
"2020-07-28",147.399994,147.990005,146.75,146.830002,4842200,139.494278
"2020-07-29",146.389999,147.470001,146.070007,146.539993,4489100,139.218781
"2020-07-30",147.440002,147.5,146.139999,146.839996,5922500,139.503784
"2020-07-31",146.660004,147.449997,143.960007,145.759995,8259600,138.477722
"2020-08-03",146.389999,147.789993,146.149994,147.350006,4078700,139.988297
"2020-08-04",146.990005,147.220001,145.820007,147.220001,4162200,139.864822
"2020-08-05",149.100006,149.309998,147.800003,148.399994,5467500,140.985855
"2020-08-06",148.399994,149.25,146.5,147.550003,4837900,140.178314
"2020-08-07",147.509995,148.649994,147.149994,148.600006,3635100,141.175858
"2020-08-10",148.860001,149.009995,147.720001,148.029999,4096600,140.634323
"2020-08-11",149.139999,149.229996,146.369995,146.970001,6388400,139.627304
"2020-08-12",147.539993,150.240005,147.490005,149.660004,5257300,142.182892
"2020-08-13",148.539993,149.190002,147.529999,148,5155500,140.605835
"2020-08-14",147.610001,149.339996,147.580002,148.240005,4240200,140.833862
"2020-08-17",148.320007,150.229996,148.229996,148.990005,4306900,141.546371
"2020-08-18",149.259995,150.100006,148.570007,150.089996,4322600,142.591431
"2020-08-19",149.580002,151.580002,149.320007,150.389999,7816300,142.876434
"2020-08-20",149.75,151.580002,149.550003,151.419998,4874700,143.85498
"2020-08-21",151.779999,153.649994,150.589996,152.759995,6722800,145.128006
"2020-08-24",152.740005,152.899994,150.350006,152.149994,5387900,145.510574
"2020-08-25",152.779999,153.070007,151.539993,152.059998,3863500,145.424484
"2020-08-26",151.860001,152.649994,150.639999,152.300003,8008300,145.654022
"2020-08-27",152.419998,153.259995,151.889999,152.979996,5575400,146.304352
"2020-08-28",152.740005,153.699997,151.899994,153.639999,5395700,146.935547
"2020-08-31",153,154.399994,152.259995,153.410004,6362700,146.715591
"2020-09-01",153.869995,154.080002,150.070007,151.520004,6307700,144.908066
"2020-09-02",150.789993,154.330002,149.25,153.830002,6881900,147.117264
"2020-09-03",154.830002,155.470001,148.300003,149.550003,8672800,143.024017
"2020-09-04",150.169998,150.949997,147.130005,148.589996,7200100,142.105927
"2020-09-08",150.25,150.889999,146.899994,147.259995,8756800,140.833954
"2020-09-09",148.149994,151.100006,148.119995,149.699997,6960700,143.16748
"2020-09-10",149.25,149.779999,146.520004,146.910004,6191800,140.499252
