"","JNPR.Open","JNPR.High","JNPR.Low","JNPR.Close","JNPR.Volume","JNPR.Adjusted"
"2020-07-01",22.790001,22.99,22.540001,22.549999,2707900,21.248541
"2020-07-02",22.77,22.83,22.52,22.540001,3177400,21.239119
"2020-07-06",22.950001,23.110001,22.799999,23.08,2740400,21.747952
"2020-07-07",22.93,22.98,22.43,22.49,2687100,21.191999
"2020-07-08",22.42,22.440001,22.110001,22.299999,1867000,21.012966
"2020-07-09",22.389999,22.969999,22.32,22.74,3505500,21.427576
"2020-07-10",22.65,22.719999,22.309999,22.620001,2359200,21.314503
"2020-07-13",22.83,23.02,22.530001,22.540001,3564200,21.239119
"2020-07-14",22.540001,22.99,22.42,22.940001,3105900,21.616032
"2020-07-15",23.16,23.370001,22.99,23.200001,2854500,21.861027
"2020-07-16",23.02,23.209999,22.950001,23.16,1861200,21.823334
"2020-07-17",23.34,23.82,23.110001,23.77,4217000,22.39813
"2020-07-20",23.719999,23.959999,23.610001,23.93,1650400,22.548895
"2020-07-21",24.1,24.24,23.85,24.139999,2677100,22.746773
"2020-07-22",24.17,24.67,24.07,24.49,2352000,23.076574
"2020-07-23",24.549999,24.82,24.41,24.5,2371900,23.085997
"2020-07-24",24.440001,24.620001,24.200001,24.48,3032000,23.067152
"2020-07-27",24.52,25.299999,24.459999,25.120001,3159800,23.670214
"2020-07-28",25.07,25.07,24.09,24.26,6102800,22.859848
"2020-07-29",25.4,25.940001,24.98,24.99,5781100,23.547716
"2020-07-30",24.67,24.98,24.52,24.93,1851800,23.491179
"2020-07-31",25,25.389999,24.629999,25.379999,3579000,23.915205
"2020-08-03",25.35,25.379999,24.85,25.299999,3008000,23.839825
"2020-08-04",25.4,25.65,25.299999,25.52,2384400,24.047127
"2020-08-05",25.6,25.76,25.299999,25.629999,2795500,24.15078
"2020-08-06",25.549999,25.84,25.530001,25.77,2192000,24.2827
"2020-08-07",25.700001,26,25.68,25.940001,2815400,24.442888
"2020-08-10",25.940001,26.190001,25.84,26.030001,1858300,24.527693
"2020-08-11",26.1,26.49,25.49,25.52,3327500,24.047127
"2020-08-12",25.67,25.799999,25.33,25.43,3571400,23.962324
"2020-08-13",25.049999,25.26,24.620001,24.940001,4554000,23.500603
"2020-08-14",24.82,25,24.709999,24.82,2524200,23.387529
"2020-08-17",24.83,24.950001,24.24,24.309999,3086000,22.906961
"2020-08-18",24.379999,24.389999,23.879999,23.969999,3013300,22.586586
"2020-08-19",23.950001,24.24,23.73,23.82,2395600,22.445242
"2020-08-20",23.75,23.940001,23.66,23.690001,2545000,22.322744
"2020-08-21",23.690001,23.75,23.540001,23.620001,3187600,22.256786
"2020-08-24",23.700001,24,23.67,23.84,2178500,22.46409
"2020-08-25",23.780001,23.98,23.459999,23.84,3215900,22.46409
"2020-08-26",23.92,24.209999,23.860001,24.110001,2199100,22.718504
"2020-08-27",24.17,24.24,23.6,23.870001,2225700,22.492359
"2020-08-28",23.83,24.110001,23.83,24.059999,1973800,22.671392
"2020-08-31",24.219999,25.09,24.1,25,6167600,23.754599
"2020-09-01",24.940001,25.08,24.32,24.57,3246600,23.346022
"2020-09-02",24.58,25.040001,24.58,24.93,2525100,23.688087
"2020-09-03",23.33,23.709999,22.629999,23.07,7667900,21.920748
"2020-09-04",23.24,23.459999,22.950001,23.24,4391600,22.082277
"2020-09-08",22.879999,23.219999,22.73,22.76,3328200,21.626192
"2020-09-09",22.98,23.450001,22.75,23.23,4229300,22.072773
"2020-09-10",23.299999,23.49,22.84,22.85,2610000,21.711706
"2020-09-11",23.040001,23.190001,22.870001,23.120001,2237800,21.968254
"2020-09-14",23.33,23.33,23,23.120001,3087100,21.968254
"2020-09-15",23.25,23.32,23.01,23.1,2724300,21.949251
"2020-09-16",23.33,23.57,23.17,23.219999,2424100,22.063272
"2020-09-17",22.9,23.440001,22.809999,23.26,2852000,22.10128
