"","J.Open","J.High","J.Low","J.Close","J.Volume","J.Adjusted"
"2020-07-01",85.440002,85.980003,83.660004,83.900002,1076900,82.56337
"2020-07-02",85.650002,86.489998,84.650002,85.660004,915200,84.295334
"2020-07-06",86.440002,87.209999,84.25,84.910004,634300,83.557297
"2020-07-07",85.099998,85.099998,83.349998,83.519997,660700,82.189423
"2020-07-08",83,84.32,80.879997,81.599998,1368500,80.300018
"2020-07-09",81.419998,82.059998,78.809998,78.849998,953200,77.593834
"2020-07-10",78.790001,79.589996,78.239998,78.57,839600,77.318275
"2020-07-13",79.919998,80.300003,78.57,78.730003,680900,77.475746
"2020-07-14",77.879997,80,77.510002,79.040001,1559200,77.780792
"2020-07-15",80.309998,81.709999,79.620003,81.160004,1524300,79.867035
"2020-07-16",81.540001,83.410004,81.129997,82.620003,770900,81.303757
"2020-07-17",83.349998,83.839996,82.860001,83.519997,545200,82.189423
"2020-07-20",82.639999,83.32,82.419998,82.980003,465400,81.658035
"2020-07-21",83.400002,84.489998,83.400002,83.959999,480300,82.622421
"2020-07-22",83.349998,84.760002,83.349998,84.389999,376100,83.045563
"2020-07-23",84.160004,85.529999,83.849998,84.639999,507800,83.479546
"2020-07-24",84.830002,84.889999,83.720001,83.940002,564400,82.789131
"2020-07-27",83.629997,84.449997,82.919998,84.209999,511200,83.055428
"2020-07-28",84.169998,84.5,83.419998,83.709999,566800,82.562279
"2020-07-29",84.309998,86.730003,83.919998,86.720001,765900,85.531021
"2020-07-30",85.620003,86.110001,84.639999,85.379997,567600,84.209389
"2020-07-31",85.260002,85.730003,83.540001,85.349998,906900,84.179802
"2020-08-03",85.699997,91.449997,85.349998,90.5,1290800,89.259186
"2020-08-04",90.860001,92.5,90.129997,92.360001,965800,91.093697
"2020-08-05",92.550003,93.139999,91.779999,92.120003,738400,90.856987
"2020-08-06",91.57,92.220001,90.019997,90.470001,692100,89.229591
"2020-08-07",90.089996,91.43,89.75,91.32,551800,90.067955
"2020-08-10",91.279999,91.559998,90.470001,91.120003,677400,89.870682
"2020-08-11",92.199997,92.43,90.43,90.980003,931900,89.732613
"2020-08-12",92.379997,92.449997,90.129997,90.489998,953600,89.249321
"2020-08-13",89.879997,90.709999,89.239998,89.959999,612200,88.726593
"2020-08-14",89.190002,90.290001,89.190002,90,472300,88.766037
"2020-08-17",89.949997,90.199997,89.419998,89.970001,594100,88.736465
"2020-08-18",90.169998,90.480003,89.339996,89.860001,506100,88.62796
"2020-08-19",89.690002,90.139999,89.300003,89.779999,851900,88.549057
"2020-08-20",88.870003,89.309998,88.790001,89.029999,515500,87.809334
"2020-08-21",88.879997,89.300003,88.209999,88.82,756300,87.602226
"2020-08-24",89.120003,89.919998,88.739998,89.370003,469600,88.144684
"2020-08-25",90,90,88.309998,88.480003,634000,87.266884
"2020-08-26",87.940002,88.860001,87.32,88.440002,531100,87.22744
"2020-08-27",88.970001,89.809998,88.110001,89.080002,440300,87.858658
"2020-08-28",89.389999,89.510002,88.449997,89.459999,354100,88.233459
"2020-08-31",88.839996,90.650002,88.639999,90.269997,798700,89.032349
"2020-09-01",89.980003,91.830002,89.620003,91.440002,650800,90.18631
"2020-09-02",91.720001,93.110001,90.910004,93.110001,605800,91.833405
