"","KHC.Open","KHC.High","KHC.Low","KHC.Close","KHC.Volume","KHC.Adjusted"
"2020-07-01",31.93,32.029999,31.485001,31.67,4482300,29.073689
"2020-07-02",31.950001,32.209999,31.73,31.809999,4284800,29.202208
"2020-07-06",32.080002,32.34,31.85,32,4839400,29.376633
"2020-07-07",31.790001,32.275002,31.780001,32.049999,5106400,29.422535
"2020-07-08",32.040001,32.16,31.48,31.860001,3668400,29.248112
"2020-07-09",31.639999,31.754999,31.16,31.370001,3731700,28.798281
"2020-07-10",31.35,32.310001,31.35,32.279999,5302700,29.633678
"2020-07-13",32.509998,32.950001,32.18,32.509998,6236300,29.844824
"2020-07-14",32.299999,33.435001,32.279999,33.310001,7868100,30.579241
"2020-07-15",33.5,33.5,33.049999,33.150002,5105700,30.432356
"2020-07-16",33.57,34.689999,33.439999,34.400002,9726600,31.579887
"2020-07-17",34.610001,35.189999,34.369999,35.009998,8461100,32.139874
"2020-07-20",34.919998,34.919998,33.91,34.119999,6514800,31.322834
"2020-07-21",34.360001,34.889999,34.27,34.529999,5001900,31.699221
"2020-07-22",34.650002,34.959999,34.279999,34.900002,4020100,32.038895
"2020-07-23",34.650002,35.130001,34.27,34.860001,6103800,32.002171
"2020-07-24",34.900002,35.25,34.511002,34.68,4331400,31.836924
"2020-07-27",34.669998,34.888,34.490002,34.84,4244500,31.98381
"2020-07-28",34.759998,35.389999,34.759998,35.25,6037400,32.360195
"2020-07-29",35.549999,35.869999,35.400002,35.57,6796300,32.653965
"2020-07-30",35.063,35.5,33.360001,34.389999,12148600,31.5707
"2020-07-31",34.119999,34.830002,33.830002,34.380001,11208900,31.561522
"2020-08-03",34.473999,35.049999,34.25,34.790001,6207300,31.937908
"2020-08-04",34.790001,35.139999,34.380001,35.080002,6284300,32.204136
"2020-08-05",35.150002,35.23,34.650002,34.779999,3966300,31.928726
"2020-08-06",34.84,35.330002,34.669998,35.279999,5721600,32.387737
"2020-08-07",35.139999,35.450001,34.98,35.41,4163500,32.507084
"2020-08-10",35.330002,35.349998,34.52,34.790001,5966500,31.937908
"2020-08-11",35,35.25,34.490002,34.630001,4790500,31.791027
"2020-08-12",34.889999,35.5,34.764999,35.330002,4825800,32.43364
