"","KLAC.Open","KLAC.High","KLAC.Low","KLAC.Close","KLAC.Volume","KLAC.Adjusted"
"2020-07-01",194.479996,195.270004,191.919998,193.149994,1262000,188.248108
"2020-07-02",194.559998,198.210007,194.270004,196.509995,1247000,191.522842
"2020-07-06",199.389999,206.509995,198.220001,203.589996,1367400,198.423172
"2020-07-07",203.479996,205.330002,201.800003,202.690002,1311300,197.546021
"2020-07-08",203.330002,205.729996,201.179993,204.509995,748700,199.319839
"2020-07-09",203,206.490005,200.639999,203.589996,1083700,198.423172
"2020-07-10",203.600006,204.199997,198.229996,202.259995,994900,197.126938
"2020-07-13",204.960007,207.779999,199.080002,199.570007,1152500,194.505203
"2020-07-14",197.809998,201.649994,194.009995,200.929993,1612000,195.830688
"2020-07-15",201.860001,204.169998,194.309998,196.039993,1454200,191.064774
"2020-07-16",193.979996,197.479996,193,196.039993,989600,191.064774
"2020-07-17",198.020004,198.380005,195.020004,197.199997,824200,192.195343
"2020-07-20",197.320007,203.970001,196.570007,203.009995,756600,197.857895
"2020-07-21",203.869995,204.679993,200.789993,203.509995,921000,198.345215
"2020-07-22",204.990005,206.869995,203.210007,205.940002,947000,200.713531
"2020-07-23",205.779999,209.300003,202.289993,203.919998,1156100,198.744781
"2020-07-24",196.389999,197.259995,187.139999,188.210007,2477400,183.433517
"2020-07-27",192.270004,197.880005,190.190002,197.070007,1857900,192.068665
"2020-07-28",195.300003,196.929993,192.190002,192.470001,1152000,187.585403
"2020-07-29",191.5,195.720001,190.339996,195.130005,1479800,190.177887
"2020-07-30",194.809998,199,193.75,197.899994,1166700,192.877563
"2020-07-31",200,200,195.039993,199.830002,1149000,194.758621
"2020-08-03",202.589996,208.039993,202.5,207.649994,1804600,202.380142
"2020-08-04",200.240005,205.169998,200.149994,204.899994,1727800,199.699936
"2020-08-05",206.020004,206.199997,202.369995,203.990005,834900,198.813049
"2020-08-06",203.25,204.199997,200.990005,203.589996,1036700,198.423172
"2020-08-07",201.860001,206.529999,200.289993,202.850006,991000,197.701981
"2020-08-10",201.399994,203.360001,198.25,203.089996,1018900,197.935867
"2020-08-11",203.559998,204.820007,200.050003,200.539993,745100,195.450577
"2020-08-12",201.559998,208.759995,201.110001,208,823600,202.721237
"2020-08-13",207.789993,210.259995,206.419998,209.960007,1152700,204.631546
"2020-08-14",210.080002,215.199997,209.5,211.509995,1209400,207.029617
"2020-08-17",213.190002,218.570007,212.809998,216.630005,1320400,212.041153
"2020-08-18",217.710007,217.899994,211.369995,211.759995,842700,207.274307
"2020-08-19",212.710007,212.720001,209.490005,210.539993,734300,206.080154
"2020-08-20",206.600006,208.830002,205.080002,206.850006,915200,202.468353
"2020-08-21",206.75,206.869995,202.110001,203.970001,1425900,199.649323
"2020-08-24",207.5,208.669998,205.300003,208.360001,922200,203.94635
"2020-08-25",208.029999,211.179993,207.190002,210.279999,869600,205.825668
"2020-08-26",209.770004,212.660004,209.600006,212.229996,615200,207.73436
"2020-08-27",213.779999,214.139999,203.5,204.449997,1158900,200.119171
"2020-08-28",204.789993,208.919998,203.949997,208.610001,828900,204.19104
"2020-08-31",207.779999,208.110001,203.979996,205.139999,930100,200.794571
"2020-09-01",205.889999,208.490005,204.509995,207.949997,738100,203.545013
"2020-09-02",210.679993,216.169998,209,215.539993,1171500,210.974258
"2020-09-03",213.610001,214.039993,200.25,201.410004,1807400,197.14357
"2020-09-04",199.839996,200.429993,186.779999,193.369995,2380600,189.273895
"2020-09-08",181.190002,182.669998,173.830002,174.470001,2919000,170.774231
"2020-09-09",178.919998,179.940002,172.850006,174.460007,2314400,170.764435
"2020-09-10",176.029999,177.350006,172.619995,173.130005,2413000,169.462631
"2020-09-11",174.869995,176.520004,171.309998,171.940002,1318800,168.297821
"2020-09-14",176.559998,178.509995,174.990005,178.080002,1254300,174.30777
"2020-09-15",179.979996,180.940002,177.330002,180.759995,1441300,176.930969
"2020-09-16",182.399994,185.190002,180.610001,180.809998,1624500,176.979935
"2020-09-17",175.369995,180.720001,174.699997,180.490005,1090100,176.666702
"2020-09-18",181.229996,184.550003,176.639999,178.960007,1792800,175.169128
"2020-09-21",178.360001,181.220001,175.610001,181.100006,1099300,177.263809
"2020-09-22",182.809998,183.619995,177.539993,183.300003,837400,179.417175
"2020-09-23",184.380005,186.330002,179.960007,180.789993,1136500,176.960342
"2020-09-24",178.080002,187.559998,178.080002,184.539993,1134100,180.63092
"2020-09-25",183.710007,188.619995,181.580002,187.910004,906900,183.92955
"2020-09-28",188.139999,193.679993,186.800003,193.25,1348500,189.156433
"2020-09-29",194.860001,195.809998,192.600006,193.330002,762600,189.234726
"2020-09-30",192.669998,196.460007,191.050003,193.740005,1019300,189.636047
"2020-10-01",197.619995,200.210007,195.660004,198.979996,915200,194.76503
"2020-10-02",192.089996,196.320007,190.800003,191.960007,1092100,187.893738
"2020-10-05",193.279999,200,192.720001,199.949997,1242100,195.714478
"2020-10-06",199.889999,205.839996,198.679993,199.830002,1278700,195.597031
"2020-10-07",203,205.690002,201.110001,202.899994,1164800,198.60199
"2020-10-08",205.490005,206.949997,204.470001,206.690002,686000,202.311722
"2020-10-09",209.979996,212.110001,208.789993,211.039993,1199900,206.56958
"2020-10-12",213.960007,215.899994,212.600006,214.550003,1289000,210.005234
"2020-10-13",215.899994,221.660004,214.089996,219.940002,944300,215.281036
"2020-10-14",220.089996,223.539993,215.110001,216,1399000,211.424484
"2020-10-15",209.389999,213.860001,208.110001,213.089996,1168500,208.576141
"2020-10-16",214.429993,214.839996,207.600006,208.399994,1225900,203.985504
"2020-10-19",212.339996,212.339996,206,206.809998,994600,202.429199
"2020-10-20",208.839996,209.300003,205.059998,205.720001,607200,201.362259
"2020-10-21",205.759995,208.860001,205.630005,206.300003,607000,201.929993
"2020-10-22",205.300003,205.949997,201.520004,203.309998,884900,199.003311
"2020-10-23",205.149994,206.490005,202.199997,203.169998,842900,198.866257
"2020-10-26",200.649994,202.419998,197.039993,198.940002,942600,194.725876
"2020-10-27",200.009995,200.490005,197.130005,198.589996,739200,194.383286
"2020-10-28",194.520004,196.240005,190.479996,190.550003,1554800,186.513611
"2020-10-29",190.399994,204.080002,190.210007,201.949997,1351500,197.672134
"2020-10-30",198.5,201,195.339996,197.179993,1047300,193.003143
"2020-11-02",199.800003,203.220001,198.820007,202.229996,817900,197.946213
"2020-11-03",205.059998,212.399994,204.509995,210.880005,1188100,206.412949
"2020-11-04",214.309998,221.779999,210.589996,220.529999,1356800,215.858551
"2020-11-05",222.860001,228.929993,222.860001,228.100006,1276400,223.268188
"2020-11-06",228.880005,233.279999,225.720001,231.679993,696000,226.772339
"2020-11-09",237.710007,242.600006,231.929993,232.320007,1135000,227.398819
"2020-11-10",230,232.270004,223.130005,223.729996,1071600,218.990768
"2020-11-11",227.210007,234.130005,225.699997,233.509995,994800,228.563583
"2020-11-12",235.130005,236.130005,231.309998,233.259995,895300,228.318878
"2020-11-13",237.149994,240.919998,235.509995,236.100006,892700,231.993851
"2020-11-16",237.639999,242.570007,236.369995,241.779999,882800,237.575043
"2020-11-17",242.449997,243.820007,239.699997,241.839996,1401200,237.633987
"2020-11-18",243.610001,244.740005,239.949997,240.339996,832200,236.160095
"2020-11-19",236.119995,244.369995,236.009995,243.75,716400,239.510803
"2020-11-20",244.309998,247.389999,242.479996,242.570007,583000,238.351318
"2020-11-23",243.279999,250.440002,242.660004,250.240005,720400,245.887939
"2020-11-24",250.75,251.699997,247.800003,250.169998,750200,245.819138
"2020-11-25",250,251.100006,247.119995,248.949997,547200,244.620346
"2020-11-27",251.110001,256.220001,251.110001,254.130005,335500,249.710266
"2020-11-30",256.98999,256.98999,248.419998,251.970001,1017600,247.58783
"2020-12-01",254.460007,258.720001,252.589996,256.660004,903500,252.196274
"2020-12-02",254.779999,258.519989,254.270004,256.320007,849000,251.862198
"2020-12-03",258.649994,261.850006,257.049988,257.390015,518600,252.913589
"2020-12-04",258.149994,264.170013,258.079987,263.700012,749000,259.113861
"2020-12-07",265.230011,267.929993,262.799988,266.700012,693400,262.061646
"2020-12-08",267.079987,268.73999,264.690002,266.940002,712700,262.297485
"2020-12-09",266.609985,268.890015,253.839996,256.48999,1197100,252.029221
"2020-12-10",255.149994,259.119995,253.589996,255.979996,1009700,251.528107
"2020-12-11",253.600006,257.880005,252.259995,257.630005,1124300,253.149429
"2020-12-14",257.470001,263.869995,257.470001,260.130005,1039500,255.605927
"2020-12-15",263.98999,264.790009,259.589996,261.01001,774100,256.470642
"2020-12-16",261.369995,261.51001,257.76001,260.549988,699100,256.018616
"2020-12-17",262.880005,263.350006,257.709991,259.679993,1355100,255.163742
"2020-12-18",258.75,262.880005,257.279999,262.149994,2220200,257.590759
"2020-12-21",258.720001,262.049988,258,260.769989,1023200,256.234772
"2020-12-22",259.940002,261,256.26001,257.589996,753400,253.110092
"2020-12-23",258.450012,258.570007,252.520004,252.789993,676400,248.393555
"2020-12-24",254.860001,259.079987,253.970001,259.079987,367200,254.574158
"2020-12-28",260.790009,261.5,257.209991,257.579987,497400,253.100235
"2020-12-29",258.040009,258.76001,252.020004,254.360001,579200,249.936264
"2020-12-30",256.640015,262.369995,255.210007,260.149994,641500,255.62558
"2020-12-31",258.070007,259.98999,255.559998,258.910004,728000,254.40712
