"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume","KMB.Adjusted"
"2020-07-01",141.160004,142.740005,141.009995,141.889999,954600,132.762543
"2020-07-02",143.130005,144.039993,142.399994,143.199997,1049900,133.988266
"2020-07-06",143.789993,144.429993,141.779999,142.729996,1076400,133.548492
"2020-07-07",142.309998,143.889999,141.729996,142.520004,1313200,133.352005
"2020-07-08",142.389999,143.5,142.110001,143.350006,1210100,134.128601
"2020-07-09",143.009995,143.860001,141.960007,142.220001,1209600,133.071289
"2020-07-10",142.679993,143.779999,141.800003,143.240005,1073400,134.025681
"2020-07-13",143.100006,144.679993,141.699997,142.139999,1473600,132.996445
"2020-07-14",142.229996,144.309998,142.169998,143.960007,1408700,134.699371
"2020-07-15",144.220001,145,142.729996,143.279999,1281800,134.06311
"2020-07-16",143.710007,144.619995,142.410004,143.679993,1048900,134.437378
"2020-07-17",144.389999,144.910004,143.699997,144.369995,1212200,135.082993
"2020-07-20",144.470001,144.639999,142.289993,142.690002,1884600,133.511063
"2020-07-21",143.949997,144.779999,142.600006,143.800003,1128800,134.549667
"2020-07-22",143.779999,144.800003,142.410004,144.300003,1259600,135.017517
"2020-07-23",145.440002,149.360001,145,147.330002,3576600,137.85257
"2020-07-24",147.770004,148.899994,146.660004,147.339996,1759300,137.861923
"2020-07-27",147.130005,148.220001,146.100006,147.380005,1652500,137.899384
"2020-07-28",147.699997,150.789993,147.5,150.779999,2568200,141.080627
"2020-07-29",150.770004,152.729996,150,152.039993,1860900,142.259598
"2020-07-30",152.009995,152.009995,150.210007,151.960007,1193500,142.184738
"2020-07-31",151.089996,152.520004,150.419998,152.039993,1908200,142.259598
"2020-08-03",151.589996,152.479996,151.070007,151.600006,1067400,141.847916
"2020-08-04",152,156.309998,151.440002,156.300003,1895900,146.245575
"2020-08-05",155.729996,156.570007,155.139999,155.839996,1343400,145.815155
"2020-08-06",155.669998,156.880005,155.220001,156.470001,1093900,146.404602
"2020-08-07",156.5,158.309998,156.449997,157.259995,1648400,147.143814
"2020-08-10",157.610001,158.929993,157.169998,158.089996,1841100,147.920425
"2020-08-11",157.880005,158.380005,155.169998,155.789993,1643400,145.768372
"2020-08-12",156.589996,160.160004,156.149994,158.839996,1096900,148.622162
"2020-08-13",158.720001,159.139999,157.820007,158.460007,837100,148.266617
"2020-08-14",158.429993,158.710007,157.740005,158.229996,1174000,148.051392
"2020-08-17",157.949997,158.880005,157.559998,157.809998,1201700,147.658417
"2020-08-18",157.710007,158.5,156.169998,157.619995,2209100,147.480652
"2020-08-19",157.949997,158.429993,157.029999,157.350006,1065400,147.228043
"2020-08-20",157,157.910004,156.350006,157.570007,746700,147.433884
"2020-08-21",157.380005,157.619995,156.139999,157.300003,1354600,147.181244
"2020-08-24",157.330002,158.100006,156.820007,157.419998,1003800,147.293533
"2020-08-25",157.679993,157.679993,155.789993,156.050003,1169600,146.011658
"2020-08-26",155.839996,156.759995,155.479996,156,1238500,145.964859
"2020-08-27",156.570007,157.589996,156.139999,156.199997,899300,146.151978
"2020-08-28",156.119995,156.580002,154.649994,156.5,897600,146.432693
"2020-08-31",156.419998,157.910004,156.410004,157.759995,1147900,147.611618
"2020-09-01",157.389999,157.699997,153.929993,154.259995,1418800,144.336761
"2020-09-02",154.050003,157.350006,154.050003,156.509995,1365500,146.442062
"2020-09-03",155.729996,156.429993,151,152.25,1543100,143.436707
"2020-09-04",152.339996,154.279999,150.089996,152.229996,1592800,143.417877
"2020-09-08",152.300003,153,148.330002,148.970001,2038600,140.346603
"2020-09-09",150.820007,153.070007,150.539993,151.449997,1730900,142.683029
"2020-09-10",151.100006,151.610001,148.029999,148.149994,1723600,139.574051
"2020-09-11",148.600006,149.039993,147.25,148.5,2101200,139.903793
"2020-09-14",149.259995,149.660004,148.149994,148.5,1583500,139.903793
"2020-09-15",148.5,149.550003,146.389999,146.479996,1811500,138.000717
"2020-09-16",146.759995,148.919998,146.580002,147.75,1476600,139.19722
"2020-09-17",146.770004,147.820007,145.389999,146.619995,1450400,138.132614
"2020-09-18",146.039993,147.339996,144.679993,145.970001,1949400,137.520264
"2020-09-21",145.850006,146.809998,144.360001,145.869995,1238800,137.426025
