"","KMI.Open","KMI.High","KMI.Low","KMI.Close","KMI.Volume","KMI.Adjusted"
"2020-07-01",15.2,15.41,14.89,14.91,9407500,12.818746
"2020-07-02",15.15,15.32,15.07,15.12,9427800,12.999291
"2020-07-06",15.44,15.58,14.97,15.19,13630300,13.059473
"2020-07-07",14.78,15.06,14.57,14.67,14989100,12.612408
"2020-07-08",14.7,14.86,14.47,14.52,11047800,12.483448
"2020-07-09",14.53,14.53,13.9,13.91,19032900,11.959004
"2020-07-10",13.94,14.25,13.85,14.24,14214100,12.242719
"2020-07-13",14.27,14.42,14.09,14.19,9942600,12.199731
"2020-07-14",14.17,14.59,14.07,14.55,14080300,12.509239
"2020-07-15",14.84,15.04,14.7,14.96,8562900,12.861734
"2020-07-16",14.9,15.08,14.73,14.99,9480800,12.887526
"2020-07-17",15.08,15.27,14.79,14.92,9688600,12.827344
"2020-07-20",14.85,14.87,14.5,14.5,9660000,12.466252
"2020-07-21",14.65,15.22,14.6,15.09,11467700,12.973499
"2020-07-22",14.87,14.95,14.7,14.89,14072400,12.801551
"2020-07-23",14.32,14.58,14.06,14.49,24054400,12.457653
"2020-07-24",14.55,14.55,14.2,14.25,12321000,12.251317
"2020-07-27",14.31,14.33,14.08,14.2,12081300,12.208329
"2020-07-28",14.18,14.26,14.1,14.12,8493600,12.139551
"2020-07-29",14.05,14.55,14.02,14.53,9019900,12.492044
"2020-07-30",14.33,14.39,14.16,14.32,10995700,12.311499
"2020-07-31",14.04,14.12,13.8,14.1,15700800,12.34916
"2020-08-03",14.04,14.21,13.93,14.03,11792800,12.28785
"2020-08-04",14.08,14.52,14,14.5,16369700,12.699491
"2020-08-05",14.73,14.75,14.36,14.44,12284900,12.646939
"2020-08-06",14.39,14.57,14.26,14.3,8942000,12.524324
"2020-08-07",14.2,14.34,14.06,14.32,10458900,12.541842
"2020-08-10",14.32,14.59,14.32,14.54,11242100,12.734523
"2020-08-11",14.75,14.82,14.38,14.42,17560600,12.629424
"2020-08-12",14.65,14.74,14.41,14.49,11171400,12.690732
"2020-08-13",14.48,14.54,14.19,14.27,12923000,12.49805
"2020-08-14",14.14,14.45,14.14,14.29,7216800,12.515568
"2020-08-17",14.43,14.47,14.27,14.44,8857200,12.646939
"2020-08-18",14.43,14.61,14.32,14.38,12091100,12.594392
"2020-08-19",14.4,14.47,14.07,14.12,10511600,12.366675
"2020-08-20",14.01,14.18,14,14.06,9523000,12.314124
"2020-08-21",14.07,14.13,13.88,14.11,11168500,12.357918
"2020-08-24",14.15,14.38,14.06,14.24,10888000,12.471775
"2020-08-25",14.33,14.33,13.91,13.96,12968400,12.226543
"2020-08-26",14.02,14.02,13.72,13.73,12019200,12.025103
"2020-08-27",13.73,13.93,13.7,13.86,11193400,12.13896
"2020-08-28",13.96,14.21,13.85,14.18,11873700,12.419226
"2020-08-31",14.17,14.21,13.81,13.82,11957900,12.103928
"2020-09-01",13.78,13.96,13.63,13.87,10603100,12.147719
"2020-09-02",13.8,13.97,13.77,13.84,9951800,12.121445
"2020-09-03",13.86,13.98,13.52,13.64,12168900,11.94628
"2020-09-04",13.75,13.82,13.26,13.52,13156200,11.84118
"2020-09-08",13.38,13.5,13.19,13.25,16932600,11.604707
"2020-09-09",13.32,13.52,13.22,13.22,15813800,11.578431
"2020-09-10",13.29,13.29,12.87,12.91,13911900,11.306926
"2020-09-11",12.95,13.06,12.8,12.82,17235000,11.2281
"2020-09-14",12.9,13.15,12.85,13.06,10478500,11.4383
"2020-09-15",13.05,13.16,12.88,12.91,13958300,11.306926
"2020-09-16",13.06,13.49,12.96,13.35,16047700,11.692288
"2020-09-17",13.18,13.43,13.08,13.29,13541700,11.639738
"2020-09-18",13.21,13.26,13.02,13.08,16727500,11.455814
"2020-09-21",12.91,12.96,12.65,12.86,11849100,11.263134
"2020-09-22",12.91,13.11,12.73,12.8,10369000,11.210585
"2020-09-23",12.87,12.92,12.22,12.23,15044200,10.711364
"2020-09-24",12.25,12.44,11.97,12.28,14378500,10.755154
"2020-09-25",12.1,12.44,12.05,12.37,12728600,10.833979
"2020-09-28",12.58,12.76,12.45,12.61,11306900,11.044175
"2020-09-29",12.6,12.72,12.33,12.45,8408000,10.904045
"2020-09-30",12.56,12.61,12.27,12.33,18563700,10.798945
"2020-10-01",12.2,12.32,12.05,12.24,14358200,10.720122
"2020-10-02",12.05,12.44,12.03,12.31,12093000,10.78143
"2020-10-05",12.43,12.68,12.31,12.6,11307800,11.03542
"2020-10-06",12.73,12.76,12.25,12.27,15546800,10.746397
"2020-10-07",12.28,12.67,12.19,12.59,21463600,11.02666
"2020-10-08",12.7,13.15,12.6,13.13,15306500,11.499608
"2020-10-09",13.2,13.25,12.75,12.82,15740700,11.2281
"2020-10-12",12.85,12.88,12.66,12.78,12017200,11.193069
"2020-10-13",12.72,12.85,12.52,12.61,12153700,11.044175
"2020-10-14",12.71,13.12,12.65,12.96,14121300,11.350717
"2020-10-15",12.81,13.01,12.68,12.99,13602600,11.376992
"2020-10-16",12.99,13.07,12.84,12.86,13081600,11.263134
"2020-10-19",12.9,13,12.69,12.71,13447800,11.131761
"2020-10-20",12.8,12.86,12.58,12.68,16344000,11.105484
"2020-10-21",12.6,12.67,12.48,12.53,14619900,10.974112
"2020-10-22",12.5,12.99,12.48,12.96,20769200,11.350717
"2020-10-23",12.99,13,12.6,12.78,16228600,11.193069
"2020-10-26",12.67,12.69,12.19,12.38,16125800,10.842738
"2020-10-27",12.35,12.37,12.16,12.17,14473300,10.658814
"2020-10-28",11.98,12.12,11.81,11.83,19961500,10.361032
"2020-10-29",11.78,12.09,11.5,12.06,19845600,10.562474
"2020-10-30",11.75,11.9,11.61,11.9,17063200,10.654693
"2020-11-02",12.03,12.07,11.78,11.89,13369000,10.645741
"2020-11-03",12.04,12.14,11.93,11.99,12182900,10.735276
"2020-11-04",12.11,12.27,11.78,11.83,14333400,10.592017
"2020-11-05",11.83,12.19,11.83,11.9,13630100,10.654693
"2020-11-06",11.91,12.08,11.45,11.48,14255400,10.278645
"2020-11-09",12.34,12.71,12.09,12.3,31595700,11.012835
"2020-11-10",12.47,12.89,12.27,12.89,21224100,11.541092
"2020-11-11",13.07,13.08,12.86,13.03,22495800,11.666442
"2020-11-12",12.9,13.08,12.58,12.71,20115100,11.37993
"2020-11-13",12.86,13.22,12.78,13.13,13552100,11.755977
"2020-11-16",13.74,13.82,13.39,13.67,22637800,12.239468
"2020-11-17",13.45,14.05,13.42,14.03,19219700,12.561793
"2020-11-18",14.02,14.23,13.76,13.76,20243100,12.320048
"2020-11-19",13.7,14.4,13.61,14.4,27429000,12.893073
"2020-11-20",14.4,14.42,14.17,14.25,20405300,12.758772
"2020-11-23",14.4,14.67,14.3,14.62,20103200,13.090052
"2020-11-24",14.99,15.12,14.87,14.97,17315200,13.403427
"2020-11-25",14.9,15.05,14.65,14.85,13157100,13.295984
"2020-11-27",14.72,14.86,14.65,14.75,6336200,13.206448
"2020-11-30",14.53,14.68,14.3,14.38,36296700,12.875168
"2020-12-01",14.67,14.68,14.03,14.1,20046100,12.62447
"2020-12-02",14.06,14.55,14,14.34,22358300,12.839354
"2020-12-03",14.44,14.66,14.3,14.49,17671200,12.973656
"2020-12-04",14.68,15.1,14.67,14.93,17456100,13.367612
