"","KMX.Open","KMX.High","KMX.Low","KMX.Close","KMX.Volume","KMX.Adjusted"
"2020-07-01",89.279999,90.940002,88.339996,89.019997,935000,89.019997
"2020-07-02",91.150002,92.379997,88.529999,89.220001,1255200,89.220001
"2020-07-06",90.580002,91.690002,89.57,90.379997,1248700,90.379997
"2020-07-07",89.870003,90.529999,87.940002,88.589996,1275100,88.589996
"2020-07-08",88.739998,89.639999,87.669998,88.699997,1065500,88.699997
"2020-07-09",88.690002,89.5,85.709999,86.230003,1440300,86.230003
"2020-07-10",86.449997,88.209999,85.879997,88.190002,968600,88.190002
"2020-07-13",89.07,90.330002,87.190002,87.279999,1328100,87.279999
"2020-07-14",86.949997,91.510002,86.760002,91.349998,1131100,91.349998
"2020-07-15",92.580002,95.059998,92.18,95.040001,1437800,95.040001
"2020-07-16",94.839996,95.720001,93.910004,95.220001,1023900,95.220001
"2020-07-17",95.559998,95.959999,94.559998,95.019997,927500,95.019997
"2020-07-20",94.209999,94.540001,92.550003,93.349998,982900,93.349998
"2020-07-21",93.809998,96.32,93.709999,95.269997,847200,95.269997
"2020-07-22",95.300003,98.199997,95.300003,97.849998,1387200,97.849998
"2020-07-23",98.529999,99.959999,96.919998,97.779999,1323300,97.779999
"2020-07-24",97.059998,98.260002,96.510002,97.459999,933000,97.459999
"2020-07-27",97.879997,98.349998,96.559998,97.769997,961100,97.769997
"2020-07-28",97.449997,99.440002,97.050003,97.169998,926000,97.169998
"2020-07-29",97.510002,99.169998,97.480003,98.68,1358300,98.68
"2020-07-30",98,98.839996,97.389999,98.330002,1267200,98.330002
"2020-07-31",98.559998,98.690002,96.050003,96.970001,1104700,96.970001
"2020-08-03",97.360001,98.279999,96.470001,97.400002,892600,97.400002
"2020-08-04",97.260002,100.699997,97.260002,99.360001,1444200,99.360001
"2020-08-05",100.300003,101.110001,99.449997,100.360001,954200,100.360001
"2020-08-06",99.68,101.150002,99.18,100.650002,1085500,100.650002
"2020-08-07",99.760002,100.639999,99.110001,100.279999,859700,100.279999
"2020-08-10",100.510002,102.769997,100.510002,102.199997,1375100,102.199997
"2020-08-11",103,104.830002,102.5,103.989998,1383800,103.989998
"2020-08-12",104.699997,106.739998,104.360001,106.239998,1484400,106.239998
"2020-08-13",105.459999,105.860001,104.080002,104.360001,831100,104.360001
"2020-08-14",104.599998,104.93,103.589996,104.349998,575800,104.349998
"2020-08-17",104.269997,106.400002,104.269997,105.620003,1178600,105.620003
"2020-08-18",106.870003,107.43,105.660004,106.629997,1236500,106.629997
"2020-08-19",107.07,107.5,105.709999,106.779999,788300,106.779999
"2020-08-20",105.699997,107.660004,105.410004,106.120003,640800,106.120003
"2020-08-21",106.129997,107.410004,105.639999,106.919998,677400,106.919998
"2020-08-24",107.800003,108.980003,106.940002,108.800003,651800,108.800003
"2020-08-25",108.82,109.309998,106.989998,107.040001,657200,107.040001
"2020-08-26",106.879997,107.660004,106.360001,107.230003,605800,107.230003
"2020-08-27",107.779999,108.410004,106.260002,106.540001,736200,106.540001
"2020-08-28",107.089996,107.889999,106.449997,107.25,624400,107.25
"2020-08-31",107.290001,107.769997,106.18,106.93,1021800,106.93
"2020-09-01",106.610001,109.150002,105.900002,108.580002,1087700,108.580002
"2020-09-02",108.489998,109.059998,106.639999,108.599998,1098300,108.599998
"2020-09-03",108.580002,108.589996,104.279999,106.32,925200,106.32
"2020-09-04",106.660004,108.120003,104.290001,105.580002,625500,105.580002
"2020-09-08",104.239998,107.110001,103.440002,104.620003,1336900,104.620003
"2020-09-09",105.010002,105.839996,103.919998,105.150002,1914700,105.150002
"2020-09-10",105,106.470001,102.370003,102.459999,1029100,102.459999
"2020-09-11",102.889999,103.050003,101.089996,101.629997,1279800,101.629997
"2020-09-14",101.860001,105.089996,101.720001,104.800003,1108300,104.800003
"2020-09-15",105.989998,106.440002,104.760002,105.010002,914600,105.010002
"2020-09-16",105.690002,106,104.32,104.510002,948500,104.510002
"2020-09-17",103.230003,104.230003,102.150002,102.989998,839300,102.989998
"2020-09-18",102.459999,104.75,102.449997,103.07,1224500,103.07
"2020-09-21",102.110001,102.110001,99.379997,101.120003,1251600,101.120003
"2020-09-22",104.400002,105.779999,103.510002,104.300003,1778900,104.300003
"2020-09-23",108.279999,108.849998,105.860001,105.93,3925400,105.93
"2020-09-24",100.099998,100.25,91.699997,94.279999,7406400,94.279999
"2020-09-25",95.25,95.510002,92.5,94.029999,3435000,94.029999
"2020-09-28",95.879997,96.279999,94.440002,95.050003,1685700,95.050003
"2020-09-29",94.709999,94.889999,92.650002,93.080002,2104200,93.080002
"2020-09-30",93.029999,93.489998,91.139999,91.910004,2718800,91.910004
"2020-10-01",92.839996,93.529999,91.129997,93.489998,1764600,93.489998
"2020-10-02",93.550003,95.860001,93.029999,95.550003,2556300,95.550003
"2020-10-05",96.949997,99.190002,96.459999,97.910004,2243600,97.910004
"2020-10-06",98.82,98.839996,93,93.150002,2021200,93.150002
"2020-10-07",93.860001,95.040001,93.440002,94.099998,1542100,94.099998
"2020-10-08",94.57,96.099998,93.529999,95.940002,764100,95.940002
"2020-10-09",96.800003,97.290001,94.650002,94.959999,2174900,94.959999
"2020-10-12",94.980003,95.199997,92.489998,92.510002,1878900,92.510002
"2020-10-13",92.519997,95.440002,92.120003,93.129997,2132500,93.129997
"2020-10-14",93.739998,93.919998,91.309998,91.580002,1963400,91.580002
"2020-10-15",90.5,93.730003,90.25,93.120003,1674300,93.120003
"2020-10-16",93.379997,94.330002,92.510002,93.739998,1251800,93.739998
"2020-10-19",94.760002,95.760002,91.93,92.040001,1063600,92.040001
"2020-10-20",92.239998,92.769997,91.080002,91.129997,1178300,91.129997
"2020-10-21",93.07,93.889999,89.68,89.809998,1083600,89.809998
"2020-10-22",89.529999,91.68,89,91.419998,1075500,91.419998
"2020-10-23",91.919998,92.040001,89.589996,90.949997,950200,90.949997
"2020-10-26",90.139999,90.349998,87.269997,88.790001,1317300,88.790001
"2020-10-27",89.139999,89.43,87.25,87.440002,1267300,87.440002
"2020-10-28",85.029999,88.459999,84.699997,87.879997,1414000,87.879997
"2020-10-29",87.529999,88.739998,86.470001,88.209999,1381500,88.209999
"2020-10-30",87.410004,88.440002,85.790001,86.440002,1322600,86.440002
"2020-11-02",87.199997,89.160004,87.110001,89.080002,1174100,89.080002
"2020-11-03",90.129997,93.959999,90.129997,93.120003,1154700,93.120003
"2020-11-04",91.849998,94.190002,91.540001,91.550003,1056600,91.550003
"2020-11-05",92.919998,94.269997,92.440002,93.32,718100,93.32
"2020-11-06",93.629997,93.760002,92.110001,92.75,682600,92.75
"2020-11-09",96.699997,101.160004,95.839996,95.970001,1499000,95.970001
"2020-11-10",96.209999,96.650002,92.940002,94.309998,1367600,94.309998
"2020-11-11",94.389999,94.93,92.699997,93.419998,1171400,93.419998
"2020-11-12",92.879997,93.959999,91.660004,93.099998,1083100,93.099998
"2020-11-13",93.870003,95.709999,93.779999,95.480003,924800,95.480003
