"","KR.Open","KR.High","KR.Low","KR.Close","KR.Volume","KR.Adjusted"
"2020-07-01",33.860001,34.139999,33.279999,33.57,9122100,32.271988
"2020-07-02",33.57,33.98,33.389999,33.5,8613000,32.204697
"2020-07-06",33.619999,33.82,33.509998,33.73,7075400,32.425804
"2020-07-07",33.650002,34.110001,33.459999,33.68,11560600,32.377735
"2020-07-08",33.630001,33.75,32.32,32.419998,9703300,31.166452
"2020-07-09",32.380001,33.080002,32.360001,32.759998,7193800,31.493307
"2020-07-10",32.759998,33.830002,32.740002,33.439999,10514100,32.147015
"2020-07-13",33.439999,33.599998,32.959999,33.279999,8143600,31.993198
"2020-07-14",33.330002,34.25,33.310001,34.240002,9866600,32.916088
"2020-07-15",33.689999,34.009998,33.32,33.77,8596900,32.464256
"2020-07-16",33.900002,34.310001,33.639999,33.73,7005400,32.425804
"2020-07-17",33.849998,34.18,33.779999,33.849998,6167900,32.541157
"2020-07-20",33.799999,34.16,33.619999,34.150002,8063200,32.829559
"2020-07-21",34.360001,35.580002,34.34,34.790001,11880200,33.444817
"2020-07-22",34.900002,35.16,34.580002,35.16,6465200,33.80051
"2020-07-23",35.240002,35.389999,34.970001,35.130001,5534600,33.771667
"2020-07-24",35,35.369999,34.560001,34.709999,5034400,33.367912
"2020-07-27",34.700001,34.939999,34.299999,34.759998,5249500,33.415974
"2020-07-28",34.880001,35.419998,34.82,35.23,5719100,33.867805
"2020-07-29",35.130001,35.169998,34.720001,35.110001,5557300,33.752441
"2020-07-30",34.860001,34.93,34.34,34.41,5757400,33.079514
"2020-07-31",34.48,34.799999,34.380001,34.790001,7294500,33.444817
"2020-08-03",34.900002,35.169998,34.470001,35.099998,5694800,33.742836
"2020-08-04",35.240002,35.470001,34.939999,35.389999,5352700,34.021618
"2020-08-05",35.16,35.349998,34.900002,35.09,7168300,33.733215
"2020-08-06",35.200001,35.450001,34.98,35.029999,4582400,33.675537
"2020-08-07",35,35.279999,34.970001,35.240002,4449900,33.877415
"2020-08-10",35.279999,35.360001,34.959999,35.029999,4850500,33.675537
"2020-08-11",34.939999,34.970001,34.150002,34.259998,7306400,32.935303
"2020-08-12",34.380001,34.790001,34.220001,34.610001,5189900,33.271778
"2020-08-13",34.52,34.740002,34.220001,34.59,6207000,33.426388
"2020-08-14",34.610001,36.029999,34.540001,35.389999,10493600,34.199482
"2020-08-17",35.700001,36.189999,35.32,36,6611100,34.788963
"2020-08-18",35.950001,36.689999,35.700001,36.240002,7774200,35.020889
"2020-08-19",36.330002,36.889999,36.119999,36.220001,5053000,35.00156
"2020-08-20",36.18,36.400002,35.779999,35.919998,4265100,34.711651
"2020-08-21",35.919998,36.240002,35.720001,35.91,4945700,34.701992
"2020-08-24",36.009998,36.09,35.669998,36.060001,4576700,34.846943
"2020-08-25",36.09,36.16,35.740002,36.080002,3941700,34.866272
"2020-08-26",35.98,36.43,35.650002,36.369999,4732600,35.146519
"2020-08-27",36.419998,36.709999,36.150002,36.16,6213500,34.943584
"2020-08-28",36.209999,36.209999,35,35.299999,7028200,34.112511
"2020-08-31",35.34,35.689999,35.099998,35.68,8123200,34.479729
"2020-09-01",35.5,35.68,34.919998,35.400002,8454100,34.209148
"2020-09-02",35.450001,36.619999,35.450001,36.599998,10797800,35.368778
"2020-09-03",36.310001,37.220001,35.790001,36.110001,9319000,34.89526
"2020-09-04",36.029999,36.200001,34.939999,35.470001,7584400,34.276794
"2020-09-08",35.639999,35.740002,34.599998,34.619999,9244500,33.455383
"2020-09-09",34.849998,35.490002,34.720001,35.18,10371700,33.996552
"2020-09-10",35.200001,35.380001,34.689999,34.740002,11600300,33.57135
"2020-09-11",35,35.119999,33.799999,34.369999,21628400,33.213799
"2020-09-14",33.68,33.84,32.759998,32.84,16737600,31.735264
"2020-09-15",32.810001,33.220001,32.439999,32.720001,12842500,31.619299
"2020-09-16",32.740002,32.98,31.9,32.02,21914100,30.942848
"2020-09-17",32.07,32.939999,32,32.509998,10615800,31.416363
"2020-09-18",32.470001,33.400002,32.41,33.209999,18410000,32.092815
"2020-09-21",32.919998,33.5,32.84,33.459999,8611300,32.334412
"2020-09-22",33.400002,33.959999,33.310001,33.740002,6711300,32.604988
"2020-09-23",33.84,34.080002,33.18,33.279999,6180100,32.160458
"2020-09-24",33.220001,33.669998,32.849998,33.43,5840900,32.30542
"2020-09-25",33.540001,33.779999,33.119999,33.529999,5060900,32.40205
"2020-09-28",33.5,33.73,33.330002,33.700001,5062400,32.566334
"2020-09-29",33.43,33.98,33.290001,33.77,6598200,32.633976
"2020-09-30",33.700001,34.529999,33.450001,33.91,12820400,32.769268
"2020-10-01",33.950001,34.23,33.52,34.02,8658300,32.875565
"2020-10-02",33.75,34.34,33.700001,34.07,5702700,32.923889
"2020-10-05",34.099998,34.57,34.099998,34.529999,5274700,33.368408
"2020-10-06",34.610001,34.970001,33.84,33.950001,7658300,32.807922
"2020-10-07",34.060001,34.43,34,34.029999,6114500,32.885235
"2020-10-08",34.220001,34.689999,34.150002,34.290001,4451700,33.136486
"2020-10-09",34.5,34.759998,34.369999,34.450001,6388500,33.291107
"2020-10-12",34.57,34.950001,34.490002,34.630001,5526700,33.46505
"2020-10-13",34.5,34.889999,34.48,34.799999,4785000,33.629326
