"","LHX.Open","LHX.High","LHX.Low","LHX.Close","LHX.Volume","LHX.Adjusted"
"2020-07-01",171.440002,172.899994,170.289993,170.490005,1677700,164.279358
"2020-07-02",172.009995,173.779999,169.149994,172,1766400,165.734344
"2020-07-06",174.679993,174.880005,171.809998,174,1245900,167.661484
"2020-07-07",172.339996,173.929993,167.589996,167.679993,1333100,161.571701
"2020-07-08",167.800003,167.800003,163.649994,164.649994,1698300,158.652084
"2020-07-09",164.100006,164.990005,159.550003,159.800003,2082900,153.97876
"2020-07-10",159.929993,163,159.929993,162.509995,1645700,156.590042
"2020-07-13",163.679993,165.300003,161.410004,162.429993,1443700,156.512955
"2020-07-14",162.100006,162.710007,158.770004,162.360001,1321600,156.445496
"2020-07-15",165.839996,168.830002,165.110001,166.830002,1249400,160.752655
"2020-07-16",165.210007,168.199997,164.009995,167.029999,1226000,160.945374
"2020-07-17",167.949997,171.419998,167.300003,169.960007,1548900,163.768661
"2020-07-20",169.429993,169.949997,165.839996,167.100006,1072000,161.012833
"2020-07-21",169.25,170.669998,168.380005,168.889999,1093000,162.73764
"2020-07-22",168.320007,174.089996,167.649994,173.339996,970500,167.025513
"2020-07-23",173.410004,174.919998,171.759995,172.669998,818100,166.379944
"2020-07-24",172.410004,175,169.210007,171.240005,1269000,165.002029
"2020-07-27",170.509995,171.600006,166.919998,167.550003,982500,161.446457
"2020-07-28",166.880005,173.029999,166.880005,171.399994,1072700,165.156204
"2020-07-29",172.029999,173.649994,170.899994,173,1383300,166.697922
"2020-07-30",171.759995,174.169998,171.050003,173.229996,1255600,166.91954
"2020-07-31",172.800003,174.649994,166.839996,168.330002,2305600,162.198013
"2020-08-03",170,170.619995,167.800003,167.880005,1982100,161.764435
"2020-08-04",168.779999,169.630005,166.429993,167.289993,1494100,161.195908
"2020-08-05",168.330002,173.050003,168.259995,172.139999,1907700,165.869217
"2020-08-06",171.110001,173.669998,171.110001,173.669998,1501500,167.343491
"2020-08-07",173.839996,176.990005,173.399994,175.639999,1492500,169.24173
"2020-08-10",175.529999,180,175.399994,179.179993,1461800,172.652771
"2020-08-11",182.320007,185.75,180.580002,180.639999,1920700,174.059616
"2020-08-12",183.339996,185.449997,181.309998,183.070007,2013500,176.401062
"2020-08-13",181.130005,184.580002,180.160004,180.970001,1518700,174.377579
"2020-08-14",178.460007,183.240005,178.160004,182.580002,1178400,175.92894
"2020-08-17",182.880005,185.160004,180.949997,181.550003,1401100,174.936462
"2020-08-18",181.550003,182.639999,179.720001,180.979996,993800,174.387222
"2020-08-19",180.100006,182.199997,179.990005,181.179993,1117300,174.579895
"2020-08-20",180.259995,181.660004,178.690002,178.960007,973300,172.440781
"2020-08-21",178.279999,180.300003,178,178.589996,1645900,172.08429
"2020-08-24",179.330002,182.960007,178.119995,182.529999,921100,175.880737
"2020-08-25",183.600006,185.179993,181,181.020004,1156100,174.425766
"2020-08-26",180.139999,180.300003,178.5,179.300003,1657200,172.768417
"2020-08-27",180.039993,182.720001,179.679993,181.169998,1294600,174.570282
"2020-08-28",181.720001,181.75,179.25,179.889999,1096700,173.336945
"2020-08-31",179.960007,181.639999,179.380005,180.740005,1502700,174.15596
"2020-09-01",179.25,180.25,177.149994,177.720001,1390000,171.245956
"2020-09-02",177.850006,183.729996,177.179993,182.940002,1478400,176.275818
"2020-09-03",184,186.869995,180.929993,182.110001,1425200,175.476044
"2020-09-04",184.479996,185.809998,181.429993,181.729996,1401000,175.109879
"2020-09-08",180.389999,182.899994,178.610001,179.610001,1478700,173.880417
"2020-09-09",180.529999,182.949997,178.380005,180.839996,1108600,175.071152
"2020-09-10",181.399994,182.679993,175.619995,176.399994,1469000,170.772797
"2020-09-11",176.949997,181.589996,176.869995,181.029999,1202700,175.255112
"2020-09-14",181.720001,182.550003,180.529999,181.630005,714500,175.835968
"2020-09-15",182.449997,182.5,178.119995,178.779999,830700,173.076874
"2020-09-16",179.009995,184.869995,178.139999,182.179993,1350300,176.368423
"2020-09-17",180.610001,185.979996,179.759995,185.440002,1140800,179.524429
"2020-09-18",184.330002,187.699997,184.309998,185.210007,1785300,179.301773
"2020-09-21",181.5,183.149994,176.800003,177.580002,1625500,171.915176
"2020-09-22",177.009995,181.690002,177.009995,180.75,1033200,174.984055
"2020-09-23",181.520004,183.869995,177.5,178.130005,1144400,172.447632
"2020-09-24",177.619995,177.850006,172.630005,175.740005,1196100,170.133881
"2020-09-25",174.839996,178.580002,174.830002,178.020004,649900,172.341156
"2020-09-28",179.809998,181.179993,178.350006,178.630005,656700,172.931686
"2020-09-29",178.330002,178.330002,175.429993,175.75,915900,170.143539
"2020-09-30",174.479996,175.619995,168.399994,169.839996,2829600,164.422058
"2020-10-01",172,174.889999,171.470001,172.690002,1669900,167.181152
"2020-10-02",170.699997,174.149994,169.979996,173.070007,938600,167.549057
"2020-10-05",174.410004,175.869995,172.460007,174.399994,767500,168.836594
"2020-10-06",175.990005,177.330002,173.649994,173.960007,946500,168.41066
"2020-10-07",174.880005,177.380005,174.800003,175.399994,900700,169.804688
"2020-10-08",175.399994,178.139999,175,178.139999,832400,172.457291
"2020-10-09",179.080002,179.490005,174.479996,175.449997,1039100,169.853104
"2020-10-12",175.520004,175.839996,174.270004,175.039993,1154300,169.456177
"2020-10-13",174.130005,175.490005,173.559998,174.410004,911300,168.846298
"2020-10-14",174.619995,177.380005,174.300003,176.350006,725000,170.724411
"2020-10-15",175.110001,176.020004,172.919998,173.470001,1031100,167.936264
"2020-10-16",174.460007,175.410004,174.160004,174.369995,960400,168.807556
"2020-10-19",174.830002,176.470001,170.899994,171.429993,852700,165.961349
"2020-10-20",173,173.320007,170.130005,171.210007,1010500,165.748398
"2020-10-21",170.690002,172.25,169.809998,169.809998,872700,164.393005
"2020-10-22",170.100006,172,169.509995,169.600006,979300,164.189728
"2020-10-23",171.190002,172.880005,169.809998,171.800003,1132000,166.319565
"2020-10-26",170.369995,170.509995,167.149994,169.830002,1349100,164.412369
"2020-10-27",169.190002,170.029999,166.190002,166.259995,1262600,160.956284
"2020-10-28",164.559998,166.190002,161.130005,161.320007,1217800,156.173874
"2020-10-29",160.649994,163.539993,160.179993,162.949997,1200100,157.751846
"2020-10-30",163,164.399994,158.089996,161.110001,1984700,155.970566
"2020-11-02",164.240005,171.949997,163.820007,170.399994,1867500,164.964218
"2020-11-03",172.199997,178.990005,171.449997,178.809998,1863100,173.105927
"2020-11-04",180.449997,188.199997,180.429993,183.300003,2829300,177.452698
"2020-11-05",184.470001,185.309998,180.259995,181.039993,2498300,175.264786
"2020-11-06",180.559998,181.009995,176.940002,178.940002,1263800,173.231781
"2020-11-09",187.990005,190.509995,182.179993,185.850006,2031000,179.921341
"2020-11-10",187.889999,192.539993,185.529999,189.529999,1806100,183.483948
"2020-11-11",189.279999,190.100006,186.360001,187.710007,2065300,181.722015
"2020-11-12",186.699997,190.550003,185.470001,189.300003,1210900,183.261292
"2020-11-13",190,195.270004,189.649994,194.300003,1277400,188.101791
"2020-11-16",197.199997,200.179993,195.720001,200,1498700,193.619965
"2020-11-17",197.889999,200.580002,195.660004,198.429993,1382400,192.100037
"2020-11-18",199.289993,199.779999,196.229996,196.350006,1150900,190.086411
"2020-11-19",194.5,196.690002,193.100006,195.759995,1232300,190.339203
"2020-11-20",195.429993,196.880005,191.490005,191.5,1204600,186.197159
"2020-11-23",193.699997,195.949997,193.490005,194.100006,1084100,188.725174
"2020-11-24",196.800003,197.360001,195.259995,195.830002,988200,190.407257
"2020-11-25",195.5,195.869995,193.679993,194.979996,863600,189.580811
"2020-11-27",194.720001,195.410004,192.080002,194.470001,408000,189.084915
"2020-11-30",193.509995,194.529999,189.850006,191.990005,1505400,186.673599
"2020-12-01",193.449997,195.449997,191.699997,191.839996,1099500,186.52774
"2020-12-02",191.529999,192.149994,189.229996,191.539993,988100,186.236053
"2020-12-03",191.979996,194.550003,191.529999,192.699997,1321400,187.363922
"2020-12-04",193.460007,197.240005,193.460007,195.039993,1150900,189.63913
"2020-12-07",194.639999,194.789993,190.770004,191.630005,1019800,186.323578
"2020-12-08",190.130005,192.229996,189.119995,189.25,1011900,184.00946
"2020-12-09",189.679993,189.990005,187.240005,188.300003,1210500,183.08577
"2020-12-10",188.020004,190.429993,186.160004,187.5,1225100,182.307922
"2020-12-11",186.75,189.970001,185.410004,189.179993,1055700,183.941406
"2020-12-14",190.669998,193.300003,189.100006,189.949997,1301300,184.690094
"2020-12-15",186.100006,189.470001,184.669998,188.320007,1456500,183.10524
"2020-12-16",187.740005,188.639999,185.429993,186.130005,1066400,180.975876
"2020-12-17",186.139999,186.679993,184.509995,185.710007,1127400,180.567505
"2020-12-18",185.350006,187.759995,185.330002,187.210007,3645000,182.02597
"2020-12-21",184.330002,186.5,183.320007,185.039993,1690800,179.916031
"2020-12-22",185.039993,185.429993,183.679993,184.110001,1389600,179.011795
"2020-12-23",185.130005,187.309998,184.410004,185.850006,827900,180.703629
"2020-12-24",186,186.610001,184.460007,185.160004,281800,180.03273
"2020-12-28",185.979996,188.179993,185.429993,187.320007,570400,182.132935
"2020-12-29",188.600006,189.240005,184.820007,186.289993,608200,181.131424
"2020-12-30",186.929993,188.369995,186.899994,187.649994,535000,182.453781
"2020-12-31",188.130005,189.350006,187.339996,189.020004,723100,183.785873
"2021-01-04",187.960007,187.960007,180.210007,180.440002,1477100,175.44342
"2021-01-05",181.190002,183.259995,179.570007,182.350006,1315900,177.300552
"2021-01-06",181.110001,183.550003,179.419998,182.770004,1606200,177.708908
"2021-01-07",179.839996,182.309998,179.149994,181.25,1520800,176.231003
"2021-01-08",181.619995,181.619995,177.419998,180.699997,1409000,175.696213
"2021-01-11",180.100006,184.199997,179.229996,183.490005,1572500,178.408981
"2021-01-12",183.059998,185.619995,182.190002,184.979996,1222500,179.857712
"2021-01-13",184.759995,187.149994,184.639999,186.729996,1249200,181.559265
"2021-01-14",188.5,192.289993,188.5,190.770004,1755500,185.487396
"2021-01-15",190.75,192.619995,188.350006,188.580002,1497400,183.358017
"2021-01-19",189.830002,191.869995,189.100006,190.100006,1059000,184.835938
"2021-01-20",190.789993,191.190002,188.130005,188.380005,1041400,183.163574
"2021-01-21",187.660004,188.089996,182.75,183.130005,1396300,178.058975
"2021-01-22",182.619995,185.25,182.199997,183.800003,1058200,178.710388
"2021-01-25",183.369995,186.130005,181.779999,185.229996,1043700,180.100784
"2021-01-26",186,186.490005,179.850006,179.919998,976800,174.937805
"2021-01-27",178.130005,180.839996,175.729996,179.139999,1328700,174.179428
"2021-01-28",180.869995,180.869995,176.559998,176.660004,1652200,171.768097
"2021-01-29",175,175.979996,168.699997,171.509995,3061800,166.760727
"2021-02-01",173.550003,175.130005,172.149994,173.559998,2014000,168.753967
"2021-02-02",175.589996,182.279999,175.039993,180.539993,1813600,175.540649
"2021-02-03",179.649994,181.050003,178.300003,179.509995,1652400,174.539185
"2021-02-04",179.779999,185.259995,179.360001,184.899994,1575200,179.779953
"2021-02-05",186.080002,187.100006,182.589996,182.830002,1747100,177.767242
"2021-02-08",183.679993,186.690002,182.059998,186.270004,1258500,181.111984
"2021-02-09",186.070007,188.229996,184.669998,186.169998,1571300,181.014755
"2021-02-10",186.490005,188.589996,186.169998,187.520004,1296400,182.327377
"2021-02-11",187.600006,188.410004,185.490005,187.5,1013400,182.307922
"2021-02-12",186.389999,187.759995,185.190002,185.919998,838600,180.771683
"2021-02-16",186.850006,187.190002,184.070007,184.490005,922900,179.381271
"2021-02-17",184.240005,189.639999,183.210007,188.460007,1446600,183.241364
"2021-02-18",186.600006,189.960007,186.600006,189.210007,1034000,183.970581
"2021-02-19",190,190.149994,187.740005,189.089996,1039700,183.853912
"2021-02-22",188.080002,189.75,186.300003,188.320007,1052200,183.10524
"2021-02-23",190,190.990005,185.699997,187.830002,1408300,182.628815
"2021-02-24",188.440002,192.490005,187.979996,191.380005,1036500,186.080505
"2021-02-25",191.380005,192.369995,186.630005,187,1445600,181.821762
"2021-02-26",187,187,181.600006,181.910004,1763900,176.872726
"2021-03-01",185.460007,186.649994,183.589996,184.619995,1204300,179.507675
"2021-03-02",184,187.479996,184,186,1052000,180.849472
"2021-03-03",185.630005,188.429993,185.449997,186.070007,1353000,180.917557
"2021-03-04",185.800003,187.800003,182.240005,183.729996,995600,178.642334
"2021-03-05",184.699997,187.720001,182.800003,187.089996,1150000,181.909271
"2021-03-08",188.529999,193.869995,187.25,191.039993,1357600,185.749908
"2021-03-09",191.110001,192.110001,187.580002,187.970001,986100,182.764923
"2021-03-10",188.720001,192.220001,186.699997,190.990005,1349000,185.701294
"2021-03-11",188.5,190.059998,186.199997,188.25,1385500,184.019943
"2021-03-12",189.240005,192.800003,189.240005,192.020004,917000,187.705231
"2021-03-15",192.139999,193.919998,190.600006,192,745900,187.685669
"2021-03-16",191.770004,192.429993,189.059998,190.520004,956300,186.238937
"2021-03-17",191.589996,194.820007,190.850006,192.039993,1106200,187.724762
"2021-03-18",191.770004,196.5,191.610001,196.470001,1234100,192.055237
"2021-03-19",196.869995,198.080002,191.779999,197.5,3154100,193.062088
"2021-03-22",195.399994,199.869995,194.690002,198.039993,1723000,193.589951
"2021-03-23",197.179993,198.949997,195.589996,196.149994,921900,191.742416
"2021-03-24",197,199.419998,195.710007,195.960007,955300,191.556686
"2021-03-25",196.690002,199.070007,193.100006,198.610001,1311000,194.147156
"2021-03-26",199.559998,200.970001,196.309998,198.940002,870700,194.469727
"2021-03-29",198.940002,204,198.610001,202.839996,1037000,198.282074
"2021-03-30",202.809998,204.279999,201.770004,203.080002,926700,198.516708
"2021-03-31",202.149994,203.160004,201.070007,202.679993,904100,198.125671
"2021-04-01",202.830002,205.029999,201.059998,203.619995,996400,199.044556
"2021-04-05",205.539993,208.470001,204.880005,207.850006,950900,203.17952
"2021-04-06",206.279999,210.139999,206.279999,209.320007,1092900,204.616501
"2021-04-07",208.940002,208.940002,206.779999,208.649994,797200,203.961533
"2021-04-08",206.589996,208.740005,206.220001,207.490005,1040000,202.827621
"2021-04-09",208.5,208.800003,206.839996,208.119995,967600,203.443436
"2021-04-12",208.339996,209.619995,207.139999,209.589996,755100,204.880402
"2021-04-13",208.550003,209.570007,207.25,208.970001,548700,204.274353
"2021-04-14",209.050003,209.940002,207.889999,208.990005,655500,204.293915
"2021-04-15",209.039993,211.929993,208.490005,210.759995,912200,206.024124
"2021-04-16",211.729996,212,208.899994,210.720001,1479100,205.985016
"2021-04-19",211.059998,211.210007,208.220001,209.729996,954700,205.017258
"2021-04-20",209.389999,210.399994,207.509995,210.199997,818000,205.4767
"2021-04-21",210.119995,212.210007,209.490005,212.050003,899600,207.285156
"2021-04-22",210.960007,212.199997,209.970001,210.710007,1020500,205.97525
"2021-04-23",211.070007,211.25,208.649994,211.020004,1018600,206.27829
"2021-04-26",211.020004,211.130005,207.050003,207.649994,939800,202.984009
"2021-04-27",204.860001,208.119995,203.919998,207.729996,1094400,203.06221
"2021-04-28",208.080002,208.080002,204.800003,205.009995,1050400,200.403336
"2021-04-29",206.059998,210.100006,205.639999,209.220001,1058000,204.518723
"2021-04-30",208.559998,213,206.440002,209.229996,1105100,204.528488
"2021-05-03",208.559998,212.080002,207.800003,211.740005,941300,206.982117
"2021-05-04",212.369995,216.850006,211.919998,216.399994,1742100,211.537369
"2021-05-05",216.130005,217.990005,214.580002,217.679993,1229500,212.78862
"2021-05-06",218.330002,219.619995,215.75,216.990005,1165500,212.114136
"2021-05-07",215.990005,219.779999,215.759995,219.25,1072900,214.323349
"2021-05-10",220,221.490005,217,217.020004,1165100,212.143478
"2021-05-11",216.960007,216.960007,212.039993,213.330002,1001300,208.536392
"2021-05-12",213.729996,215.110001,211.009995,211.059998,874500,206.317368
"2021-05-13",210.470001,215.970001,209.889999,214.630005,889400,209.807159
"2021-05-14",215.740005,217.649994,214.169998,217.039993,668500,212.16301
"2021-05-17",216.639999,218.649994,215.520004,218.100006,946000,213.199203
"2021-05-18",216.860001,217.850006,214.820007,214.919998,943600,210.090652
"2021-05-19",213.75,214.660004,209.940002,214.339996,922500,209.523697
"2021-05-20",214.639999,216.830002,214.639999,216.089996,954800,211.23436
"2021-05-21",217.149994,219.440002,215.479996,216.039993,857500,211.185486
"2021-05-24",217.130005,217.839996,215.449997,216.289993,725500,211.429871
"2021-05-25",216.720001,217.839996,216.119995,216.550003,726200,211.684036
"2021-05-26",215.919998,216.979996,213.940002,214.830002,854200,210.002686
"2021-05-27",217,219.360001,215.960007,218.910004,2892500,213.990997
"2021-05-28",218.490005,219.300003,217.080002,218.059998,824400,214.157959
"2021-06-01",219.479996,220.75,216.589996,217.190002,1085100,213.303513
"2021-06-02",218.369995,219.639999,216.580002,218.720001,962100,214.806152
"2021-06-03",218.039993,220.509995,217.179993,219.940002,873800,216.004303
"2021-06-04",220.699997,223.869995,219.520004,222.75,825500,218.764038
"2021-06-07",223.139999,223.240005,217.679993,218.550003,1136300,214.639191
"2021-06-08",219.539993,219.539993,217.360001,219.059998,1020600,215.14006
"2021-06-09",218.710007,218.960007,216.839996,217.509995,979100,213.617783
"2021-06-10",219.580002,221.869995,218.550003,219.580002,1497900,215.650757
"2021-06-11",220.220001,223.490005,219.929993,223.300003,1251500,219.304184
"2021-06-14",222.070007,223.139999,220.839996,222.179993,1274200,218.204239
"2021-06-15",223.369995,224.600006,222.990005,223.720001,848900,219.71666
"2021-06-16",224.399994,224.399994,221.380005,221.979996,1204500,218.007813
"2021-06-17",222.309998,222.910004,220.080002,220.380005,1743400,216.436447
"2021-06-18",218.399994,220.039993,218.190002,218.860001,1720300,214.943649
"2021-06-21",220.399994,223.490005,220.289993,222.679993,871500,218.695282
"2021-06-22",222.119995,222.600006,220.820007,221.690002,1212000,217.722992
"2021-06-23",222.160004,222.779999,221.149994,221.449997,1104700,217.487289
"2021-06-24",222.550003,222.550003,219.029999,219.649994,1267200,215.719498
"2021-06-25",220.110001,221.440002,219.429993,221.029999,1345300,217.074799
"2021-06-28",221.759995,221.759995,218.320007,219.509995,658900,215.582001
"2021-06-29",219.509995,221.169998,215.110001,215.399994,1223500,211.545547
"2021-06-30",216.139999,217.770004,215.660004,216.149994,1331700,212.28212
"2021-07-01",216.080002,218.899994,215.559998,218.660004,985100,214.747223
"2021-07-02",219.660004,221.320007,217.960007,219.440002,656700,215.51326
"2021-07-06",218.210007,219.990005,215.649994,219.5,1227800,215.572189
"2021-07-07",219.169998,224.169998,218.630005,224,1264200,219.991653
"2021-07-08",221.740005,223.350006,220.820007,222.300003,1764600,218.322083
"2021-07-09",223.770004,224.300003,221.779999,223.990005,960200,219.981842
"2021-07-12",223.110001,224.759995,222.100006,224.25,646600,220.237183
"2021-07-13",224.309998,225.949997,223.699997,224.580002,1473200,220.561279
"2021-07-14",223.479996,225.190002,223.149994,223.970001,899500,219.962189
"2021-07-15",222.839996,224.529999,222.240005,223.860001,1195800,219.854172
"2021-07-16",225,225.699997,222.710007,223.759995,762200,219.755951
"2021-07-19",221.539993,222.529999,216.580002,218.229996,1623900,214.324905
"2021-07-20",218.940002,225.639999,218.940002,225.509995,861900,221.47464
"2021-07-21",226.119995,228.190002,225.509995,227.100006,622000,223.036194
"2021-07-22",226.820007,227.520004,225.740005,226.119995,584600,222.073715
"2021-07-23",227,227.619995,225.919998,227.25,537400,223.183502
"2021-07-26",226.220001,226.800003,224.410004,226,478500,221.955856
"2021-07-27",225.779999,229.160004,224.679993,228.080002,497400,223.998657
"2021-07-28",228.660004,229.720001,226.729996,227.679993,524800,223.605804
"2021-07-29",229.100006,230,228.240005,228.550003,620200,224.460236
"2021-07-30",227.789993,228.270004,226.039993,226.740005,743400,222.682648
"2021-08-02",228,229.259995,225.839996,225.949997,1201900,221.906784
"2021-08-03",228.029999,231.779999,225.5,231.369995,803800,227.229782
"2021-08-04",229.330002,230.779999,227.949997,229.410004,834400,225.304855
"2021-08-05",230.619995,232.440002,230.039993,231.240005,870800,227.102112
"2021-08-06",231.279999,232.990005,231.199997,231.289993,670500,227.151199
"2021-08-09",230.149994,231.229996,228.5,229,704600,224.902191
"2021-08-10",228.570007,232.910004,228.350006,232.619995,953100,228.457413
"2021-08-11",230.520004,233.160004,229.529999,232.889999,853700,228.72258
"2021-08-12",232.800003,233.190002,229.820007,230.770004,731200,226.640533
"2021-08-13",230.889999,231.850006,229.660004,229.830002,565600,225.717331
"2021-08-16",230,234.240005,227.830002,234.149994,992000,229.960022
"2021-08-17",233.229996,234.899994,232.179993,233.880005,848100,229.694855
"2021-08-18",233.270004,234.830002,231.059998,231.229996,730200,227.09227
"2021-08-19",230.020004,233.300003,229.809998,230.119995,1189700,226.002136
"2021-08-20",230.009995,232.520004,229.259995,231.139999,809700,227.003891
"2021-08-23",231.220001,233.779999,231.220001,232.490005,667200,228.329758
"2021-08-24",232.660004,234.160004,231.770004,232.440002,547900,228.28064
"2021-08-25",232.679993,233.630005,231.020004,233.259995,1174800,229.085968
"2021-08-26",233.589996,235.050003,232.339996,234.5,667900,230.303772
"2021-08-27",235.100006,235.100006,231.589996,232.199997,1007300,228.044922
"2021-08-30",232.199997,234.130005,231.550003,232.619995,674900,228.457413
"2021-08-31",232.339996,234.259995,232.339996,233.009995,1070300,228.840439
"2021-09-01",233.440002,233.440002,231.240005,232.699997,1011000,228.53598
"2021-09-02",232.350006,234.25,231.839996,234.179993,1385000,231.002045
"2021-09-03",233.779999,233.779999,231.440002,231.740005,1119900,228.595169
"2021-09-07",230.770004,231.259995,228.580002,229.729996,1120400,226.612442
"2021-09-08",229.679993,231.889999,229.259995,230.850006,974600,227.717255
"2021-09-09",230.770004,232.649994,230.289993,232.050003,1048500,228.90097
"2021-09-10",232.889999,233.470001,230.589996,231.630005,1273400,228.486664
"2021-09-13",233.339996,233.759995,225.539993,228.520004,1107600,225.418869
"2021-09-14",229.830002,229.830002,225.600006,226.979996,1274800,223.899765
"2021-09-15",227.289993,230.720001,227.259995,228.699997,1730100,225.59642
"2021-09-16",229.220001,229.220001,219.949997,221.029999,1433200,218.030502
"2021-09-17",221,223.619995,220.669998,222.460007,2383800,219.441101
"2021-09-20",220.130005,223.440002,219.369995,222.039993,1182100,219.026794
"2021-09-21",223.179993,223.990005,219.619995,219.990005,916200,217.004623
"2021-09-22",221.279999,223.350006,220.470001,222.729996,817000,219.707428
"2021-09-23",217.25,223.070007,217.020004,221.240005,1141600,218.237656
"2021-09-24",221.610001,224.100006,220.910004,223.490005,796300,220.457123
"2021-09-27",224.679993,226,222.460007,223.179993,778800,220.151337
"2021-09-28",222.690002,224.350006,219.649994,221.880005,991100,218.868973
"2021-09-29",222.800003,224.839996,221.160004,223.029999,635900,220.003372
"2021-09-30",222.740005,224.190002,220.149994,220.240005,852600,217.251221
"2021-10-01",221.350006,221.940002,217.130005,219.479996,894700,216.501541
"2021-10-04",219.050003,220.669998,216.380005,218.440002,1276500,215.475647
"2021-10-05",221.119995,223.990005,219.300003,222.330002,1241800,219.312866
"2021-10-06",221.210007,227.050003,220.380005,226.869995,1134100,223.79126
"2021-10-07",227.639999,231.229996,227.639999,230.639999,873300,227.510101
"2021-10-08",230.949997,234.360001,230.309998,233.169998,1021000,230.005753
"2021-10-11",233.600006,236.740005,232.929993,235.369995,958300,232.175888
"2021-10-12",235.360001,238.399994,234.779999,237.119995,1284300,233.902161
"2021-10-13",236.369995,236.470001,232.470001,234.580002,1436600,231.396637
"2021-10-14",235.889999,237.880005,234.800003,236.669998,918200,233.458267
"2021-10-15",238.089996,240.940002,237.679993,239.070007,1014000,235.825714
"2021-10-18",237.699997,239.360001,236.649994,238.779999,865800,235.539627
"2021-10-19",239.779999,242.330002,239.080002,241.929993,848500,238.646881
"2021-10-20",241.820007,245.070007,241.490005,243.169998,994100,239.870056
"2021-10-21",242.690002,243.839996,240.240005,241.75,740600,238.469315
"2021-10-22",242.770004,246.080002,241.240005,244.729996,769800,241.40889
"2021-10-25",244.639999,245.720001,244.029999,244.270004,969800,240.955124
