"","LLY.Open","LLY.High","LLY.Low","LLY.Close","LLY.Volume","LLY.Adjusted"
"2020-07-01",164.320007,165.470001,162.520004,163.300003,2065100,158.068604
"2020-07-02",164.070007,164.770004,162.369995,163.869995,1960200,158.620361
"2020-07-06",164.460007,168.919998,164.009995,166.889999,2760100,161.543625
"2020-07-07",166.119995,168.380005,165.270004,166.75,3273300,161.408081
"2020-07-08",166.839996,169.820007,166.839996,169.130005,2781800,163.711884
"2020-07-09",169.880005,170.75,163.710007,166.449997,2955200,161.117722
"2020-07-10",166.139999,166.139999,162.740005,163.360001,2245100,158.126694
"2020-07-13",164.610001,167,161.039993,162.080002,3455600,156.887726
"2020-07-14",162.880005,164.770004,161.529999,163.880005,2642900,158.630051
"2020-07-15",165.190002,166.479996,163.899994,165.449997,2346200,160.14975
"2020-07-16",164.949997,165.440002,162.600006,165,1486800,159.714172
"2020-07-17",166.039993,167.259995,165.110001,165.960007,2935800,160.643417
"2020-07-20",166.490005,167.710007,165.729996,167.039993,1806200,161.688797
"2020-07-21",166.869995,167.229996,164.759995,165.300003,1540700,160.004562
"2020-07-22",165.539993,165.850006,162.330002,164.839996,1686500,159.55928
"2020-07-23",165.259995,165.460007,160.789993,161.520004,2408800,156.345657
"2020-07-24",161.470001,161.470001,158.449997,159.539993,2247900,154.429092
"2020-07-27",159.600006,161.740005,158.589996,160.5,2709700,155.358322
"2020-07-28",161.669998,165.410004,161.350006,162.649994,3483100,157.439453
"2020-07-29",162.529999,163.029999,161.100006,161.75,3108900,156.568298
"2020-07-30",158.449997,158.5,150.449997,153,6638100,148.098602
"2020-07-31",153.130005,153.339996,148.740005,150.289993,5342700,145.475418
"2020-08-03",152.800003,153.850006,151.220001,152.839996,3615000,147.94371
"2020-08-04",153.380005,156,153.089996,154.850006,3260000,149.889343
"2020-08-05",157.309998,157.490005,153.300003,154.339996,2386400,149.39566
"2020-08-06",153.850006,155.5,151,152.880005,2176200,147.982437
"2020-08-07",152.960007,153.5,151.580002,152.929993,2017100,148.030823
"2020-08-10",152.929993,153.490005,151.529999,153,1745200,148.098602
"2020-08-11",153.139999,153.139999,150.199997,150.630005,2103400,145.80452
"2020-08-12",150.789993,153.169998,150.600006,152.550003,2430400,147.662994
"2020-08-13",150.820007,151.690002,149.789993,150.460007,2077700,146.349899
"2020-08-14",149.800003,151.690002,149.149994,150.089996,1538000,145.98999
"2020-08-17",150.919998,152.699997,150.360001,151.529999,2704700,147.39064
"2020-08-18",152.149994,153.149994,151.149994,153.110001,1959700,148.927505
"2020-08-19",153.809998,154.410004,152.009995,152.289993,1938800,148.129883
"2020-08-20",152.550003,152.850006,150.850006,151.339996,1830200,147.205826
"2020-08-21",151.339996,151.350006,147.949997,149.259995,3112000,145.182678
"2020-08-24",150.050003,150.399994,148.25,149.520004,2268400,145.435547
"2020-08-25",150.360001,151.309998,149.309998,149.679993,2216100,145.591171
"2020-08-26",149.190002,149.460007,147.410004,149.259995,3029700,145.182678
"2020-08-27",150.580002,150.940002,148.940002,148.970001,3146100,144.900589
"2020-08-28",148.839996,149.149994,146.979996,147.339996,2102600,143.315109
"2020-08-31",147.350006,148.789993,147.029999,148.389999,4430700,144.336426
"2020-09-01",148.610001,149.199997,146.649994,147.300003,2358700,143.276184
"2020-09-02",146.789993,150,146.509995,149.550003,2406800,145.464737
"2020-09-03",152.190002,153.369995,147.460007,149.020004,4226100,144.949234
"2020-09-04",148.770004,152.580002,147.949997,150.910004,4361800,146.787582
"2020-09-08",150.949997,151.309998,148.5,149.309998,4351200,145.231293
"2020-09-09",150.619995,154.119995,150.309998,151.970001,2328500,147.818634
"2020-09-10",149.880005,150.600006,145.720001,146.220001,3961300,142.225708
"2020-09-11",147.559998,149.190002,146.880005,148.089996,3001400,144.044632
"2020-09-14",149.089996,150.509995,147.470001,149,3072500,144.929779
"2020-09-15",149.960007,151.869995,149.419998,150.080002,2923500,145.98027
"2020-09-16",151.720001,152.679993,150.789993,150.960007,3618800,146.836227
"2020-09-17",150.130005,152.679993,149.460007,152.470001,3620700,148.304977
"2020-09-18",152.039993,154.5,152.039993,154.169998,13209800,149.958542
"2020-09-21",153.169998,153.660004,149.059998,151.179993,3501600,147.050201
"2020-09-22",150.910004,151.570007,149.149994,149.860001,2926400,145.766281
"2020-09-23",150.050003,151.589996,148.699997,149.809998,3545700,145.717606
"2020-09-24",149.259995,149.660004,147.369995,148.809998,3424200,144.744934
"2020-09-25",148.389999,150.399994,147.850006,150.259995,2440600,146.155334
"2020-09-28",151,151.580002,147.899994,148.100006,2427100,144.054352
"2020-09-29",147.979996,148.440002,145.929993,146.259995,3308300,142.264603
"2020-09-30",146.399994,148.449997,145.059998,148.020004,5083900,143.976532
"2020-10-01",148.330002,148.710007,144.059998,144.289993,3809200,140.348419
