"","LNC.Open","LNC.High","LNC.Low","LNC.Close","LNC.Volume","LNC.Adjusted"
"2020-07-01",37.02,37.389999,34.560001,34.669998,2283700,32.219837
"2020-07-02",36.049999,36.98,34.5,34.610001,2562000,32.164074
"2020-07-06",35.93,36.790001,35.150002,35.900002,1922200,33.362911
"2020-07-07",35.389999,35.669998,33.98,34.119999,2259600,31.708708
"2020-07-08",34.110001,35.25,34.049999,35.220001,2111700,32.730968
"2020-07-09",34.810001,34.82,32.439999,32.709999,2622400,30.747555
"2020-07-10",32.599998,35.02,32.52,34.779999,2456100,32.693367
"2020-07-13",35.380001,35.98,34.240002,35.080002,1958500,32.975365
"2020-07-14",34.889999,35.709999,34.259998,35.459999,1737100,33.332569
"2020-07-15",36.84,37.540001,35.98,37.209999,1769600,34.977581
"2020-07-16",36.650002,38.16,35.970001,37.5,2112900,35.250187
"2020-07-17",37.52,37.619999,36.73,37.040001,1463800,34.817776
"2020-07-20",36.77,36.889999,35.849998,36.220001,1524600,34.046978
"2020-07-21",36.599998,37.91,36.599998,37.48,1534000,35.23138
"2020-07-22",36.830002,37.830002,36.77,37.59,1270200,35.334778
"2020-07-23",37.43,38.02,36.98,37.59,1218700,35.334778
"2020-07-24",37.82,37.849998,37,37.209999,982400,34.977581
"2020-07-27",36.860001,37.200001,36.049999,36.75,915100,34.545177
"2020-07-28",36.540001,37.23,36.209999,36.290001,1225300,34.112778
"2020-07-29",36.41,38.439999,36.119999,38.369999,2242500,36.067982
"2020-07-30",36.849998,37.290001,35.549999,36.93,2303800,34.714375
"2020-07-31",36.990002,37.639999,36.080002,37.27,3886100,35.033981
"2020-08-03",37.380001,38.200001,36.84,37.580002,1367600,35.325382
"2020-08-04",37.389999,37.75,36.169998,36.509998,1504700,34.319576
"2020-08-05",37.16,39.18,37.07,39,2586300,36.660183
"2020-08-06",36.25,37.400002,35.59,35.919998,2968900,33.764973
"2020-08-07",35.529999,38.389999,35.41,38.360001,2132200,36.058582
"2020-08-10",38.73,39.77,38.709999,39.18,1745400,36.829395
"2020-08-11",40.830002,41.580002,39.540001,39.810001,2017700,37.421589
"2020-08-12",41.02,41.049999,38.110001,38.82,1631900,36.490986
"2020-08-13",38.139999,38.93,37.66,38.200001,1078600,35.908184
