"","LOW.Open","LOW.High","LOW.Low","LOW.Close","LOW.Volume","LOW.Adjusted"
"2020-07-01",135.399994,136.289993,134.75,135.630005,4802300,131.033539
"2020-07-02",137.240005,138.179993,135.110001,135.710007,3522900,131.110855
"2020-07-06",137.419998,138.25,135.259995,135.759995,3698700,131.159119
"2020-07-07",134.509995,136.759995,134.339996,135.020004,2991700,130.444244
"2020-07-08",135.669998,136.360001,134.419998,135.75,2753700,131.14949
"2020-07-09",136.330002,136.940002,134.050003,135.610001,3397700,131.014236
"2020-07-10",136.259995,137.639999,134.820007,137.429993,3252200,132.772537
"2020-07-13",138.449997,140.789993,135.899994,136.550003,4227000,131.922379
"2020-07-14",136.089996,140.169998,135.800003,140.059998,4360700,135.313446
"2020-07-15",142.279999,142.339996,139.119995,141.220001,3496200,136.434128
"2020-07-16",141.220001,144.940002,140.839996,142.75,4124800,137.912231
"2020-07-17",144.289993,144.630005,141.889999,144.389999,3898800,139.496658
"2020-07-20",143.330002,144.710007,142.899994,144.100006,2769000,139.216522
"2020-07-21",143.949997,145.919998,143.509995,145,2628300,140.622726
"2020-07-22",145.160004,149.149994,145.160004,148.539993,4613000,144.055862
"2020-07-23",149.300003,149.649994,145.399994,146.5,3664800,142.077454
"2020-07-24",146.789993,147.619995,145.399994,147.029999,3740100,142.591461
"2020-07-27",147.229996,149.429993,147.229996,149.119995,2791100,144.618347
"2020-07-28",149.300003,149.779999,147.429993,147.710007,3571600,143.250931
"2020-07-29",148.039993,149.809998,148,148.710007,2732600,144.220749
"2020-07-30",147.869995,149.899994,146.899994,149.199997,2574600,144.695938
"2020-07-31",149.470001,149.919998,146.610001,148.910004,3928300,144.414703
"2020-08-03",149.899994,151.350006,149.5,150.270004,3136700,145.733643
"2020-08-04",149.75,150.740005,148.779999,149.669998,2381400,145.151749
"2020-08-05",149.940002,150.460007,148.710007,150.259995,3039700,145.723923
"2020-08-06",150.25,152.240005,149.639999,151.190002,2449900,146.62587
"2020-08-07",151.949997,154.119995,151.699997,152.779999,2904700,148.167847
"2020-08-10",153.229996,154.710007,153.020004,153.720001,3065300,149.079483
"2020-08-11",155.059998,155.419998,152.869995,153.869995,3723000,149.22496
"2020-08-12",156.130005,157.979996,154.559998,156.630005,3791200,151.901627
"2020-08-13",156.360001,157.149994,155.139999,155.699997,2272300,150.999725
"2020-08-14",155.570007,156.080002,153.910004,154.339996,3404900,149.680756
"2020-08-17",157.259995,158.720001,155.850006,158.410004,5159600,153.627899
"2020-08-18",159.800003,160.600006,157,157.910004,5741400,153.143005
"2020-08-19",161,162.889999,156.259995,158.279999,9727100,153.501831
"2020-08-20",156.580002,159.160004,156.5,158.580002,4288500,153.792786
"2020-08-21",159.089996,162.080002,158.470001,161.720001,4568800,156.837997
"2020-08-24",163.690002,165.649994,163.009995,165.630005,4872700,160.629944
