"","LRCX.Open","LRCX.High","LRCX.Low","LRCX.Close","LRCX.Volume","LRCX.Adjusted"
"2020-07-01",322.149994,322.769989,316.119995,317.480011,1527100,310.552185
"2020-07-02",322.859985,327.450012,318.640015,323.700012,1711200,316.636414
"2020-07-06",330.01001,336.98999,328.980011,334.959991,1414800,327.650696
"2020-07-07",332.130005,337.269989,327.5,327.890015,1276500,320.734955
"2020-07-08",332.790009,335.399994,329.390015,333.799988,989600,326.515961
"2020-07-09",337.359985,338.929993,331.049988,335.76001,1659900,328.433258
"2020-07-10",335.089996,340.290009,330.649994,339.980011,1432400,332.561157
"2020-07-13",343,350.23999,336.850006,337.140015,2160400,329.783173
"2020-07-14",336.070007,347.51001,331.399994,346.059998,2018800,338.508484
"2020-07-15",347.070007,348.799988,335.609985,343.220001,1637000,335.730469
"2020-07-16",340.269989,346.709991,338.890015,344.880005,1182800,337.354248
"2020-07-17",347.859985,348.329987,341.149994,346.269989,1129000,338.713867
"2020-07-20",346.269989,355.940002,342.01001,353.75,1248300,346.03067
"2020-07-21",357.369995,362.200012,352.339996,357.019989,1743600,349.22934
"2020-07-22",359.970001,363,356.5,361.959991,1036500,354.061554
"2020-07-23",358.850006,367.559998,350.910004,354.820007,1724900,347.077332
"2020-07-24",344.209991,348,336.279999,345.720001,2002800,338.175903
"2020-07-27",347.440002,360.079987,346.679993,358.079987,1752100,350.266174
"2020-07-28",354.609985,358.929993,348.600006,348.929993,1332400,341.315887
"2020-07-29",352.100006,361.839996,349,360.829987,2167300,352.956177
"2020-07-30",367.779999,381.480011,367.079987,378.540009,2567800,370.279724
"2020-07-31",379.559998,380.160004,369.290009,377.160004,2039100,368.929871
"2020-08-03",380.799988,387.700012,379.179993,381.410004,1517800,373.087097
"2020-08-04",382.179993,385.75,380.220001,384.959991,1148200,376.559601
"2020-08-05",384.579987,387.089996,382.279999,383.470001,846000,375.102142
"2020-08-06",377,379.600006,370.790009,377.809998,1699600,369.565674
"2020-08-07",378.380005,381.690002,366.450012,372.440002,1385400,364.312836
"2020-08-10",372.440002,376.820007,369.149994,375.76001,929200,367.560425
"2020-08-11",378.859985,380.869995,367.390015,369.01001,1110100,360.957672
"2020-08-12",372.179993,383.279999,369.929993,381.519989,1223000,373.194672
"2020-08-13",380.01001,382.450012,374.380005,377.019989,1076400,368.792908
"2020-08-14",379,384.98999,373,373.640015,1344600,365.486694
"2020-08-17",376.549988,384.170013,372.809998,379.079987,1418400,370.807892
"2020-08-18",381.950012,382.700012,372.929993,374.570007,1047300,366.396362
"2020-08-19",374.029999,376.190002,368.26001,372.190002,1074600,364.068298
"2020-08-20",360.100006,363.399994,355.269989,358.5,2214000,350.677063
"2020-08-21",355.920013,356.709991,350.329987,353.440002,2555500,345.727448
"2020-08-24",359.399994,360.670013,347.320007,351.019989,1682300,343.360229
"2020-08-25",353.049988,356.299988,350.5,352.5,1310200,344.807983
"2020-08-26",352.549988,354,348.070007,351.799988,1194700,344.12323
"2020-08-27",354.859985,354.859985,338.589996,341.450012,1902200,333.999115
"2020-08-28",342.660004,351.98999,341.450012,350.779999,1596200,343.125519
"2020-08-31",348.549988,349.149994,336.23999,336.339996,2533400,329.00058
"2020-09-01",339.549988,346.5,337.570007,340.559998,2087300,333.12854
"2020-09-02",345.980011,365.140015,344.25,362.700012,2763100,354.7854
"2020-09-03",357.299988,357.299988,339.399994,341.529999,2556600,334.077332
"2020-09-04",339,339.899994,319.690002,333.119995,2470900,325.850861
"2020-09-08",310.959991,316.459991,302.190002,302.720001,3113800,296.114288
"2020-09-09",310.959991,311.809998,300.329987,300.910004,3086700,294.343719
"2020-09-10",303.76001,305.709991,295.779999,297.51001,2085200,291.017914
"2020-09-11",300.540009,303.339996,292.279999,293.98999,1727200,287.574707
"2020-09-14",301.769989,308.619995,299.630005,305.420013,1954700,298.75528
"2020-09-15",310.609985,312.820007,303,308.929993,1714100,302.188751
"2020-09-16",311.670013,314.380005,305.859985,306.600006,1415700,299.909607
"2020-09-17",296.170013,308.589996,296.170013,305.890015,1913600,299.215088
"2020-09-18",308.26001,310.829987,301.890015,307.209991,2660300,300.506195
"2020-09-21",305.079987,317.820007,300.700012,314.959991,1880200,308.087128
"2020-09-22",318.329987,319.730011,310.190002,318.690002,1507200,311.735779
"2020-09-23",322.380005,327.589996,315.859985,317.019989,2228900,310.102142
"2020-09-24",314.019989,334.179993,314.019989,327.170013,2206800,320.030731
"2020-09-25",324.720001,331.890015,322,330.269989,1551200,323.063049
"2020-09-28",331.420013,337.850006,328.700012,336.609985,1792800,329.264679
"2020-09-29",333.929993,342.559998,333.790009,337.709991,1799700,331.621399
"2020-09-30",335.23999,338.230011,330.200012,331.75,1989200,325.768921
"2020-10-01",339.140015,339.25,333.140015,339.130005,1693500,333.015839
"2020-10-02",329.359985,335.859985,328.559998,328.709991,1196000,322.783691
"2020-10-05",333,343.049988,332.609985,342.230011,1540300,336.059967
"2020-10-06",340.959991,351.079987,339.410004,340.980011,1425100,334.83252
"2020-10-07",347.399994,351.5,343.51001,345.769989,1108400,339.536133
"2020-10-08",348.369995,355.670013,347,355.429993,1193000,349.021973
"2020-10-09",360.899994,364.660004,359.170013,362.709991,1195700,356.170715
"2020-10-12",369.429993,373.390015,367.130005,370.109985,1454700,363.437256
"2020-10-13",372,378.5,367.399994,374.190002,1229200,367.443695
"2020-10-14",375.320007,381.959991,370.209991,374.23999,1414500,367.492798
"2020-10-15",362.769989,376.299988,358.920013,375.48999,1682900,368.720306
"2020-10-16",376.5,376.5,364.649994,364.959991,1591100,358.380127
"2020-10-19",367.5,369.660004,362.01001,363.570007,1359000,357.015259
"2020-10-20",366,368.51001,362.5,363.570007,932600,357.015259
"2020-10-21",363.079987,371,362.019989,366.619995,1681100,360.010193
"2020-10-22",360.359985,363.329987,353.079987,358.01001,2233100,351.55545
"2020-10-23",360,362.5,350.320007,353.920013,1231700,347.539246
"2020-10-26",350.359985,353.470001,343.299988,347.630005,1236500,341.36261
"2020-10-27",348.529999,349.670013,342.540009,343.829987,1075700,337.631104
"2020-10-28",336.929993,344.540009,333.309998,338.899994,1639200,332.789948
"2020-10-29",339.019989,358.190002,338.799988,353.26001,1607700,346.891083
"2020-10-30",348.049988,352.720001,338.269989,342.079987,1749900,335.912628
"2020-11-02",348.119995,354.470001,345.179993,350.950012,1342800,344.622742
"2020-11-03",356.690002,373.170013,355.119995,370.529999,1716200,363.849731
"2020-11-04",373.890015,383.200012,367.279999,380.339996,1528000,373.482849
"2020-11-05",390,400.339996,388.450012,399.709991,1812900,392.503601
"2020-11-06",399.880005,412.01001,395.850006,409.420013,1473800,402.038574
"2020-11-09",425,436,415.809998,416.279999,1935200,408.774872
"2020-11-10",409.089996,415.73999,404.459991,407.869995,1485600,400.516479
"2020-11-11",411.980011,428.609985,410,424,1441600,416.355682
"2020-11-12",424.850006,426,416.350006,418.459991,950200,410.915558
"2020-11-13",425.230011,429.75,424.089996,426.309998,1136000,418.624084
"2020-11-16",430.799988,439.649994,427.070007,439.290009,1346500,431.370026
"2020-11-17",435.5,437.820007,428.950012,431.929993,991900,424.142731
"2020-11-18",436.109985,438.839996,430,430.329987,1304700,422.571594
"2020-11-19",428.959991,438.869995,425,437.679993,1124800,429.789032
"2020-11-20",438.5,444.959991,433.380005,433.640015,1445600,425.821899
"2020-11-23",436.579987,449.869995,435.049988,448.73999,1088500,440.649658
"2020-11-24",450,451.119995,440.75,446.440002,1200900,438.391113
"2020-11-25",448.450012,449.529999,440.5,446.779999,848900,438.725006
"2020-11-27",450.190002,460.619995,449.820007,456.540009,727900,448.309052
"2020-11-30",455.200012,456.890015,445.600006,452.660004,1434100,444.499023
"2020-12-01",460.059998,469.48999,457.589996,467.649994,1401900,459.21875
"2020-12-02",466.26001,480.980011,465.549988,479.220001,1811300,470.58017
"2020-12-03",480.140015,491.75,479.220001,484.070007,1595500,475.342682
"2020-12-04",486.940002,501.600006,486.160004,499.980011,1755100,490.965912
"2020-12-07",499.429993,509.450012,495.350006,508.679993,1565000,499.508942
"2020-12-08",505.619995,516.650024,505.350006,511.660004,1328700,503.722595
"2020-12-09",509.040009,514.679993,489.720001,493.829987,1999700,486.169189
"2020-12-10",489.950012,496.200012,484.799988,490.149994,1303100,482.546295
"2020-12-11",488.470001,494.279999,483.730011,491.700012,1495000,484.072266
