"","LUMN.Open","LUMN.High","LUMN.Low","LUMN.Close","LUMN.Volume","LUMN.Adjusted"
"2020-07-01",9.97,10.17,9.83,9.87,9137100,8.361806
"2020-07-02",10,10.09,9.77,9.79,9556300,8.294032
"2020-07-06",9.97,10.08,9.84,9.98,10363000,8.454997
"2020-07-07",9.86,9.98,9.86,9.9,7672500,8.387221
"2020-07-08",9.87,9.9,9.68,9.8,9288600,8.302503
"2020-07-09",9.76,9.88,9.6,9.63,8715800,8.15848
"2020-07-10",9.65,9.92,9.57,9.91,8884900,8.395694
"2020-07-13",9.98,10,9.64,9.68,10834300,8.20084
"2020-07-14",9.68,9.96,9.64,9.89,9871600,8.378751
"2020-07-15",9.87,9.93,9.69,9.71,11117700,8.226254
"2020-07-16",9.65,9.97,9.64,9.93,9554700,8.412637
"2020-07-17",9.97,9.97,9.7,9.8,7857900,8.302503
"2020-07-20",9.75,9.79,9.62,9.64,7073700,8.166952
"2020-07-21",9.69,9.91,9.65,9.73,7656300,8.243197
"2020-07-22",9.71,9.87,9.64,9.82,6597800,8.319447
"2020-07-23",9.82,10.15,9.74,9.99,10993800,8.46347
"2020-07-24",10.03,10.12,9.86,10.09,11647800,8.54819
"2020-07-27",10.04,10.04,9.56,9.7,16208100,8.217782
"2020-07-28",9.72,10,9.69,9.89,12668100,8.378751
"2020-07-29",9.91,9.95,9.74,9.84,7818300,8.336391
"2020-07-30",9.76,9.88,9.62,9.74,9164200,8.251672
"2020-07-31",9.71,9.81,9.46,9.65,32420300,8.175423
"2020-08-03",9.7,9.82,9.53,9.8,8852200,8.302503
"2020-08-04",9.77,9.97,9.77,9.88,9229500,8.370278
"2020-08-05",9.95,10.04,9.77,9.84,12513100,8.336391
"2020-08-06",10.16,10.83,10.1,10.56,29837200,8.94637
"2020-08-07",10.54,10.6,10.25,10.49,11322200,8.887066
"2020-08-10",10.58,10.88,10.55,10.86,13296000,9.200529
"2020-08-11",11,11.19,10.92,11.04,18722700,9.353024
"2020-08-12",11.16,11.22,10.72,10.79,14064900,9.141225
"2020-08-13",10.73,10.91,10.61,10.85,11274000,9.192057
"2020-08-14",10.76,11.13,10.6,11.07,12123600,9.378438
"2020-08-17",11,11.08,10.78,10.8,11639900,9.149697
"2020-08-18",10.84,10.97,10.79,10.9,7282700,9.234417
"2020-08-19",10.89,11.31,10.82,11.29,17753300,9.564821
"2020-08-20",11.22,11.33,10.97,11,12799600,9.319137
"2020-08-21",11.07,11.13,10.91,11.01,10283600,9.327609
"2020-08-24",11.11,11.44,11.07,11.42,11571800,9.674956
"2020-08-25",11.49,11.56,11.19,11.21,8957700,9.497046
"2020-08-26",11.23,11.26,11.11,11.23,7226500,9.51399
"2020-08-27",11.28,11.41,11.2,11.34,9019400,9.607182
"2020-08-28",11.14,11.22,10.93,10.99,9333200,9.520552
"2020-08-31",10.83,10.99,10.74,10.75,14297100,9.312641
"2020-09-01",10.78,10.81,10.57,10.65,10539400,9.226013
"2020-09-02",10.67,10.94,10.61,10.92,9448600,9.459911
"2020-09-03",11,11.1,10.69,10.77,10803500,9.329968
"2020-09-04",10.83,10.94,10.6,10.76,9485700,9.321305
"2020-09-08",10.73,10.82,10.57,10.65,8511200,9.226013
"2020-09-09",10.76,10.93,10.71,10.86,9345600,9.407934
"2020-09-10",10.93,10.96,10.49,10.55,13596700,9.139383
"2020-09-11",10.56,10.74,10.53,10.65,10328700,9.226013
"2020-09-14",10.75,11.11,10.68,10.87,11982100,9.416596
"2020-09-15",10.88,11.06,10.81,10.99,9086700,9.520552
"2020-09-16",11.01,11.23,10.98,11,8665700,9.529216
"2020-09-17",10.85,11.11,10.84,11,8528600,9.529216
"2020-09-18",10.98,11.14,10.73,10.77,9867900,9.329968
"2020-09-21",10.68,10.7,10.17,10.26,11473700,8.888159
"2020-09-22",10.26,10.4,10.17,10.26,7852500,8.888159
"2020-09-23",10.25,10.37,10.05,10.05,9110700,8.706238
"2020-09-24",10.01,10.26,9.92,10.14,7261600,8.784204
"2020-09-25",10.05,10.24,9.97,10.21,4969800,8.844844
"2020-09-28",10.31,10.44,10.26,10.28,5795700,8.905486
"2020-09-29",10.34,10.34,10.15,10.22,4758000,8.853507
"2020-09-30",10.23,10.32,9.99,10.09,10412300,8.740889
"2020-10-01",10.01,10.17,9.84,9.95,9934900,8.619608
"2020-10-02",9.86,10.23,9.8,10.03,7684000,8.688911
"2020-10-05",10.08,10.21,9.94,10.06,8382100,8.7149
"2020-10-06",10.06,10.19,9.89,9.89,7018600,8.567632
"2020-10-07",9.94,10.16,9.85,10.08,9220700,8.732226
"2020-10-08",10.11,10.16,10.05,10.13,5846700,8.775542
"2020-10-09",10.18,10.26,10.05,10.11,4588400,8.758215
"2020-10-12",10.07,10.12,9.96,10.03,8161100,8.688911
"2020-10-13",10,10.1,9.82,9.88,8922900,8.558969
"2020-10-14",9.87,9.92,9.79,9.8,7557700,8.489664
"2020-10-15",9.77,9.96,9.61,9.93,7606600,8.602283
"2020-10-16",9.88,9.96,9.75,9.86,5226300,8.541642
"2020-10-19",9.92,9.92,9.6,9.61,11361000,8.32507
"2020-10-20",9.7,9.73,9.52,9.62,8633400,8.333733
"2020-10-21",9.57,9.68,9.53,9.66,8940100,8.368383
"2020-10-22",9.66,9.72,9.55,9.68,12042900,8.38571
"2020-10-23",9.74,9.75,9.55,9.61,7411700,8.32507
"2020-10-26",9.54,9.56,9.15,9.25,13554100,8.013204
"2020-10-27",9.26,9.31,8.96,8.96,12183000,7.761979
"2020-10-28",8.9,8.92,8.58,8.71,12436700,7.545406
"2020-10-29",8.7,8.78,8.52,8.67,12001600,7.510755
"2020-10-30",8.66,8.72,8.51,8.62,11143100,7.467439
"2020-11-02",8.73,8.95,8.59,8.88,13357600,7.692675
"2020-11-03",8.98,9.19,8.9,9.11,10728300,7.891922
"2020-11-04",8.93,9.14,8.71,8.8,17473500,7.623373
"2020-11-05",9.28,9.74,9.2,9.28,25046600,8.039192
"2020-11-06",9.32,9.39,9.03,9.09,12335400,7.874598
"2020-11-09",9.38,9.55,9.16,9.25,19468600,8.013204
"2020-11-10",9.25,9.85,9.25,9.79,17308000,8.481003
"2020-11-11",9.83,9.86,9.58,9.67,10195100,8.377047
"2020-11-12",9.66,9.7,9.46,9.62,8411000,8.333733
"2020-11-13",9.63,9.9,9.63,9.85,5630300,8.53298
"2020-11-16",9.99,10.15,9.87,10.07,9663400,8.723563
"2020-11-17",10,10.2,9.88,10.14,9659300,8.784204
"2020-11-18",10.21,10.22,9.93,9.94,8031400,8.610946
"2020-11-19",9.94,9.94,9.71,9.82,9530200,8.50699
"2020-11-20",9.82,10.1,9.81,10.04,14069500,8.697576
"2020-11-23",10.16,10.55,10.11,10.47,12037300,9.070081
"2020-11-24",10.64,11.02,10.63,10.9,13541800,9.442586
"2020-11-25",10.93,10.95,10.66,10.77,9089600,9.329968
"2020-11-27",10.6,10.6,10.4,10.46,4241400,9.276754
"2020-11-30",10.59,10.6,10.36,10.45,10618800,9.267887
"2020-12-01",10.52,10.66,10.45,10.55,11115700,9.356575
"2020-12-02",10.56,10.63,10.45,10.5,6176700,9.312231
