"","LUV.Open","LUV.High","LUV.Low","LUV.Close","LUV.Volume","LUV.Adjusted"
"2020-07-01",35.290001,35.599998,33.669998,33.810001,16127000,33.810001
"2020-07-02",34.700001,34.919998,33.959999,34.119999,12300600,34.119999
"2020-07-06",34.720001,34.880001,33.150002,34.299999,16454900,34.299999
"2020-07-07",33.490002,33.540001,32.939999,33.009998,10922100,33.009998
"2020-07-08",32.560001,33.470001,32.07,32.889999,16028400,32.889999
"2020-07-09",32.470001,32.73,31.299999,31.57,17209500,31.57
"2020-07-10",31.16,33.349998,31.16,33.220001,14939500,33.220001
"2020-07-13",33.419998,33.529999,32.27,32.639999,15503400,32.639999
"2020-07-14",31.84,33.380001,31.75,33.25,11588800,33.25
"2020-07-15",35.029999,36.099998,34.27,35.75,21286100,35.75
"2020-07-16",34.830002,35.080002,33.900002,34.209999,11389900,34.209999
"2020-07-17",34.07,34.52,33.82,34.130001,7775600,34.130001
"2020-07-20",33.970001,34.299999,32.73,32.98,12541800,32.98
"2020-07-21",33.330002,34.16,33.25,33.619999,11922600,33.619999
"2020-07-22",33.5,33.91,33.049999,33.299999,10424000,33.299999
"2020-07-23",32.75,34.16,32.060001,32.790001,22888500,32.790001
"2020-07-24",32.310001,32.450001,31.57,31.66,14976700,31.66
"2020-07-27",31.57,31.93,31.24,31.530001,9759000,31.530001
"2020-07-28",31.51,32.669998,31.48,32.290001,10257600,32.290001
"2020-07-29",32.580002,32.630001,31.48,31.790001,11150800,31.790001
"2020-07-30",31.33,31.65,30.77,30.959999,12316500,30.959999
"2020-07-31",30.799999,31.02,30.24,30.889999,11115400,30.889999
"2020-08-03",30.75,32.150002,30.299999,31.58,13462200,31.58
"2020-08-04",31.700001,32.27,31.379999,31.4,12116700,31.4
"2020-08-05",31.9,33.200001,31.790001,32.720001,14899600,32.720001
"2020-08-06",33.259998,33.349998,32.32,33.02,15007900,33.02
"2020-08-07",32.84,33.299999,32.689999,33.279999,9381200,33.279999
"2020-08-10",33.650002,35.150002,33.549999,34.990002,15958000,34.990002
"2020-08-11",36.610001,37.439999,35.07,35.290001,21870300,35.290001
"2020-08-12",35.830002,36.080002,34.360001,35.25,13003000,35.25
"2020-08-13",34.709999,35.700001,34.619999,34.709999,8576800,34.709999
"2020-08-14",34.299999,35.130001,34.200001,34.900002,7373400,34.900002
"2020-08-17",35.060001,35.18,33.790001,33.810001,8113500,33.810001
"2020-08-18",33.82,34.25,33.540001,34.16,7256100,34.16
"2020-08-19",34.91,35.779999,34.150002,34.27,14959400,34.27
"2020-08-20",33.650002,34.580002,33.48,34.459999,9149300,34.459999
"2020-08-21",34.299999,35.189999,34.279999,34.689999,11435500,34.689999
"2020-08-24",35.290001,36.939999,34.959999,36.91,15211900,36.91
"2020-08-25",37.43,37.5,36.34,37.060001,11774000,37.060001
"2020-08-26",36.91,37.07,36.330002,36.380001,7938200,36.380001
"2020-08-27",37.540001,38.880001,37.310001,37.650002,14342500,37.650002
"2020-08-28",38.110001,39.060001,37.59,38.810001,14082600,38.810001
"2020-08-31",38.75,38.810001,37.580002,37.580002,9824300,37.580002
"2020-09-01",36.84,38.669998,36.560001,37.91,10868600,37.91
"2020-09-02",38.57,39.34,37.68,39.169998,11157400,39.169998
"2020-09-03",39.279999,40.66,37.849998,38.740002,16721400,38.740002
"2020-09-04",39.189999,40.07,38.060001,39.389999,15543400,39.389999
"2020-09-08",39.18,40.799999,39.18,40.5,15808600,40.5
"2020-09-09",40.09,40.439999,38.810001,39.220001,12211500,39.220001
"2020-09-10",39.52,39.950001,38.869999,38.939999,9024800,38.939999
"2020-09-11",39.049999,39.41,38.68,38.950001,8044900,38.950001
"2020-09-14",39.349998,40.25,39.060001,40.060001,9680700,40.060001
"2020-09-15",40.259998,40.98,40.099998,40.610001,10131200,40.610001
"2020-09-16",40.52,42.880001,40.279999,42.099998,19842600,42.099998
"2020-09-17",41.310001,42,40.09,40.400002,15234600,40.400002
"2020-09-18",39.77,40.509998,39.310001,39.830002,21206300,39.830002
"2020-09-21",38.049999,38.470001,36.75,37.52,14266900,37.52
"2020-09-22",37.349998,38.200001,37.110001,38.119999,10740000,38.119999
"2020-09-23",38.389999,39.279999,37.48,37.549999,6797500,37.549999
"2020-09-24",37.029999,37.419998,35.82,36.860001,10798800,36.860001
"2020-09-25",36.41,37.279999,36.310001,37.099998,9297300,37.099998
"2020-09-28",38.07,39.110001,37.57,38.240002,9235200,38.240002
"2020-09-29",38.049999,38.049999,37.189999,37.610001,5232400,37.610001
"2020-09-30",38.330002,39.080002,37.400002,37.5,10144900,37.5
"2020-10-01",37.959999,38.259998,37.389999,37.93,8186800,37.93
"2020-10-02",36.139999,39.32,36.049999,38.759998,11937400,38.759998
"2020-10-05",39.16,39.240002,38.169998,38.490002,9304300,38.490002
"2020-10-06",38.970001,39.34,37.529999,37.580002,10136000,37.580002
"2020-10-07",38,38.740002,37.709999,38.59,8679300,38.59
"2020-10-08",39,39.599998,38.029999,38.990002,9138800,38.990002
"2020-10-09",38.939999,39.799999,38.599998,39.73,10501800,39.73
"2020-10-12",39.490002,39.889999,39.049999,39.189999,7378500,39.189999
"2020-10-13",38.700001,39.439999,38.580002,39.130001,8839400,39.130001
"2020-10-14",39.25,39.990002,39.16,39.25,6905300,39.25
"2020-10-15",38.650002,38.900002,38.139999,38.799999,4492700,38.799999
"2020-10-16",39.029999,39.889999,39.009998,39.68,7333400,39.68
"2020-10-19",40,40.75,39.57,39.849998,8592200,39.849998
"2020-10-20",40.5,40.900002,40.080002,40.16,7203900,40.16
"2020-10-21",40,40.169998,39.529999,39.84,6532600,39.84
"2020-10-22",40.130001,42.549999,40.080002,41.93,13663900,41.93
"2020-10-23",42.040001,43.389999,41.529999,42.790001,12518700,42.790001
"2020-10-26",42.080002,42.48,40.400002,41.099998,9712900,41.099998
"2020-10-27",40.700001,41.02,39.779999,39.93,6525100,39.93
"2020-10-28",38.869999,39.380001,37.48,38.139999,12101000,38.139999
"2020-10-29",38.09,39.869999,37.950001,39.57,8383600,39.57
"2020-10-30",39.389999,40.200001,38.98,39.529999,11253900,39.529999
"2020-11-02",39.93,39.939999,37.950001,38.400002,11362000,38.400002
"2020-11-03",39.23,39.400002,38.669998,38.849998,7275300,38.849998
"2020-11-04",38.849998,39.650002,38.049999,38.93,8999900,38.93
"2020-11-05",39.439999,41.25,39.380001,41.049999,8070200,41.049999
"2020-11-06",40.740002,40.93,39.77,40.009998,5993300,40.009998
"2020-11-09",46.849998,49.470001,43.790001,43.889999,30140200,43.889999
"2020-11-10",43.880001,45.119999,43.330002,44.810001,16842600,44.810001
"2020-11-11",44.900002,44.91,42.66,43.220001,10332700,43.220001
"2020-11-12",41.779999,43.279999,41.400002,41.919998,11046100,41.919998
"2020-11-13",42.169998,44.150002,42.110001,43.880001,7828700,43.880001
"2020-11-16",46.060001,46.200001,44.540001,45.580002,14330000,45.580002
"2020-11-17",44.860001,46.240002,44.43,45.66,8384500,45.66
"2020-11-18",46.82,47.279999,45.599998,45.599998,11424700,45.599998
"2020-11-19",45.529999,46.459999,45.41,46.080002,6628600,46.080002
"2020-11-20",46.049999,46.049999,45.040001,45.540001,6587800,45.540001
"2020-11-23",46.110001,46.950001,45.279999,46.810001,10113000,46.810001
"2020-11-24",48.900002,49.23,47.650002,48.25,12108800,48.25
"2020-11-25",48.470001,48.57,47.5,48.27,7281800,48.27
"2020-11-27",48.25,48.740002,47.650002,47.73,4051900,47.73
"2020-11-30",47.650002,47.700001,46.040001,46.34,8791500,46.34
"2020-12-01",46.549999,48.09,46.5,47.27,7540000,47.27
"2020-12-02",46.880001,47.759998,46.459999,47.439999,6054700,47.439999
"2020-12-03",47.950001,49.529999,47.66,47.82,9892200,47.82
"2020-12-04",48.369999,48.790001,47.07,47.59,7615800,47.59
"2020-12-07",48.34,48.43,47.509998,47.889999,8097400,47.889999
"2020-12-08",47.299999,47.93,47.060001,47.279999,9132100,47.279999
"2020-12-09",47.34,47.540001,45.25,45.759998,20733700,45.759998
"2020-12-10",45.09,47,45.02,46.799999,8322900,46.799999
"2020-12-11",46,46.59,45.16,45.880001,7638000,45.880001
"2020-12-14",46.580002,46.599998,45.240002,45.259998,6939700,45.259998
"2020-12-15",45.68,46.490002,44.950001,46.419998,5969900,46.419998
"2020-12-16",46.419998,46.419998,45.27,45.73,6441800,45.73
"2020-12-17",45.799999,46.400002,45.450001,46.389999,6368700,46.389999
"2020-12-18",46.220001,46.34,45.66,46.029999,8398100,46.029999
"2020-12-21",44.759998,46.130001,44.450001,45.799999,7656900,45.799999
"2020-12-22",46,46.150002,44.98,45.32,4546200,45.32
"2020-12-23",45.470001,47.099998,45.470001,46.75,6474200,46.75
"2020-12-24",47,47.09,45.810001,46.279999,2973400,46.279999
"2020-12-28",46.869999,47.169998,46.110001,46.119999,5476600,46.119999
"2020-12-29",46.349998,46.77,45.970001,46.150002,4749500,46.150002
"2020-12-30",46.209999,46.93,46.130001,46.41,4845600,46.41
"2020-12-31",46.18,46.779999,45.68,46.610001,5305600,46.610001
"2021-01-04",46.48,46.540001,44.560001,45.040001,10256300,45.040001
"2021-01-05",44.900002,46.119999,44.84,45.639999,5204400,45.639999
"2021-01-06",45.5,46.970001,45.369999,46.75,7492800,46.75
"2021-01-07",46.75,47.84,46.73,47.330002,6282300,47.330002
"2021-01-08",47.639999,47.939999,46.709999,46.98,4770600,46.98
"2021-01-11",46.509998,48.040001,46.119999,47.439999,7911800,47.439999
"2021-01-12",47.700001,48.48,47.279999,48.130001,5356800,48.130001
"2021-01-13",47.889999,48.43,47.48,47.990002,6261900,47.990002
"2021-01-14",48.650002,49.470001,48.439999,48.82,8090600,48.82
"2021-01-15",48.580002,48.709999,46.639999,46.66,7359100,46.66
"2021-01-19",47.200001,47.650002,46.759998,46.91,4780700,46.91
"2021-01-20",47.099998,48.450001,46.900002,48.209999,6972500,48.209999
"2021-01-21",47.75,47.939999,47.119999,47.77,5662600,47.77
"2021-01-22",47.18,47.75,47.07,47.389999,4812500,47.389999
"2021-01-25",47.279999,47.34,45.169998,45.619999,13345700,45.619999
"2021-01-26",45.75,46.220001,45.599998,45.810001,5667200,45.810001
"2021-01-27",45.25,45.700001,43.869999,44.150002,10428700,44.150002
"2021-01-28",45.16,46.25,44.330002,44.599998,12404600,44.599998
"2021-01-29",44.25,44.950001,43.720001,43.939999,9854900,43.939999
"2021-02-01",44.34,45.189999,44.09,44.790001,5861200,44.790001
"2021-02-02",45.599998,46.18,45.349998,45.619999,6203500,45.619999
