"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"2020-07-01",66.169998,66.519997,64.610001,65.610001,1998400,57.105755
"2020-07-02",67.120003,68.769997,66.110001,66.959999,2279000,58.280769
"2020-07-06",68.959999,69.489998,67,68.25,1944400,59.403557
"2020-07-07",67.099998,68.059998,66.949997,67.489998,1732000,58.742069
"2020-07-08",67.580002,67.580002,64.709999,65.849998,1870000,57.314644
"2020-07-09",66.110001,66.419998,62.950001,63.110001,1991800,54.929794
"2020-07-10",63.380001,65.599998,63.240002,65.040001,1715300,56.609638
"2020-07-13",65.769997,66.449997,64.75,65.339996,2546500,56.870747
"2020-07-14",65.339996,67.019997,65,66.959999,1563800,58.280769
"2020-07-15",69.050003,69.379997,67.139999,68.879997,1546200,59.951897
"2020-07-16",68.559998,69.93,67.720001,68.860001,1032400,59.934494
"2020-07-17",69.059998,69.699997,68.080002,68.5,1172800,59.621155
"2020-07-20",68.07,68.940002,66.629997,66.800003,1176800,58.141514
"2020-07-21",67.510002,69.279999,67.510002,68.07,1380200,59.246895
"2020-07-22",67.959999,69,67.339996,68.370003,2830300,59.508007
"2020-07-23",68.18,69.309998,66.93,68.889999,1660100,59.960602
"2020-07-24",69.050003,69.529999,67.940002,68.5,1328900,59.621155
"2020-07-27",68.75,69.989998,67.839996,69.769997,1008900,60.72654
"2020-07-28",69.18,69.839996,67.470001,67.580002,1749600,58.820408
"2020-07-29",67.860001,68.349998,67.349998,67.980003,1743400,59.168568
"2020-07-30",66.510002,66.720001,64.809998,65.290001,2384500,56.827229
"2020-07-31",64.169998,64.669998,61.52,62.52,2947500,54.416271
"2020-08-03",63.049999,63.810001,62.110001,62.130001,2406100,54.076828
"2020-08-04",62.52,65.150002,61.610001,64.809998,2478800,56.409451
"2020-08-05",65.910004,67.309998,65.480003,65.830002,1981300,57.297237
"2020-08-06",65.540001,66.059998,64.610001,65.440002,1843100,56.957794
"2020-08-07",64.68,66.720001,64.639999,66.690002,1337700,58.045769
"2020-08-10",67.050003,70.349998,67.010002,70.190002,2283800,61.092113
