"","L.Open","L.High","L.Low","L.Close","L.Volume","L.Adjusted"
"2020-07-01",34.18,34.560001,33.459999,33.540001,984500,33.214012
"2020-07-02",34.439999,34.970001,33.560001,33.689999,992000,33.362553
"2020-07-06",34.529999,35.169998,34.369999,34.52,852100,34.184486
"2020-07-07",34.169998,34.299999,33.560001,33.669998,727300,33.342751
"2020-07-08",33.380001,34.25,33.380001,33.919998,880700,33.590317
"2020-07-09",33.66,33.970001,32.349998,32.82,1066900,32.501007
"2020-07-10",32.919998,34.529999,32.73,34.5,1003900,34.16468
"2020-07-13",34.709999,35.23,34.450001,34.669998,920500,34.333031
"2020-07-14",34.98,35.650002,34.540001,35.52,800900,35.17477
"2020-07-15",36.360001,36.700001,35.66,36.049999,754500,35.699612
"2020-07-16",35.830002,36.77,35.57,36.240002,465600,35.887772
"2020-07-17",36.299999,36.419998,35.950001,36.169998,737900,35.818451
"2020-07-20",35.91,36.009998,35.240002,35.439999,729600,35.095547
"2020-07-21",35.700001,36.830002,35.540001,36.450001,863300,36.095726
"2020-07-22",35.970001,36.73,35.830002,36.669998,603400,36.313587
"2020-07-23",36.630001,37.27,36.57,37.060001,544300,36.699806
"2020-07-24",37.290001,37.540001,36.77,36.869999,751300,36.51165
"2020-07-27",36.669998,36.669998,35.939999,36.279999,493200,35.927383
"2020-07-28",36.130001,36.630001,36.040001,36.380001,721500,36.026409
"2020-07-29",36.400002,37.459999,36.400002,37.369999,683100,37.00679
"2020-07-30",36.349998,36.900002,35.799999,36.529999,636600,36.174953
"2020-07-31",36.509998,36.580002,35.75,36.41,655700,36.056118
"2020-08-03",33.98,36.049999,33.700001,35.599998,1471700,35.25399
"2020-08-04",35.5,35.779999,35.099998,35.380001,904700,35.036129
"2020-08-05",36.029999,36.880001,35.810001,36.48,897300,36.125435
"2020-08-06",36.25,37.18,36.25,36.509998,767900,36.155148
"2020-08-07",36.380001,37.790001,36.380001,37.759998,605000,37.392994
"2020-08-10",37.959999,38.799999,37.860001,38.599998,804400,38.224827
"2020-08-11",39.580002,40.18,38.580002,38.610001,1215600,38.234737
"2020-08-12",39.400002,39.439999,38.009998,38.139999,781700,37.769302
"2020-08-13",37.580002,38.330002,37.290001,37.860001,541100,37.49202
"2020-08-14",37.490002,38.060001,37.32,37.610001,577900,37.244457
"2020-08-17",37.610001,37.73,36.75,36.799999,567200,36.442322
"2020-08-18",36.860001,37.490002,36.23,36.369999,1233300,36.07827
"2020-08-19",36.57,36.939999,36.02,36.209999,852100,35.919556
"2020-08-20",35.75,36.25,35.599998,35.610001,657300,35.324368
"2020-08-21",35.639999,35.970001,35.16,35.32,860500,35.036694
"2020-08-24",35.450001,36.610001,35.450001,36.610001,1080900,36.316345
"2020-08-25",37.07,37.139999,36.189999,36.48,776200,36.187386
"2020-08-26",36.32,36.459999,35.630001,35.900002,974400,35.612041
"2020-08-27",36.09,37.049999,35.93,36.779999,612600,36.484982
"2020-08-28",37,37,36.080002,36.919998,594800,36.623856
"2020-08-31",36.709999,36.779999,35.84,35.860001,1274000,35.572365
"2020-09-01",35.580002,36.639999,35.310001,36.169998,989200,35.879875
"2020-09-02",36.009998,36.779999,35.860001,36.599998,1304400,36.306423
"2020-09-03",37.029999,37.900002,36.34,36.619999,1050700,36.326263
"2020-09-04",37.25,37.57,36.57,36.869999,846900,36.574265
"2020-09-08",36.439999,36.529999,35.25,35.630001,1103100,35.344212
"2020-09-09",36.029999,36.349998,35.610001,35.810001,1042500,35.52277
"2020-09-10",36.130001,36.439999,35.130001,35.16,959100,34.877979
"2020-09-11",34.970001,35.599998,34.669998,35.27,1009200,34.987095
"2020-09-14",35.560001,36.470001,35.330002,36.099998,1022600,35.810432
"2020-09-15",36.169998,36.57,35.349998,35.389999,1241000,35.106125
"2020-09-16",35.650002,37.5,35.439999,37.07,2435600,36.772659
"2020-09-17",36.610001,37.25,36.400002,36.990002,923800,36.693298
