"","MAA.Open","MAA.High","MAA.Low","MAA.Close","MAA.Volume","MAA.Adjusted"
"2020-07-01",115.029999,117.959999,114.220001,117.669998,504100,110.73613
"2020-07-02",119.519997,119.559998,116.32,117.529999,601500,110.604385
"2020-07-06",120.019997,120.080002,115.959999,116.029999,396400,109.192772
"2020-07-07",114.440002,115.900002,113.879997,114.57,544400,107.818802
"2020-07-08",114.57,115.18,113.379997,113.82,662100,107.113007
"2020-07-09",113.279999,113.279999,111.25,112.559998,466600,105.927231
"2020-07-10",112.489998,114.330002,112.029999,113.599998,530900,106.905968
"2020-07-13",114.099998,114.099998,112.190002,112.339996,571100,105.7202
"2020-07-14",111.57,113.489998,111.5,112.940002,652400,107.239456
"2020-07-15",114.519997,114.699997,112.139999,112.43,696700,106.755188
"2020-07-16",111.699997,112.879997,111.190002,112.019997,465900,106.365875
"2020-07-17",112.5,113.620003,111.459999,112.919998,489000,107.220467
"2020-07-20",112.309998,113.07,109.080002,110.019997,421000,104.466827
"2020-07-21",110.620003,111.150002,108.860001,109.360001,439000,103.840141
"2020-07-22",108.809998,112.870003,108.629997,112.169998,984700,106.508308
"2020-07-23",111.879997,112.75,110.419998,111.650002,422900,106.014565
"2020-07-24",112.129997,112.209999,110.709999,111.269997,443900,105.65374
"2020-07-27",110.809998,110.809998,109.059998,110.32,429100,104.751694
"2020-07-28",110.400002,113.629997,109.879997,112.989998,514600,107.286919
"2020-07-29",113.779999,114.5,111.940002,113.919998,549300,108.169991
"2020-07-30",112.690002,118.760002,112.669998,117.519997,857500,111.588287
"2020-07-31",117.029999,119.199997,114.75,119.190002,720400,113.173988
"2020-08-03",118.559998,118.559998,115.400002,116.879997,537500,110.980576
"2020-08-04",116.440002,117.739998,115,116.919998,603500,111.018555
"2020-08-05",117.540001,117.620003,115.519997,116.260002,287200,110.391876
"2020-08-06",115.739998,116.919998,115.370003,116.5,375700,110.619766
"2020-08-07",115.82,116.870003,115.559998,116.489998,454200,110.61026
"2020-08-10",116.940002,118.389999,116.349998,117.050003,575500,111.141998
"2020-08-11",118.089996,119.25,116.139999,116.709999,561900,110.81916
"2020-08-12",117.129997,117.519997,116.050003,117.089996,260100,111.179977
"2020-08-13",116.440002,117.93,115.440002,115.690002,389700,109.850647
"2020-08-14",115.550003,116.220001,114.309998,114.860001,765600,109.062538
"2020-08-17",114.949997,116.230003,114.040001,116.040001,283900,110.182976
"2020-08-18",116.279999,116.519997,114.43,116.07,320600,110.211472
"2020-08-19",116.059998,116.059998,112.660004,113.279999,623400,107.562286
"2020-08-20",112.839996,115.269997,112.839996,114.830002,384400,109.03405
"2020-08-21",115.25,115.470001,113.110001,114.839996,308000,109.043541
"2020-08-24",114.699997,115.830002,112.849998,115.690002,353600,109.850647
"2020-08-25",115.739998,116.190002,114.879997,116.190002,336800,110.325401
"2020-08-26",115.489998,116.32,113.260002,113.650002,394500,107.913605
"2020-08-27",114.330002,116.559998,114.230003,116.379997,331200,110.505814
"2020-08-28",116.620003,117.190002,115.190002,117.160004,392300,111.246452
"2020-08-31",116.660004,117.349998,115.800003,117.120003,481200,111.208466
"2020-09-01",116.5,116.660004,114.800003,116.550003,364800,110.667236
"2020-09-02",116.440002,118.879997,115.25,118.669998,872400,112.680229
"2020-09-03",119.300003,120.830002,117.029999,117.830002,520000,111.882629
"2020-09-04",118.120003,119.43,116.059998,118.349998,477500,112.376389
"2020-09-08",117.970001,118.25,115.010002,115.68,639500,109.841156
"2020-09-09",116.120003,118.379997,115.389999,116.440002,488700,110.56279
"2020-09-10",116.290001,117.410004,114.309998,116.440002,696900,110.56279
"2020-09-11",116.449997,116.449997,114.959999,115.910004,581500,110.059547
"2020-09-14",116.989998,120.089996,116.440002,119.650002,471500,113.610764
"2020-09-15",119.610001,120.839996,118.050003,118.57,308300,112.585281
"2020-09-16",119.440002,120.550003,117.949997,118.190002,551200,112.224457
"2020-09-17",117.360001,118.360001,115.699997,117.139999,650400,111.227455
"2020-09-18",116.32,117.379997,114.68,114.93,1150800,109.129013
"2020-09-21",113.379997,114.300003,111.190002,113.169998,752000,107.45784
"2020-09-22",113.410004,116,113.410004,115.18,727400,109.366394
"2020-09-23",115.379997,115.720001,113.040001,113.419998,653900,107.695229
"2020-09-24",113.040001,113.959999,111.269997,112.389999,502700,106.717201
"2020-09-25",111.889999,115.519997,111.220001,115.379997,693800,109.55629
"2020-09-28",116.830002,118.169998,116.150002,117.139999,412900,111.227455
"2020-09-29",116.919998,117.43,114.639999,115.339996,279900,109.518311
"2020-09-30",116.07,116.629997,114.440002,115.949997,761600,110.097511
"2020-10-01",116,120.330002,115.559998,120.290001,740500,114.21846
"2020-10-02",118.809998,124.330002,117.419998,123.709999,852700,117.465836
"2020-10-05",124.559998,124.879997,122.480003,124.5,583800,118.215981
"2020-10-06",124.870003,125.239998,122.830002,123.540001,610400,117.304428
