"","MAS.Open","MAS.High","MAS.Low","MAS.Close","MAS.Volume","MAS.Adjusted"
"2020-07-01",50.439999,50.439999,49.200001,49.650002,2276300,48.225727
"2020-07-02",50.259998,50.959999,49.82,50.139999,2163100,48.701672
"2020-07-06",51.040001,51.18,50.080002,50.34,2511400,48.895939
"2020-07-07",50.09,50.779999,49.880001,50.02,2116800,48.585117
"2020-07-08",49.959999,50.549999,49.650002,50.189999,2176200,48.750237
"2020-07-09",50.119999,50.25,49.310001,49.689999,1848500,48.394753
"2020-07-10",49.860001,50.02,49.32,49.799999,1674300,48.501888
"2020-07-13",50.119999,50.98,49.880001,49.950001,2411500,48.64798
"2020-07-14",50.02,51.07,49.790001,51.029999,3162300,49.699825
"2020-07-15",51.599998,51.830002,51.209999,51.529999,2431300,50.186798
"2020-07-16",51.66,52.400002,51.560001,52.34,1838500,50.975677
"2020-07-17",52.540001,53.41,52.380001,53.310001,2402800,51.920395
"2020-07-20",53.099998,53.610001,52.860001,53.419998,2167200,52.027523
"2020-07-21",53.84,53.990002,53.549999,53.900002,1651800,52.49501
"2020-07-22",53.849998,55.25,53.799999,55.150002,1744800,53.712433
"2020-07-23",55.360001,55.360001,53.98,54.299999,2341900,52.884583
"2020-07-24",54.349998,54.380001,53.810001,54.099998,1806500,52.6898
"2020-07-27",54.02,56.029999,54.02,55.889999,2190700,54.43314
"2020-07-28",55.5,55.560001,54.34,54.48,2514800,53.059898
"2020-07-29",54.82,56.5,54.82,56.34,2157800,54.87141
"2020-07-30",55.080002,57.849998,54.889999,57.029999,2714300,55.543427
"2020-07-31",57.200001,57.349998,56.099998,57.16,2861000,55.670036
"2020-08-03",57.470001,57.959999,57.220001,57.720001,1703600,56.215443
"2020-08-04",57.299999,57.580002,56.970001,57.259998,2006600,55.767429
"2020-08-05",57.650002,58.150002,56.799999,57.09,2177400,55.601864
"2020-08-06",57.16,57.52,56.84,57.43,1407800,55.932999
"2020-08-07",57.259998,58.18,57.259998,58.169998,1702200,56.653706
"2020-08-10",58.169998,58.529999,57.880001,58.330002,1665900,56.80954
"2020-08-11",58.549999,58.650002,56.98,57.169998,2659400,55.679775
"2020-08-12",57.610001,58.380001,57.43,58.209999,1558000,56.692669
"2020-08-13",57.919998,58.470001,57.799999,58.220001,1630600,56.702408
"2020-08-14",57.98,58.419998,57.759998,57.959999,957900,56.449184
"2020-08-17",58.119999,59.299999,58.02,59.189999,1265600,57.647118
"2020-08-18",59.619999,60.099998,58.799999,58.900002,1896100,57.364685
"2020-08-19",58.810001,58.959999,58.34,58.5,1070500,56.975109
"2020-08-20",58.209999,58.689999,57.830002,58,902100,56.488148
"2020-08-21",58.200001,58.73,58,58.700001,1094100,57.169899
"2020-08-24",59.040001,59.23,58.700001,59.07,961700,57.530251
"2020-08-25",59.389999,59.529999,58.82,59.34,1510400,57.793213
"2020-08-26",59.549999,59.549999,58.75,59.099998,1280500,57.559471
"2020-08-27",59.450001,59.450001,58.23,58.400002,1198700,56.87772
"2020-08-28",58.490002,58.84,58.110001,58.540001,1634900,57.014065
"2020-08-31",58.700001,58.950001,58.119999,58.299999,1800800,56.780327
"2020-09-01",58.32,59.389999,57.939999,59.360001,1416900,57.812691
"2020-09-02",59.549999,60.07,58.779999,59.830002,1568700,58.270443
"2020-09-03",59.669998,59.700001,56.610001,57.16,1757600,55.670036
"2020-09-04",57.529999,57.790001,55.349998,56.419998,1510800,54.949326
"2020-09-08",55.959999,56.869999,55.48,56,1659900,54.540279
"2020-09-09",56.560001,58.32,56.560001,57.950001,1670500,56.439442
"2020-09-10",58.009998,58.5,57.470001,57.689999,1657600,56.186226
"2020-09-11",58.220001,58.889999,57.91,58.540001,1595300,57.014065
"2020-09-14",59.029999,59.580002,58.82,59.400002,1821000,57.85165
"2020-09-15",59.630001,59.880001,58.990002,59.150002,1850700,57.608162
"2020-09-16",59.509998,60.16,58.91,59.07,2174100,57.530251
"2020-09-17",58.34,58.5,56.830002,57.549999,2749000,56.04987
"2020-09-18",57.209999,58.5,57.209999,57.689999,3341000,56.186226
"2020-09-21",56.810001,56.98,54.900002,55.889999,2164200,54.43314
"2020-09-22",56,56.740002,55.830002,56.580002,2451000,55.10516
"2020-09-23",56.619999,56.689999,54.119999,54.279999,2318600,52.865112
"2020-09-24",54.349998,55.209999,54.080002,54.490002,3164900,53.069637
"2020-09-25",54.119999,55.349998,53.93,54.990002,1874700,53.556606
"2020-09-28",55.709999,57.02,55.540001,56.720001,2439000,55.241508
"2020-09-29",56.610001,57.049999,56.040001,56.119999,1448600,54.657139
"2020-09-30",55.23,56.900002,54.529999,55.130001,4448500,53.692951
"2020-10-01",55.669998,56.150002,54.650002,55.139999,2476300,53.70269
"2020-10-02",54.330002,55.639999,54.290001,55.290001,1404100,53.848789
"2020-10-05",55.900002,56.220001,55.450001,56.07,1408000,54.608456
"2020-10-06",56.25,56.290001,54.32,54.349998,2046400,52.933285
"2020-10-07",55.060001,56.169998,55,55.889999,1716000,54.43314
"2020-10-08",56.169998,57.380001,55.970001,57.34,1745500,55.985588
"2020-10-09",57.869999,58.43,57.439999,57.470001,1811900,56.112518
"2020-10-12",57.860001,58.049999,57.299999,57.68,2278000,56.317558
"2020-10-13",57.669998,57.900002,56.43,56.709999,1786900,55.370472
"2020-10-14",57.049999,57.610001,56.810001,56.880001,1078900,55.536453
"2020-10-15",56.279999,57.560001,56.25,57.450001,959700,56.092987
"2020-10-16",57.669998,58.540001,57.389999,57.459999,1268700,56.102753
"2020-10-19",57.490002,57.599998,55.689999,55.869999,1150100,54.550308
"2020-10-20",56.299999,57.040001,56.009998,56.18,1444000,54.852989
"2020-10-21",56.110001,56.93,55.84,56.110001,1389800,54.784637
"2020-10-22",56.220001,56.689999,55.419998,55.439999,1403400,54.130463
"2020-10-23",55.740002,55.900002,54.240002,54.759998,2142200,53.466526
