"","MCHP.Open","MCHP.High","MCHP.Low","MCHP.Close","MCHP.Volume","MCHP.Adjusted"
"2020-07-01",52.564999,52.740002,51.555,51.560001,3124200,50.273369
"2020-07-02",52.700001,53.139999,51.970001,52.305,4249600,50.99979
"2020-07-06",53.369999,54.435001,53.005001,53.875,3078200,52.530609
"2020-07-07",53.645,53.935001,52.400002,52.494999,4642200,51.18504
"2020-07-08",52.48,52.700001,51.264999,51.990002,9480800,50.69265
"2020-07-09",51.91,54.669998,50.799999,53.775002,10115800,52.433098
"2020-07-10",54.299999,54.299999,52.610001,53.305,3956000,51.974831
"2020-07-13",54.360001,55.060001,52.23,52.285,6849800,50.980282
"2020-07-14",51.939999,53.924999,51.654999,53.785,6773400,52.442852
"2020-07-15",54.185001,54.424999,53.355,53.939999,3273600,52.593983
"2020-07-16",53.07,53.419998,52.509998,52.82,3763000,51.501934
"2020-07-17",53.235001,53.555,52.615002,52.834999,4083400,51.516556
"2020-07-20",53.049999,53.955002,52.494999,53.84,4115600,52.496479
"2020-07-21",53.869999,54.325001,53.189999,53.345001,3815400,52.013836
"2020-07-22",53.57,53.695,52.185001,52.244999,4412200,50.94128
"2020-07-23",52.195,52.465,50.415001,50.764999,5990200,49.498211
"2020-07-24",50.330002,51.279999,49.665001,50.105,4743600,48.854683
"2020-07-27",50.904999,52.185001,50.625,51.544998,5619400,50.258747
"2020-07-28",51.279999,51.279999,50.035,50.259998,3060000,49.005817
"2020-07-29",50.5,51.595001,50.345001,51.345001,3690600,50.063744
"2020-07-30",50.259998,51.189999,49.875,51.125,4285400,49.849228
"2020-07-31",51.095001,51.325001,50.209999,50.865002,3117000,49.595718
"2020-08-03",51.255001,52.580002,51.134998,52.435001,3818600,51.126545
"2020-08-04",52.110001,53.825001,52.095001,53.66,5552400,52.320976
"2020-08-05",50.035,50.380001,48.93,49.25,14825200,48.021019
"2020-08-06",49.005001,49.595001,48.755001,49.595001,4484000,48.35741
"2020-08-07",49.59,49.900002,48.834999,49.485001,4364800,48.25016
"2020-08-10",49.299999,50.165001,49.220001,50.130001,3351600,48.879059
"2020-08-11",50.299999,51.575001,50.240002,50.32,5258200,49.064312
"2020-08-12",50.93,51.209999,50.52,51.044998,3433000,49.771225
"2020-08-13",51.145,51.154999,50.049999,50.290001,3573000,49.035069
"2020-08-14",50.195,50.535,49.965,50.099998,2421000,48.849804
"2020-08-17",50.299999,51.790001,50.220001,51.68,4051600,50.390381
"2020-08-18",51.955002,53.830002,51.764999,53.674999,11282600,52.335594
"2020-08-19",53.834999,55.494999,53.505001,54.060001,10292400,52.710995
"2020-08-20",53.264999,53.674999,52.09,52.459999,4165600,51.325607
"2020-08-21",52.299999,54.195,51.744999,53.965,7764800,52.798069
"2020-08-24",54.195,54.709999,52.669998,53.709999,5905400,52.54858
"2020-08-25",53.75,54.595001,53.605,54.5,3296000,53.321495
"2020-08-26",53.91,54.305,53.564999,53.814999,3297400,52.651306
"2020-08-27",54.66,54.66,53.205002,53.705002,2623000,52.54369
"2020-08-28",53.849998,55.275002,53.73,55.259998,3311400,54.065063
"2020-08-31",55,55.220001,54.575001,54.849998,4022600,53.663921
"2020-09-01",54.959999,56.195,54.605,56.174999,3745400,54.960274
"2020-09-02",56.5,57.555,55.75,57.345001,4861600,56.104973
"2020-09-03",56.685001,56.715,54.110001,54.505001,4831600,53.326389
"2020-09-04",54.330002,54.849998,52.330002,54.075001,4422800,52.905685
"2020-09-08",52.485001,53.125,51.395,51.439999,4376000,50.327663
"2020-09-09",50.994999,51.645,50.419998,50.724998,6858200,49.628128
"2020-09-10",51.27,52.014999,49.965,50.299999,4729200,49.212315
"2020-09-11",50.75,51.209999,49.785,50.349998,2530000,49.26123
"2020-09-14",51.525002,51.669998,50.794998,51.105,2656400,49.999912
"2020-09-15",51.735001,52.105,51.285,51.810001,2284600,50.689663
"2020-09-16",52.095001,52.709999,51.645,51.785,3164600,50.665203
"2020-09-17",50.029999,51.919998,49.915001,51.759998,2963400,50.640747
"2020-09-18",51.895,52.154999,49.904999,50.700001,9391600,49.603668
"2020-09-21",49.75,49.91,48.080002,49.25,4684800,48.185017
"2020-09-22",49.5,49.735001,48.994999,49.599998,3161400,48.527447
"2020-09-23",49.625,50.154999,48.650002,48.825001,3568600,47.769211
"2020-09-24",48.41,49.549999,48.154999,48.875,2916000,47.818134
"2020-09-25",48.674999,49.634998,47.764999,49.525002,2865000,48.454079
"2020-09-28",50.555,51.544998,50.255001,51.535,3912400,50.420609
"2020-09-29",51.369999,52.02,51.005001,51.369999,2786000,50.259182
"2020-09-30",51.52,52.334999,51.215,51.380001,4817800,50.268963
"2020-10-01",53.040001,54.005001,52.505001,53.525002,4888800,52.367577
"2020-10-02",52.125,53.665001,51.880001,51.880001,3328200,50.758148
"2020-10-05",52.369999,53.705002,52.369999,53.654999,2674000,52.49477
"2020-10-06",53.669998,54.945,53.130001,53.244999,2573000,52.093632
"2020-10-07",54.189999,54.59,53.865002,54.395,2700600,53.218765
"2020-10-08",54.895,55.91,54.650002,55.790001,3568400,54.583599
"2020-10-09",57.119999,58.279999,56.610001,56.990002,3205600,55.757652
"2020-10-12",57.68,57.75,56.810001,57.064999,4049400,55.831032
"2020-10-13",56.380001,56.5,55.540001,55.790001,3774600,54.583599
"2020-10-14",55.790001,56.150002,55.23,55.375,2385800,54.177574
"2020-10-15",54.689999,55.73,54.43,55.669998,1973400,54.46619
"2020-10-16",55.880001,56.169998,55.365002,55.404999,2875000,54.206928
"2020-10-19",57.494999,57.52,55.5,55.830002,3095000,54.622738
"2020-10-20",56.105,56.889999,55.610001,55.615002,2463800,54.412388
"2020-10-21",55.68,56.154999,54.919998,55.240002,2227400,54.045498
"2020-10-22",55.255001,56.439999,54.775002,56.259998,3584800,55.043438
"2020-10-23",56.68,56.68,55.860001,56.259998,1908000,55.043438
"2020-10-26",55.650002,55.779999,54.029999,54.865002,2010000,53.6786
"2020-10-27",54.82,55.290001,53.830002,53.974998,2127800,52.807846
"2020-10-28",53.025002,53.259998,51.200001,51.27,4240000,50.161343
"2020-10-29",51.235001,53.779999,51.174999,53.174999,3544800,52.025143
"2020-10-30",52.5,53.200001,51.865002,52.540001,3322400,51.403881
"2020-11-02",53.435001,53.490002,51.994999,52.555,2668200,51.41856
"2020-11-03",53.145,54.82,53.105,54.485001,3229800,53.306816
"2020-11-04",56.084999,57.040001,54.27,56.66,4034800,55.434788
"2020-11-05",57.654999,59.314999,57.005001,59.189999,5205000,57.91008
"2020-11-06",61.16,63.395,60.025002,62.639999,7042000,61.285477
"2020-11-09",65.495003,65.824997,63.145,63.255001,4916000,61.887184
"2020-11-10",62.294998,62.855,60.625,60.959999,4951000,59.641808
"2020-11-11",61.869999,63.494999,61.505001,63.125,4058200,61.759991
"2020-11-12",62.865002,63.275002,61.465,61.73,2229400,60.395149
"2020-11-13",62.575001,63.57,62.355,63.075001,1874200,61.711071
"2020-11-16",63.919998,64.870003,63.154999,64.824997,2011800,63.423225
"2020-11-17",63.810001,64.254997,62.985001,63.685001,2496800,62.307884
"2020-11-18",63.634998,63.895,62.369999,62.424999,2602800,61.075127
"2020-11-19",61.645,63.84,61.445,63.755001,2688200,62.561268
"2020-11-20",64.959999,67.644997,64.68,65.489998,13091000,64.263779
"2020-11-23",65.349998,66.195,64.779999,65.809998,4776200,64.577789
"2020-11-24",66.485001,67.32,65.510002,66.779999,2678400,65.529633
"2020-11-25",66.230003,66.764999,65.599998,65.959999,2448800,64.724983
"2020-11-27",66.885002,66.995003,66.150002,66.504997,1332400,65.259766
"2020-11-30",66.5,67.404999,65.660004,67.195,3755400,65.936859
"2020-12-01",68.495003,69.419998,66.934998,68.485001,4708000,67.202705
"2020-12-02",67.739998,69,67.690002,68.690002,3293600,67.403862
"2020-12-03",68.904999,70.260002,68.565002,69.254997,5965200,67.95829
"2020-12-04",69.300003,72.245003,69.160004,72.120003,4494400,70.769646
"2020-12-07",71.879997,72.669998,71.300003,72.495003,2464800,71.137627
"2020-12-08",71.875,72.635002,71.584999,72.375,2637600,71.019875
"2020-12-09",71.375,72.135002,69.110001,69.900002,5381400,68.591217
"2020-12-10",69.779999,71.025002,69.285004,69.955002,3118400,68.645187
"2020-12-11",68.989998,70.68,68.779999,70.305,3064400,68.988625
"2020-12-14",70.885002,71.5,70.339996,70.75,2765800,69.425301
"2020-12-15",71.879997,71.989998,70.055,70.580002,4082400,69.258469
"2020-12-16",70.514999,70.93,69.004997,69.410004,6001200,68.11039
"2020-12-17",70.440002,70.839996,69.644997,69.860001,3101000,68.551964
"2020-12-18",70.290001,70.290001,68.345001,69.004997,9038800,67.712967
"2020-12-21",67.43,69.190002,67.239998,69,4430600,67.708069
"2020-12-22",68.934998,69.550003,68.055,68.474998,3867600,67.192886
"2020-12-23",68.415001,68.970001,67.934998,68,2114600,66.726791
"2020-12-24",68.120003,68.75,67.650002,68.385002,903800,67.104576
"2020-12-28",69.044998,69.290001,67.959999,68.125,1569600,66.849442
"2020-12-29",68.764999,68.764999,66.980003,67.580002,1937200,66.314651
"2020-12-30",68.285004,68.629997,67.800003,68.394997,2787400,67.114388
"2020-12-31",68.315002,69.095001,67.815002,69.055,1594200,67.762039
"2021-01-04",69.474998,71.129997,68.209999,68.589996,4297000,67.30574
"2021-01-05",68.775002,70.169998,68.644997,70.095001,3788000,68.78257
"2021-01-06",70.910004,73.449997,70.099998,71.440002,5817200,70.102379
"2021-01-07",72.364998,74.68,72.315002,74.349998,6604600,72.957886
"2021-01-08",75.834999,76.425003,73.18,73.699997,5197600,72.320068
"2021-01-11",72.519997,74.239998,72.334999,73.904999,5742200,72.521233
"2021-01-12",73.785004,75.205002,72.720001,74.660004,5666800,73.262093
"2021-01-13",74.894997,75.779999,74.385002,75.349998,2766400,73.939156
"2021-01-14",75.815002,77.135002,75.695,76.639999,3068000,75.205025
"2021-01-15",76.169998,76.300003,74.184998,74.279999,3121000,72.889206
"2021-01-19",75.345001,76.879997,74.824997,76.625,2490600,75.190292
"2021-01-20",77.239998,77.68,76,76.190002,2628200,74.763435
"2021-01-21",76.504997,76.800003,75.279999,76.160004,2250800,74.734001
"2021-01-22",75.650002,76.084999,74.915001,75.065002,1968200,73.659508
"2021-01-25",75.385002,75.839996,73.415001,74.589996,2765800,73.193398
"2021-01-26",74.589996,74.589996,72.269997,72.489998,3401000,71.132721
"2021-01-27",69.724998,69.815002,66.269997,66.519997,7075400,65.27449
"2021-01-28",68.440002,70.209999,67.510002,69.324997,6000400,68.02697
"2021-01-29",68.660004,69.300003,67.195,68.055,3475200,66.780762
"2021-02-01",69.849998,71.360001,68.809998,71.125,3965800,69.793266
"2021-02-02",72.370003,73.440002,70.949997,71.959999,3178600,70.612648
"2021-02-03",71.410004,72.235001,69.809998,69.934998,4960400,68.625549
"2021-02-04",70.154999,72.919998,69.315002,71.870003,8327800,70.52433
"2021-02-05",73.25,73.5,70.125,72.720001,5960000,71.358414
