"","MCO.Open","MCO.High","MCO.Low","MCO.Close","MCO.Volume","MCO.Adjusted"
"2020-07-01",274.630005,280.130005,273.970001,278.390015,517300,273.935669
"2020-07-02",282.850006,284.209991,277.820007,278.01001,489500,273.561737
"2020-07-06",282.200012,287.309998,282.070007,283.649994,686300,279.111481
"2020-07-07",281.970001,287.98999,280.339996,285.369995,679600,280.803955
"2020-07-08",287.23999,294.390015,287.23999,294.23999,692600,289.532043
"2020-07-09",294.829987,296.660004,290.339996,294.290009,610200,289.581207
"2020-07-10",293.570007,294.269989,290.579987,292.920013,432000,288.233124
"2020-07-13",294.76001,296.410004,284.339996,285.76001,558800,281.187714
"2020-07-14",284.48999,291.429993,282.859985,291.23999,543700,286.579987
"2020-07-15",296.160004,296.359985,290.149994,293.519989,478400,288.823517
"2020-07-16",291.279999,292.440002,286.230011,289.380005,484900,284.749756
"2020-07-17",291.089996,292.820007,288.75,292.51001,493100,287.829712
"2020-07-20",292.970001,295.320007,291.970001,293.929993,446600,289.22702
"2020-07-21",296.109985,296.109985,289.98999,290.880005,538600,286.225769
"2020-07-22",290.350006,293.920013,290.350006,293.5,575000,288.803864
"2020-07-23",293.549988,295.75,286.350006,288.119995,535600,283.509949
"2020-07-24",288.049988,290.959991,284.359985,289.679993,583600,285.045013
"2020-07-27",289.980011,295.529999,288.369995,289.5,943300,284.867859
"2020-07-28",289.190002,289.190002,282.079987,282.660004,780900,278.137329
"2020-07-29",282.899994,292.130005,282.269989,291.359985,694900,286.698059
"2020-07-30",285.25,288.600006,280.079987,283.769989,760700,279.229553
"2020-07-31",285.380005,285.380005,276.720001,281.299988,925600,276.799042
"2020-08-03",284.950012,286.339996,279.899994,280.630005,546500,276.139832
"2020-08-04",279.040009,279.959991,271.320007,276,807100,271.583893
"2020-08-05",275.910004,278.630005,274.320007,277.619995,761900,273.177948
"2020-08-06",276.549988,279.339996,274.410004,279.320007,574100,274.850769
"2020-08-07",277.609985,277.820007,272.700012,275.519989,548500,271.111542
"2020-08-10",273.549988,274.980011,270.549988,271.149994,486700,266.811493
"2020-08-11",272.76001,276.609985,268.190002,274.529999,825700,270.13736
"2020-08-12",277.119995,282.149994,277.119995,278.839996,579500,274.378418
"2020-08-13",278.440002,282.869995,277.809998,281.970001,506100,277.458344
"2020-08-14",282.709991,283.75,279.76001,281.049988,428300,276.55307
"2020-08-17",281.410004,285.049988,281.369995,283.619995,507700,279.08194
"2020-08-18",283.51001,286.98999,282.640015,285.48999,589900,280.922028
"2020-08-19",286.119995,288.359985,281.540009,281.690002,578800,277.72757
"2020-08-20",279.799988,284.839996,279.019989,283.459991,581800,279.472687
"2020-08-21",284.480011,285.269989,281.070007,284.470001,906900,280.468506
"2020-08-24",286.440002,286.559998,283.880005,284.220001,787400,280.222015
"2020-08-25",286.019989,286.019989,283.480011,285.380005,589200,281.365692
"2020-08-26",285.040009,293.75,284.019989,291.950012,533000,287.843292
"2020-08-27",292.440002,295.149994,289.98999,292.160004,403000,288.050354
"2020-08-28",293.359985,294.980011,291.630005,294.390015,404100,290.248962
