"","MDT.Open","MDT.High","MDT.Low","MDT.Close","MDT.Volume","MDT.Adjusted"
"2020-07-01",91.779999,92.730003,91.459999,92.32,4328700,88.211227
"2020-07-02",93.309998,94.419998,92.970001,93.160004,3937800,89.013847
"2020-07-06",94.120003,94.82,92.5,93.209999,4366400,89.061615
"2020-07-07",92.07,93.089996,91.449997,91.669998,4045600,87.590141
"2020-07-08",91.620003,92.010002,90.639999,91.610001,3956300,87.532829
"2020-07-09",91.440002,91.790001,89.220001,90.129997,4061100,86.11869
"2020-07-10",89.68,90.970001,89.370003,90.809998,4933900,86.768425
"2020-07-13",91.309998,94.669998,91.040001,92.769997,7442300,88.64119
"2020-07-14",92.739998,94.669998,91.980003,94.650002,5421900,90.437523
"2020-07-15",95.610001,98.220001,95.610001,97.160004,5644600,92.835823
"2020-07-16",96.599998,96.830002,95.25,95.75,4123800,91.488564
"2020-07-17",96.239998,98.959999,96.110001,98.580002,5557700,94.192619
"2020-07-20",98.220001,98.309998,95.68,95.730003,4081800,91.469475
"2020-07-21",96.519997,98,96.209999,96.809998,3664500,92.501389
"2020-07-22",96.769997,97.559998,96.389999,97.489998,3618000,93.151131
"2020-07-23",97.610001,97.610001,96.18,96.57,3652600,92.272079
"2020-07-24",96.43,96.879997,95.800003,96.349998,4071900,92.061859
"2020-07-27",96.309998,97.25,95.669998,96.43,3701900,92.138313
"2020-07-28",96.169998,97.209999,95.779999,96.349998,4325500,92.061859
"2020-07-29",96.830002,99.400002,96.449997,98.720001,7020200,94.326393
"2020-07-30",97.209999,97.510002,95.379997,96.470001,3830000,92.176521
"2020-07-31",96.419998,96.550003,94.639999,96.480003,5155300,92.186073
"2020-08-03",96.940002,97.650002,95.959999,97.330002,3708100,92.99826
"2020-08-04",96.900002,97.580002,95.970001,96.290001,4241600,92.004539
"2020-08-05",96.809998,97.769997,96.690002,97.019997,3201500,92.702049
"2020-08-06",96.82,97.709999,96.309998,96.730003,5009000,92.424965
"2020-08-07",96.730003,100.089996,96.599998,100.050003,4476900,95.597206
"2020-08-10",100.18,100.550003,99.57,100.379997,5096400,95.912506
"2020-08-11",101.699997,102.489998,100.519997,100.720001,4464800,96.237381
"2020-08-12",102.099998,102.75,100.970001,102.089996,3471800,97.546394
"2020-08-13",101.269997,101.879997,100.290001,101.290001,3715000,96.782013
"2020-08-14",101.040001,102.040001,100.330002,100.709999,2925700,96.227821
"2020-08-17",102.089996,103.190002,101.510002,101.860001,3689600,97.326637
"2020-08-18",102.419998,102.830002,101.459999,101.559998,4043900,97.039993
"2020-08-19",101.900002,102.18,100.599998,100.82,3353400,96.332924
"2020-08-20",100.190002,100.709999,99.879997,100.279999,3350500,95.816971
"2020-08-21",99.970001,100.089996,98.440002,98.730003,6734100,94.335938
"2020-08-24",99.82,101.290001,99.379997,100.129997,5265400,95.673637
"2020-08-25",104.900002,105.879997,102.25,102.589996,9155300,98.024147
"2020-08-26",103.5,104.589996,102.099998,104.080002,6126300,99.447838
"2020-08-27",104.449997,107.199997,104.25,106.860001,6872500,102.104118
"2020-08-28",106.839996,108.199997,106.010002,107.860001,5699400,103.059593
"2020-08-31",107.699997,108.720001,107.150002,107.470001,4706200,102.686966
"2020-09-01",106.349998,107.529999,106.139999,107.519997,3705100,102.734734
"2020-09-02",107.559998,109.150002,107.139999,108.779999,4452200,103.938667
"2020-09-03",108.830002,109.160004,105.349998,106.150002,5028100,101.42572
"2020-09-04",106.510002,107.75,104.230003,105.739998,5813100,101.033958
"2020-09-08",105,105.550003,103.82,104.580002,5090900,99.925583
"2020-09-09",105.050003,107.349998,105.010002,106.660004,5549200,101.91301
"2020-09-10",106.800003,107.139999,104.43,104.779999,3636900,100.116684
"2020-09-11",105.089996,105.489998,103.970001,104.769997,2836700,100.107124
"2020-09-14",105.669998,107.639999,105.510002,106.970001,4393500,102.209221
"2020-09-15",107.779999,108.690002,107.230003,107.57,3293600,102.782509
"2020-09-16",107.949997,108.559998,107.309998,107.489998,3723800,102.70607
"2020-09-17",107.239998,107.889999,105.919998,107.809998,3541900,103.011833
"2020-09-18",107.82,109.239998,107.089996,107.599998,6265900,102.811165
"2020-09-21",105.269997,105.699997,103.089996,104.800003,4821300,100.135796
"2020-09-22",104.440002,105.190002,102.900002,104.349998,3568700,99.705811
"2020-09-23",104.339996,104.779999,102.919998,102.980003,5057800,98.396797
"2020-09-24",101.769997,102.169998,100.32,101.269997,5352400,97.310966
"2020-09-25",100.879997,103.650002,100.300003,103.160004,3661900,99.12709
"2020-09-28",104.879997,105.389999,103.459999,103.629997,3403200,99.578705
"2020-09-29",105.120003,105.239998,102.089996,102.690002,4044500,98.675468
"2020-09-30",102.82,104.870003,102.5,103.919998,6474400,99.857368
"2020-10-01",103.480003,104.949997,102.019997,102.300003,5228200,98.300697
"2020-10-02",101,103.110001,101,101.959999,4116000,97.973991
"2020-10-05",103.199997,104.120003,102.660004,103.709999,2551000,99.655579
"2020-10-06",103.690002,105.330002,103.07,103.379997,2982500,99.338486
"2020-10-07",104.330002,106.309998,103.919998,105.660004,3386000,101.52935
"2020-10-08",110,110,107.730003,107.800003,5617000,103.585686
"2020-10-09",108.5,109.059998,107.970001,108.68,2950900,104.431282
"2020-10-12",109.629997,109.940002,108.099998,109.059998,2898900,104.796432
"2020-10-13",108.599998,108.959999,106.550003,106.940002,3822800,102.759315
"2020-10-14",107.730003,109.559998,107.290001,107.559998,3582000,103.355072
"2020-10-15",106.019997,108.220001,105.790001,107.519997,3952600,103.316635
"2020-10-16",107.879997,111.040001,107.800003,110.129997,6405600,105.8246
"2020-10-19",110.849998,111.580002,108.129997,108.480003,5333600,104.239105
"2020-10-20",108.139999,110.43,108.139999,109.150002,3879400,104.882919
"2020-10-21",108.860001,110.330002,108.269997,109.230003,3566900,104.959793
"2020-10-22",109.360001,112.199997,109.07,111.839996,4306800,107.467735
"2020-10-23",111.800003,112.480003,111.150002,111.419998,3919000,107.064171
"2020-10-26",110.019997,110.279999,106.43,107.93,5763800,103.710594
"2020-10-27",107.599998,108.07,104.900002,105.209999,5023200,101.096931
"2020-10-28",103.120003,104.239998,101.459999,102.589996,7089600,98.579361
"2020-10-29",102.599998,103.050003,100.889999,101.370003,4858200,97.407066
"2020-10-30",101.25,101.5,98.940002,100.57,5872300,96.638336
"2020-11-02",102.790001,102.980003,101.150002,102.43,5302700,98.425629
"2020-11-03",103.82,105.190002,103.07,103.129997,3859200,99.098251
"2020-11-04",104.110001,105.150002,102.120003,102.459999,6023200,98.454453
"2020-11-05",104.300003,105.019997,103.419998,104.010002,3692600,99.943855
"2020-11-06",104.330002,104.57,103,103.559998,3924300,99.511444
"2020-11-09",113.129997,116.209999,111.690002,113.220001,11674900,108.793793
"2020-11-10",112.809998,114.919998,111.940002,114.559998,5441400,110.081406
"2020-11-11",114.620003,114.900002,109.68,110.239998,6191700,105.930298
"2020-11-12",109.5,111.029999,108.809998,109.599998,3904600,105.315323
"2020-11-13",110.919998,112.690002,110.120003,112.5,3627100,108.101944
"2020-11-16",114.120003,114.300003,111.080002,111.620003,3690500,107.256355
"2020-11-17",110.540001,110.849998,109.360001,110.139999,3589000,105.834206
