"","META.Open","META.High","META.Low","META.Close","META.Volume","META.Adjusted"
"2020-07-01",228.5,239,227.559998,237.550003,43399700,237.550003
"2020-07-02",239,240,232.610001,233.419998,30633600,233.419998
"2020-07-06",233.759995,240.399994,232.270004,240.279999,26206200,240.279999
"2020-07-07",239.410004,247.649994,238.820007,240.860001,27887800,240.860001
"2020-07-08",238.110001,246.990005,236.589996,243.580002,29791300,243.580002
"2020-07-09",245,246.529999,239.240005,244.5,22174900,244.5
"2020-07-10",243.690002,245.490005,239.320007,245.070007,22982700,245.070007
"2020-07-13",247.009995,250.149994,238.419998,239,24674900,239
"2020-07-14",236.759995,240.330002,232.029999,239.729996,23378100,239.729996
"2020-07-15",241.550003,244.820007,238.050003,240.279999,19133600,240.279999
"2020-07-16",238,241.759995,236.330002,240.929993,18880700,240.929993
"2020-07-17",241,244.160004,237.860001,242.029999,18152400,242.029999
"2020-07-20",240.059998,246.050003,235.639999,245.419998,20872200,245.419998
"2020-07-21",246.220001,246.910004,240.080002,241.75,19364200,241.75
"2020-07-22",240.259995,241.899994,238.119995,239.869995,15427900,239.869995
"2020-07-23",239.630005,242.419998,231.75,232.600006,21771800,232.600006
"2020-07-24",230.190002,233.490005,226.899994,230.710007,18325800,230.710007
"2020-07-27",231.460007,234.949997,230.830002,233.5,13163100,233.5
"2020-07-28",234.630005,234.960007,229.830002,230.119995,14170100,230.119995
"2020-07-29",231.139999,233.699997,230.309998,233.289993,13588300,233.289993
"2020-07-30",230.220001,234.889999,229,234.5,20615300,234.5
"2020-07-31",255.820007,255.850006,249,253.669998,53005100,253.669998
"2020-08-03",252.649994,255.399994,250.330002,251.960007,23124900,251.960007
"2020-08-04",251.559998,252.800003,247.429993,249.830002,17183500,249.830002
"2020-08-05",250.190002,252.270004,247.770004,249.119995,13050100,249.119995
"2020-08-06",249.039993,266.600006,248.669998,265.279999,45241600,265.279999
"2020-08-07",264.079987,278.890015,263.429993,268.440002,72766400,268.440002
"2020-08-10",268.040009,273.859985,259.690002,263,30248800,263
"2020-08-11",260.190002,265.920013,255.130005,256.130005,28238300,256.130005
"2020-08-12",258.970001,263.899994,258.109985,259.890015,21415700,259.890015
"2020-08-13",261.549988,265.160004,259.570007,261.299988,17374000,261.299988
"2020-08-14",262.309998,262.649994,258.679993,261.23999,14792700,261.23999
"2020-08-17",262.5,264.100006,259.399994,261.160004,13351100,261.160004
"2020-08-18",260.950012,265.149994,259.26001,262.339996,18690400,262.339996
"2020-08-19",261.390015,267.910004,261.350006,262.589996,23291500,262.589996
"2020-08-20",261.5,269.630005,261.459991,269.01001,20299700,269.01001
"2020-08-21",268.690002,270.48999,266.420013,267.01001,15538600,267.01001
"2020-08-24",271.070007,277.25,268.769989,271.390015,23685600,271.390015
"2020-08-25",272.410004,283.089996,270.26001,280.820007,42127200,280.820007
"2020-08-26",284,304.670013,284,303.910004,69015200,303.910004
"2020-08-27",300.160004,301.230011,292.019989,293.220001,30301300,293.220001
"2020-08-28",295,297.230011,290.980011,293.660004,17157400,293.660004
"2020-08-31",293.950012,296.880005,291.549988,293.200012,17345100,293.200012
"2020-09-01",294.709991,301.48999,292.709991,295.440002,17295900,295.440002
"2020-09-02",298.880005,303.600006,293.049988,302.5,24341400,302.5
