"","MET.Open","MET.High","MET.Low","MET.Close","MET.Volume","MET.Adjusted"
"2020-07-01",36.509998,36.709999,35.369999,35.509998,4772600,33.080547
"2020-07-02",36.5,37.200001,35.59,35.650002,5016800,33.210972
"2020-07-06",36.689999,37.23,36.380001,37.09,6120100,34.552452
"2020-07-07",36.59,36.880001,35.919998,36.02,5138600,33.55566
"2020-07-08",36.189999,37.009998,36.07,36.77,6549000,34.254345
"2020-07-09",36.740002,36.75,35.150002,35.389999,6104900,32.968761
"2020-07-10",35.48,37.060001,35.419998,36.939999,4603000,34.412712
"2020-07-13",37.5,37.950001,37.099998,37.41,6441200,34.850552
"2020-07-14",37.34,37.959999,36.990002,37.889999,6834000,35.297714
"2020-07-15",38.720001,38.84,38.09,38.639999,6050300,35.996407
"2020-07-16",38.240002,39.52,37.959999,38.73,4496000,36.08025
"2020-07-17",38.73,38.860001,38.150002,38.470001,3867500,35.838043
"2020-07-20",38.23,38.450001,37.650002,37.779999,4298600,35.19524
"2020-07-21",38.02,38.990002,38.009998,38.32,4519000,35.698303
"2020-07-22",38.040001,38.490002,37.880001,38.419998,3703700,35.791458
"2020-07-23",38.209999,38.849998,38.150002,38.560001,4074500,35.921879
"2020-07-24",38.73,38.82,38.169998,38.220001,3324300,35.605141
"2020-07-27",38.02,38.080002,37.419998,37.799999,4463700,35.213871
"2020-07-28",37.619999,38.02,37.5,37.59,4732500,35.018246
"2020-07-29",37.610001,38.73,37.419998,38.68,6805300,36.033665
"2020-07-30",37.610001,37.73,36.93,37.549999,4636200,34.980976
"2020-07-31",37.529999,37.889999,37.169998,37.849998,5860600,35.260452
"2020-08-03",37.470001,37.98,37.049999,37.299999,3982500,35.175579
"2020-08-04",37.200001,37.310001,36.82,36.900002,4227400,34.798367
"2020-08-05",37.439999,38.459999,37.32,38.279999,6089500,36.099758
"2020-08-06",37.490002,38.459999,36.93,36.98,7612100,34.873802
"2020-08-07",36.919998,38.919998,36.57,38.720001,8486400,36.514702
"2020-08-10",38.889999,39.970001,38.889999,39.779999,7439800,37.514328
"2020-08-11",40.939999,41.470001,40.540001,40.57,9162900,38.259338
"2020-08-12",41.48,41.48,39.529999,40.040001,5930600,37.759521
"2020-08-13",39.5,39.98,39.130001,39.439999,4629900,37.193699
"2020-08-14",39.110001,39.790001,38.98,39.610001,6627700,37.354015
"2020-08-17",39.68,39.700001,38.779999,38.880001,3684500,36.665592
"2020-08-18",38.889999,39.189999,38.18,38.310001,4592700,36.128052
"2020-08-19",38.32,39.009998,38.119999,38.200001,4789000,36.024323
"2020-08-20",37.810001,38.099998,37.509998,37.619999,3550900,35.477348
"2020-08-21",37.610001,37.98,37.16,37.279999,4503400,35.156719
"2020-08-24",37.459999,38.639999,37.27,38.619999,8843400,36.420399
"2020-08-25",39.07,39.32,38.41,38.66,4100200,36.458118
"2020-08-26",38.560001,38.650002,38.189999,38.32,4160000,36.137489
"2020-08-27",38.459999,39.369999,38.360001,39.07,3444400,36.844765
"2020-08-28",39.52,39.540001,38.889999,39.419998,2884900,37.174835
"2020-08-31",39.240002,39.34,38.419998,38.459999,6713700,36.269508
"2020-09-01",38.32,39.049999,37.98,38.5,3646500,36.307236
"2020-09-02",38.310001,38.93,37.98,38.82,4544000,36.609005
"2020-09-03",39.200001,40.049999,37.950001,38.200001,5854100,36.024323
"2020-09-04",38.900002,39.48,38.25,39.150002,5426200,36.920208
"2020-09-08",38.91,39,37.720001,37.880001,6629200,35.722546
"2020-09-09",38.240002,38.630001,37.919998,38.279999,3936000,36.099758
"2020-09-10",38.419998,39.07,37.619999,37.689999,4908400,35.543365
"2020-09-11",37.830002,38.48,37.57,38.23,5327000,36.052612
"2020-09-14",38.52,39.080002,38.310001,38.84,3190800,36.627869
"2020-09-15",38.790001,38.880001,37.48,37.509998,5111100,35.373619
"2020-09-16",37.75,38.25,37.549999,37.630001,8558700,35.486786
"2020-09-17",37.5,39.48,36.970001,39.32,10020800,37.080532
