"","MGM.Open","MGM.High","MGM.Low","MGM.Close","MGM.Volume","MGM.Adjusted"
"2020-07-01",16.950001,17.68,16.629999,16.77,31420800,16.758564
"2020-07-02",17.379999,17.59,16.75,16.860001,17438400,16.848503
"2020-07-06",17.48,17.530001,16.219999,16.709999,19775900,16.698601
"2020-07-07",16.33,16.59,16.059999,16.139999,14057800,16.128992
"2020-07-08",16.059999,16.34,15.51,16.299999,17034700,16.288883
"2020-07-09",16.32,16.41,15.23,16,20258300,15.989088
"2020-07-10",15.68,16.25,15.5,16.200001,17140600,16.188953
"2020-07-13",16.5,17.299999,15.82,16.379999,32213900,16.36883
"2020-07-14",16.360001,16.450001,15.98,16.16,18147600,16.148975
"2020-07-15",17.120001,18.290001,16.82,18.200001,30298400,18.18759
"2020-07-16",17.84,18.08,17.469999,17.6,16594700,17.587997
"2020-07-17",17.610001,17.700001,16.620001,16.809999,19047800,16.798534
"2020-07-20",16.690001,16.93,16.049999,16.33,16152200,16.318861
"2020-07-21",16.549999,16.92,16.34,16.690001,15675000,16.678619
"2020-07-22",16.4,16.83,16.26,16.33,12567500,16.318861
"2020-07-23",16.1,16.17,15.52,15.89,26347900,15.879164
"2020-07-24",15.58,15.94,15.47,15.79,16267300,15.779231
"2020-07-27",15.76,15.77,14.65,14.96,24905900,14.949796
"2020-07-28",14.8,15.82,14.76,15.41,21069100,15.399489
"2020-07-29",15.65,16.26,15.57,16.25,21980500,16.238916
"2020-07-30",16.18,16.700001,16.040001,16.639999,26814500,16.628651
"2020-07-31",15.99,16.49,15.58,16.09,31854500,16.079027
"2020-08-03",15.98,16.51,15.84,16.32,16552000,16.308872
"2020-08-04",16.33,16.790001,16.290001,16.719999,27744700,16.708593
"2020-08-05",17.030001,17.309999,16.309999,16.719999,18857900,16.708593
"2020-08-06",16.690001,18.6,16.559999,18.459999,35867700,18.447409
"2020-08-07",18.290001,19.389999,18.25,19.030001,34572100,19.017019
"2020-08-10",22.48,23.790001,20.879999,21.65,71219700,21.635235
"2020-08-11",22.42,22.48,21.190001,21.5,34396000,21.485336
"2020-08-12",21.940001,21.950001,20.690001,21.129999,22983000,21.115587
"2020-08-13",20.870001,21.68,20.719999,21.34,13891900,21.325447
"2020-08-14",21.17,21.85,20.959999,21.809999,12499600,21.795124
"2020-08-17",21.719999,21.879999,20.92,21.379999,13079800,21.365419
"2020-08-18",21.190001,21.32,20.73,20.950001,13632500,20.935713
"2020-08-19",20.889999,21.209999,20.75,20.9,8905900,20.885748
"2020-08-20",20.59,21.08,20.4,20.83,8932400,20.815792
"2020-08-21",20.98,21.700001,20.950001,21.16,11687600,21.145567
"2020-08-24",21.290001,22.280001,21.02,22.27,16972000,22.254812
"2020-08-25",22.5,22.65,21.780001,22.09,11798600,22.07493
"2020-08-26",22.129999,22.18,21.790001,21.99,8602200,21.975002
"2020-08-27",22.16,23.43,22.129999,22.809999,17222100,22.794441
"2020-08-28",23.370001,24.370001,22.969999,23.860001,23232400,23.843727
"2020-08-31",23.629999,23.65,22.5,22.5,16378500,22.484653
"2020-09-01",22.26,23.01,21.860001,22.77,10692600,22.754469
"2020-09-02",22.780001,23.83,22.5,23.719999,15983900,23.703819
"2020-09-03",23.620001,24.42,22.59,23.07,20332900,23.054266
"2020-09-04",23.33,23.940001,22.469999,23.52,17960500,23.503958
"2020-09-08",22.85,23.700001,22.610001,23.17,16423000,23.154194
"2020-09-09",23.25,23.35,22.6,23.110001,11791800,23.097229
"2020-09-10",23.5,24.129999,22.82,22.84,17978600,22.827379
"2020-09-11",23.07,23.120001,21.92,22.73,17238700,22.717438
"2020-09-14",22.389999,23.16,22.379999,23.059999,15286400,23.047255
"2020-09-15",23.08,24.25,22.889999,23.74,17376900,23.726877
"2020-09-16",23.690001,23.780001,22.549999,23.01,19776900,22.997282
"2020-09-17",22.5,22.879999,21.959999,22.52,16060200,22.507551
"2020-09-18",22.24,22.700001,21.68,22.02,29475200,22.00783
"2020-09-21",21.23,21.48,20.57,21.09,15206000,21.078344
"2020-09-22",21.190001,21.76,21.01,21.620001,11744700,21.608053
"2020-09-23",21.639999,22.379999,21.34,21.379999,11920600,21.368185
"2020-09-24",21.23,21.709999,20.66,21.190001,11581000,21.178289
"2020-09-25",21.290001,22.25,21.190001,22.1,9566100,22.087788
"2020-09-28",22.610001,22.860001,22.08,22.629999,9763300,22.617493
"2020-09-29",22.58,22.58,21.360001,21.719999,12633900,21.707996
"2020-09-30",21.9,22.549999,21.58,21.75,10563700,21.737978
"2020-10-01",21.940001,22.23,21.620001,21.82,11812700,21.80794
"2020-10-02",21,21.91,20.879999,21.66,10349600,21.648029
"2020-10-05",21.83,22.02,21.4,21.549999,8373000,21.538088
"2020-10-06",21.92,22.26,21.049999,21.049999,13850400,21.038366
"2020-10-07",21.42,21.75,21.290001,21.5,9566400,21.488117
"2020-10-08",21.790001,22.030001,21.43,21.93,10073500,21.917879
"2020-10-09",21.870001,22.08,21.32,21.360001,9724000,21.348196
"2020-10-12",21.280001,21.49,21.049999,21.4,8445000,21.388172
"2020-10-13",21.1,21.24,20.75,20.969999,12788000,20.95841
"2020-10-14",21.07,21.42,20.83,21.09,11004500,21.078344
"2020-10-15",20.75,21.18,20.68,21.16,9135100,21.148306
"2020-10-16",21.1,21.48,20.860001,21.24,8258700,21.228264
"2020-10-19",21.35,21.49,20.690001,20.799999,7462400,20.788504
"2020-10-20",21.1,21.67,20.9,21.41,7730700,21.398169
