"","MHK.Open","MHK.High","MHK.Low","MHK.Close","MHK.Volume","MHK.Adjusted"
"2020-07-01",101.480003,103.199997,97.389999,97.510002,612800,97.510002
"2020-07-02",99.900002,102.879997,97.879997,99.209999,542400,99.209999
"2020-07-06",101.650002,103.650002,100.510002,103.260002,917500,103.260002
"2020-07-07",102,102.790001,95.510002,95.980003,1519000,95.980003
"2020-07-08",95.480003,96.970001,89.18,91.389999,2594100,91.389999
"2020-07-09",89.410004,91.389999,68.099998,73.120003,10934600,73.120003
"2020-07-10",73.260002,78.989998,69.209999,70.470001,4359100,70.470001
"2020-07-13",71.809998,77.330002,69.440002,76.599998,3949000,76.599998
"2020-07-14",69.889999,74.879997,67.790001,74.209999,4160700,74.209999
"2020-07-15",76.639999,77.779999,75.169998,76.540001,1497400,76.540001
"2020-07-16",76.040001,80.699997,75.470001,77.93,1789900,77.93
"2020-07-17",78.239998,79.110001,77.239998,78.480003,1435100,78.480003
"2020-07-20",78.68,79.32,77.190002,78.779999,1230200,78.779999
"2020-07-21",79.099998,82.010002,78.870003,79.419998,1059700,79.419998
"2020-07-22",79.089996,84.370003,78.550003,83.870003,1278100,83.870003
"2020-07-23",83.720001,85.760002,82.339996,83.660004,908300,83.660004
"2020-07-24",83.870003,85.540001,82.169998,85.010002,1553100,85.010002
"2020-07-27",84.870003,87.410004,83.800003,87.330002,1554900,87.330002
"2020-07-28",85,87.699997,83.550003,85.139999,1681900,85.139999
"2020-07-29",85.839996,87.080002,85.540001,86.010002,903900,86.010002
"2020-07-30",84.82,85.639999,83.25,83.290001,710600,83.290001
"2020-07-31",83.910004,84.110001,79,79.849998,1045200,79.849998
"2020-08-03",80.010002,80.589996,78.93,79.449997,1194300,79.449997
"2020-08-04",79.769997,83.849998,79.769997,81.25,978400,81.25
"2020-08-05",82.629997,85.18,81.43,85.18,942400,85.18
"2020-08-06",84.510002,87.449997,83.860001,86.360001,1058900,86.360001
"2020-08-07",88.440002,90.360001,83.07,85.650002,1338400,85.650002
"2020-08-10",86.290001,91.410004,86.220001,90.660004,967300,90.660004
"2020-08-11",92.75,94.419998,90.5,91.290001,640700,91.290001
"2020-08-12",92.290001,92.889999,89.389999,91.440002,753100,91.440002
"2020-08-13",90.209999,91.809998,88.410004,89.010002,468200,89.010002
"2020-08-14",87.959999,90.93,87.339996,90.260002,617400,90.260002
"2020-08-17",90.410004,92.260002,90,91.650002,787400,91.650002
"2020-08-18",91.57,92.220001,90.120003,90.599998,976000,90.599998
"2020-08-19",91.449997,91.459999,89.529999,90.169998,578000,90.169998
"2020-08-20",88.860001,91.360001,88.150002,89.849998,530400,89.849998
"2020-08-21",90.040001,91.300003,89.639999,90.32,560400,90.32
"2020-08-24",90.660004,94.470001,90.660004,93.510002,638400,93.510002
"2020-08-25",93.959999,94.419998,90.449997,93.32,629600,93.32
"2020-08-26",93.540001,94.029999,92.150002,93.260002,454600,93.260002
"2020-08-27",94.209999,97.860001,93.529999,96.959999,821300,96.959999
"2020-08-28",96.940002,97.910004,95.559998,96.330002,675500,96.330002
"2020-08-31",95.93,95.93,92.199997,92.330002,712200,92.330002
"2020-09-01",92.629997,94.059998,91.110001,91.93,785100,91.93
"2020-09-02",92.470001,94.309998,91.480003,93.919998,522200,93.919998
"2020-09-03",94.370003,94.459999,90.209999,91.290001,570900,91.290001
"2020-09-04",91.120003,94.099998,90.989998,92.43,432500,92.43
"2020-09-08",92.129997,94.199997,91.269997,92.540001,499700,92.540001
"2020-09-09",92,94.519997,91.82,94.089996,422000,94.089996
"2020-09-10",94.980003,95.620003,93.150002,93.75,537900,93.75
"2020-09-11",94.699997,97.050003,93.839996,96.940002,532800,96.940002
"2020-09-14",97.879997,101.339996,97.389999,100.459999,642100,100.459999
"2020-09-15",100,101.68,98.150002,98.790001,762600,98.790001
"2020-09-16",99.790001,102.300003,99.410004,100.290001,527400,100.290001
"2020-09-17",101.970001,103.75,100.18,103.379997,596400,103.379997
"2020-09-18",102.75,103.82,100.120003,101.160004,849500,101.160004
"2020-09-21",97.919998,98.559998,92.559998,95.879997,584500,95.879997
"2020-09-22",95.669998,97.779999,95.290001,96.309998,422900,96.309998
"2020-09-23",97.129997,99.43,94.510002,94.699997,290400,94.699997
"2020-09-24",94.160004,95.860001,92.169998,94.809998,524500,94.809998
"2020-09-25",94,94.599998,92.830002,94.239998,487300,94.239998
"2020-09-28",97.279999,99.599998,95.720001,98.419998,569700,98.419998
"2020-09-29",97.910004,98.43,95.610001,96.269997,407400,96.269997
"2020-09-30",95.650002,98.75,95.580002,97.589996,732700,97.589996
