"","MKC.Open","MKC.High","MKC.Low","MKC.Close","MKC.Volume","MKC.Adjusted"
"2020-07-01",89.654999,90.389999,89.224998,89.75,1292200,86.73452
"2020-07-02",90.605003,92.239998,90.315002,90.805,1325600,88.058228
"2020-07-06",91.209999,91.815002,90.279999,90.785004,1003600,88.038834
"2020-07-07",90.410004,92,90.410004,91.57,927400,88.800087
"2020-07-08",91.285004,91.875,90.875,91.82,920200,89.042526
"2020-07-09",91.239998,92.309998,91.169998,91.925003,737000,89.144348
"2020-07-10",91.934998,93.050003,91.264999,92.955002,816800,90.143188
"2020-07-13",93.245003,94.144997,91.290001,91.455002,969200,88.688568
"2020-07-14",91.239998,94.915001,91.239998,94.709999,1264000,91.8451
"2020-07-15",95.099998,95.699997,94.309998,94.599998,912000,91.738426
"2020-07-16",94.519997,95.425003,94.389999,94.860001,659000,91.99057
"2020-07-17",95.375,96.165001,94.919998,95.445,870400,92.557861
"2020-07-20",95.205002,95.855003,94.875,95.779999,771200,92.882729
"2020-07-21",97,98.260002,96.525002,96.790001,1111800,93.862183
"2020-07-22",97.455002,97.455002,95.790001,96.910004,1314600,93.978554
"2020-07-23",97.099998,98.385002,97.099998,97.945,736800,94.982239
"2020-07-24",97.760002,98.254997,96.309998,96.760002,1058200,93.833099
"2020-07-27",96.904999,98.040001,96.595001,98.010002,780800,95.04528
"2020-07-28",95.75,97.625,95.235001,96.495003,1164800,93.576111
"2020-07-29",96.959999,97.779999,96.68,97.169998,747000,94.23069
"2020-07-30",96.68,97.044998,95.75,96.919998,799000,93.988251
"2020-07-31",96.599998,97.449997,95.464996,97.449997,1286400,94.502205
"2020-08-03",97.845001,98.589996,97.235001,98.144997,881600,95.176193
"2020-08-04",98.004997,99.415001,97.964996,99.129997,736400,96.131393
"2020-08-05",99.349998,99.385002,97.82,98.625,987400,95.64167
"2020-08-06",98.269997,99.68,98.135002,99.525002,694200,96.51445
"2020-08-07",99.065002,100.919998,99.065002,100.775002,1243400,97.726639
"2020-08-10",100.745003,101.275002,100.010002,100.910004,878000,97.857559
"2020-08-11",101,101,98.565002,98.885002,785600,95.893814
"2020-08-12",99.254997,101.57,99.245003,100.830002,860200,97.779976
"2020-08-13",100.735001,101.489998,99.375,101.019997,999600,97.964233
"2020-08-14",101,101.754997,100.419998,100.775002,837400,97.726639
"2020-08-17",100.245003,101.705002,100.035004,101.150002,916000,98.090302
"2020-08-18",101.165001,102,100.459999,101.245003,603600,98.182426
"2020-08-19",101.699997,101.699997,100.620003,101.260002,611800,98.196968
"2020-08-20",100.394997,102.07,100.235001,101.445,734600,98.376366
