"","MKTX.Open","MKTX.High","MKTX.Low","MKTX.Close","MKTX.Volume","MKTX.Adjusted"
"2020-07-01",500.160004,509.980011,493.600006,506.01001,295100,499.756165
"2020-07-02",512.880005,512.880005,500.470001,501.880005,196000,495.677185
"2020-07-06",509.359985,531.429993,509.190002,520.789978,235700,514.353394
"2020-07-07",517.469971,537.880005,516.700012,533.159973,211900,526.570496
"2020-07-08",539.349976,546.030029,537.049988,544.419983,216000,537.691406
"2020-07-09",547.039978,561.679993,544,548.609985,132800,541.829651
"2020-07-10",547.5,549.98999,535.710022,537.22998,170600,530.590271
"2020-07-13",541.320007,542.849976,515.179993,517.570007,230600,511.173309
"2020-07-14",517.599976,522.51001,506.359985,522.219971,241000,515.765747
"2020-07-15",525.840027,535.299988,520.030029,531.859985,190600,525.286621
"2020-07-16",528.349976,539.940002,525.719971,530.76001,161900,524.200317
"2020-07-17",535.26001,536.26001,529.950012,532.539978,163700,525.958252
"2020-07-20",534.659973,540.330017,532.669983,534.049988,440600,527.449524
"2020-07-21",534.080017,536.049988,531.390015,533.450012,287200,526.856995
"2020-07-22",510,536.820007,510,527.109985,334200,520.595337
"2020-07-23",531.109985,532.049988,506.829987,509.179993,243800,502.886993
"2020-07-24",508.75,512,501.019989,505.809998,202900,499.558655
"2020-07-27",509.339996,522.039978,509.230011,521,168200,514.560852
"2020-07-28",517.859985,518.02002,502.679993,509.600006,147400,503.301788
"2020-07-29",510.820007,518.97998,510.820007,517.390015,99500,510.995514
"2020-07-30",510.179993,517.77002,505.320007,516.549988,141200,510.165894
"2020-07-31",518.080017,519,505.559998,516.700012,119100,510.314026
"2020-08-03",520.590027,525.960022,510.579987,511.690002,153000,505.365967
"2020-08-04",507.410004,512.599976,502.609985,508.670013,209300,502.973053
"2020-08-05",504.839996,511.019989,502.350006,510.089996,120600,504.377136
"2020-08-06",505.480011,508.920013,501.179993,503.649994,108700,498.009308
"2020-08-07",500.700012,510.600006,500.700012,508.200012,205400,502.508331
"2020-08-10",508.880005,508.880005,480.570007,482.670013,276500,477.264282
"2020-08-11",483.380005,488.630005,471.089996,482.790009,198800,477.382904
"2020-08-12",482.019989,495.559998,482.019989,492.540009,166100,487.023712
"2020-08-13",491.779999,498.059998,483.700012,496.76001,126200,491.196503
"2020-08-14",501.76001,502.850006,494.570007,496.5,106600,490.939392
"2020-08-17",495.200012,502.579987,494.730011,500.589996,212600,494.983521
"2020-08-18",500.519989,502,497.799988,499.029999,108500,493.44104
"2020-08-19",505.779999,506.910004,491.170013,491.880005,156000,486.371124
"2020-08-20",493.859985,504.5,493.019989,501.369995,180000,495.754791
"2020-08-21",504.049988,504.700012,498.940002,499.839996,155200,494.241943
"2020-08-24",499.859985,501.119995,486.75,489.480011,113100,483.998047
"2020-08-25",486.450012,487.029999,479.5,484.48999,132600,479.063873
"2020-08-26",487.279999,505,484.420013,499.410004,182500,493.816772
"2020-08-27",495.299988,506.769989,494.380005,496.200012,132800,490.642731
"2020-08-28",501.600006,501.600006,482.98999,484.369995,158500,478.945221
"2020-08-31",484.640015,492.019989,484.380005,485.940002,278300,480.49765
"2020-09-01",489.51001,491.070007,486.450012,490.420013,144500,484.92749
"2020-09-02",489.440002,499.200012,487.529999,494.089996,234300,488.556366
"2020-09-03",489.230011,489.609985,467.600006,471.230011,211200,465.952393
"2020-09-04",469.089996,470.109985,451.019989,454.450012,247900,449.360321
"2020-09-08",449.339996,455,441.119995,449.619995,357800,444.584442
"2020-09-09",457.179993,463.75,450.410004,458.670013,209900,453.533081
"2020-09-10",462.079987,467.640015,450.679993,451.529999,191700,446.473022
"2020-09-11",455.079987,459.799988,448.570007,453.070007,166800,447.995758
"2020-09-14",457.929993,465.410004,457.890015,461.850006,267900,456.67749
"2020-09-15",463.910004,465.529999,461.640015,464.059998,188500,458.862732
"2020-09-16",468.850006,472.709991,461.359985,461.920013,175800,456.746643
"2020-09-17",458.029999,458.029999,444.220001,447.48999,260900,442.478271
"2020-09-18",446.839996,449.399994,437.890015,438.660004,381900,433.747162
"2020-09-21",434.329987,443.709991,434.329987,443,296500,438.038544
"2020-09-22",442.769989,447.079987,437.070007,446.950012,248900,441.944336
"2020-09-23",449.839996,458.390015,447.299988,449.459991,209000,444.426178
"2020-09-24",448.230011,463.589996,447.839996,452.119995,202300,447.056396
"2020-09-25",450.690002,465.660004,450.690002,465.100006,152700,459.891083
"2020-09-28",467.179993,478.130005,464.76001,476.049988,242300,470.718384
"2020-09-29",473.700012,491.179993,473.070007,485.429993,328300,479.993378
"2020-09-30",487.519989,492.589996,477.910004,481.589996,270400,476.19635
"2020-10-01",483.910004,487.779999,480.410004,482.970001,171900,477.560883
"2020-10-02",477.970001,489.98999,472.600006,482.519989,168700,477.115906
"2020-10-05",488.869995,498.070007,486.720001,497.279999,198700,491.710602
"2020-10-06",499.570007,501.410004,492.420013,498.579987,195800,492.996094
"2020-10-07",505,512.929993,504.859985,510.230011,248900,504.515625
"2020-10-08",513.01001,519.409973,511.670013,518.419983,124300,512.613831
"2020-10-09",519.859985,524.25,519.380005,522.049988,110800,516.203308
"2020-10-12",525.27002,536.349976,523.150024,532.22998,195700,526.269287
"2020-10-13",534.070007,542.359985,534.070007,540.090027,204500,534.041199
"2020-10-14",541,546.25,534.27002,535.429993,143500,529.43335
"2020-10-15",530.969971,544.109985,528.630005,540.47998,174800,534.426758
"2020-10-16",543.359985,547.650024,535.450012,538.070007,188300,532.043701
"2020-10-19",541.51001,549.5,537.320007,539.26001,157300,533.220459
"2020-10-20",543.01001,558.320007,541.169983,549.98999,231200,543.830261
"2020-10-21",555.789978,570.169983,553.570007,558.080017,176400,551.829651
"2020-10-22",562.669983,572.450012,558.609985,567.369995,221700,561.015564
"2020-10-23",567,568.469971,553.380005,558.909973,173800,552.65033
"2020-10-26",558.25,559.01001,541.669983,547.309998,196700,541.180298
"2020-10-27",544.969971,575.599976,539.869995,573,294600,566.582581
"2020-10-28",567.76001,567.76001,548.940002,557.02002,298200,550.781616
"2020-10-29",556.76001,564.390015,550.27002,555.859985,208100,549.634521
"2020-10-30",550.340027,556.309998,532.599976,538.849976,309600,532.815063
"2020-11-02",544.409973,552.77002,533.570007,538.789978,306700,532.755676
"2020-11-03",542.950012,545.799988,535.409973,539.690002,230200,533.64563
"2020-11-04",549.27002,585.179993,545.090027,579.919983,243000,573.425049
"2020-11-05",586.909973,602.77002,580.659973,581.169983,276600,574.661011
"2020-11-06",580.919983,592.440002,567.299988,579.179993,145000,572.693359
"2020-11-09",604.609985,606.450012,534.049988,534.840027,353800,529.398499
"2020-11-10",526.099976,529.919983,506.459991,525.039978,324200,519.698059
"2020-11-11",536.320007,547.119995,525.049988,544.909973,243300,539.365906
"2020-11-12",550.26001,550.429993,531.820007,534.809998,163500,529.368774
"2020-11-13",539.700012,541.429993,519.710022,522.929993,225700,517.609558
"2020-11-16",528.390015,528.390015,502.649994,521.98999,259400,516.679138
"2020-11-17",522.97998,522.97998,509.029999,514.090027,250000,508.859497
"2020-11-18",515.26001,520.809998,506.119995,512.26001,251700,507.048157
"2020-11-19",517.77002,539.039978,511.75,534.219971,413200,528.784729
"2020-11-20",528.150024,548.27002,525.070007,546.140015,347700,540.583435
"2020-11-23",551.169983,551.330017,518.02002,519.909973,194700,514.6203
"2020-11-24",522.159973,534.98999,515.570007,518.460022,311000,513.184998
"2020-11-25",518.460022,523.429993,507.100006,514.349976,280000,509.116882
"2020-11-27",515.039978,534.969971,515.039978,533.890015,136600,528.458069
"2020-11-30",530.840027,541.539978,526.039978,539.179993,330500,533.694214
"2020-12-01",547.789978,549.349976,538.460022,546.609985,268800,541.048645
"2020-12-02",545.570007,548.5,535.919983,540.780029,370600,535.278015
"2020-12-03",545.349976,562.869995,541.320007,555.630005,489700,549.976868
"2020-12-04",558.5,573.840027,535.97998,539.169983,480400,533.684265
"2020-12-07",539.330017,571.049988,539.330017,569.940002,543900,564.141296
"2020-12-08",566.130005,569.280029,560.669983,566.01001,610100,560.251282
"2020-12-09",562.349976,569.130005,557.25,564.669983,290800,558.924866
"2020-12-10",562.48999,566.72998,545.580017,551.580017,247100,545.96814
"2020-12-11",551.25,561.650024,538.049988,547.669983,273500,542.097839
"2020-12-14",553.609985,574.799988,549.780029,551.150024,412900,545.542419
"2020-12-15",552.849976,556.830017,545.26001,553.789978,287200,548.15564
"2020-12-16",557.030029,563.200012,551.210022,560.5,314800,554.797241
"2020-12-17",563.52002,578.940002,562.929993,577.349976,253200,571.475891
"2020-12-18",579.619995,580.659973,571.590027,578.880005,463000,572.990417
"2020-12-21",575.640015,579.400024,560.25,578.440002,400800,572.55481
"2020-12-22",580.150024,590.780029,578.119995,590.320007,318200,584.313904
"2020-12-23",594.48999,601.419983,571.820007,572.969971,179200,567.140442
"2020-12-24",576.47998,582.679993,567.859985,573.080017,148100,567.249329
"2020-12-28",579.890015,579.890015,559.169983,565.77002,217400,560.013733
"2020-12-29",570,571.52002,560.320007,564.789978,144100,559.043701
"2020-12-30",568,573.130005,560.359985,562.27002,197300,556.549316
"2020-12-31",563.409973,572.109985,558.830017,570.559998,215100,564.754944
"2021-01-04",575.390015,583.799988,559.070007,562.780029,281000,557.05426
"2021-01-05",562.840027,565.150024,545.299988,554.25,232300,548.610962
"2021-01-06",545.669983,553.880005,535.929993,545.080017,370000,539.534241
"2021-01-07",543.73999,557.98999,540.460022,549.210022,249700,543.622192
"2021-01-08",549.859985,560.580017,546.75,552.090027,174700,546.4729
"2021-01-11",548.77002,549.809998,541.400024,543.719971,166500,538.188049
"2021-01-12",540.599976,545.590027,524.77002,528.679993,385200,523.301025
"2021-01-13",528.179993,537.929993,520.960022,536.320007,244100,530.863342
