"","MLM.Open","MLM.High","MLM.Low","MLM.Close","MLM.Volume","MLM.Adjusted"
"2020-07-01",208.130005,209.710007,205.110001,208.970001,585300,205.966431
"2020-07-02",213.740005,217.399994,209.470001,213.490005,803800,210.421463
"2020-07-06",216.679993,218.679993,213.5,216.339996,691500,213.230515
"2020-07-07",213.869995,214.889999,211.25,212.570007,466700,209.514679
"2020-07-08",211.970001,212.729996,206.610001,208.889999,572000,205.887589
"2020-07-09",208.529999,209.75,202.509995,206.710007,473700,203.738907
"2020-07-10",207.080002,211.190002,205.929993,210.149994,370000,207.129456
"2020-07-13",212.059998,216.639999,209.970001,210.410004,551600,207.385727
"2020-07-14",210.610001,215.080002,208.300003,214.770004,387400,211.68306
"2020-07-15",218.970001,223.660004,218.660004,222.039993,578700,218.848557
"2020-07-16",221.100006,223.949997,219.470001,223.089996,366900,219.883469
"2020-07-17",225.300003,226.369995,222.419998,223.550003,397900,220.336868
"2020-07-20",222.509995,223.309998,219.309998,221.440002,419300,218.257202
"2020-07-21",221.919998,227.179993,221.919998,225.690002,427700,222.446121
"2020-07-22",225.639999,228.089996,223.679993,224.330002,693900,221.105652
"2020-07-23",223.740005,227.389999,222.279999,223.429993,501500,220.218597
"2020-07-24",223.990005,225.350006,219.889999,223.649994,541200,220.43544
"2020-07-27",222.679993,228.369995,221.979996,228,802000,224.722916
"2020-07-28",225.880005,230,211.270004,212.399994,1379500,209.347107
"2020-07-29",214.029999,215.789993,209.589996,214.130005,791100,211.052261
"2020-07-30",212.789993,213.460007,207.679993,209.199997,634600,206.193115
"2020-07-31",208.429993,209.149994,201.710007,207.179993,514600,204.202133
"2020-08-03",208.940002,209.320007,204.300003,208.080002,546300,205.089203
"2020-08-04",208.369995,212.729996,207.330002,212.279999,456900,209.228867
"2020-08-05",213.820007,219.949997,212.800003,216.850006,594800,213.733139
"2020-08-06",212.130005,217.360001,212.130005,213.080002,502200,210.017365
"2020-08-07",213.380005,220.520004,212.740005,220,387200,216.837891
"2020-08-10",221.809998,224.479996,220.059998,223.410004,380700,220.198898
"2020-08-11",228.520004,230.429993,224.740005,225.550003,527500,222.308121
"2020-08-12",226.449997,226.910004,220.080002,221.119995,607600,217.941772
"2020-08-13",219.440002,222.320007,218.029999,219.630005,411800,216.473221
"2020-08-14",218.710007,221.550003,217.210007,219.330002,365900,216.177521
"2020-08-17",220.869995,221.130005,216.160004,216.419998,674200,213.309357
"2020-08-18",217.600006,218.130005,213.809998,214.889999,408800,211.801346
"2020-08-19",215.720001,216.399994,211.550003,212.190002,425300,209.140152
"2020-08-20",210,211.020004,208.080002,209.190002,385300,206.183258
"2020-08-21",208.720001,211.320007,207.949997,209.660004,377400,206.646515
