"","MMC.Open","MMC.High","MMC.Low","MMC.Close","MMC.Volume","MMC.Adjusted"
"2020-07-01",107.489998,108.220001,106.900002,107.529999,1594600,103.980286
"2020-07-02",108.879997,109.089996,107.389999,107.889999,1378700,104.328392
"2020-07-06",109.389999,109.720001,107.510002,107.919998,1461900,104.357399
"2020-07-07",107.599998,108.300003,106.959999,107.349998,1697900,103.806229
"2020-07-08",107.519997,109.120003,107.099998,109.080002,1850400,105.479095
"2020-07-09",109.169998,109.260002,106.830002,108.230003,940200,104.657166
"2020-07-10",108.580002,109.650002,107.889999,109.459999,979500,105.846573
"2020-07-13",109.779999,110.589996,108.25,108.760002,1453700,105.16967
"2020-07-14",108.779999,110.349998,108.519997,110.239998,1026600,106.600822
"2020-07-15",111.669998,112.019997,110.449997,111.580002,1134200,107.896576
"2020-07-16",111.470001,112.220001,111.139999,111.830002,927400,108.138329
"2020-07-17",112.510002,113.849998,111.830002,113.690002,1658100,109.936935
"2020-07-20",113.599998,113.910004,112.919998,113.480003,890300,109.733864
"2020-07-21",114.620003,114.889999,113.650002,114.400002,1247200,110.623497
"2020-07-22",113.760002,115.610001,113.760002,115.510002,1468300,111.696854
"2020-07-23",115.580002,116.559998,114.75,115.279999,1293700,111.474442
"2020-07-24",114.900002,115.07,114.139999,114.620003,1008400,111.285126
"2020-07-27",114.599998,114.870003,113.220001,114.610001,1392500,111.275414
"2020-07-28",114.489998,114.980003,113.730003,114.209999,1435800,110.887039
"2020-07-29",113.839996,115.580002,113.150002,115.580002,1354300,112.217186
"2020-07-30",114.220001,117.050003,113.209999,116.709999,1721200,113.314301
"2020-07-31",118,118,115.489998,116.599998,2093100,113.207512
"2020-08-03",116.529999,117.330002,115.68,115.82,1723200,112.450203
"2020-08-04",115.849998,117.620003,115.650002,117.389999,1897500,113.974525
"2020-08-05",117.269997,118.910004,117.099998,118.43,1553500,114.984261
"2020-08-06",118,118.809998,117.43,118.769997,1345400,115.314369
"2020-08-07",118.379997,119.209999,116.949997,117.739998,1544200,114.314339
"2020-08-10",118.050003,118.120003,116.110001,116.410004,1503500,113.023033
"2020-08-11",117.18,117.970001,115.779999,116.980003,1726700,113.576454
"2020-08-12",117.839996,118.220001,116.440002,116.650002,1370500,113.256058
"2020-08-13",116.260002,117.309998,116.080002,117.150002,1115700,113.741508
"2020-08-14",116.809998,117.739998,116.089996,116.610001,1059500,113.217216
"2020-08-17",116.370003,117.260002,116.169998,116.510002,1029600,113.120132
"2020-08-18",116.370003,117.610001,116.370003,116.93,1236900,113.527901
"2020-08-19",116.919998,117.360001,115.919998,116.099998,899400,112.722061
"2020-08-20",115.559998,116.459999,115.139999,116.050003,1019500,112.673523
"2020-08-21",114.860001,115.290001,112.18,113.470001,2491800,110.168579
"2020-08-24",113.870003,114.110001,111.959999,112.620003,1898600,109.343323
"2020-08-25",113.349998,113.669998,112.269997,112.989998,1918300,109.702553
"2020-08-26",112.879997,114.470001,112.239998,114.220001,1218200,110.896767
"2020-08-27",114.309998,115.379997,114.230003,114.68,1284300,111.343376
"2020-08-28",115.360001,115.419998,113.43,114,1962000,110.683159
"2020-08-31",114.349998,115.339996,113.970001,114.910004,1571400,111.566681
"2020-09-01",114.629997,115.5,113.940002,115.480003,1693600,112.120094
"2020-09-02",115.279999,118.959999,115.07,118.910004,2075100,115.450302
"2020-09-03",119.410004,120.970001,115.75,116.580002,3187700,113.188087
"2020-09-04",117.309998,117.940002,113.629997,115.410004,1400600,112.052124
"2020-09-08",114.540001,114.739998,112.139999,113.480003,2689500,110.178291
"2020-09-09",114.449997,117.809998,114.349998,116.75,1843600,113.353157
"2020-09-10",116.760002,117.5,115.580002,115.610001,1859200,112.246315
"2020-09-11",115.959999,116.449997,114.860001,115.779999,1023800,112.411369
"2020-09-14",116.839996,118.040001,116.470001,117.800003,1199300,114.372589
"2020-09-15",118.110001,119.400002,118,118.620003,1395300,115.168747
"2020-09-16",118.959999,120.510002,118.610001,118.830002,1572800,115.372627
"2020-09-17",117.699997,118.559998,116.510002,117.879997,1879700,114.450272
"2020-09-18",117.529999,119.400002,117.269997,117.669998,3068900,114.246368
"2020-09-21",116.440002,116.760002,114.470001,116.269997,2227800,112.887108
"2020-09-22",116.279999,117.610001,114.970001,116.269997,1819200,112.887108
"2020-09-23",116.169998,117.07,114.459999,114.540001,1453500,111.207443
"2020-09-24",114.419998,114.739998,112.540001,112.730003,1719600,109.450111
"2020-09-25",112.400002,113.370003,110.709999,112.959999,2395100,109.673424
"2020-09-28",114.099998,115.849998,113.260002,114.540001,2059300,111.207443
"2020-09-29",114.32,114.889999,113.169998,114.050003,1603600,110.731712
"2020-09-30",114.550003,115.839996,113.580002,114.699997,2499600,111.362801
"2020-10-01",115.029999,115.449997,113.589996,114.230003,2052300,110.906471
"2020-10-02",113.419998,115.800003,113.190002,114.559998,1641600,111.226852
"2020-10-05",115.440002,116.089996,114.68,115.660004,1346700,112.294868
"2020-10-06",116.080002,117.139999,114.459999,114.879997,2185600,111.53756
"2020-10-07",115.589996,116.199997,114.260002,114.690002,1605400,111.353073
"2020-10-08",114.610001,115.68,114.129997,114.260002,2141300,111.387207
"2020-10-09",115.190002,116.510002,114.230003,115.709999,1698200,112.800743
"2020-10-12",115.300003,117.18,115.269997,116.589996,1285800,113.658615
"2020-10-13",116.260002,117.559998,114.370003,114.949997,1210200,112.059853
"2020-10-14",115.400002,116.279999,114.269997,114.510002,1329400,111.630913
"2020-10-15",113.760002,115.120003,113.300003,114.360001,1449000,111.484695
"2020-10-16",114.660004,115.980003,114.339996,114.940002,1606900,112.050117
"2020-10-19",115.18,115.559998,112.839996,113.029999,1190900,110.188141
"2020-10-20",113.790001,114.110001,112.239998,112.470001,1106400,109.642212
"2020-10-21",112.610001,113.830002,112.279999,112.300003,1145900,109.476486
"2020-10-22",112.300003,113.650002,111.839996,113.379997,1050500,110.529335
"2020-10-23",113.82,113.860001,112.779999,113.699997,1275400,110.841286
"2020-10-26",112.709999,112.720001,110.349998,111.089996,1438600,108.296898
"2020-10-27",111.330002,111.989998,110.410004,110.410004,1088900,107.634003
"2020-10-28",108.830002,109.400002,107.290001,107.529999,2524300,104.826416
"2020-10-29",107.32,107.870003,102.860001,102.949997,3065400,100.361565
"2020-10-30",102.589996,104.639999,102.110001,103.459999,2797600,100.858749
"2020-11-02",104,105.440002,103.269997,104.889999,2567000,102.252792
"2020-11-03",106.43,107.43,105.480003,106.57,2343900,103.890549
"2020-11-04",106.860001,111.379997,106.650002,109,2234400,106.259453
"2020-11-05",109.919998,110.730003,107.849998,108.400002,1573500,105.674538
"2020-11-06",109.139999,110.730003,108.169998,109.559998,1405300,106.805367
"2020-11-09",116,117.129997,110.169998,110.580002,3255100,107.799728
"2020-11-10",110.68,113.080002,109.970001,112.510002,2118200,109.681213
"2020-11-11",113.32,113.959999,112.709999,113.360001,1231500,110.509834
"2020-11-12",112.989998,113.279999,111.580002,112.330002,1372700,109.505722
"2020-11-13",112.940002,113.949997,112.839996,113.309998,1381600,110.46109
"2020-11-16",114.120003,115.720001,113.75,115.660004,1783400,112.752014
"2020-11-17",114.400002,114.879997,112.919998,114.239998,1467900,111.367706
"2020-11-18",114.040001,114.860001,111.959999,112,1856800,109.184021
"2020-11-19",112.080002,114.940002,111.440002,114.480003,2282500,111.601677
"2020-11-20",114.760002,114.989998,112.900002,112.980003,1295500,110.139381
"2020-11-23",113.580002,113.959999,112.050003,113.279999,1109800,110.431847
"2020-11-24",114.279999,115.379997,113.5,115.099998,1667200,112.206085
"2020-11-25",114.800003,115.269997,113.440002,115.230003,1633900,112.332825
"2020-11-27",115,115.790001,114.150002,114.360001,564000,111.484695
"2020-11-30",114.260002,114.739998,113.32,114.639999,2837100,111.757652
"2020-12-01",115.349998,116.989998,115.169998,116.339996,1510300,113.414902
"2020-12-02",116.379997,116.580002,114.970001,116.019997,972400,113.102936
"2020-12-03",115.980003,117,115.120003,116.540001,2452500,113.609871
"2020-12-04",116.389999,117.389999,115.339996,117.32,2077100,114.370262
"2020-12-07",117.029999,118.43,115.690002,116.059998,1511700,113.141937
"2020-12-08",114.18,117,114.089996,116.699997,1859600,113.765862
"2020-12-09",116.489998,116.93,115.25,115.900002,2087300,112.98597
"2020-12-10",116.110001,116.309998,114.93,115.370003,3355100,112.469307
"2020-12-11",114.660004,116.32,114.43,115.440002,2363500,112.537529
"2020-12-14",116.279999,116.790001,114.870003,114.919998,1733900,112.030609
"2020-12-15",115.5,117.290001,115.150002,116.650002,2117600,113.717117
"2020-12-16",117.010002,118.32,116.580002,117.120003,1751400,114.175301
"2020-12-17",117.57,119.309998,117.57,118.690002,1435500,115.705811
"2020-12-18",118.360001,118.620003,115.220001,116.269997,3792500,113.346664
"2020-12-21",115.620003,116.050003,112.540001,115.050003,1491100,112.157349
"2020-12-22",114.629997,115.080002,113.889999,114.400002,1172500,111.523697
"2020-12-23",114.650002,115.160004,113.68,113.690002,846400,110.831543
"2020-12-24",114.139999,115.290001,113.919998,115.129997,372400,112.235321
"2020-12-28",115.68,116.110001,114.839996,115.199997,968200,112.303566
"2020-12-29",115.660004,115.940002,114.769997,114.800003,773700,111.913628
"2020-12-30",115.209999,115.660004,114.709999,115.010002,651200,112.118347
"2020-12-31",115.339996,117.190002,114.739998,117,908600,114.058311
"2021-01-04",116.43,116.809998,112.620003,113.510002,1671400,110.656067
"2021-01-05",113.93,114,112.110001,112.720001,1137900,109.885925
"2021-01-06",112.949997,114.489998,111.889999,113.5,2122600,110.646301
"2021-01-07",113.449997,114.059998,112.419998,113.339996,2612300,110.490326
"2021-01-08",111.830002,114.300003,111.830002,113.480003,2439400,110.626816
"2021-01-11",113.82,113.82,111.900002,112.589996,1998900,109.759193
"2021-01-12",112.470001,114.110001,111.970001,113,2027600,110.158882
"2021-01-13",112.599998,113.779999,112.019997,113.480003,1498700,110.626816
"2021-01-14",113.690002,113.900002,111.879997,111.989998,1358300,109.174278
"2021-01-15",111.529999,112.760002,111.059998,111.839996,2533300,109.028038
"2021-01-19",112.120003,113.089996,111.559998,112.220001,1656300,109.398491
"2021-01-20",112.190002,113.93,111.540001,113.440002,1704000,110.587837
"2021-01-21",113.120003,113.440002,111.809998,111.830002,1249100,109.018295
"2021-01-22",111.589996,112.239998,110.709999,111.519997,1490400,108.716087
