"","MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume","MMM.Adjusted"
"2020-07-01",156.339996,157.800003,155.309998,155.429993,1625600,145.12529
"2020-07-02",157.619995,158.880005,156.460007,157.039993,1982800,146.62854
"2020-07-06",158.869995,159.960007,157.050003,158.100006,2099500,147.618301
"2020-07-07",156.080002,157.100006,154.690002,154.820007,1571700,144.555756
"2020-07-08",155.070007,155.600006,153.869995,154.580002,1662000,144.331665
"2020-07-09",153.919998,154.720001,151.039993,151.449997,2190000,141.409149
"2020-07-10",151.690002,153.25,150.990005,152.850006,1954500,142.716354
"2020-07-13",154.350006,156.929993,154.160004,154.800003,2217800,144.537064
"2020-07-14",154.800003,159.229996,153.919998,158.539993,3198900,148.029114
"2020-07-15",159.979996,161.380005,159.25,159.330002,3472300,148.766739
"2020-07-16",159.25,160.910004,158.039993,160.5,1801500,149.859177
"2020-07-17",160.860001,161.559998,159.509995,159.830002,2551700,149.233582
"2020-07-20",158.850006,158.869995,156.369995,156.369995,1790100,146.002975
"2020-07-21",157,159.630005,156.990005,157.800003,2757200,147.33815
"2020-07-22",157.429993,159.929993,157.020004,158.710007,1899600,148.187836
"2020-07-23",159,159.649994,158.360001,159.289993,2695100,148.729355
"2020-07-24",160.050003,161.600006,158.720001,159.839996,2524700,149.242889
"2020-07-27",159.529999,163.380005,159.330002,163.240005,3198500,152.417496
"2020-07-28",155.470001,157.479996,153.800003,155.330002,7738800,145.031921
"2020-07-29",156.5,157.529999,154.919998,156.25,3322700,145.89093
"2020-07-30",154.309998,154.720001,151.360001,152.119995,3113000,142.034729
"2020-07-31",151.679993,151.75,148.800003,150.470001,3266400,140.49411
"2020-08-03",151.089996,151.419998,149.309998,150.410004,2264900,140.43811
"2020-08-04",149.899994,151.240005,149.660004,151.210007,1935500,141.185089
"2020-08-05",152.160004,155.399994,152.100006,155.350006,2644400,145.050583
"2020-08-06",155.929993,156.490005,154.679993,156,2885800,145.657501
"2020-08-07",155.990005,158.419998,155.070007,158.330002,2184300,147.833023
"2020-08-10",158.550003,161.600006,158.550003,161.440002,2272800,150.736847
"2020-08-11",164.130005,166.639999,163.039993,163.380005,3764500,152.548203
"2020-08-12",165,165.949997,163.350006,164.259995,2079200,153.369873
"2020-08-13",165.520004,167.490005,164.75,165.860001,2884000,154.8638
