"","MNST.Open","MNST.High","MNST.Low","MNST.Close","MNST.Volume","MNST.Adjusted"
"2020-07-01",69.330002,69.970001,68.839996,69.029999,1101200,69.029999
"2020-07-02",69.620003,69.940002,69.099998,69.260002,1413300,69.260002
"2020-07-06",70.269997,71.349998,69.970001,71.309998,2602000,71.309998
"2020-07-07",70.800003,72.93,70.650002,71.699997,2539300,71.699997
"2020-07-08",72.110001,72.82,71.220001,71.760002,1671700,71.760002
"2020-07-09",71.650002,72.040001,70.519997,71.050003,1525500,71.050003
"2020-07-10",71.080002,71.669998,70.110001,71.650002,1186700,71.650002
"2020-07-13",72.489998,72.489998,70.239998,70.550003,2627300,70.550003
"2020-07-14",69.769997,71.75,69.540001,71.629997,2064800,71.629997
"2020-07-15",71.870003,72.589996,71,72.190002,2210800,72.190002
"2020-07-16",71.790001,72.639999,71.610001,72.620003,1493400,72.620003
"2020-07-17",73.300003,74.620003,72.43,74.220001,5765200,74.220001
"2020-07-20",74.5,74.949997,73.589996,73.870003,1854700,73.870003
"2020-07-21",74.5,75.760002,74.349998,75,2560500,75
"2020-07-22",75.410004,76.089996,75.339996,75.730003,2120400,75.730003
"2020-07-23",76.160004,76.5,74.800003,74.93,2198400,74.93
"2020-07-24",75.059998,75.489998,74.589996,74.879997,1586100,74.879997
"2020-07-27",75.290001,76.730003,75.269997,76.43,2027000,76.43
"2020-07-28",76.93,77.019997,75.93,76.190002,1741000,76.190002
"2020-07-29",76.220001,77.510002,75.809998,77.309998,1488900,77.309998
"2020-07-30",76.730003,78,76.010002,77.82,2159300,77.82
"2020-07-31",77.760002,78.480003,76.809998,78.480003,2102700,78.480003
"2020-08-03",78.690002,78.790001,77.150002,77.839996,1573200,77.839996
"2020-08-04",77.480003,78.25,77.209999,78.010002,2493900,78.010002
"2020-08-05",82.029999,83.959999,81.309998,83.099998,3529700,83.099998
"2020-08-06",82.980003,83.830002,82.620003,83.510002,2183800,83.510002
"2020-08-07",82.949997,83.839996,82.419998,83.190002,1824500,83.190002
"2020-08-10",83.190002,83.360001,81.580002,82,1265700,82
"2020-08-11",82.279999,82.440002,80.150002,80.599998,2323800,80.599998
"2020-08-12",81.239998,83.07,81.239998,82.650002,2035100,82.650002
"2020-08-13",83,83.980003,82.790001,83.82,2197700,83.82
"2020-08-14",83.489998,83.879997,82.879997,83.32,1385800,83.32
"2020-08-17",83.339996,83.910004,83.290001,83.449997,2608900,83.449997
"2020-08-18",83.440002,83.830002,82.599998,82.980003,1372400,82.980003
"2020-08-19",82.779999,83.580002,82.349998,82.669998,1231600,82.669998
"2020-08-20",82.190002,83.18,81.910004,83.010002,1119300,83.010002
"2020-08-21",82.760002,83.029999,81.82,82.730003,1480900,82.730003
"2020-08-24",82.980003,83.699997,82.540001,83.690002,1440500,83.690002
"2020-08-25",84.050003,84.559998,83.190002,83.970001,1317800,83.970001
"2020-08-26",83.699997,84.089996,83.019997,83.970001,1471400,83.970001
"2020-08-27",84,84.190002,82.790001,83.339996,1341700,83.339996
"2020-08-28",83.75,84.639999,83.059998,84.540001,1666800,84.540001
"2020-08-31",84.419998,84.970001,83.239998,83.860001,2787500,83.860001
"2020-09-01",83.779999,84.860001,83.470001,84.839996,1911300,84.839996
"2020-09-02",85,87.050003,84.949997,86.529999,2571500,86.529999
"2020-09-03",86.779999,86.809998,81.970001,82.699997,2701700,82.699997
"2020-09-04",83.160004,83.760002,80.970001,82.269997,2801000,82.269997
"2020-09-08",81.800003,81.970001,79.650002,80.099998,2670000,80.099998
"2020-09-09",80.550003,83.349998,80.550003,82.739998,3872200,82.739998
"2020-09-10",82.440002,83.190002,81.07,81.779999,2332100,81.779999
"2020-09-11",82.050003,82.32,80.419998,81.339996,1503700,81.339996
"2020-09-14",82.110001,83.32,82.110001,82.889999,1841600,82.889999
"2020-09-15",83.239998,83.93,82.419998,83.139999,1545000,83.139999
"2020-09-16",83.370003,84,81.870003,81.870003,1433000,81.870003
"2020-09-17",80.790001,81.440002,79.660004,80.709999,2034500,80.709999
"2020-09-18",80.809998,80.949997,78.110001,78.989998,4431800,78.989998
"2020-09-21",78.410004,78.5,77.07,78.379997,2097200,78.379997
"2020-09-22",78.199997,79.540001,77.910004,79.230003,1329600,79.230003
"2020-09-23",78.849998,79.239998,77.43,77.790001,1425200,77.790001
"2020-09-24",77.449997,79.019997,76.879997,78,1236200,78
"2020-09-25",77.449997,79.029999,77.080002,78.790001,1576900,78.790001
"2020-09-28",79.910004,80.730003,79.440002,80.510002,2271400,80.510002
"2020-09-29",80.889999,81.080002,79.589996,79.790001,1469300,79.790001
"2020-09-30",80.330002,81.059998,79.639999,80.199997,3390300,80.199997
"2020-10-01",81.050003,81.760002,80.239998,81.480003,4699100,81.480003
"2020-10-02",80.330002,80.830002,78.720001,79.550003,2002000,79.550003
"2020-10-05",79.709999,80.120003,78.019997,78.669998,2281500,78.669998
"2020-10-06",78.629997,79.370003,77.349998,77.629997,1837300,77.629997
"2020-10-07",77.879997,78.989998,77.629997,78.760002,1648000,78.760002
"2020-10-08",79.190002,79.349998,78.599998,79.169998,1452100,79.169998
"2020-10-09",79.489998,81.199997,79.370003,80.949997,2503800,80.949997
"2020-10-12",82.029999,83.389999,81.559998,82.779999,3339800,82.779999
"2020-10-13",83.660004,84.459999,82.830002,83.489998,2925000,83.489998
"2020-10-14",83.790001,84.339996,82.169998,82.800003,1889900,82.800003
"2020-10-15",81.830002,82.5,81.080002,81.389999,2194200,81.389999
"2020-10-16",81.730003,82.639999,80.699997,80.760002,4755000,80.760002
"2020-10-19",80.459999,81.57,79.629997,80.010002,2186800,80.010002
"2020-10-20",80.5,81.059998,79.919998,80.199997,1714700,80.199997
"2020-10-21",79.870003,80.68,79.410004,80.089996,1191000,80.089996
"2020-10-22",80.419998,80.779999,79.339996,80.559998,1169400,80.559998
"2020-10-23",80.860001,81.290001,80.050003,80.389999,1504200,80.389999
"2020-10-26",79.349998,80.269997,78.07,78.849998,1550800,78.849998
"2020-10-27",79.790001,81.080002,79.330002,80.389999,1906100,80.389999
"2020-10-28",78.709999,79.139999,77.25,77.370003,2172600,77.370003
"2020-10-29",77.07,78.510002,76.540001,77.540001,1530300,77.540001
"2020-10-30",76.830002,77.220001,75.449997,76.57,3256000,76.57
"2020-11-02",77.839996,78.349998,76.919998,77.919998,1526600,77.919998
"2020-11-03",80.349998,80.529999,78.050003,79.519997,5653800,79.519997
"2020-11-04",80.900002,83.419998,80.410004,82.720001,2723500,82.720001
"2020-11-05",84.040001,84.690002,82.639999,83.68,2894200,83.68
"2020-11-06",84.489998,84.580002,82.639999,83.260002,2141400,83.260002
"2020-11-09",87.809998,88.410004,80.900002,81.349998,3369100,81.349998
"2020-11-10",80.959999,82.760002,80.510002,81.580002,2622700,81.580002
"2020-11-11",81.75,84.779999,81.529999,84.5,2325800,84.5
"2020-11-12",84.5,84.790001,82.389999,82.959999,1448600,82.959999
"2020-11-13",83.43,84.120003,82.879997,84.019997,1865300,84.019997
"2020-11-16",83.980003,85.330002,83.220001,83.580002,2411600,83.580002
"2020-11-17",84.839996,85.870003,83.980003,85.540001,2205200,85.540001
"2020-11-18",84.93,86.029999,84.120003,84.220001,1892200,84.220001
"2020-11-19",83.379997,84.190002,82.849998,83.730003,1803000,83.730003
"2020-11-20",83.610001,84.389999,83.440002,83.519997,1532300,83.519997
"2020-11-23",83.93,84.709999,83.269997,84.07,2138500,84.07
"2020-11-24",84.300003,84.989998,83.510002,84.190002,1434500,84.190002
"2020-11-25",84.57,84.940002,83.839996,84.080002,944500,84.080002
"2020-11-27",84.480003,85.139999,83.900002,84.150002,1116200,84.150002
"2020-11-30",84.199997,84.849998,83.279999,84.779999,2654500,84.779999
"2020-12-01",85.480003,87.029999,84.980003,86.68,2499200,86.68
"2020-12-02",87.839996,88.459999,85.82,86.260002,1741200,86.260002
"2020-12-03",85.730003,86.769997,85.559998,86.519997,2465500,86.519997
"2020-12-04",86.139999,87.610001,86.129997,87.440002,1821300,87.440002
"2020-12-07",86.949997,87.760002,86.669998,87.169998,1313000,87.169998
"2020-12-08",87.860001,88.889999,86.809998,88.199997,2137800,88.199997
"2020-12-09",88.400002,88.699997,87.470001,87.900002,1484700,87.900002
"2020-12-10",88.550003,88.620003,87.510002,88.029999,1253300,88.029999
"2020-12-11",87.550003,88.220001,87.029999,88.019997,1908500,88.019997
"2020-12-14",88.279999,89.489998,88.099998,88.419998,1691300,88.419998
"2020-12-15",88.980003,89.160004,88.169998,88.580002,1757500,88.580002
"2020-12-16",88.75,89.940002,88.559998,89.800003,1364600,89.800003
"2020-12-17",89.980003,90.449997,89.519997,90.139999,1370200,90.139999
"2020-12-18",90.709999,90.709999,89.080002,90.129997,4193300,90.129997
"2020-12-21",88.849998,89.449997,87.309998,88.970001,1506700,88.970001
"2020-12-22",88.610001,88.830002,87.980003,88.269997,1516500,88.269997
"2020-12-23",88.279999,89.5,88.199997,88.940002,1416000,88.940002
"2020-12-24",89,90.019997,88.989998,89.809998,461400,89.809998
"2020-12-28",90.360001,90.910004,90.209999,90.809998,862600,90.809998
"2020-12-29",91.199997,91.440002,90.510002,91.040001,882400,91.040001
"2020-12-30",91.059998,91.68,91.059998,91.459999,787100,91.459999
"2020-12-31",91.519997,92.540001,91.07,92.480003,1194000,92.480003
"2021-01-04",92.510002,92.550003,88.800003,90.599998,3006600,90.599998
"2021-01-05",89.889999,91.660004,89.449997,91.419998,2530100,91.419998
"2021-01-06",91.059998,91.400002,90.089996,90.699997,3788900,90.699997
"2021-01-07",90.57,93.599998,90.269997,93.5,3020400,93.5
"2021-01-08",93.779999,95.059998,92.949997,94.989998,3138800,94.989998
"2021-01-11",94.860001,95.110001,92.540001,92.940002,1508800,92.940002
"2021-01-12",93.260002,94.43,92.610001,93.989998,2694200,93.989998
"2021-01-13",94,94.160004,91.809998,91.870003,3372600,91.870003
"2021-01-14",91.720001,92.68,90.529999,91.360001,2386100,91.360001
"2021-01-15",90.300003,92.5,89.720001,91.650002,3070700,91.650002
"2021-01-19",92.339996,92.989998,90.019997,90.080002,2363500,90.080002
"2021-01-20",90.129997,90.470001,89.290001,89.610001,1987200,89.610001
"2021-01-21",89.610001,89.690002,88.620003,89.199997,1278000,89.199997
"2021-01-22",89.110001,89.400002,88.080002,88.199997,1196700,88.199997
"2021-01-25",88.559998,89.400002,88.110001,88.459999,1738800,88.459999
"2021-01-26",88.300003,89.739998,88.279999,88.800003,1437600,88.800003
"2021-01-27",88.029999,88.529999,85.360001,85.93,3584300,85.93
"2021-01-28",86.779999,89.330002,86.629997,88.730003,1884500,88.730003
"2021-01-29",87.510002,88.669998,86.769997,86.830002,1846900,86.830002
"2021-02-01",86.809998,88.43,86.440002,88.25,1542500,88.25
"2021-02-02",89.010002,91.559998,88.589996,90.440002,1627500,90.440002
"2021-02-03",90.209999,91.139999,89.25,90.410004,1296400,90.410004
"2021-02-04",90.269997,91.599998,90.209999,91.470001,1202300,91.470001
"2021-02-05",92.050003,92.720001,90.860001,91.099998,1726100,91.099998
"2021-02-08",91.720001,92.120003,90.029999,90.879997,1703400,90.879997
"2021-02-09",90.449997,90.769997,89.720001,90.510002,1034500,90.510002
"2021-02-10",91.169998,91.190002,89.360001,90.449997,1633900,90.449997
"2021-02-11",90.790001,91.010002,89.730003,89.940002,1029100,89.940002
"2021-02-12",89.900002,91.849998,89.470001,91.730003,1607700,91.730003
"2021-02-16",91.730003,92.769997,91.57,92.18,1836200,92.18
"2021-02-17",92,92.389999,91.459999,92.160004,1202100,92.160004
"2021-02-18",91.470001,92.949997,91,92.650002,1310800,92.650002
"2021-02-19",92.339996,92.5,89.379997,89.650002,2303200,89.650002
"2021-02-22",89.57,89.959999,88.800003,89.169998,2191100,89.169998
"2021-02-23",89.519997,89.550003,86.440002,88.32,2720500,88.32
"2021-02-24",87.449997,88.889999,86.5,88.239998,2e+06,88.239998
"2021-02-25",87.900002,88.889999,85.160004,85.349998,3184500,85.349998
"2021-02-26",87.620003,89.629997,86.220001,87.739998,4709200,87.739998
"2021-03-01",88.129997,88.989998,86.400002,87.550003,2070400,87.550003
"2021-03-02",87.559998,88.489998,86.800003,86.879997,2275500,86.879997
"2021-03-03",86.849998,87.330002,84.489998,84.599998,2093100,84.599998
"2021-03-04",84.720001,86.57,84.059998,84.68,2333500,84.68
"2021-03-05",85.279999,86.790001,82.959999,86.419998,3408500,86.419998
"2021-03-08",86.199997,86.709999,85.019997,85.139999,2301800,85.139999
"2021-03-09",86.709999,89.110001,85.959999,88.440002,2493100,88.440002
"2021-03-10",88.800003,90.099998,88.699997,89.400002,2104500,89.400002
"2021-03-11",89.059998,90.07,88.790001,89.349998,1593400,89.349998
"2021-03-12",88.470001,89.199997,87.660004,88.940002,2520200,88.940002
"2021-03-15",88.93,89.389999,87.900002,89.309998,1537100,89.309998
"2021-03-16",90.050003,90.599998,89.239998,89.389999,2207800,89.389999
"2021-03-17",88.629997,89.25,87.290001,88.599998,1794900,88.599998
"2021-03-18",88.18,88.230003,86.339996,87.919998,2658600,87.919998
"2021-03-19",87.769997,88.620003,87.349998,87.919998,3139500,87.919998
"2021-03-22",87.800003,90.199997,87.580002,89.050003,2502300,89.050003
"2021-03-23",89.889999,90.849998,88.970001,89.620003,2038500,89.620003
"2021-03-24",89.540001,89.540001,87.849998,88.720001,1870600,88.720001
"2021-03-25",88.959999,89.309998,87.309998,88.790001,1328100,88.790001
"2021-03-26",88.349998,91.839996,88.220001,91.650002,2115100,91.650002
"2021-03-29",91.760002,92.360001,90.68,91.919998,2136900,91.919998
"2021-03-30",91.290001,91.629997,90.139999,90.690002,1722400,90.690002
"2021-03-31",91.080002,91.730003,90.550003,91.089996,2019100,91.089996
"2021-04-01",91.699997,92.169998,91.089996,91.360001,1811500,91.360001
"2021-04-05",91.529999,94.129997,91.43,93.440002,2253300,93.440002
"2021-04-06",93.739998,94.279999,92.629997,93.730003,1673300,93.730003
"2021-04-07",93.790001,94.57,93.419998,94.230003,1609900,94.230003
"2021-04-08",94.790001,95.830002,94.400002,95.300003,1660200,95.300003
"2021-04-09",95.029999,95.480003,94.830002,95.290001,1376100,95.290001
"2021-04-12",95.110001,95.730003,94.620003,95.419998,1367200,95.419998
"2021-04-13",95.400002,96.290001,95.400002,95.889999,2139900,95.889999
"2021-04-14",95.830002,96.019997,94.550003,94.800003,1823300,94.800003
"2021-04-15",95.32,96.209999,95,95.949997,1307400,95.949997
"2021-04-16",96.629997,98.43,96.129997,98.169998,4258300,98.169998
"2021-04-19",98.339996,98.489998,96.940002,97.860001,1731100,97.860001
