"","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume","MPC.Adjusted"
"2020-07-01",37.599998,38.060001,35.459999,35.68,6026400,32.848785
"2020-07-02",36.43,37.419998,35.93,36.07,5716300,33.207832
"2020-07-06",36.889999,37.119999,35.32,36.360001,6860000,33.474827
"2020-07-07",35.540001,35.919998,34.630001,34.689999,6752000,31.937332
"2020-07-08",34.73,34.810001,33.540001,34.150002,12174100,31.440186
"2020-07-09",34.259998,34.259998,32.57,33.349998,10668600,30.703663
"2020-07-10",33.209999,36.259998,33.02,36.200001,9439700,33.327515
"2020-07-13",36.32,36.450001,35.049999,35.310001,8333300,32.508133
"2020-07-14",34.880001,36.290001,34.400002,36.200001,8771300,33.327515
"2020-07-15",37.360001,37.73,36.490002,37.57,4805100,34.588806
"2020-07-16",37.029999,37.950001,36.650002,37.389999,3380600,34.423088
"2020-07-17",37.639999,39.630001,37.200001,37.93,10359900,34.920246
"2020-07-20",37.73,38.310001,36.68,36.75,7093400,33.833874
"2020-07-21",37.290001,38.759998,37.16,38.540001,6673300,35.481834
"2020-07-22",37.700001,38.91,37.400002,38.73,7550200,35.656765
"2020-07-23",38.200001,39.5,38.110001,38.880001,4573800,35.794861
"2020-07-24",38.93,39.360001,38.450001,38.700001,3728500,35.629139
"2020-07-27",38.52,38.91,37.75,38.52,3290300,35.463421
"2020-07-28",38.279999,38.860001,37.869999,38.119999,4821000,35.095165
"2020-07-29",38.34,39.950001,38.23,39.91,5097300,36.743126
"2020-07-30",39,39.27,37.630001,38.080002,5949200,35.058338
"2020-07-31",37.599998,38.549999,37.240002,38.200001,9994400,35.168819
"2020-08-03",38.400002,40.040001,37.419998,38.57,24358900,35.509457
"2020-08-04",37.830002,38.57,36.509998,37.689999,13185700,34.69928
"2020-08-05",38.080002,38.130001,36.27,36.43,14914600,33.539272
"2020-08-06",36.07,36.880001,35.490002,35.73,7172500,32.89481
"2020-08-07",35.59,36.75,35.25,36.669998,5469000,33.76022
"2020-08-10",36.900002,37.150002,36.049999,37.130001,9232600,34.18372
"2020-08-11",38,38.68,36.73,36.950001,7622200,34.018005
"2020-08-12",38.029999,38.450001,37.349998,38.130001,8280400,35.10437
"2020-08-13",37.5,38.07,37.119999,37.259998,5040000,34.303402
"2020-08-14",37.049999,38.380001,36.900002,38.349998,5768100,35.306915
"2020-08-17",38.369999,39.080002,38.040001,38.650002,5424600,35.583103
"2020-08-18",37.93,38.220001,37.23,37.240002,5824200,34.807327
"2020-08-19",37.130001,37.830002,36.700001,37.18,5357100,34.751251
"2020-08-20",36.580002,36.689999,35.619999,35.619999,8117000,33.293152
"2020-08-21",35.5,35.689999,34.959999,35.400002,6586100,33.087528
"2020-08-24",35.799999,37.02,35.48,36.810001,7215700,34.405415
"2020-08-25",36.950001,37,36.009998,36.450001,7086600,34.068935
"2020-08-26",36.32,36.599998,35.299999,35.330002,5174700,33.022099
"2020-08-27",35.439999,35.490002,34.400002,34.98,7384700,32.694958
"2020-08-28",35.16,37.259998,35.099998,37.09,7090800,34.667122
"2020-08-31",37.009998,37.07,35.459999,35.459999,5727700,33.143604
"2020-09-01",35.009998,35.860001,34.630001,34.970001,5048700,32.685612
"2020-09-02",35.029999,35.43,34.59,35.009998,5556900,32.723003
"2020-09-03",35.099998,35.830002,33.939999,34.259998,6314800,32.021999
"2020-09-04",34.540001,34.779999,33.23,33.639999,7278900,31.442495
"2020-09-08",33.040001,33.41,32.23,32.330002,6645500,30.218071
"2020-09-09",32.720001,32.75,31.74,31.77,7017500,29.694653
"2020-09-10",31.879999,31.969999,30.219999,30.27,8887000,28.292639
"2020-09-11",30.309999,31.6,30.139999,31.25,8273000,29.20862
"2020-09-14",31.49,32.490002,31.48,32.02,9334900,29.92832
"2020-09-15",31.959999,32.470001,30.950001,31.09,5248500,29.059071
"2020-09-16",31.309999,33.060001,30.75,32.360001,9228800,30.246113
"2020-09-17",31.549999,32.400002,31.450001,32.119999,8454600,30.021788
