"","MPWR.Open","MPWR.High","MPWR.Low","MPWR.Close","MPWR.Volume","MPWR.Adjusted"
"2020-07-01",236.210007,238.5,232.490005,235.550003,519900,232.648727
"2020-07-02",237.570007,240.360001,235.339996,237.130005,265900,234.209259
"2020-07-06",241.990005,243.410004,239.800003,242.139999,292600,239.157562
"2020-07-07",242.429993,247.880005,241.399994,244,306400,240.994629
"2020-07-08",246.860001,248.789993,243.729996,247.529999,227500,244.481155
"2020-07-09",250.089996,251.279999,244.169998,249.479996,432000,246.40715
"2020-07-10",251.460007,251.679993,245.169998,247.910004,219400,244.856491
"2020-07-13",251.229996,255.690002,241.929993,242.419998,223600,239.434097
"2020-07-14",241.580002,250.100006,236.740005,249.520004,328000,246.446655
"2020-07-15",250.270004,251.210007,241.619995,246.720001,290100,243.681152
"2020-07-16",245.070007,247.039993,242.100006,245.539993,138300,242.51564
"2020-07-17",247.410004,251.279999,245.600006,249.419998,181400,246.347885
"2020-07-20",249.339996,253.770004,248.729996,252.559998,243500,249.449219
"2020-07-21",254.009995,254.979996,247.529999,248.710007,275200,245.646652
"2020-07-22",249.529999,251.520004,246.039993,249.259995,265300,246.189835
"2020-07-23",249.929993,252.300003,243.119995,245.199997,347000,242.179871
"2020-07-24",243.220001,249.639999,239.080002,245.130005,412900,242.110703
"2020-07-27",248.539993,254.919998,248.460007,253.889999,304200,250.762787
"2020-07-28",253.539993,253.660004,247.139999,247.479996,294500,244.431778
"2020-07-29",252.779999,264.290009,250,263.880005,688100,260.629761
"2020-07-30",261.390015,271.790009,261.390015,269.75,337200,266.427429
"2020-07-31",271.619995,271.940002,260.48999,265.01001,352700,261.74588
"2020-08-03",268.679993,272.929993,267.269989,268.440002,315700,265.133606
"2020-08-04",267.76001,275.839996,267.76001,275.619995,285300,272.225159
"2020-08-05",277.109985,278.230011,270.75,278.040009,367200,274.615356
"2020-08-06",277.290009,282.600006,277,282.5,273300,279.020386
"2020-08-07",281.929993,283.480011,273.959991,278.730011,225500,275.296906
"2020-08-10",278.109985,279.179993,271,272.140015,301600,268.788055
"2020-08-11",269.619995,275.390015,266.790009,270.179993,298100,266.852142
"2020-08-12",273.269989,280.320007,271.48999,280,221700,276.551208
"2020-08-13",280,282.440002,277.290009,279.119995,189300,275.682037
"2020-08-14",280.190002,281.820007,274.619995,275.859985,164300,272.462219
"2020-08-17",279.220001,282.649994,278.329987,281.380005,206500,277.914215
"2020-08-18",281.380005,282.390015,275.019989,275.399994,253200,272.007904
"2020-08-19",276.209991,278.869995,273.529999,274.48999,232300,271.1091
"2020-08-20",271.859985,274.869995,269.309998,270.809998,272700,267.474396
"2020-08-21",270.809998,273.540009,268.299988,272.75,157100,269.390533
"2020-08-24",275.790009,275.940002,266.01001,268.109985,268700,264.807648
"2020-08-25",268.670013,271.839996,268.670013,271.570007,230400,268.225067
"2020-08-26",272.109985,272.720001,266.850006,269.549988,226000,266.229919
"2020-08-27",270.25,270.25,262.579987,264.01001,312100,260.758179
"2020-08-28",264.119995,269.799988,264.119995,269.459991,172900,266.141083
"2020-08-31",269.720001,273.279999,266.049988,267.130005,322600,263.839722
"2020-09-01",268,272.839996,262.589996,272.619995,464200,269.262115
"2020-09-02",276.320007,284.5,273.040009,282.850006,291000,279.36615
"2020-09-03",278.350006,278.350006,261.049988,263.089996,382400,259.849457
"2020-09-04",263.220001,265.640015,246.039993,255.809998,381600,252.659164
"2020-09-08",246.020004,252.960007,241.940002,242.630005,344300,239.641525
"2020-09-09",248.119995,249.330002,243.970001,246.559998,444700,243.523102
"2020-09-10",248.5,249.860001,241.919998,243.190002,295500,240.194611
"2020-09-11",242.460007,245.479996,235.619995,237.029999,396400,234.110474
"2020-09-14",242.779999,248.429993,242.380005,247.600006,253500,244.550339
"2020-09-15",257.179993,269.130005,252,258.670013,536300,255.483948
"2020-09-16",260.829987,261.769989,249.289993,250.240005,302000,247.157776
"2020-09-17",244.029999,253.149994,244.029999,252.110001,258200,249.004761
"2020-09-18",254.130005,255.229996,245.770004,253.940002,635800,250.81218
"2020-09-21",248.779999,257.149994,247.869995,255.970001,373700,252.8172
"2020-09-22",257.98999,259.730011,251.509995,259.480011,407300,256.283966
"2020-09-23",258.429993,258.76001,250.740005,252.059998,196100,248.955383
"2020-09-24",250.009995,261.410004,250.009995,259.589996,276300,256.392578
"2020-09-25",259.579987,265.910004,255.100006,265.179993,242900,261.913788
"2020-09-28",272.089996,275.339996,269.290009,274.880005,344600,271.494324
"2020-09-29",273.279999,279.220001,273.279999,276.609985,189300,273.700836
