"","MSCI.Open","MSCI.High","MSCI.Low","MSCI.Close","MSCI.Volume","MSCI.Adjusted"
"2020-07-01",335.170013,343.799988,329.829987,340.929993,408200,335.684906
"2020-07-02",344.609985,345.730011,340.829987,342.130005,360400,336.866425
"2020-07-06",347,352.859985,345.170013,351.209991,502200,345.806702
"2020-07-07",349.119995,359.700012,347,352.609985,592700,347.185211
"2020-07-08",357.829987,370.869995,357.829987,370.709991,787200,365.006775
"2020-07-09",372.589996,379.970001,369.390015,375.140015,793400,369.368652
"2020-07-10",375.429993,377.519989,367.070007,370.950012,343900,365.243103
"2020-07-13",374.630005,380.619995,362.459991,363.869995,441300,358.272003
"2020-07-14",362.029999,369.690002,357.140015,369.079987,356300,363.401855
"2020-07-15",373.079987,377.839996,369.359985,376.25,357600,370.461487
"2020-07-16",372.950012,373.929993,364.980011,370.160004,320400,364.46521
"2020-07-17",371.73999,383.220001,370.75,379.619995,448700,373.779724
"2020-07-20",380.339996,389.75,380.339996,389.019989,449100,383.035034
"2020-07-21",391.040009,391.690002,383.769989,389.049988,376200,383.064575
"2020-07-22",386.970001,394.100006,386.829987,390.119995,291000,384.118134
"2020-07-23",394.140015,398.48999,382.48999,384.980011,370900,379.05722
"2020-07-24",384,387.079987,378.600006,385.649994,273400,379.716888
"2020-07-27",385.579987,396.309998,385.519989,394,305000,387.938446
"2020-07-28",394.76001,397.51001,372.540009,376.25,651200,370.461487
"2020-07-29",375.75,387.579987,375.75,383.019989,526300,377.12738
"2020-07-30",376.450012,381.720001,371.269989,374.540009,760100,368.777832
"2020-07-31",377.609985,379.950012,368.850006,375.980011,764000,370.195679
"2020-08-03",380.470001,382.820007,371.630005,371.910004,398800,366.188293
"2020-08-04",371.959991,372.700012,358.869995,364.350006,655200,358.744598
"2020-08-05",364.25,365.600006,360.279999,364.579987,447600,358.9711
"2020-08-06",365.149994,374.480011,363.769989,372.720001,652500,366.985809
"2020-08-07",371.170013,375.01001,357.890015,362.369995,503700,356.795074
"2020-08-10",361.23999,361.809998,353.01001,354.309998,361400,348.85907
"2020-08-11",352.130005,357.899994,345.600006,350.529999,689000,345.137207
"2020-08-12",355.220001,362.359985,353.01001,354.769989,486400,349.311951
"2020-08-13",355,363.470001,355,359.869995,359700,355.114288
"2020-08-14",360.630005,361.850006,354.720001,356.410004,319300,351.700043
"2020-08-17",357.470001,365.029999,356.769989,361.660004,536900,356.880615
"2020-08-18",362.279999,368.23999,360.299988,366.200012,281100,361.360657
"2020-08-19",366.25,373.429993,366.25,371.399994,558100,366.491943
"2020-08-20",368.700012,373.170013,365.809998,368.73999,374500,363.867065
"2020-08-21",369.119995,369.5,361.429993,363.690002,413800,358.883789
"2020-08-24",368,369.779999,360.910004,363.98999,316500,359.179871
"2020-08-25",364.059998,366.929993,362.320007,365.529999,289900,360.699463
"2020-08-26",364.73999,374,361.950012,371.600006,247400,366.689301
"2020-08-27",372.470001,374.670013,367.519989,369.890015,259700,365.001892
"2020-08-28",372.769989,374.450012,369.600006,373.679993,225500,368.74176
"2020-08-31",375.880005,377.420013,371.470001,373.269989,381700,368.337189
"2020-09-01",374.5,378.890015,372.670013,377.559998,298200,372.570496
"2020-09-02",379.589996,382.01001,376.549988,378.589996,576700,373.586884
"2020-09-03",375.559998,375.809998,351.609985,360.459991,573300,355.696472
"2020-09-04",360.01001,362,338.290009,348.179993,544700,343.578766
"2020-09-08",338.790009,346.220001,336.940002,339.640015,437300,335.151672
"2020-09-09",346.190002,352.149994,342.779999,348.690002,431200,344.082062
"2020-09-10",349.980011,353.109985,342.130005,342.529999,360900,338.003418
"2020-09-11",345.799988,348.019989,337.350006,339.25,529200,334.766785
"2020-09-14",344.109985,347.119995,339.390015,342.369995,713200,337.845551
"2020-09-15",346.839996,348.769989,344.579987,346,485900,341.427643
"2020-09-16",349,350.829987,344.209991,344.470001,533200,339.917816
"2020-09-17",338.779999,345.230011,338.049988,340.359985,572900,335.862061
"2020-09-18",340.660004,348.109985,340.660004,344.959991,1030600,340.401337
"2020-09-21",340.820007,351.959991,339.600006,351.730011,614800,347.081848
"2020-09-22",353.079987,353.079987,343.559998,351.23999,543000,346.598358
"2020-09-23",350.450012,353.049988,345.26001,345.459991,358700,340.894714
"2020-09-24",345.920013,350.299988,342.73999,346.119995,399200,341.54599
"2020-09-25",342.5,354.850006,341.290009,352.959991,429800,348.295593
"2020-09-28",356.23999,360.190002,349.660004,354.470001,367800,349.785675
"2020-09-29",354.880005,359.470001,354.019989,356.029999,345400,351.325043
"2020-09-30",355.589996,362.450012,353.970001,356.779999,386300,352.065125
"2020-10-01",361.23999,369,357.709991,359.540009,323300,354.788666
"2020-10-02",355.679993,358.619995,347.410004,348.160004,277600,343.559052
"2020-10-05",350.859985,353.100006,348.019989,351.309998,374900,346.667419
"2020-10-06",355.48999,355.48999,345.230011,347.920013,416100,343.322235
"2020-10-07",348.160004,351.51001,342.519989,342.809998,642400,338.279724
"2020-10-08",343.970001,349.059998,342.609985,346.399994,475600,341.822296
"2020-10-09",349.269989,354.899994,347.230011,352.329987,298200,347.67392
"2020-10-12",354.76001,355.859985,350.230011,352.640015,254200,347.979858
"2020-10-13",353.290009,361.179993,352.559998,359.970001,400300,355.213013
"2020-10-14",360.899994,364.709991,357.160004,359.040009,345000,354.295288
"2020-10-15",355.339996,363.100006,353.399994,361.619995,241600,356.841187
"2020-10-16",363.609985,369.25,363.359985,365.609985,240500,360.778442
"2020-10-19",367.209991,370.589996,362.200012,362.670013,296500,357.877289
"2020-10-20",361.73999,363.070007,358.040009,358.570007,437500,353.831451
"2020-10-21",360.450012,363.619995,349.649994,350.01001,412300,345.384552
"2020-10-22",350.380005,353.149994,346.549988,347.630005,451500,343.036041
"2020-10-23",348.019989,352,347.230011,350.549988,452700,345.91745
"2020-10-26",345.98999,350.540009,345.380005,349.559998,455000,344.940552
"2020-10-27",349.600006,360.839996,348.51001,356.899994,708500,352.183533
"2020-10-28",349.98999,350.100006,338.910004,340.679993,621500,336.177887
"2020-10-29",341.929993,348.480011,336.029999,345.48999,438800,340.924286
"2020-10-30",344.149994,351.619995,344.149994,349.839996,587300,345.216827
"2020-11-02",355.070007,365.799988,351.540009,356.850006,437800,352.134186
"2020-11-03",360.540009,372.899994,359,369.470001,578300,364.587433
"2020-11-04",371.100006,399.410004,371.100006,398.220001,908000,392.957458
"2020-11-05",399.950012,418.720001,399.679993,417.730011,906200,412.209656
"2020-11-06",418.100006,427.019989,407.01001,421.149994,637300,415.584473
"2020-11-09",434.130005,437.350006,390.459991,390.459991,1245800,385.300049
"2020-11-10",388.609985,391.570007,373.480011,379.820007,748000,374.800659
"2020-11-11",381.720001,402.420013,381.709991,397.019989,572100,391.773315
"2020-11-12",396.869995,397.940002,387.649994,389.480011,448200,385.089569
"2020-11-13",390.559998,392.179993,386.420013,388.420013,421100,384.041534
"2020-11-16",389.529999,398.309998,383.959991,397.600006,466400,393.118073
"2020-11-17",395,404.690002,393.529999,403.640015,476300,399.089966
"2020-11-18",403.98999,407.230011,399.75,399.950012,403000,395.441498
"2020-11-19",399.98999,401.329987,395.910004,400.790009,295300,396.272095
"2020-11-20",401.429993,409.619995,399.910004,400.299988,253600,395.787567
"2020-11-23",401.820007,408.720001,398.730011,401.970001,227300,397.438751
"2020-11-24",402,402.880005,395.690002,399.640015,443700,395.13504
"2020-11-25",400.890015,404.040009,396.299988,403.950012,307900,399.396423
"2020-11-27",406.130005,408.570007,400.839996,402.25,227700,397.715607
"2020-11-30",400.480011,411.200012,400.480011,409.420013,672600,404.80481
"2020-12-01",414.350006,417.049988,408.890015,414.5,472200,409.827515
"2020-12-02",414.079987,418.369995,412.48999,416.160004,309200,411.468842
"2020-12-03",416.200012,422.25,415.359985,419.299988,282400,414.573395
"2020-12-04",419.299988,428.48999,419.299988,421.709991,660500,416.956238
"2020-12-07",423.429993,427.899994,420,422.820007,440500,418.053711
"2020-12-08",423.549988,429.769989,421.869995,426.399994,341500,421.593414
"2020-12-09",424.929993,426.589996,411.700012,414.619995,428900,409.946167
"2020-12-10",414.26001,423.070007,411.429993,422.600006,342300,417.836212
"2020-12-11",420.929993,422.279999,415.700012,419.470001,227900,414.741486
"2020-12-14",419.929993,430.790009,419.929993,423.899994,335000,419.121552
"2020-12-15",428.190002,431.959991,423.899994,424,365900,419.220428
"2020-12-16",426.529999,430.149994,422.51001,429.839996,351600,424.994598
"2020-12-17",432.899994,438.570007,430.309998,436.779999,418700,431.856384
"2020-12-18",437.149994,444.029999,435.220001,443.059998,771800,438.065552
"2020-12-21",438.619995,442.380005,427.339996,435.040009,328700,430.135956
"2020-12-22",435.5,438.420013,431.450012,437.579987,216400,432.647369
"2020-12-23",435,438.089996,428.630005,428.630005,227100,423.798248
"2020-12-24",429.059998,434.5,429.059998,432.459991,77600,427.585052
"2020-12-28",437.709991,442.390015,430.459991,436.369995,301100,431.450958
"2020-12-29",440.769989,440.769989,433.570007,434.570007,171200,429.671326
"2020-12-30",437.170013,438.799988,434.040009,436.98999,172600,432.063995
"2020-12-31",437.450012,446.899994,436.359985,446.529999,255600,441.49646
"2021-01-04",450.76001,455.029999,433.410004,437.640015,408600,432.706665
"2021-01-05",436.839996,440.089996,426.450012,431.369995,319400,426.507355
"2021-01-06",430.589996,439.209991,423.880005,435.170013,430000,430.264496
"2021-01-07",437.880005,447,436.26001,443.640015,391200,438.639038
"2021-01-08",443.649994,454.059998,443.640015,452.679993,305200,447.577118
"2021-01-11",451.190002,455.170013,445.880005,451.790009,277900,446.697174
"2021-01-12",450.480011,455.809998,449.130005,453.190002,391600,448.08136
"2021-01-13",453.320007,454,435.589996,438.399994,414000,433.458069
"2021-01-14",439.390015,441.950012,408.809998,409.519989,813200,404.903656
"2021-01-15",408.920013,417.130005,404.040009,415.299988,816300,410.618469
"2021-01-19",415.950012,416.48999,406.420013,411.480011,851200,406.841583
"2021-01-20",412.829987,423.369995,408.820007,418.519989,491200,413.802155
"2021-01-21",419,421.98999,414.190002,414.350006,412300,409.679169
"2021-01-22",414.48999,416.579987,409.829987,411.880005,406500,407.237061
"2021-01-25",411.899994,414.980011,400.160004,403.48999,671000,398.94165
"2021-01-26",406.399994,407.76001,398.01001,404.609985,985100,400.048981
"2021-01-27",400.160004,403.670013,390.700012,393.339996,690600,388.906036
"2021-01-28",383.529999,400.869995,380,395.230011,1136900,390.774719
"2021-01-29",392.779999,397.899994,380.23999,395.299988,901300,390.843903
"2021-02-01",405.679993,417.929993,400.410004,416.25,716200,411.557831
"2021-02-02",420.029999,432.309998,418.5,425.130005,744900,420.337677
"2021-02-03",423.380005,426.76001,415.579987,416.869995,624100,412.170776
"2021-02-04",418.119995,432.799988,418.119995,430.190002,457300,425.340668
"2021-02-05",430.149994,433.320007,427.73999,429.809998,440100,424.964935
"2021-02-08",431.48999,434.73999,419.959991,422.730011,336200,417.964752
"2021-02-09",423.350006,429.26001,414.589996,417.970001,416500,413.258392
"2021-02-10",422.100006,422.100006,409.839996,419.660004,473000,414.929352
"2021-02-11",422.019989,427.720001,416.549988,426.859985,421800,422.048187
"2021-02-12",424.040009,435.200012,424.040009,434.769989,296800,429.868988
"2021-02-16",439.190002,445.600006,436.459991,440.920013,607200,435.949677
"2021-02-17",436.480011,442.709991,435.089996,439.320007,397800,434.367737
"2021-02-18",436.470001,444.410004,436.390015,437.549988,392300,433.387085
"2021-02-19",439.429993,442.859985,431.980011,432.970001,516000,428.850739
"2021-02-22",427.600006,429.730011,412.100006,413.600006,466400,409.665009
"2021-02-23",411.869995,416.519989,404.670013,415.149994,366100,411.200256
"2021-02-24",411.869995,417.549988,405.450012,417.230011,480600,413.260437
"2021-02-25",417.799988,420.48999,400.5,406.299988,906400,402.434418
"2021-02-26",410.829987,420.579987,409.440002,414.519989,662200,410.576202
"2021-03-01",418.089996,422.380005,413.029999,420.029999,342900,416.033844
"2021-03-02",420,429.559998,410.380005,418.809998,726200,414.825439
"2021-03-03",416.410004,422.589996,409.429993,409.720001,811200,405.821899
"2021-03-04",407.399994,414.869995,402.149994,409,789900,405.108795
"2021-03-05",411.859985,416.540009,400.01001,414.720001,633900,410.774353
"2021-03-08",413.98999,414.299988,402.200012,402.630005,614000,398.799408
"2021-03-09",407.01001,416.799988,405.059998,414.519989,507500,410.576202
"2021-03-10",418.730011,421.609985,409.51001,409.820007,300700,405.920959
"2021-03-11",411.339996,413.679993,404,410.059998,472200,406.158691
"2021-03-12",409.540009,416.619995,404,416.529999,565200,412.567108
"2021-03-15",414.369995,420.230011,408.809998,419.549988,325900,415.55838
"2021-03-16",421.040009,426.600006,413.049988,416.579987,383000,412.616638
"2021-03-17",414.880005,416.410004,407.170013,413.170013,351400,409.239105
"2021-03-18",409.540009,411.049988,403.600006,405.619995,366100,401.760925
"2021-03-19",406.839996,415.160004,406.730011,410.359985,713100,406.455841
"2021-03-22",409.299988,419.709991,409.299988,419.359985,476000,415.370209
"2021-03-23",417.369995,424.140015,413.540009,420.76001,363900,416.756897
"2021-03-24",420.959991,425.720001,417.589996,424.029999,383600,419.995758
"2021-03-25",422.980011,423.890015,408.589996,412.049988,387300,408.12973
"2021-03-26",412.5,425.359985,411.929993,424.869995,404700,420.827759
"2021-03-29",423.350006,428.579987,418.290009,426.369995,320000,422.313477
"2021-03-30",422.209991,423.23999,414.230011,417.51001,293600,413.537811
"2021-03-31",418.869995,425.350006,416.640015,419.279999,395300,415.290955
"2021-04-01",423.619995,439.459991,421.73999,428.549988,410900,424.472748
"2021-04-05",431.390015,443.100006,428.970001,440.609985,516400,436.41803
"2021-04-06",441.070007,442.48999,435.369995,440.100006,232200,435.912903
"2021-04-07",437.5,441.309998,433.25,437.450012,190100,433.288116
"2021-04-08",442.839996,450.98999,439.98999,445.290009,308600,441.053528
"2021-04-09",444.390015,448.589996,440.339996,448.5,234800,444.232971
"2021-04-12",445.799988,454.799988,442.480011,453.140015,317900,448.828796
"2021-04-13",453.170013,461.98999,450.720001,460,319400,455.623566
"2021-04-14",461.049988,467.679993,457.070007,457.410004,407300,453.058167
"2021-04-15",460,470.670013,460,469.649994,328300,465.181732
"2021-04-16",472.940002,474.459991,465.670013,473.519989,312800,469.014893
"2021-04-19",469.309998,473.820007,464.579987,468.269989,266000,463.81485
"2021-04-20",466.399994,470.839996,462.809998,468.029999,222200,463.577148
"2021-04-21",471.209991,475.109985,467.829987,470.619995,233800,466.142487
"2021-04-22",469.220001,474.700012,466.309998,471.75,325000,467.261749
"2021-04-23",472.670013,488.359985,472.049988,486.5,434900,481.871429
"2021-04-26",485.790009,490.190002,483.429993,487,474800,482.366638
"2021-04-27",487.450012,489.970001,476.959991,487.609985,409600,482.970856
"2021-04-28",489,489,479.809998,484.029999,288400,479.424896
"2021-04-29",487.119995,495.160004,483.619995,494.829987,287300,490.122162
"2021-04-30",488.070007,493.730011,482.23999,485.769989,379400,481.148346
"2021-05-03",486.980011,489.640015,481.320007,486.200012,235800,481.574249
"2021-05-04",482.290009,487.029999,475.649994,482.5,338200,477.909454
"2021-05-05",485.630005,485.630005,472.089996,478.179993,270100,473.630524
"2021-05-06",479.140015,479.140015,469.5,475.910004,253900,471.382202
"2021-05-07",478,484.350006,475,482.309998,204800,477.721283
"2021-05-10",482.109985,486.140015,476.529999,476.890015,244800,472.352844
"2021-05-11",471.230011,475.179993,462.579987,472.670013,346400,468.173004
"2021-05-12",466.399994,470.630005,459.019989,460.179993,420200,455.801819
"2021-05-13",461.570007,468.410004,460.649994,461.089996,296700,457.478638
"2021-05-14",464.790009,466.589996,460.540009,463.459991,353500,459.830017
"2021-05-17",463.459991,463.459991,454.660004,455.779999,422900,452.210175
"2021-05-18",455.269989,457.790009,450.570007,454.089996,319900,450.533386
"2021-05-19",446.720001,448.890015,443,447.589996,382100,444.08432
"2021-05-20",450.170013,460.920013,448.76001,457.230011,347200,453.648865
"2021-05-21",457.829987,461.190002,456.149994,456.880005,227800,453.301605
"2021-05-24",459.720001,468.170013,459.380005,462.850006,233800,459.224792
"2021-05-25",464.730011,470.220001,463.290009,464.609985,288600,460.971008
"2021-05-26",470.540009,471.269989,464.119995,465.100006,290100,461.457184
"2021-05-27",463.700012,468.200012,461.029999,464.369995,504500,460.73291
"2021-05-28",467.859985,472.619995,463.470001,468.130005,223300,464.46344
"2021-06-01",471.130005,472.630005,461.130005,461.970001,320000,458.351685
"2021-06-02",462.01001,471.450012,462.01001,468.869995,303300,465.197662
"2021-06-03",467,467.029999,458.48999,461.980011,318100,458.361633
"2021-06-04",465.070007,467.230011,460.040009,466.359985,213100,462.707306
"2021-06-07",467.109985,468.410004,463.25,464.369995,349600,460.73291
"2021-06-08",464.609985,466.600006,460.859985,463.369995,248700,459.740753
"2021-06-09",465.089996,468.200012,460.73999,465.829987,253600,462.181458
"2021-06-10",466.649994,479.350006,464.880005,476.459991,413300,472.72821
"2021-06-11",477.899994,482.950012,476.609985,479.51001,237700,475.754333
"2021-06-14",480.329987,490.950012,478.730011,490.76001,291700,486.91626
"2021-06-15",491.980011,500.540009,488.690002,495,442800,491.123016
"2021-06-16",498.73999,506.059998,492.869995,495.899994,534500,492.01593
"2021-06-17",494.839996,506.269989,494.839996,505.540009,375800,501.580475
"2021-06-18",503.640015,506.399994,498.040009,502.899994,628800,498.961121
"2021-06-21",505,516.710022,496.75,515.590027,366700,511.551758
"2021-06-22",514.539978,524.130005,513.309998,522.190002,542600,518.100037
"2021-06-23",521.669983,525.780029,521.030029,523.859985,380300,519.756958
"2021-06-24",527.809998,533.630005,524.320007,533.080017,595900,528.904724
"2021-06-25",532.380005,535.320007,521.799988,531.75,1028400,527.585144
"2021-06-28",534.97998,535.820007,527.809998,534.469971,383100,530.283813
"2021-06-29",533.52002,543.289978,531.940002,542.169983,339800,537.923584
"2021-06-30",540.140015,542.02002,532.539978,533.080017,426700,528.904724
"2021-07-01",532.48999,535.859985,531.630005,534.030029,329700,529.84729
"2021-07-02",536.72998,542.090027,534.679993,541.909973,254600,537.665527
"2021-07-06",543.299988,551.630005,541.390015,550.02002,351500,545.712036
"2021-07-07",552.679993,557.159973,550.02002,555.77002,246600,551.416992
"2021-07-08",551.659973,554.849976,545.98999,553.539978,324100,549.204468
"2021-07-09",555.97998,560.390015,552.849976,560.22998,308600,555.842041
"2021-07-12",561,563.460022,556.52002,559.950012,221400,555.56427
"2021-07-13",559.640015,567.01001,554.98999,557.570007,233900,553.202942
"2021-07-14",558.090027,559.789978,551.900024,555.190002,194200,550.841553
"2021-07-15",554.169983,564,553.690002,559.849976,239600,555.465088
"2021-07-16",560.400024,571.950012,559.530029,564.830017,298700,560.406067
"2021-07-19",560.200012,564.700012,551.23999,556.840027,322000,552.478638
"2021-07-20",559.609985,567.25,556.809998,563.570007,232800,559.156006
