"","MSI.Open","MSI.High","MSI.Low","MSI.Close","MSI.Volume","MSI.Adjusted"
"2020-07-01",139.490005,139.740005,135.649994,135.970001,1779800,132.063736
"2020-07-02",137.660004,139.100006,134.820007,135.089996,1444600,131.209015
"2020-07-06",136.570007,137.210007,135.720001,136.009995,1506700,132.10257
"2020-07-07",134.479996,134.770004,131.009995,131.080002,1869300,127.314224
"2020-07-08",131.059998,133.089996,130.699997,132.130005,1498800,128.334061
"2020-07-09",131.839996,132.740005,128.429993,130.929993,1270100,127.168503
"2020-07-10",129.860001,130.410004,127.580002,128.419998,1921300,124.730644
"2020-07-13",129.660004,132.440002,129.039993,131.059998,2373800,127.294792
"2020-07-14",130.429993,133.190002,129.5,132.970001,1172700,129.149933
"2020-07-15",133.979996,136.470001,133.970001,134.559998,910100,130.69426
"2020-07-16",133.699997,134.869995,133.119995,134.710007,1221400,130.839951
"2020-07-17",135.830002,138.470001,135.240005,137.679993,1217200,133.724609
"2020-07-20",137.190002,137.960007,134.720001,135.649994,1771700,131.75293
"2020-07-21",136.330002,138.470001,136.210007,138,1072700,134.035431
"2020-07-22",137.699997,141.970001,137.259995,141.199997,1144600,137.143478
"2020-07-23",141.369995,145.850006,141.350006,144.220001,1640500,140.076721
"2020-07-24",144.139999,144.229996,140.800003,141.729996,1370000,137.658234
"2020-07-27",141.809998,143.529999,141.490005,141.960007,1077100,137.881653
"2020-07-28",140.679993,141.550003,135.779999,136.800003,1517100,132.869873
"2020-07-29",138.009995,140.550003,137.800003,140.039993,838200,136.016815
"2020-07-30",137.410004,139.350006,135.899994,139.190002,541200,135.191254
"2020-07-31",139.699997,139.910004,137.100006,139.800003,703300,135.783722
"2020-08-03",140.649994,141.25,137.460007,137.539993,906000,133.588623
"2020-08-04",138.360001,139.990005,136.770004,137.570007,1211200,133.617783
"2020-08-05",138.350006,139.529999,137.440002,138.330002,1379900,134.355942
"2020-08-06",137.889999,144.050003,137.889999,144.029999,1994000,139.892166
"2020-08-07",147.710007,151.990005,141.949997,144.259995,2828900,140.115555
"2020-08-10",144,144.5,140.899994,142.220001,1472100,138.134201
"2020-08-11",142.160004,143.520004,140.210007,142.869995,1458900,138.765533
"2020-08-12",142.470001,146.339996,142.399994,145.009995,948000,140.844025
"2020-08-13",143.800003,146.5,142.75,145.960007,716100,141.766739
"2020-08-14",144.889999,145.600006,143.830002,145.369995,704500,141.193665
"2020-08-17",145.770004,147.399994,145.770004,147.360001,981900,143.126556
"2020-08-18",147.580002,149.979996,147.080002,149.800003,1377600,145.496384
"2020-08-19",150,151.490005,149.529999,150.460007,1288400,146.137482
"2020-08-20",148.679993,151.720001,148.440002,151.610001,1069800,147.25444
"2020-08-21",151.149994,152.039993,150.300003,151.919998,794200,147.555527
"2020-08-24",151.479996,153.990005,151.479996,153.970001,905800,149.546631
"2020-08-25",154.440002,155.309998,153.919998,154.779999,654300,150.333374
"2020-08-26",155.300003,155.300003,152.660004,153.330002,835500,148.925003
"2020-08-27",154.259995,154.350006,151.350006,151.809998,1418700,147.448669
"2020-08-28",151.690002,153.940002,151.550003,153.580002,759500,149.167831
"2020-08-31",153.039993,155.25,152.330002,154.75,1411700,150.304199
"2020-09-01",154.279999,154.289993,152.669998,153.770004,964100,149.352371
"2020-09-02",154,157.970001,153.529999,157.089996,902800,152.576996
"2020-09-03",156.509995,157.220001,152.100006,153.520004,1015400,149.109543
"2020-09-04",154.039993,155.460007,151.240005,153.039993,1361600,148.643341
"2020-09-08",151.149994,154,150.320007,152.490005,1080200,148.109146
"2020-09-09",154.080002,155.369995,152.729996,153.570007,685500,149.158127
"2020-09-10",153.460007,154.979996,150.050003,150.339996,941300,146.02092
"2020-09-11",152.029999,154.300003,151.600006,153.860001,1232900,149.439789
"2020-09-14",153.820007,157.080002,153.820007,156,1574900,152.151184
"2020-09-15",156.809998,157.770004,156.399994,156.800003,557600,152.931458
"2020-09-16",157.699997,158.990005,157.029999,157.089996,896600,153.214294
"2020-09-17",154.639999,158.449997,153.539993,158.179993,1382500,154.27739
"2020-09-18",157.020004,158.309998,155.729996,157.309998,1483000,153.428879
"2020-09-21",155.039993,155.039993,151.330002,152.570007,1382800,148.805832
"2020-09-22",153.169998,157.389999,152.389999,157.270004,893100,153.389847
"2020-09-23",157.139999,157.889999,152.110001,152.199997,1065800,148.444931
"2020-09-24",151.649994,152.869995,149.809998,151.690002,1041400,147.94751
"2020-09-25",150.669998,154.580002,150.149994,154,624000,150.200546
"2020-09-28",155.860001,158.389999,155.25,156.630005,1163300,152.76564
"2020-09-29",157.279999,158.960007,157.259995,157.649994,692400,153.760498
"2020-09-30",157.710007,158.039993,156.070007,156.809998,813800,152.941193
"2020-10-01",158,158.850006,155.339996,156.789993,715500,152.921677
"2020-10-02",153.699997,157.580002,153.699997,156.910004,592800,153.038742
"2020-10-05",158,158.649994,156.589996,157.509995,721400,153.623932
"2020-10-06",158.270004,159.240005,156.610001,156.960007,772300,153.087524
"2020-10-07",158.460007,160.509995,157.539993,160.309998,833100,156.354858
"2020-10-08",161.679993,163.710007,161.679993,162.770004,682900,158.754181
"2020-10-09",164.389999,167.169998,164,166.779999,1274700,162.665237
"2020-10-12",167.529999,168.839996,166.009995,168.330002,653200,164.176987
"2020-10-13",167.860001,169.679993,165.570007,166.240005,954100,162.138565
"2020-10-14",167.389999,168.710007,166.259995,166.919998,436300,162.801758
"2020-10-15",165.899994,174.940002,165.889999,171.589996,1811200,167.356537
"2020-10-16",171.419998,172.820007,169.789993,170.910004,1126400,166.693329
"2020-10-19",171.449997,173.360001,169.710007,170.160004,728500,165.961838
"2020-10-20",170.149994,171.600006,168.789993,168.899994,893600,164.732925
"2020-10-21",170.440002,171.809998,169.449997,170.490005,530000,166.283691
"2020-10-22",170.880005,171.479996,168.850006,169.059998,727800,164.888977
"2020-10-23",173.179993,176.919998,171.710007,174.779999,1030300,170.467865
"2020-10-26",172.479996,173.029999,169.419998,172.300003,845400,168.049057
"2020-10-27",172.039993,175.240005,171.919998,172.360001,854600,168.107574
"2020-10-28",169.139999,170.419998,164.350006,164.490005,1116900,160.431747
"2020-10-29",163.899994,165.389999,160.889999,162.889999,1145500,158.871216
"2020-10-30",160.5,161.820007,156.300003,158.059998,1093300,154.160355
"2020-11-02",160,164.770004,159.880005,163.470001,1089800,159.436874
"2020-11-03",165.660004,169.279999,165.410004,166,968100,161.90448
"2020-11-04",166.229996,166.380005,160.190002,160.330002,1408200,156.374374
"2020-11-05",163.130005,165.570007,160.520004,160.850006,1098200,156.881546
"2020-11-06",162.270004,165.789993,161.199997,164.479996,992500,160.421982
"2020-11-09",171.940002,175.710007,169.919998,170.259995,1275400,166.059357
"2020-11-10",170.070007,170.660004,165.960007,166.800003,979800,162.684738
"2020-11-11",169.039993,170,167.240005,169.729996,533600,165.542465
"2020-11-12",168.580002,169.729996,166.5,167.529999,411100,163.396729
"2020-11-13",169.320007,172.419998,168.699997,170.5,493100,166.293457
"2020-11-16",172.360001,173.919998,171.25,173.899994,575600,169.609558
"2020-11-17",172.080002,172.929993,169.429993,169.570007,769900,165.386414
"2020-11-18",169.949997,170.190002,167.279999,167.449997,542800,163.318695
"2020-11-19",166.610001,169.279999,165.389999,169.160004,400800,164.986496
"2020-11-20",169.350006,170.580002,166,167.300003,1254900,163.172409
"2020-11-23",168.089996,169.809998,166.179993,169.380005,654900,165.20108
"2020-11-24",170.960007,172.580002,170.470001,171.869995,858300,167.629654
"2020-11-25",172,175.410004,171.330002,172.130005,1198300,167.883224
"2020-11-27",173.630005,174.729996,172.380005,173.460007,287600,169.180435
"2020-11-30",172.600006,174.630005,170.270004,171.529999,1513700,167.29805
"2020-12-01",172.779999,173.440002,169.779999,170.5,1202100,166.293457
"2020-12-02",170.630005,171.75,169.020004,171.059998,721700,166.83963
"2020-12-03",170.830002,172.550003,168.600006,171.119995,776100,166.898117
"2020-12-04",171.589996,172.440002,169.5,170.399994,810300,166.195923
"2020-12-07",170.449997,171.960007,169.919998,170.460007,457500,166.25444
"2020-12-08",169.320007,172.860001,168.339996,172.479996,1262500,168.224594
"2020-12-09",173.440002,175.199997,172.089996,172.899994,566700,168.634247
"2020-12-10",173.059998,174.289993,170.649994,171.860001,846500,167.619904
"2020-12-11",170.539993,171.309998,166.929993,168.399994,2205800,164.24527
"2020-12-14",168.699997,169.809998,165.770004,165.919998,1903500,162.511627
"2020-12-15",167.020004,168.869995,166.300003,168.029999,1604000,164.578262
"2020-12-16",168.080002,168.839996,164.770004,166.919998,1559300,163.491089
"2020-12-17",167.630005,170.389999,166.860001,169.649994,1322700,166.164993
"2020-12-18",169.149994,171.029999,168.710007,170.259995,1989500,166.762466
"2020-12-21",167.529999,168.360001,163.160004,165.220001,954200,161.825989
"2020-12-22",165.059998,167.880005,164.779999,167.449997,717900,164.010178
"2020-12-23",168.050003,170.339996,167.919998,168.610001,633000,165.146362
"2020-12-24",169,169.190002,167.369995,168.470001,239000,165.009232
"2020-12-28",169.919998,170.440002,167.830002,169.410004,615200,165.929932
"2020-12-29",170.539993,170.699997,166.380005,166.940002,461900,163.510666
