"","MS.Open","MS.High","MS.Low","MS.Close","MS.Volume","MS.Adjusted"
"2020-07-01",48.41,49.080002,47.25,47.610001,11363800,44.710407
"2020-07-02",48.860001,49.029999,47.68,47.790001,7488800,44.879448
"2020-07-06",48.869999,49.369999,48.700001,48.82,10649600,45.84671
"2020-07-07",48.52,48.549999,47.389999,47.490002,8750700,44.597717
"2020-07-08",47.630001,48.990002,47.279999,48.91,12322200,45.931232
"2020-07-09",48.799999,49.049999,47.02,47.509998,9119900,44.616497
"2020-07-10",47.59,49.880001,47.52,49.799999,13386000,46.767025
"2020-07-13",51.029999,51.029999,49.880001,50.220001,14904000,47.161453
"2020-07-14",50.27,50.580002,48.91,50.5,16075600,47.424397
"2020-07-15",52.490002,52.490002,50.459999,51.349998,17424200,48.222622
"2020-07-16",51.580002,53.509998,51.34,52.639999,25026800,49.434063
"2020-07-17",52.779999,53.009998,51.98,52.41,16263800,49.218071
"2020-07-20",51.759998,52.07,51.349998,51.860001,10423600,48.701569
"2020-07-21",52.099998,52.450001,51.52,52.380001,11951200,49.189899
"2020-07-22",52,52.349998,50.990002,51,13604000,47.893948
"2020-07-23",50.990002,51.25,50.310001,50.560001,13527000,47.480743
"2020-07-24",50.560001,50.799999,50.07,50.18,6860800,47.123886
"2020-07-27",49.91,51.57,49.73,51.32,12087100,48.194454
"2020-07-28",50.830002,51.220001,50.209999,50.259998,7287900,47.199017
"2020-07-29",50.27,50.66,49.880001,50.59,8074300,47.508923
"2020-07-30",49.360001,49.360001,48.549999,48.950001,9410100,46.28904
"2020-07-31",49.02,49.029999,48.27,48.880001,9669900,46.222847
"2020-08-03",49.220001,49.91,48.720001,49.459999,9912400,46.771317
"2020-08-04",49.5,49.77,49.080002,49.259998,6445200,46.582184
"2020-08-05",49.59,49.959999,49.439999,49.77,6636100,47.064461
"2020-08-06",49.830002,49.98,49.240002,49.450001,5701100,46.761864
"2020-08-07",49.209999,50.470001,49.080002,50.349998,6225900,47.61293
"2020-08-10",50.5,50.830002,50.259998,50.580002,6518300,47.830437
"2020-08-11",51.639999,52.869999,51.57,51.779999,11792600,48.965199
"2020-08-12",52.630001,53.419998,51.91,52.380001,8949400,49.532581
"2020-08-13",51.93,52.459999,51.709999,52.18,5728700,49.343456
"2020-08-14",51.68,52.549999,51.650002,52.299999,5782300,49.456928
"2020-08-17",52.200001,52.299999,51.09,51.279999,7333000,48.492378
"2020-08-18",51.169998,51.369999,50.650002,50.919998,6450000,48.151947
"2020-08-19",51.189999,52.029999,51.139999,51.369999,5957600,48.577488
"2020-08-20",50.73,51.07,50.5,50.799999,5186300,48.038471
"2020-08-21",50.59,51.419998,50.5,51.099998,6408500,48.322163
"2020-08-24",51.310001,52.470001,51.16,52.369999,7728500,49.523129
"2020-08-25",52.810001,52.889999,51.849998,52.049999,8425500,49.220528
"2020-08-26",51.990002,52.110001,51.610001,51.709999,5920800,48.899002
"2020-08-27",51.759998,52.869999,51.68,52.610001,8910100,49.75008
"2020-08-28",53,53,52.450001,52.889999,8743800,50.014854
"2020-08-31",52.889999,52.889999,52.25,52.259998,8026600,49.419106
"2020-09-01",51.919998,52.82,51.689999,52.580002,5568800,49.721714
"2020-09-02",52.610001,53.470001,52.470001,53.25,7547100,50.355293
"2020-09-03",53.599998,54.380001,52.200001,52.75,11029600,49.882473
"2020-09-04",53.439999,53.759998,51.759998,52.709999,9413000,49.844643
"2020-09-08",52.290001,52.290001,50.09,50.169998,10946600,47.442722
"2020-09-09",50.59,51.630001,50.43,51.060001,8808100,48.284344
"2020-09-10",51.330002,51.59,50.169998,50.290001,8609100,47.556194
"2020-09-11",50.360001,50.950001,50.060001,50.349998,8969700,47.61293
"2020-09-14",50.959999,51.57,50.299999,51.150002,8812200,48.369446
"2020-09-15",51.16,51.34,50.27,50.389999,7660100,47.650764
"2020-09-16",50.48,51.91,50.310001,51.150002,8699700,48.369446
"2020-09-17",50.389999,50.93,49.98,50.25,7533700,47.518372
"2020-09-18",50.369999,50.939999,50.049999,50.080002,10743900,47.357616
"2020-09-21",48.860001,49.09,47.509998,48.360001,12909900,45.731117
"2020-09-22",48.240002,48.59,46.93,47.630001,11164400,45.040802
"2020-09-23",47.860001,48.240002,46.389999,46.419998,8248100,43.896572
"2020-09-24",46.540001,47.419998,45.860001,46.610001,9832700,44.076248
"2020-09-25",46.279999,47.330002,45.919998,47.040001,9816000,44.482876
"2020-09-28",47.889999,49.139999,47.810001,48.380001,9466200,45.750031
"2020-09-29",48.07,48.259998,47.189999,47.240002,11355600,44.672009
