"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"2020-07-01",104.489998,104.57,101.190002,101.309998,528800,95.14447
"2020-07-02",104.540001,105.330002,100.089996,100.589996,582100,94.468292
"2020-07-06",103.239998,104.900002,101.050003,101.93,762600,95.726761
"2020-07-07",100.639999,101.110001,98.129997,98.540001,771300,92.543053
"2020-07-08",98.360001,100.589996,97.339996,98.980003,799500,92.956299
"2020-07-09",98.519997,99.099998,94.43,95.209999,679500,89.415718
"2020-07-10",95.120003,100.419998,95.120003,100.370003,859200,94.261703
"2020-07-13",101.699997,103.300003,98.910004,101.639999,763900,95.454407
"2020-07-14",101.110001,102.459999,97.769997,98.330002,1020600,92.345856
"2020-07-15",100.919998,103.279999,100.510002,102.769997,748200,96.515633
"2020-07-16",101.419998,104.669998,100.949997,102.519997,424900,96.280853
"2020-07-17",102.480003,102.510002,98.980003,99.32,498900,93.275597
"2020-07-20",98.639999,99.68,98.029999,98.790001,878800,92.777855
"2020-07-21",99.720001,104.769997,99.720001,103.940002,993800,97.614433
"2020-07-22",103.019997,104.300003,102.379997,103.440002,639600,97.144875
"2020-07-23",103.470001,107.220001,101.040001,105,1227300,98.609932
"2020-07-24",105.769997,106.839996,104.599998,105.129997,741500,98.73201
"2020-07-27",104.290001,104.330002,101.550003,102.900002,763700,96.637726
"2020-07-28",102.330002,103.540001,102.120003,102.839996,574700,96.581383
"2020-07-29",102.269997,107.449997,101.559998,106.82,988400,100.31916
"2020-07-30",103.949997,106.279999,101.220001,105.779999,956500,99.342461
"2020-07-31",104.779999,106.150002,103.160004,105.949997,1469700,99.502113
"2020-08-03",105.93,106.239998,103.089996,105.029999,752200,98.6381
"2020-08-04",104.400002,105.370003,103.419998,104.059998,499600,97.727127
"2020-08-05",105,105.860001,103.790001,104.599998,888500,98.234276
"2020-08-06",104,105.769997,102.809998,103.57,736000,97.266953
"2020-08-07",102.910004,107.660004,102.779999,107.610001,813100,101.061081
"2020-08-10",107.959999,110,107.529999,109.07,615400,102.432228
"2020-08-11",111.769997,114.129997,110.730003,111.349998,523200,104.573479
"2020-08-12",113.690002,113.690002,108.57,110.349998,484200,103.634346
"2020-08-13",109,109.480003,107.25,107.830002,456900,101.2677
"2020-08-14",107,110.260002,106.639999,109.209999,405100,102.563721
"2020-08-17",108.279999,108.489998,106.349998,106.559998,627000,100.074989
"2020-08-18",106.629997,106.650002,104.239998,104.5,554300,98.140358
"2020-08-19",105.040001,106.059998,104.040001,104.43,631200,98.074615
"2020-08-20",102.910004,103.059998,100.800003,101.669998,788200,95.48259
"2020-08-21",101.860001,103.010002,101.279999,102.459999,871300,96.224503
"2020-08-24",102.599998,105.889999,102.400002,105.830002,680700,99.389412
"2020-08-25",107.300003,107.779999,104.07,105.949997,659200,99.502113
"2020-08-26",105.339996,105.339996,103.660004,103.739998,484800,97.426605
"2020-08-27",104.110001,106.629997,103.760002,105.870003,564600,99.426979
"2020-08-28",106.989998,107,105.370003,106.400002,426100,99.924728
"2020-08-31",105.239998,105.290001,103.160004,103.260002,703600,97.988861
"2020-09-01",102.260002,104.93,101.709999,103.559998,540500,98.273544
"2020-09-02",103.080002,104.889999,102.080002,104.120003,692700,98.804962
"2020-09-03",105.220001,108.5,102.93,103.730003,795700,98.434883
"2020-09-04",106.349998,107.589996,103.25,105.900002,656100,100.494095
"2020-09-08",104.849998,105.269997,101.599998,102.260002,855100,97.039917
"2020-09-09",102.889999,102.889999,100.449997,101.160004,695000,95.996071
"2020-09-10",101.839996,102.519997,98.75,99.050003,1244600,93.993774
"2020-09-11",99.610001,101.849998,99,101.660004,969600,96.470551
"2020-09-14",102.620003,105.839996,102.220001,104.239998,864200,98.918839
"2020-09-15",104.160004,104.239998,101.699997,103.760002,732900,98.463348
"2020-09-16",103.610001,106.400002,102.470001,103.260002,1447600,97.988861
"2020-09-17",102.160004,103.339996,101.510002,102.419998,813700,97.19175
"2020-09-18",101.739998,103.449997,101.330002,101.779999,1614100,96.584419
"2020-09-21",98.790001,100.470001,95.400002,96.620003,996600,91.687813
"2020-09-22",96.419998,97.400002,92.370003,93.110001,1154800,88.356995
"2020-09-23",93.5,95.889999,90.769997,90.860001,1124700,86.22184
"2020-09-24",91.300003,92.279999,89,90.059998,1213100,85.462677
"2020-09-25",89.169998,91.690002,88.480003,91.300003,915000,86.639381
"2020-09-28",93,95.379997,92.029999,94.220001,831600,89.410339
"2020-09-29",93.690002,93.690002,90.150002,91.129997,1049300,86.478058
"2020-09-30",91.230003,93.18,90.339996,92.089996,1551500,87.389046
"2020-10-01",92.220001,93.239998,90.75,92.209999,864200,87.50293
"2020-10-02",90.550003,94.93,90.449997,93.529999,990800,88.755554
"2020-10-05",94.760002,97.739998,94.629997,97.589996,1225700,92.608292
"2020-10-06",98.709999,101.839996,98.160004,98.449997,1359400,93.4244
"2020-10-07",99.550003,102.910004,99.440002,101.650002,971500,96.461052
"2020-10-08",101.169998,102.959999,99.82,101.779999,812700,96.584419
"2020-10-09",102.489998,102.489998,100.059998,101.370003,586900,96.195351
"2020-10-12",101,103.470001,100.790001,103.300003,809400,98.026833
"2020-10-13",103.040001,103.190002,99.080002,99.760002,644900,94.667534
"2020-10-14",99.879997,101.110001,97.699997,97.800003,683300,92.807587
"2020-10-15",97.309998,101.050003,96.449997,101.019997,517000,95.863205
"2020-10-16",101.110001,101.440002,98.220001,100.110001,576700,94.999657
"2020-10-19",100.650002,100.940002,97.800003,97.959999,508000,92.959412
"2020-10-20",99.610001,102.059998,99.410004,99.419998,841200,94.344879
"2020-10-21",99.18,100.699997,98.599998,99.029999,1004100,93.974792
"2020-10-22",99.400002,105.459999,96.43,104.68,1279700,99.33638
"2020-10-23",105.739998,107.82,103.449997,106.120003,1456000,100.702873
"2020-10-26",104.830002,105,101.660004,103.269997,712700,97.998352
"2020-10-27",102.360001,102.5,99.230003,99.300003,752500,94.23101
"2020-10-28",97.25,99.029999,96.580002,96.779999,995900,91.839645
"2020-10-29",96,100.129997,94.669998,99.540001,702300,94.458763
"2020-10-30",99.57,103.669998,99.209999,103.580002,1012000,98.292526
"2020-11-02",105,107.449997,103.059998,106.040001,1259100,100.626953
"2020-11-03",108.209999,111.129997,107.739998,110.010002,1704900,104.394295
"2020-11-04",106.760002,106.860001,98.370003,98.43,2235100,93.405418
"2020-11-05",99,104.260002,98.080002,103.559998,1104600,98.273544
"2020-11-06",103.830002,104.599998,98.150002,99.059998,828700,94.003258
"2020-11-09",110.639999,125.379997,110.639999,123.919998,3062500,117.594223
"2020-11-10",122.870003,126.18,121.419998,123.919998,2048000,117.594223
"2020-11-11",124.5,124.519997,117.199997,118.300003,1092300,112.261124
"2020-11-12",116.010002,117.360001,113.5,115.129997,1279900,109.25293
"2020-11-13",116.32,120,116.32,118.830002,1044000,112.764061
"2020-11-16",125.010002,126.980003,123.220001,126.919998,1354200,120.441071
"2020-11-17",123.760002,125.779999,121.75,124.970001,976200,118.59063
"2020-11-18",125.639999,127.459999,121.879997,121.889999,1019600,115.667847
"2020-11-19",120.879997,120.879997,117.879997,120.459999,1065600,114.310844
"2020-11-20",119.639999,120.110001,117.18,118.089996,1046100,112.061821
"2020-11-23",120.519997,121.040001,118.519997,118.839996,968900,112.773544
"2020-11-24",121.879997,124.57,121.059998,123.669998,1747100,117.356987
"2020-11-25",122.379997,122.989998,120.559998,122.300003,1490300,116.056923
"2020-11-27",121.940002,123.349998,120.019997,120.980003,539400,114.804306
"2020-11-30",119.5,121.190002,116.290001,116.489998,1832200,111.557823
"2020-12-01",120.209999,121.650002,119.470001,120.889999,1457000,115.771545
"2020-12-02",120,123.589996,118.540001,123.010002,1055400,117.801788
"2020-12-03",123.150002,126.169998,120.629997,124.830002,1058600,119.544724
"2020-12-04",126.809998,128.080002,124.709999,128.020004,1304100,122.599663
"2020-12-07",126.720001,128.119995,125.889999,127.199997,622500,121.814369
"2020-12-08",125.440002,128.289993,124.519997,126.150002,622500,120.80883
"2020-12-09",127.690002,129.970001,126.610001,128.139999,751200,122.714577
"2020-12-10",126.400002,128.899994,126.019997,127.980003,611600,122.561356
"2020-12-11",125.779999,127.209999,124.440002,125.839996,690700,120.511948
"2020-12-14",128.419998,128.490005,123.830002,124.760002,648700,119.477676
"2020-12-15",126.410004,127.160004,124.139999,126.660004,687900,121.297234
"2020-12-16",126.809998,127.25,124.489998,126.989998,954000,121.613266
"2020-12-17",126.620003,127.5,124.589996,125.830002,911700,120.50238
"2020-12-18",125.93,126.449997,122.589996,123.730003,1872300,118.491295
"2020-12-21",123.220001,124.330002,119.889999,124.040001,1389200,118.788162
"2020-12-22",124.220001,124.800003,121.059998,121.139999,925300,116.010948
"2020-12-23",122.139999,125.889999,122.139999,125.610001,576600,120.291702
"2020-12-24",125.629997,125.629997,123.330002,124.959999,243400,119.669212
"2020-12-28",125.879997,127.370003,124.599998,125.699997,347800,120.377876
"2020-12-29",125.540001,125.82,123.5,123.809998,477400,118.567917
"2020-12-30",123.779999,126.099998,123.779999,125.639999,516000,120.320427
"2020-12-31",125.860001,127.620003,124.540001,127.300003,531200,121.910149
"2021-01-04",128.630005,129.589996,125.449997,126.82,936400,121.450462
"2021-01-05",126.239998,129.399994,125.5,128.490005,767800,123.049767
"2021-01-06",132.919998,140.710007,132.779999,139.809998,1386900,133.890472
"2021-01-07",145.100006,149.130005,142.270004,147.550003,1597800,141.30278
"2021-01-08",146.320007,147.050003,141.360001,144.240005,915700,138.132919
"2021-01-11",142.190002,146.949997,141.449997,146.699997,635100,140.48877
"2021-01-12",147.800003,151,146.479996,149.649994,1041100,143.313828
"2021-01-13",148.279999,149.570007,144.800003,146.710007,1059700,140.498322
"2021-01-14",148.229996,150.470001,147.509995,149.360001,628700,143.036118
"2021-01-15",146.389999,147.619995,143.880005,144.770004,653500,138.640488
"2021-01-19",145.369995,146.820007,144.440002,146.199997,883200,140.009918
"2021-01-20",145.600006,146.309998,142.889999,143.729996,760100,137.644501
"2021-01-21",142.690002,145.990005,140.729996,144.509995,1020800,138.391464
"2021-01-22",142.830002,144.830002,141.460007,143.160004,802600,137.098633
"2021-01-25",140.639999,141.360001,136.570007,140.039993,1086500,134.110718
"2021-01-26",141.25,141.729996,137.130005,137.240005,644900,131.429291
"2021-01-27",134.490005,135.110001,132.169998,132.830002,1238900,127.206001
"2021-01-28",135.740005,138.220001,133.279999,137.350006,888500,131.534637
"2021-01-29",136.600006,137.410004,131.75,132.470001,835000,126.861244
"2021-02-01",133.490005,133.990005,131.289993,132.949997,592600,127.320908
"2021-02-02",135.149994,137.630005,133.660004,136.080002,554500,130.31842
"2021-02-03",135.570007,137.580002,134.820007,137.380005,678500,131.563354
"2021-02-04",138.259995,142.449997,137.929993,141,757700,135.030075
"2021-02-05",142.550003,142.580002,139.949997,140.399994,540500,134.45549
"2021-02-08",140.75,143.800003,140.289993,142.899994,525700,136.84964
"2021-02-09",142.899994,143.660004,141.690002,143.059998,607700,137.002869
"2021-02-10",144.229996,145.589996,142.580002,143.360001,560000,137.290161
"2021-02-11",142.910004,143.660004,140.350006,142.210007,666400,136.188858
"2021-02-12",142.029999,143.490005,141.449997,142.229996,696100,136.208008
"2021-02-16",143.910004,149.600006,143.410004,148.669998,764800,142.375336
"2021-02-17",148,149.720001,146.880005,148.199997,582300,141.925232
"2021-02-18",146.5,148.179993,145.389999,146.740005,561000,140.527069
"2021-02-19",147.699997,150.600006,147.699997,149.970001,605000,143.6203
"2021-02-22",149.460007,156.020004,149,155.270004,1917200,148.695892
"2021-02-23",157.229996,159.830002,153.509995,159.380005,1706600,152.631882
"2021-02-24",160.639999,163.779999,158.910004,162.130005,1235900,155.265442
"2021-02-25",164.630005,164.720001,156.229996,156.699997,945700,150.065338
"2021-02-26",154.509995,154.729996,150.240005,150.940002,1285000,145.571121
"2021-03-01",154.190002,156.460007,153.119995,154.229996,888400,148.74408
"2021-03-02",155.009995,156.169998,153.389999,154.610001,776100,149.11055
"2021-03-03",156.160004,159.300003,154.910004,155.830002,1238100,150.287155
"2021-03-04",155.610001,157.699997,150.119995,152.990005,722800,147.548187
"2021-03-05",156.789993,158.190002,150,156.350006,958100,150.788681
"2021-03-08",158.850006,161.75,157.160004,159.169998,852000,153.508362
"2021-03-09",156.110001,156.479996,152.770004,153.029999,1153600,147.586761
"2021-03-10",153.399994,156.630005,153.399994,156.610001,844100,151.039429
"2021-03-11",154.809998,157.669998,153.880005,155.570007,690900,150.036423
"2021-03-12",159.100006,160.470001,156.240005,157.559998,658600,151.955643
"2021-03-15",157.080002,157.509995,153.179993,155.300003,928000,149.776001
"2021-03-16",153.289993,153.860001,150.789993,152.639999,778900,147.210632
"2021-03-17",154.580002,155.839996,151.229996,152.839996,957000,147.403519
"2021-03-18",155.25,161.080002,153.929993,155.380005,1321600,149.853165
"2021-03-19",153.25,154.830002,150.669998,152.070007,3083900,146.660919
"2021-03-22",151.050003,151.690002,146.910004,149.419998,1008800,144.105164
"2021-03-23",147.660004,149.600006,145.789993,146.570007,874800,141.356567
"2021-03-24",148.960007,151.949997,147.630005,147.770004,1015200,142.51384
"2021-03-25",147.699997,153.089996,145.570007,152.570007,619800,147.143127
"2021-03-26",154.779999,155.910004,153,155.139999,810400,149.621689
"2021-03-29",152.979996,153.820007,148.720001,150.529999,764100,145.175705
"2021-03-30",151.960007,154.559998,150.75,153.869995,741400,148.396866
"2021-03-31",153.309998,154.190002,151.580002,151.610001,1280800,146.217285
"2021-04-01",151.210007,153.179993,150.5,153.169998,995200,147.721786
"2021-04-05",154.869995,155.309998,152.600006,153.210007,888500,147.760376
"2021-04-06",153.029999,153.429993,150.490005,153.020004,872200,147.577118
"2021-04-07",154.240005,154.809998,152.679993,154.190002,577100,148.70549
"2021-04-08",152.759995,153.990005,150.850006,152.860001,1174200,147.422806
"2021-04-09",154.429993,155.639999,152.669998,153.630005,1088900,148.165421
"2021-04-12",154.240005,156.839996,153.649994,156.220001,1022700,150.6633
"2021-04-13",154.789993,155.360001,152.880005,154.520004,1081800,149.023773
"2021-04-14",154.080002,157.220001,153.949997,155.570007,829200,150.036423
"2021-04-15",155.070007,155.589996,151.029999,153.889999,1316400,148.416183
"2021-04-16",156.449997,157.009995,152.960007,153.860001,1136900,148.387253
"2021-04-19",153.860001,156.080002,152.350006,154.979996,1541200,149.467392
"2021-04-20",153.210007,154.399994,149.610001,149.669998,1261200,144.346268
"2021-04-21",149.110001,153.130005,147.809998,152.990005,845300,147.548187
"2021-04-22",152.970001,152.970001,149,149.089996,1001400,143.786911
"2021-04-23",148.919998,153.889999,148.130005,153.119995,1076100,147.673569
"2021-04-26",154.690002,155.979996,153.850006,155.649994,717700,150.113556
"2021-04-27",155.660004,156.830002,154.289993,156.779999,838600,151.203369
"2021-04-28",157.839996,158.970001,155.710007,156.410004,735500,150.846542
"2021-04-29",158.630005,160.869995,158.429993,160.220001,703600,154.521027
"2021-04-30",158.679993,160.169998,157.100006,157.690002,774200,152.081024
"2021-05-03",159.300003,159.410004,156.389999,157.5,542900,151.897766
"2021-05-04",156.460007,159.910004,154.949997,159.899994,787200,154.212387
"2021-05-05",160,161.679993,157.949997,160.740005,851400,155.022522
"2021-05-06",161.449997,162.559998,158.889999,162.539993,647100,156.758484
"2021-05-07",159.559998,163.479996,158.669998,163.149994,796500,157.346771
"2021-05-10",164.600006,166.410004,162.839996,162.869995,934100,157.076736
"2021-05-11",161.839996,165.669998,161.080002,162,1013900,156.237701
"2021-05-12",164.309998,165.190002,157.740005,158.119995,802600,152.495712
"2021-05-13",157.289993,165.25,157.289993,164.679993,1120100,158.822372
"2021-05-14",164.809998,167.25,164.360001,166.820007,787900,160.886261
"2021-05-17",166,167.570007,165.050003,167.270004,656100,161.320251
"2021-05-18",166.520004,168.270004,164.199997,164.240005,635000,158.398041
"2021-05-19",162.690002,162.690002,159.110001,162.199997,1016300,156.430573
"2021-05-20",162.270004,163.039993,159.699997,160.729996,677300,155.012863
"2021-05-21",161.759995,163.389999,160.979996,162.449997,525100,156.671692
"2021-05-24",162.880005,162.880005,160.580002,161.580002,585800,155.832642
"2021-05-25",161.449997,162.860001,156.800003,157.270004,848700,151.675949
"2021-05-26",158.399994,158.660004,156.779999,157.699997,772200,152.090652
"2021-05-27",161.080002,161.75,159.429993,160.279999,1552600,154.578873
"2021-05-28",159.369995,161.220001,157.949997,160.690002,728700,156.045227
"2021-06-01",162.190002,163.350006,161.270004,162.070007,735200,157.385361
"2021-06-02",162,163.479996,160,162.5,824200,157.802902
"2021-06-03",162.229996,164.389999,161.699997,163.009995,678700,158.298157
"2021-06-04",162.600006,162.759995,159.899994,161.270004,515400,156.608459
"2021-06-07",161.850006,161.850006,158.75,159.720001,564900,155.103256
"2021-06-08",158.279999,161.160004,156.619995,160.440002,738400,155.80246
"2021-06-09",158.970001,159.149994,157.009995,157.660004,626500,153.102814
"2021-06-10",160.119995,160.119995,153.630005,153.889999,1198900,149.441788
"2021-06-11",154.550003,155.860001,154.130005,155.139999,575600,150.65564
"2021-06-14",155.089996,155.369995,151.509995,152.559998,617100,148.150238
"2021-06-15",152.729996,155.449997,151.679993,154.330002,567300,149.86908
"2021-06-16",153.119995,156.860001,151.399994,155.589996,841400,151.092651
"2021-06-17",157.179993,157.179993,148.149994,148.460007,1405600,144.168747
"2021-06-18",145.080002,147.149994,142.550003,142.979996,1919400,138.847137
"2021-06-21",144.720001,148.080002,144.470001,147.649994,999300,143.382156
"2021-06-22",147.330002,148.139999,146.020004,147.130005,601000,142.877197
"2021-06-23",147.100006,148.050003,146.369995,146.619995,657200,142.381912
"2021-06-24",147.490005,148.610001,145.660004,147.850006,1084500,143.57637
"2021-06-25",148.559998,152.529999,147.899994,151.330002,1192700,146.955795
"2021-06-28",150.589996,150.690002,146.179993,147.009995,894600,142.760651
"2021-06-29",148.350006,149.279999,145.300003,145.850006,661500,141.634186
"2021-06-30",145.330002,146.619995,144.800003,145.309998,1025100,141.109802
"2021-07-01",147.080002,147.630005,145.899994,147.279999,977900,143.022842
"2021-07-02",147.460007,147.860001,145.509995,145.929993,715400,141.711868
"2021-07-06",144.759995,144.979996,140.520004,141.589996,1013500,137.497314
"2021-07-07",140.229996,142.800003,140.080002,141.5,964000,137.409927
"2021-07-08",138.710007,139.949997,136.830002,137.550003,916100,133.574097
"2021-07-09",140.419998,142.539993,139.190002,142.330002,1134000,138.215927
"2021-07-12",140.570007,144.229996,139.25,143.179993,772300,139.041367
"2021-07-13",143.089996,143.089996,139.949997,141.169998,698300,137.089447
"2021-07-14",141.440002,142.929993,137.910004,140.050003,798300,136.001831
"2021-07-15",138.220001,142,137.529999,141.190002,868100,137.108887
"2021-07-16",141.889999,141.889999,136.399994,136.820007,934600,132.865219
"2021-07-19",133.5,134.940002,130.220001,131.199997,1098000,127.407639
"2021-07-20",130.639999,137.179993,130.330002,135.039993,1013000,131.136642
"2021-07-21",131.050003,134.929993,130,133.050003,1691600,129.204163
"2021-07-22",132.009995,132.789993,128.479996,128.990005,1333800,125.261536
"2021-07-23",130.419998,131.779999,128.460007,129.330002,1020700,125.591705
"2021-07-26",129.850006,132.570007,129.710007,132.25,1157100,128.427292
"2021-07-27",131,135.210007,130.110001,133.960007,1311700,130.08786
"2021-07-28",134.470001,136.009995,132.330002,134.460007,1024800,130.573441
"2021-07-29",136.25,137.119995,134.100006,135.229996,1040400,131.321152
"2021-07-30",135.089996,136.630005,133.139999,133.850006,905400,129.981064
"2021-08-02",134.470001,137.75,133.289993,133.360001,835000,129.505219
"2021-08-03",134.380005,136.910004,131.289993,136.240005,792700,132.301971
"2021-08-04",134.029999,135.899994,132.990005,133.029999,765400,129.184753
"2021-08-05",134.339996,134.899994,132.919998,134.380005,739600,130.495728
"2021-08-06",137.119995,139.800003,135.949997,137.979996,958400,133.991669
"2021-08-09",137.050003,140.190002,135.970001,138.490005,775400,134.486923
"2021-08-10",138.059998,141.130005,137.550003,140.009995,586100,135.962997
"2021-08-11",139.919998,142.679993,139.320007,142.649994,1089300,138.526672
"2021-08-12",142.940002,143.220001,140.740005,141.630005,543900,137.536179
"2021-08-13",141.580002,142.229996,139.529999,139.940002,441400,135.89502
"2021-08-16",138.979996,139.979996,137,139.080002,546700,135.059875
"2021-08-17",137.770004,139.339996,136.440002,138.100006,635100,134.108231
"2021-08-18",137.229996,139.220001,136.300003,136.779999,595500,132.82634
"2021-08-19",134.710007,136.119995,133.110001,134.660004,982300,130.767639
"2021-08-20",134.309998,135.740005,133.479996,135.699997,835400,131.777557
"2021-08-23",136.830002,137.949997,136.229996,136.919998,534400,132.962311
"2021-08-24",136.850006,139.059998,136.610001,138.789993,841600,134.778244
"2021-08-25",139.820007,142.539993,138.660004,141.619995,1470100,137.526459
"2021-08-26",142.289993,142.289993,139.559998,139.759995,631600,135.720215
"2021-08-27",140.070007,142.529999,139.839996,142.179993,477000,138.070251
"2021-08-30",142.119995,142.25,138.669998,138.970001,787400,134.953049
"2021-08-31",138.089996,140.740005,138.089996,140.009995,1218400,137.04776
"2021-09-01",140.309998,140.710007,137.860001,139.220001,1124900,136.27449
"2021-09-02",138.880005,140.279999,138.369995,139.279999,1835700,136.333221
"2021-09-03",139.850006,140.279999,137.75,138.960007,660700,136.020004
"2021-09-07",139.059998,141,138.300003,138.419998,770800,135.491425
"2021-09-08",137.820007,138.710007,136.5,137.259995,653600,134.355957
"2021-09-09",136.919998,139.369995,136.440002,137.949997,767900,135.031372
"2021-09-10",139.110001,139.110001,135.679993,135.759995,584100,132.887695
"2021-09-13",137.479996,139.020004,136.520004,137.449997,894900,134.541946
"2021-09-14",137.160004,138.119995,132.759995,133.669998,999000,130.841904
"2021-09-15",134.059998,138.149994,133.679993,137.259995,830800,134.355957
"2021-09-16",138.070007,139.220001,136.089996,137.509995,818000,134.600662
"2021-09-17",137.009995,138.940002,137.009995,137.550003,1694000,134.639832
"2021-09-20",134.009995,134.179993,131.419998,133.940002,852600,131.106201
"2021-09-21",134.440002,135.220001,132.449997,133.389999,548400,130.567825
"2021-09-22",135.320007,137.820007,134.669998,136.5,738300,133.612045
"2021-09-23",138.440002,143.339996,138.009995,141.949997,858300,138.946732
