"","MTD.Open","MTD.High","MTD.Low","MTD.Close","MTD.Volume","MTD.Adjusted"
"2020-07-01",804.070007,807.219971,793.75,804.789978,92600,804.789978
"2020-07-02",812.179993,819.919983,809.23999,814.700012,78300,814.700012
"2020-07-06",825.400024,829.859985,817.76001,823.450012,78300,823.450012
"2020-07-07",819.48999,830.210022,817.070007,819.059998,101800,819.059998
"2020-07-08",821.710022,827.159973,813.130005,818.190002,92000,818.190002
"2020-07-09",819.340027,838.320007,819.340027,830.530029,162100,830.530029
"2020-07-10",834.580017,834.580017,811.969971,819.200012,59000,819.200012
"2020-07-13",824.900024,836.659973,818.669983,823.98999,79000,823.98999
"2020-07-14",823.679993,853.820007,823.679993,849.340027,98100,849.340027
"2020-07-15",859,873.159973,857.75,869.039978,144300,869.039978
"2020-07-16",869.900024,874.97998,856.099976,860.679993,84900,860.679993
"2020-07-17",867.409973,878.76001,865.789978,867.890015,116800,867.890015
"2020-07-20",871.169983,881.469971,864.659973,866.469971,99400,866.469971
"2020-07-21",869.97998,878.130005,868.47998,870.51001,78300,870.51001
"2020-07-22",871.059998,891.049988,871.059998,883.349976,101600,883.349976
"2020-07-23",879.929993,891.030029,879.929993,885.369995,107300,885.369995
"2020-07-24",882.559998,882.559998,853.02002,862.719971,143900,862.719971
"2020-07-27",869.289978,897.179993,869.289978,895.5,116700,895.5
"2020-07-28",897.280029,911.900024,880.030029,882.030029,121900,882.030029
"2020-07-29",885,906.559998,881.619995,898.080017,108400,898.080017
"2020-07-30",891.099976,901.159973,879.690002,895.169983,161400,895.169983
"2020-07-31",923.150024,953.700012,900.219971,935,248500,935
"2020-08-03",933.26001,938.440002,915.380005,926.429993,139500,926.429993
"2020-08-04",918.960022,935.830017,913.690002,928.590027,120400,928.590027
"2020-08-05",936.549988,955,934.549988,945.23999,94900,945.23999
"2020-08-06",952.849976,952.849976,924.47998,938.25,95900,938.25
"2020-08-07",930.700012,946.73999,930.700012,944.169983,75300,944.169983
"2020-08-10",947.98999,953.049988,942.059998,945.950012,70000,945.950012
"2020-08-11",945.159973,954.219971,942.859985,947.25,78100,947.25
"2020-08-12",952.820007,975.02002,947.97998,973.27002,94800,973.27002
"2020-08-13",968.200012,975,967.359985,973.140015,106600,973.140015
"2020-08-14",962.640015,972.26001,956.539978,961.039978,80500,961.039978
"2020-08-17",964.580017,972.169983,957.72998,959.780029,98100,959.780029
"2020-08-18",961,970,953.47998,963.200012,97000,963.200012
"2020-08-19",961.179993,980.880005,960.570007,970.710022,86900,970.710022
"2020-08-20",962.48999,967.75,956.190002,959.340027,77700,959.340027
"2020-08-21",961.090027,961.090027,946.48999,959.97998,112600,959.97998
"2020-08-24",964.880005,964.880005,945.52002,947.940002,76700,947.940002
"2020-08-25",955.26001,969.080017,954.049988,967.820007,82700,967.820007
"2020-08-26",966.039978,980,960.440002,972.099976,102200,972.099976
"2020-08-27",969.219971,977.26001,957.859985,968.679993,89500,968.679993
"2020-08-28",975.650024,975.650024,955.929993,966.609985,87600,966.609985
"2020-08-31",968,979.669983,962.73999,970.780029,114900,970.780029
"2020-09-01",973.419983,981.77002,966.47998,975.890015,96400,975.890015
"2020-09-02",977.349976,1009.070007,968.76001,1005.150024,89200,1005.150024
"2020-09-03",1006.650024,1006.650024,956.530029,962.98999,99000,962.98999
"2020-09-04",968.390015,968.390015,933.650024,949.26001,107300,949.26001
"2020-09-08",937.830017,956.030029,926.880005,947.619995,152400,947.619995
"2020-09-09",957.109985,991.47998,955.309998,975.820007,80800,975.820007
"2020-09-10",976.609985,988.440002,959.77002,963.460022,90000,963.460022
"2020-09-11",965.919983,979.22998,963.51001,973.710022,75800,973.710022
"2020-09-14",981.440002,990.580017,973.599976,978.98999,89300,978.98999
"2020-09-15",987.150024,994.909973,976.840027,980.900024,84400,980.900024
"2020-09-16",989.190002,1003.039978,985.570007,988.830017,96700,988.830017
"2020-09-17",983.840027,998.409973,976.380005,983.619995,95200,983.619995
"2020-09-18",985.77002,995.299988,970.820007,976.469971,141800,976.469971
"2020-09-21",962.700012,975.590027,945,974.5,113700,974.5
"2020-09-22",973.659973,987.26001,964.609985,986.070007,118500,986.070007
"2020-09-23",987.599976,987.599976,953.890015,957.140015,105200,957.140015
"2020-09-24",956.140015,970.070007,947.039978,960.26001,72000,960.26001
"2020-09-25",957.400024,981.75,953.570007,975.070007,99500,975.070007
"2020-09-28",958.840027,981.929993,958.840027,968.469971,85800,968.469971
"2020-09-29",974.039978,981.400024,959.890015,968.590027,92600,968.590027
"2020-09-30",974.219971,986.789978,958.299988,965.75,168200,965.75
"2020-10-01",974.640015,985.77002,964,970.919983,97600,970.919983
"2020-10-02",959.599976,977.630005,959.599976,966.919983,81900,966.919983
