"","MU.Open","MU.High","MU.Low","MU.Close","MU.Volume","MU.Adjusted"
"2020-07-01",51.52,51.560001,49.610001,49.700001,25218400,49.413364
"2020-07-02",50.5,50.75,49.48,49.830002,18562400,49.54261
"2020-07-06",50.75,51.43,50.48,50.919998,16321000,50.626316
"2020-07-07",50.52,50.59,49.009998,49.09,19797900,48.806877
"2020-07-08",49.560001,49.75,48.959999,49.709999,15311900,49.423298
"2020-07-09",49.849998,50.389999,48.73,49.98,18510800,49.691738
"2020-07-10",50.009998,50.709999,49.400002,50.700001,18128700,50.407593
"2020-07-13",51.310001,52.279999,49.380001,49.459999,23296400,49.17474
"2020-07-14",49.080002,49.790001,47.950001,49.709999,17455200,49.423298
"2020-07-15",50.209999,50.650002,49.41,50.509998,15911400,50.218685
"2020-07-16",49.82,50.290001,49.23,50.099998,14014000,49.811054
"2020-07-17",50.310001,50.43,49.279999,49.470001,15003800,49.184685
"2020-07-20",49.66,51.32,49.540001,51.209999,17604200,50.91465
"2020-07-21",51.619999,52.66,51.23,51.52,16650200,51.222862
"2020-07-22",51.580002,51.77,51.02,51.650002,11412600,51.352112
"2020-07-23",51.740002,54.200001,51.57,52.639999,33399900,52.336403
"2020-07-24",51.279999,51.279999,49.650002,50.02,25348000,49.731514
"2020-07-27",50.599998,51.709999,50.490002,51.59,15991700,51.292458
"2020-07-28",51.259998,51.27,50.040001,50.09,15614400,49.801109
"2020-07-29",50.389999,50.630001,49.779999,50.389999,14714800,50.099377
"2020-07-30",49.740002,50.75,49.110001,50.740002,17644300,50.447361
"2020-07-31",50.619999,50.700001,49.259998,50.060001,17433200,49.771282
"2020-08-03",50.389999,50.619999,50.02,50.389999,15143500,50.099377
"2020-08-04",50.349998,51.48,50.290001,51.299999,15753100,51.004131
"2020-08-05",51.09,51.279999,50.630001,51.049999,13198600,50.755573
"2020-08-06",50,50.029999,48.32,48.700001,32204700,48.419125
"2020-08-07",48.689999,49.18,48.049999,48.75,13637300,48.468838
"2020-08-10",48.849998,49.669998,48.27,49.150002,15881500,48.866531
"2020-08-11",49.009998,49.740002,47.630001,47.759998,21532800,47.484543
"2020-08-12",48.380001,48.73,47.66,48.48,17176600,48.200394
"2020-08-13",47.16,47.23,45.93,46.139999,41051700,45.87389
"2020-08-14",45.599998,46.080002,45.299999,45.599998,18167300,45.337002
"2020-08-17",45.900002,45.939999,44.740002,45.220001,17303800,44.959198
"2020-08-18",45.060001,45.16,44.049999,44.400002,20118100,44.143929
"2020-08-19",44.299999,44.700001,43.849998,44.049999,19455500,43.795944
"2020-08-20",42.68,43.66,42.25,42.990002,22445400,42.742058
"2020-08-21",42.849998,43.060001,42.400002,42.66,15476700,42.41396
"2020-08-24",43.119999,43.82,42.889999,43.759998,14972200,43.507618
"2020-08-25",44.880001,45.540001,44.599998,45.099998,21524900,44.839886
"2020-08-26",45.599998,45.82,44.689999,44.959999,15328900,44.700695
"2020-08-27",44.549999,44.830002,43.669998,44.619999,13777000,44.362656
"2020-08-28",44.619999,45.790001,44.41,45.689999,13459100,45.426483
"2020-08-31",45.349998,45.82,45.139999,45.509998,13241800,45.24752
