"","NDSN.Open","NDSN.High","NDSN.Low","NDSN.Close","NDSN.Volume","NDSN.Adjusted"
"2020-07-01",190.809998,190.809998,184.600006,185.509995,188500,182.368301
"2020-07-02",188.080002,189.759995,181.75,186.149994,263500,182.997437
"2020-07-06",189.740005,190,187.899994,189.720001,886300,186.506989
"2020-07-07",189.050003,190,186.889999,187.009995,372500,183.84288
"2020-07-08",189.399994,189.399994,185.360001,187.529999,181400,184.354065
"2020-07-09",188.449997,189.089996,184.669998,186.929993,313300,183.764206
"2020-07-10",187.399994,187.690002,185.020004,186.380005,180900,183.223557
"2020-07-13",188.220001,189.910004,184.720001,185.009995,200400,181.876755
"2020-07-14",185.539993,189.75,184.630005,189.399994,165400,186.192413
"2020-07-15",189.899994,192.940002,188.839996,192.289993,358400,189.033478
"2020-07-16",192.440002,192.449997,190.080002,191.300003,358400,188.060226
"2020-07-17",191.360001,192.759995,190.240005,190.509995,230900,187.283615
"2020-07-20",190.210007,191.080002,184.020004,189.660004,281800,186.448013
"2020-07-21",191.589996,193.809998,190.279999,192.270004,450900,189.013809
"2020-07-22",192.050003,194.169998,190.479996,192.949997,285900,189.682281
"2020-07-23",193.570007,197.839996,193.110001,196.479996,461000,193.152496
"2020-07-24",196.009995,196.009995,191.789993,192.229996,219500,188.974472
"2020-07-27",192.429993,195.880005,191.259995,195.339996,163900,192.031815
"2020-07-28",194.649994,195.240005,192.110001,192.339996,130500,189.082611
"2020-07-29",193.419998,197.490005,191.669998,196.820007,175100,193.486771
"2020-07-30",193.660004,195.009995,191.729996,193.910004,158500,190.626038
"2020-07-31",193.729996,193.729996,189.809998,193.630005,239800,190.350769
"2020-08-03",195,197.960007,194,196.589996,248600,193.260635
"2020-08-04",196.550003,196.589996,193.369995,194.300003,204000,191.009415
"2020-08-05",195,199.039993,194.25,197.690002,242600,194.34201
"2020-08-06",197.960007,198.5,195.029999,196.190002,175900,192.867432
"2020-08-07",196.289993,201.220001,196.289993,199.449997,398600,196.072235
"2020-08-10",200,202.759995,198.619995,201.639999,217000,198.225113
"2020-08-11",202.5,207.550003,201.169998,204.630005,207400,201.16449
"2020-08-12",206.600006,208.369995,205.020004,206.839996,201300,203.337051
"2020-08-13",205.740005,207.839996,204.369995,206.460007,151300,202.963501
"2020-08-14",206.410004,207.300003,205.320007,206.669998,296700,203.169952
"2020-08-17",207.410004,208.320007,205.869995,206.970001,273200,203.464859
"2020-08-18",207,208.300003,205.279999,205.660004,219300,202.177048
"2020-08-19",206.919998,207,203.800003,204.139999,312700,200.68277
"2020-08-20",193.309998,194.309998,186.889999,191.009995,563600,187.775162
"2020-08-21",191,191.479996,188.369995,189.070007,234900,185.868011
"2020-08-24",190.940002,191.190002,186.869995,188.240005,253800,185.43457
"2020-08-25",188.720001,189.259995,186.029999,188.660004,301900,185.848297
"2020-08-26",188.610001,192.470001,187.869995,192.410004,244900,189.542419
"2020-08-27",192.630005,194.149994,188.639999,189.119995,285500,186.301453
"2020-08-28",189.649994,190.589996,187.380005,187.960007,149800,185.158737
"2020-08-31",188.259995,188.270004,186.289993,186.490005,212300,183.710648
"2020-09-01",186.850006,190.479996,185.059998,189.779999,240500,186.951614
"2020-09-02",190.639999,197.889999,190.229996,197.110001,204300,194.172379
"2020-09-03",196.520004,196.520004,187.410004,188.570007,195100,185.759659
"2020-09-04",190.919998,191.860001,184.210007,186.880005,192900,184.094849
"2020-09-08",186.259995,187.410004,182.619995,185.940002,294700,183.168854
"2020-09-09",188.160004,191.880005,188.160004,189.820007,194300,186.991013
"2020-09-10",189.889999,192.520004,189.389999,190.820007,227200,187.976105
"2020-09-11",191.339996,192.660004,189.550003,191.669998,198000,188.813431
"2020-09-14",192.979996,197.130005,192.649994,195.100006,156600,192.192322
"2020-09-15",195.520004,199.630005,195.520004,198.479996,182600,195.521942
"2020-09-16",199.570007,201.429993,197.889999,198.199997,200100,195.24614
"2020-09-17",195.460007,197.889999,193.690002,194.75,287200,191.847519
"2020-09-18",195.169998,195.610001,189.729996,192,709800,189.138519
"2020-09-21",188.699997,190,184.880005,187.720001,261700,184.922302
"2020-09-22",187.550003,188.289993,183.910004,186.070007,218700,183.296906
"2020-09-23",186.559998,188.220001,182.729996,182.779999,149600,180.055923
"2020-09-24",182.699997,183.580002,180.130005,181.179993,285200,178.479767
"2020-09-25",181.009995,184.449997,180.009995,183.679993,417200,180.942505
"2020-09-28",186.089996,192.130005,183.740005,189.800003,175000,186.971313
"2020-09-29",189.770004,192.339996,189.210007,191.419998,206400,188.567169
"2020-09-30",192.789993,195.259995,190.539993,191.820007,225500,188.961197
