"","NEM.Open","NEM.High","NEM.Low","NEM.Close","NEM.Volume","NEM.Adjusted"
"2020-07-01",61.77,61.77,59.599998,61.360001,10870900,57.657974
"2020-07-02",60.889999,61.990002,60.220001,60.959999,8076800,57.282116
"2020-07-06",61.849998,62.310001,60.5,61.18,8335700,57.488834
"2020-07-07",60.860001,62.639999,60.84,62.470001,9097300,58.701012
"2020-07-08",63.790001,64.239998,62.700001,63.43,10902300,59.603088
"2020-07-09",64.269997,64.540001,61.560001,62.73,8702200,58.94532
"2020-07-10",62.630001,63.049999,61.619999,61.880001,6189000,58.146603
"2020-07-13",62.57,62.73,59.459999,59.540001,8324400,55.947784
"2020-07-14",59.369999,61.799999,59.049999,61.77,6881600,58.04324
"2020-07-15",61.650002,62.18,60.41,62.139999,5705300,58.390911
"2020-07-16",61.810001,62.610001,61.209999,61.549999,6165200,57.83651
"2020-07-17",62.080002,63.16,61.77,62.919998,6962700,59.123856
"2020-07-20",63.48,64.440002,63.209999,64.190002,7338500,60.317238
"2020-07-21",65,65.449997,63.860001,64.290001,7192900,60.411201
"2020-07-22",64.720001,65.550003,63.970001,65.470001,7099400,61.520012
"2020-07-23",65.699997,67.080002,64.639999,65.769997,9992800,61.801899
"2020-07-24",66.260002,66.800003,65.849998,66.75,6951000,62.722786
"2020-07-27",68.690002,70.300003,68.089996,69.040001,12918300,64.874626
"2020-07-28",67.889999,69.230003,67.230003,68.589996,6533400,64.451767
"2020-07-29",68.779999,68.839996,66.849998,67.889999,7333900,63.793991
"2020-07-30",66.209999,67.860001,64.529999,65.660004,7179200,61.698547
"2020-07-31",66.610001,69.220001,65.760002,69.199997,8988200,65.024956
"2020-08-03",69.199997,69.400002,67.489998,68.150002,6137400,64.038307
"2020-08-04",68.370003,70.449997,67.300003,70.25,7627100,66.011604
"2020-08-05",71.760002,72.220001,69.779999,70.370003,7661800,66.124382
"2020-08-06",71.190002,71.339996,69.349998,70.110001,6786500,65.880074
"2020-08-07",69.019997,69.489998,68.360001,68.910004,6067700,64.752472
"2020-08-10",69.25,70.400002,67.510002,67.889999,5607100,63.793991
"2020-08-11",64.589996,64.940002,62.650002,62.869999,11407200,59.07687
"2020-08-12",64.470001,64.629997,62.689999,62.990002,8270200,59.189636
"2020-08-13",64.029999,64.709999,63.34,64.110001,5629400,60.242062
"2020-08-14",64.220001,64.529999,63.360001,63.849998,3869200,59.997746
"2020-08-17",66.120003,68.370003,65.559998,68.349998,8442100,64.226257
"2020-08-18",69.800003,69.809998,66.760002,67.699997,5309200,63.615463
"2020-08-19",67.18,68.260002,65.389999,65.980003,6093700,61.999241
"2020-08-20",65.980003,67.529999,65.730003,67.230003,4623200,63.173832
"2020-08-21",66.739998,66.739998,65.220001,65.57,5430200,61.613976
"2020-08-24",66.449997,66.510002,64.779999,65.199997,4546900,61.266289
"2020-08-25",65.029999,65.099998,63.259998,64.860001,4179400,60.946815
"2020-08-26",64.160004,65.769997,63.970001,65.669998,4141400,61.707935
"2020-08-27",66.790001,66.790001,63.709999,64.760002,4857900,60.852848
"2020-08-28",65.779999,67.089996,65.279999,66.709999,4472500,62.685196
"2020-08-31",66.980003,68.220001,66.68,67.279999,6040600,63.220806
"2020-09-01",68.489998,68.550003,65.860001,67.019997,6144000,62.976482
"2020-09-02",66,67.550003,64.769997,67.529999,7384200,63.455708
"2020-09-03",66.860001,67.050003,64.760002,66.129997,7148200,62.140179
"2020-09-04",65.660004,65.82,63.349998,65.349998,6969200,61.407246
"2020-09-08",64.379997,66.93,63.43,65.769997,6152200,61.801899
"2020-09-09",66.169998,68.419998,66.160004,68.169998,5519000,64.301529
"2020-09-10",68.669998,68.849998,66.370003,66.489998,4837700,62.716858
"2020-09-11",67.120003,67.629997,65.809998,66.220001,4064900,62.462185
"2020-09-14",66.650002,67.580002,66.540001,67.379997,5007900,63.556358
"2020-09-15",68,68.57,67.050003,67.550003,4301500,63.716713
"2020-09-16",67.839996,68.440002,67.220001,67.290001,5526400,63.471462
"2020-09-17",66.150002,66.589996,65.379997,66.32,6656600,62.556511
"2020-09-18",66.209999,66.790001,64.540001,64.709999,12537400,61.037872
"2020-09-21",63.400002,64.290001,62.720001,63.669998,9673400,60.056892
"2020-09-22",63.779999,64.339996,62.52,63.450001,6165700,59.849373
"2020-09-23",62.990002,63.09,59.799999,60.220001,9235800,56.802673
"2020-09-24",59.720001,62.18,59.279999,61.439999,6268300,57.953434
"2020-09-25",60.720001,61.66,60.529999,61.419998,3833800,57.93457
"2020-09-28",62,62.830002,61.310001,62.130001,5400800,58.604286
"2020-09-29",62.5,63.450001,62.389999,62.77,4130400,59.207962
"2020-09-30",62.490002,63.900002,61.849998,63.450001,7212700,59.849373
"2020-10-01",64,64.099998,62.66,62.830002,6503200,59.264557
"2020-10-02",62.639999,63.400002,62.150002,62.290001,4646000,58.755203
"2020-10-05",62.299999,63.950001,62.27,63.130001,4476700,59.547535
"2020-10-06",63.299999,63.73,60.77,60.82,6970400,57.368622
"2020-10-07",61.360001,61.779999,60.889999,61.169998,4121300,57.698757
"2020-10-08",61.470001,62.16,61.209999,61.720001,3913800,58.217541
"2020-10-09",62.720001,62.919998,61.849998,62.82,4874700,59.255123
"2020-10-12",62.709999,63.470001,62.5,62.93,3875000,59.358891
"2020-10-13",62.509998,62.849998,61.630001,62.759998,4050400,59.198528
"2020-10-14",63.400002,64.330002,62.900002,64,4353300,60.368168
"2020-10-15",63.18,63.639999,62.48,63,4091800,59.424908
