"","NLOK.Open","NLOK.High","NLOK.Low","NLOK.Close","NLOK.Volume","NLOK.Adjusted"
"2020-07-01",19.77,19.860001,19.52,19.77,3406200,18.95476
"2020-07-02",19.799999,20.209999,19.74,20.01,7371100,19.184866
"2020-07-06",20.08,20.360001,19.889999,19.93,5157500,19.108164
"2020-07-07",19.879999,20.190001,19.700001,19.799999,4197100,18.983524
"2020-07-08",19.870001,20.129999,19.75,20.110001,3622500,19.280741
"2020-07-09",20.110001,20.219999,19.700001,20.08,3033300,19.251978
"2020-07-10",20.08,20.370001,19.92,20.299999,3527300,19.462906
"2020-07-13",20.34,20.709999,20.110001,20.16,3892100,19.32868
"2020-07-14",20.17,20.26,19.559999,20.17,4040700,19.338268
"2020-07-15",20.219999,20.4,19.879999,20.24,4362500,19.40538
"2020-07-16",20.209999,20.32,20.110001,20.17,2745600,19.338268
"2020-07-17",20.139999,20.5,20.01,20.309999,3364700,19.472492
"2020-07-20",20.389999,20.540001,20.17,20.43,3349800,19.587543
"2020-07-21",20.6,20.6,19.91,19.940001,2907600,19.117752
"2020-07-22",20.030001,21,19.879999,20.700001,9580700,19.846413
"2020-07-23",21.1,21.799999,20.84,21.120001,6236300,20.249094
"2020-07-24",21.059999,21.059999,20.32,20.389999,3695300,19.549192
"2020-07-27",20.59,21.02,20.35,20.82,3203400,19.961462
"2020-07-28",20.709999,20.889999,20.4,20.57,4255100,19.721771
"2020-07-29",20.65,21.35,20.65,21.18,4048100,20.306616
"2020-07-30",20.91,21.26,20.620001,21.129999,2498400,20.25868
"2020-07-31",21.190001,21.58,20.85,21.450001,4073400,20.565487
"2020-08-03",21.440001,21.99,21.23,21.959999,7817200,21.054453
"2020-08-04",21.93,22.110001,21.530001,22.1,8864400,21.188679
"2020-08-05",22.17,22.17,21.82,21.9,7653800,20.996927
"2020-08-06",21.91,22.16,21.559999,22.16,6753000,21.246206
"2020-08-07",23.040001,23.66,22.530001,23.360001,12987800,22.396723
"2020-08-10",23.42,23.59,22.82,23,6873900,22.051567
"2020-08-11",22.91,22.99,22.26,22.379999,6778200,21.457132
"2020-08-12",22.49,22.790001,22.360001,22.52,3952400,21.591362
"2020-08-13",22.450001,23.5,22.219999,22.969999,8973700,22.022804
"2020-08-14",23.18,23.299999,22.799999,22.92,5764300,21.974867
"2020-08-17",22.940001,23.17,22.67,22.799999,5007000,21.859816
"2020-08-18",22.92,23.049999,22.709999,22.85,4019100,21.907755
"2020-08-19",22.93,23.73,22.559999,22.690001,6626600,21.754349
"2020-08-20",22.639999,22.77,22.33,22.65,4875400,21.716002
"2020-08-21",22.65,22.690001,22.27,22.59,4520200,21.778666
"2020-08-24",22.74,23.5,22.559999,23.459999,6278900,22.617416
"2020-08-25",23.360001,23.6,23.16,23.49,3837400,22.646339
"2020-08-26",23.549999,24.4,23.530001,24.209999,5437100,23.340481
"2020-08-27",24.209999,24.299999,23.74,24.17,4006800,23.301918
"2020-08-28",24.190001,24.299999,23.85,24.049999,4344900,23.186226
"2020-08-31",23.629999,24.15,23.48,23.52,7471900,22.675266
"2020-09-01",23.610001,24.059999,23.450001,23.82,4679800,22.964491
"2020-09-02",23.92,24.15,23.559999,24.110001,3823100,23.244074
"2020-09-03",23.969999,23.969999,22.629999,22.91,4607900,22.087172
"2020-09-04",22.74,23.68,21.959999,23.389999,7106700,22.549932
"2020-09-08",22.809999,23.139999,22.57,22.59,5073500,21.778666
"2020-09-09",22.99,23.41,22.85,23.049999,3634800,22.222141
"2020-09-10",22.98,23.35,22.42,22.469999,3363800,21.662973
"2020-09-11",20.92,21.379999,20.719999,21.129999,32710600,20.371101
"2020-09-14",21.35,21.450001,21.030001,21.26,8225200,20.496435
"2020-09-15",21.42,21.629999,21.030001,21.23,7338600,20.46751
"2020-09-16",21.34,21.440001,20.98,21.110001,5734000,20.35182
"2020-09-17",20.809999,20.93,20.52,20.879999,7057600,20.130081
"2020-09-18",20.91,21.07,20.59,20.870001,15335200,20.120441
"2020-09-21",20.629999,20.91,20.23,20.59,5747300,19.850496
"2020-09-22",20.68,21.059999,20.549999,21.01,5117500,20.255411
"2020-09-23",21,21.110001,20.309999,20.33,4262200,19.599834
"2020-09-24",20.290001,20.73,20.15,20.459999,4429300,19.725166
"2020-09-25",20.459999,20.940001,20.42,20.9,4219500,20.149361
"2020-09-28",21.1,21.18,20.85,21.07,3690000,20.313257
"2020-09-29",21.02,21.059999,20.82,20.860001,4615300,20.110802
"2020-09-30",20.84,21.08,20.68,20.84,4690900,20.091518
"2020-10-01",21.030001,21.030001,20.549999,20.709999,5688700,19.966187
"2020-10-02",20.450001,20.77,20.4,20.559999,4614300,19.821573
"2020-10-05",20.76,21.540001,20.620001,21.52,4040000,20.747097
"2020-10-06",21.4,21.92,21.200001,21.200001,4608300,20.438589
"2020-10-07",21.27,21.379999,20.940001,20.959999,4527100,20.207209
"2020-10-08",21.200001,21.25,20.780001,20.91,5869000,20.159002
"2020-10-09",21.290001,21.360001,20.93,20.99,3623000,20.23613
"2020-10-12",21.309999,21.440001,21.059999,21.27,4440600,20.506079
"2020-10-13",21.379999,21.4,20.92,21.299999,5057700,20.534996
"2020-10-14",21.379999,21.66,21.25,21.57,3479300,20.7953
"2020-10-15",21.309999,21.35,20.9,21.1,4344300,20.342176
"2020-10-16",21.129999,21.299999,20.940001,21.1,4053400,20.342176
"2020-10-19",21.219999,21.32,20.58,20.700001,4163700,19.956547
"2020-10-20",20.790001,20.959999,20.639999,20.690001,2616300,19.946905
"2020-10-21",20.59,20.940001,20.51,20.809999,5353300,20.062593
"2020-10-22",20.77,20.77,20.450001,20.65,4431600,19.90834
"2020-10-23",20.75,20.85,20.6,20.84,3616400,20.091518
"2020-10-26",20.629999,20.74,20.35,20.620001,3555600,19.879417
"2020-10-27",20.76,20.98,20.629999,20.799999,2761500,20.052952
"2020-10-28",20.6,20.700001,20.26,20.42,4580300,19.686604
"2020-10-29",20.379999,20.76,20.16,20.610001,3945600,19.869778
"2020-10-30",20.33,20.76,20.049999,20.57,7071900,19.831215
"2020-11-02",20.629999,21.01,20.530001,20.940001,3736500,20.187927
"2020-11-03",21.07,21.629999,21.02,21.57,4233100,20.7953
"2020-11-04",21.549999,22.370001,21.5,21.98,7409500,21.190573
"2020-11-05",22.290001,22.48,21.959999,22.02,5636700,21.229137
"2020-11-06",21.5,21.57,20.219999,20.389999,12282600,19.657679
"2020-11-09",20.42,20.66,19.41,19.459999,10760100,18.76108
"2020-11-10",19.450001,19.77,19.209999,19.35,7329000,18.655033
"2020-11-11",19.5,20.26,19.16,20.09,9624500,19.368458
"2020-11-12",20.15,20.18,19.440001,19.549999,5548900,18.847847
"2020-11-13",19.66,19.93,19.620001,19.799999,4083400,19.088871
"2020-11-16",19.860001,19.93,19.09,19.139999,9013600,18.452574
"2020-11-17",19.309999,19.309999,18.559999,18.889999,9379200,18.211554
"2020-11-18",18.92,19.18,18.76,18.84,6648000,18.163351
"2020-11-19",18.93,18.93,18.59,18.67,6313500,17.999454
"2020-11-20",18.549999,18.629999,18.24,18.27,8644300,17.732546
"2020-11-23",18.35,18.469999,18.219999,18.290001,6762200,17.751957
"2020-11-24",18.35,18.35,18.15,18.219999,6401200,17.684013
"2020-11-25",18.290001,18.299999,17.98,18.18,9765900,17.645189
"2020-11-27",18.379999,18.4,18.08,18.110001,4480200,17.577251
"2020-11-30",18.200001,18.389999,18,18.23,14398400,17.69372
"2020-12-01",18.290001,18.540001,18.110001,18.23,7789200,17.69372
"2020-12-02",18.219999,18.73,18.17,18.59,8644400,18.043131
"2020-12-03",18.629999,19.27,18.57,19.1,7445800,18.538128
"2020-12-04",19.129999,19.290001,18.98,19.27,5377300,18.703129
"2020-12-07",19.219999,19.85,19.18,19.709999,7751200,19.130182
"2020-12-08",19.799999,19.85,19.24,19.290001,7482400,18.72254
"2020-12-09",19.23,19.52,19.07,19.49,5864700,18.916655
"2020-12-10",19.450001,19.559999,19.190001,19.52,4135200,18.945772
"2020-12-11",19.459999,19.73,19.280001,19.59,5417200,19.013716
"2020-12-14",19.559999,19.959999,19.530001,19.870001,5622200,19.285477
"2020-12-15",20,20,19.73,19.959999,4093600,19.372828
"2020-12-16",20.049999,20.459999,20.02,20.379999,6467300,19.780472
"2020-12-17",20.5,20.639999,20.35,20.559999,3622800,19.955179
"2020-12-18",20.66,21.33,20.6,21.24,14972900,20.615175
"2020-12-21",20.84,21.120001,20.6,20.98,7376100,20.362822
"2020-12-22",21.110001,21.469999,21.059999,21.34,4634500,20.712231
"2020-12-23",21.35,21.42,20.940001,20.959999,4408700,20.343409
"2020-12-24",21.040001,21.110001,20.9,21.040001,1495500,20.421059
"2020-12-28",21.25,21.27,20.9,21.02,7152100,20.401648
"2020-12-29",20.9,21.09,20.639999,20.83,4019500,20.217236
"2020-12-30",20.91,21.049999,20.74,20.75,2693400,20.139589
"2020-12-31",20.75,20.83,20.629999,20.780001,3365400,20.168709
"2021-01-04",20.93,20.940001,20.370001,20.77,6064800,20.159
"2021-01-05",20.860001,21,20.58,20.969999,4930900,20.353119
"2021-01-06",20.58,21.309999,20.530001,20.92,6688200,20.304588
"2021-01-07",21.02,21.219999,20.82,21.120001,6612400,20.498707
"2021-01-08",21.24,21.25,20.629999,21.040001,4682700,20.421059
"2021-01-11",20.99,21.24,20.84,21.030001,7179800,20.411354
"2021-01-12",21.040001,21.370001,20.940001,21.34,4392600,20.712231
"2021-01-13",21.4,21.469999,20.799999,20.870001,5314500,20.25606
"2021-01-14",20.809999,20.870001,20.23,20.34,7574400,19.74165
"2021-01-15",20.309999,20.780001,20.17,20.450001,9183200,19.848415
"2021-01-19",20.59,21.030001,20.43,20.780001,7029700,20.168709
"2021-01-20",20.92,20.959999,20.58,20.91,4945600,20.294884
"2021-01-21",20.940001,21.09,20.540001,20.620001,5134100,20.013414
"2021-01-22",20.620001,20.85,20.51,20.67,5047900,20.061943
"2021-01-25",20.879999,20.889999,20.389999,20.66,4696600,20.052235
"2021-01-26",20.799999,21,20.549999,20.950001,4502600,20.333706
"2021-01-27",20.700001,21.08,20.629999,20.809999,7300200,20.197821
"2021-01-28",20.719999,21.48,20.690001,21.299999,5354600,20.67341
"2021-01-29",21.16,21.200001,20.799999,21.07,5936100,20.450174
"2021-02-01",21.200001,21.66,21.07,21.440001,5388100,20.809292
"2021-02-02",21.59,22.01,21.51,21.860001,4545100,21.216936
"2021-02-03",21.93,22,21.52,21.629999,4783600,20.9937
"2021-02-04",21.76,21.809999,21.030001,21.440001,7362400,20.809292
"2021-02-05",21.18,21.780001,20.790001,21.07,9331900,20.450174
"2021-02-08",21.200001,21.200001,20.52,20.559999,6433800,19.955179
"2021-02-09",20.58,22.059999,20.48,22.040001,8233100,21.391642
"2021-02-10",22.110001,22.16,21.48,21.65,5825300,21.013113
"2021-02-11",21.73,21.790001,21.209999,21.290001,5275100,20.663708
"2021-02-12",21.33,21.48,21.08,21.469999,2925900,20.838408
"2021-02-16",21.5,21.540001,21.1,21.389999,3561400,20.760761
"2021-02-17",21.35,21.5,21.049999,21.15,4123300,20.527822
"2021-02-18",20.98,21.139999,20.68,20.84,5657900,20.226942
"2021-02-19",20.940001,20.950001,20.4,20.459999,7063000,19.977949
"2021-02-22",20.42,20.74,20.25,20.51,10150500,20.02677
"2021-02-23",20.389999,20.4,19.780001,19.83,7124800,19.362795
"2021-02-24",19.799999,20.74,19.709999,20.549999,7332100,20.065828
"2021-02-25",20.549999,20.66,20.209999,20.23,4081600,19.753366
"2021-02-26",20.200001,20.33,19.41,19.51,11889000,19.050333
"2021-03-01",19.799999,19.809999,19.450001,19.66,8024400,19.196796
"2021-03-02",19.76,20.129999,19.42,19.940001,7697600,19.470201
"2021-03-03",19.84,20.110001,19.700001,19.99,5990000,19.519024
"2021-03-04",19.99,20.389999,19.889999,20.1,6178300,19.626431
"2021-03-05",20.1,20.26,19.879999,20.190001,5259400,19.714312
"2021-03-08",20.200001,21.77,20.08,20.969999,12398800,20.475933
"2021-03-09",21.08,21.83,20.98,21.530001,6189900,21.022741
"2021-03-10",21.610001,21.690001,20.99,21.01,5145200,20.514992
"2021-03-11",21.190001,21.68,21.030001,21.4,4414300,20.895802
"2021-03-12",21.299999,21.59,21.17,21.48,2626400,20.973915
"2021-03-15",21.530001,21.610001,21.379999,21.57,2569800,21.061796
"2021-03-16",21.67,21.719999,21.200001,21.280001,3290500,20.778629
"2021-03-17",21.139999,21.51,20.99,21.4,5185400,20.895802
"2021-03-18",21.049999,21.6,21.049999,21.18,3649300,20.680988
"2021-03-19",21.26,21.360001,20.969999,21.120001,7444700,20.6224
"2021-03-22",21.15,21.49,21.1,21.309999,3494900,20.807924
"2021-03-23",21.42,21.83,21.17,21.379999,3724000,20.876272
"2021-03-24",21.33,21.35,21.059999,21.059999,2733100,20.563812
"2021-03-25",21.01,21.24,20.9,21.049999,3932200,20.554047
"2021-03-26",21.030001,21.639999,20.969999,21.610001,2913500,21.100857
"2021-03-29",21.51,21.870001,21.35,21.719999,3806900,21.208263
"2021-03-30",21.66,21.68,21.030001,21.1,4289600,20.602869
"2021-03-31",21.1,21.549999,20.98,21.26,4819800,20.759102
"2021-04-01",21.42,21.75,21.35,21.42,3118400,20.915331
"2021-04-05",21.57,22.129999,21.48,22.1,5170000,21.579309
"2021-04-06",22.120001,22.15,21.889999,21.950001,3163100,21.432844
"2021-04-07",21.93,22.030001,21.700001,21.75,2840600,21.237556
"2021-04-08",21.809999,22.129999,21.66,22.09,3423600,21.569546
"2021-04-09",22.030001,22.07,21.700001,21.93,2541300,21.413315
"2021-04-12",21.790001,22.26,21.73,22.200001,3770700,21.676956
"2021-04-13",21.690001,21.950001,21.309999,21.540001,5766200,21.032505
"2021-04-14",21.299999,21.709999,21.040001,21.129999,6103100,20.632164
"2021-04-15",20.82,21.67,20.690001,21.459999,5988200,20.95439
"2021-04-16",21.51,21.85,21.42,21.620001,4513100,21.110619
"2021-04-19",21.540001,21.809999,21.49,21.799999,2814300,21.286379
"2021-04-20",21.889999,22.040001,21.58,21.82,3596600,21.305908
"2021-04-21",21.959999,22.040001,21.65,22.01,2507200,21.49143
"2021-04-22",22.049999,22.23,21.9,22,2560900,21.481667
"2021-04-23",22.1,22.299999,21.940001,22.25,3599900,21.725777
"2021-04-26",22.34,22.690001,22.23,22.610001,3241700,22.077295
"2021-04-27",22.6,22.780001,22.4,22.48,3278100,21.950356
"2021-04-28",22.48,22.52,22.09,22.139999,3097600,21.618366
"2021-04-29",22.299999,22.379999,21.889999,22,2881500,21.481667
"2021-04-30",21.940001,21.969999,21.59,21.610001,4565400,21.100857
"2021-05-03",21.66,21.85,21.49,21.620001,4842000,21.110619
"2021-05-04",21.58,21.73,21.27,21.459999,3578200,20.95439
"2021-05-05",21.35,21.530001,21.15,21.24,6452300,20.739573
"2021-05-06",21.34,21.35,20.74,20.82,6295400,20.329466
"2021-05-07",20.879999,21.309999,20.879999,21.1,7731600,20.602869
"2021-05-10",21.049999,21.299999,21.01,21.08,4506800,20.583342
"2021-05-11",21.780001,23.360001,21.610001,23.35,11341800,22.79986
"2021-05-12",23.969999,25.24,23.83,25.030001,20145700,24.440279
"2021-05-13",25.280001,25.73,25.139999,25.370001,9677500,24.772268
"2021-05-14",25.48,26.190001,25.120001,26.09,13136900,25.475302
"2021-05-17",25.99,26.530001,25.950001,26.110001,12358900,25.494833
"2021-05-18",26.07,26.790001,26.07,26.49,9315000,25.865881
"2021-05-19",26.16,26.4,26.049999,26.379999,5148400,25.758469
"2021-05-20",26.379999,26.85,26.360001,26.68,4611600,26.051401
"2021-05-21",26.799999,27.07,26.549999,26.719999,6242400,26.09046
"2021-05-24",26.719999,27.549999,26.709999,27.5,6293900,26.852081
"2021-05-25",27.540001,27.75,27.129999,27.23,7807500,26.588446
"2021-05-26",27.27,27.889999,27.09,27.629999,5424400,26.979019
"2021-05-27",27.969999,28.16,27.549999,27.65,9584700,26.998547
"2021-05-28",27.77,28.049999,27.530001,27.66,3726900,27.008314
"2021-06-01",27.860001,28.059999,27.610001,27.889999,4157200,27.232895
"2021-06-02",28.24,28.610001,27.799999,28.49,7322800,27.81876
"2021-06-03",28.08,28.309999,27.620001,28.059999,4224400,27.398888
"2021-06-04",28.27,28.48,28.07,28.450001,3346000,27.779701
"2021-06-07",28.450001,28.58,28.120001,28.43,4007900,27.760172
"2021-06-08",28.34,28.540001,28.139999,28.26,4631400,27.716038
"2021-06-09",28.42,28.860001,28.309999,28.6,5512600,28.049494
"2021-06-10",28.709999,28.92,28.459999,28.67,6360500,28.118145
"2021-06-11",28.709999,28.75,28.4,28.59,3623700,28.039684
"2021-06-14",28.67,28.700001,28.18,28.450001,4896800,27.90238
"2021-06-15",28.5,28.6,27.9,28,3608800,27.46104
"2021-06-16",27.860001,28.110001,27.530001,27.76,3814300,27.225662
"2021-06-17",27.709999,27.83,27.34,27.52,5541000,26.990282
"2021-06-18",27.35,27.459999,26.639999,26.82,11454400,26.303755
"2021-06-21",27.049999,27.389999,26.83,27.370001,3609600,26.843168
"2021-06-22",27.379999,27.379999,26.950001,27.120001,2542000,26.59798
"2021-06-23",26.940001,27.43,26.940001,27.23,5333200,26.705864
