"","NLSN.Open","NLSN.High","NLSN.Low","NLSN.Close","NLSN.Volume","NLSN.Adjusted"
"2020-07-01",14.88,15.31,14.6,14.63,2840400,14.294065
"2020-07-02",14.84,15.12,14.6,14.72,1913700,14.382
"2020-07-06",15.18,15.35,14.95,15.04,1696700,14.694651
"2020-07-07",14.92,15.05,14.53,14.61,2140100,14.274524
"2020-07-08",14.59,14.78,14.33,14.76,2958500,14.421081
"2020-07-09",14.72,14.74,14.19,14.4,2513100,14.069346
"2020-07-10",14.37,14.67,14.23,14.63,2432700,14.294065
"2020-07-13",14.73,14.97,14.6,14.7,3737000,14.362456
"2020-07-14",14.62,14.87,14.42,14.87,1783900,14.528556
"2020-07-15",15.17,15.65,15.12,15.61,3297300,15.251564
"2020-07-16",15.57,15.83,15.44,15.53,3424900,15.173399
"2020-07-17",15.58,15.63,15.26,15.35,2592100,14.997534
"2020-07-20",15.26,15.33,14.82,14.82,1527700,14.479703
"2020-07-21",14.82,15.23,14.82,15.07,2209100,14.723963
"2020-07-22",15.02,15.26,14.95,15.05,1439000,14.704422
"2020-07-23",14.98,15.35,14.98,15.15,1223500,14.802126
"2020-07-24",15.22,15.33,14.91,14.93,1290600,14.587177
"2020-07-27",14.89,14.98,14.69,14.79,2601900,14.450394
"2020-07-28",14.8,14.96,14.61,14.65,2281700,14.313605
"2020-07-29",14.64,14.75,14.39,14.6,2634200,14.264755
"2020-07-30",14.43,14.61,14.14,14.45,2323900,14.118199
"2020-07-31",14.41,14.62,14.21,14.43,4800800,14.098659
"2020-08-03",14.49,14.58,14.24,14.42,3633300,14.088888
"2020-08-04",14.35,14.71,14.29,14.64,2700200,14.303838
"2020-08-05",14.88,15.78,14.76,15.01,4931900,14.66534
"2020-08-06",14.97,15.43,14.97,15.38,5352400,15.026844
"2020-08-07",15.46,15.93,15.35,15.88,5702200,15.515363
"2020-08-10",15.93,16.24,15.78,16.129999,6234100,15.759623
"2020-08-11",16.5,16.690001,16.18,16.290001,4183600,15.915951
"2020-08-12",16.440001,16.450001,15.77,15.86,2194200,15.495823
"2020-08-13",15.69,15.97,15.62,15.87,1857400,15.505593
"2020-08-14",15.76,16.049999,15.69,15.89,1781600,15.525134
"2020-08-17",15.8,15.84,15.33,15.45,3432300,15.095237
"2020-08-18",15.46,15.9,15.37,15.64,4886200,15.280873
"2020-08-19",15.55,16.02,15.48,15.95,2823000,15.643769
"2020-08-20",15.76,15.77,15.43,15.44,3677000,15.143561
"2020-08-21",15.45,15.56,14.9,14.9,3679400,14.613931
"2020-08-24",14.94,15.59,14.87,15.58,2330400,15.280873
"2020-08-25",15.63,15.79,15.28,15.38,3888600,15.084715
"2020-08-26",15.36,15.38,15.11,15.16,1101500,14.868937
"2020-08-27",15.19,15.46,15.18,15.28,1246100,14.986634
"2020-08-28",15.32,15.61,15.23,15.59,818000,15.290684
"2020-08-31",15.5,15.59,15.19,15.28,3011200,14.986634
"2020-09-01",15.04,15.06,14.83,14.88,2306100,14.594315
"2020-09-02",14.97,15.58,14.97,15.55,2427800,15.25145
"2020-09-03",15.59,16.049999,15.22,15.36,2154300,15.065097
"2020-09-04",15.58,15.7,15.07,15.28,3593000,14.986634
"2020-09-08",15.2,15.25,14.82,14.85,3126200,14.564891
"2020-09-09",14.89,14.99,14.74,14.86,2892700,14.574697
"2020-09-10",14.87,14.93,14.21,14.41,3173900,14.133338
"2020-09-11",14.43,14.59,14.28,14.49,3029600,14.211802
"2020-09-14",14.58,15.47,14.57,15.36,5382300,15.065097
"2020-09-15",15.46,15.66,15.3,15.38,3502100,15.084715
"2020-09-16",15.45,15.94,15.26,15.71,3715300,15.408379
"2020-09-17",15.52,15.74,15.38,15.47,4001000,15.172987
"2020-09-18",15.38,15.44,14.61,14.78,5936900,14.496235
"2020-09-21",14.41,14.55,13.88,14.07,5627200,13.799865
"2020-09-22",14.01,14.22,13.6,13.81,3698700,13.544858
"2020-09-23",13.83,14.01,13.49,13.55,4209500,13.289849
"2020-09-24",13.47,13.88,13.3,13.7,4742200,13.436968
"2020-09-25",13.56,13.97,13.48,13.87,2592000,13.603704
"2020-09-28",14.12,14.26,14.02,14.16,3072400,13.888138
"2020-09-29",14.12,14.28,13.92,14.01,1530300,13.741018
"2020-09-30",14.15,14.57,14.08,14.18,3362400,13.907753
"2020-10-01",14.26,14.47,14.02,14.18,2239700,13.907753
"2020-10-02",13.99,14.37,13.87,14.29,2475300,14.015641
"2020-10-05",14.44,14.54,14.29,14.51,2242100,14.231417
"2020-10-06",14.67,14.79,14.16,14.26,2511500,13.986218
"2020-10-07",14.22,14.5,14.21,14.41,2727500,14.133338
"2020-10-08",14.54,14.6,14.35,14.44,2760500,14.162761
"2020-10-09",14.58,14.6,13.66,13.75,6193000,13.48601
"2020-10-12",13.81,13.99,13.71,13.95,5389300,13.682169
"2020-10-13",13.81,14.19,13.76,13.9,3946400,13.633129
"2020-10-14",13.94,14.14,13.77,13.84,3450900,13.574283
"2020-10-15",13.68,14.02,13.41,13.93,3962200,13.662554
"2020-10-16",13.96,14.11,13.81,13.94,1567500,13.672362
"2020-10-19",14.02,14.14,13.48,13.61,3181500,13.348697
"2020-10-20",13.76,13.83,13.61,13.61,1881200,13.348697
"2020-10-21",13.42,13.85,13.37,13.74,4215900,13.476201
"2020-10-22",13.77,14.15,13.75,14.09,3153900,13.819482
"2020-10-23",14.25,14.28,13.97,14.18,3036100,13.907753
"2020-10-26",14.04,14.12,13.46,13.65,2019700,13.387929
"2020-10-27",13.58,14.55,13.13,14.38,9741300,14.103914
"2020-10-28",13.94,14.17,13.77,13.92,8769800,13.652747
"2020-10-29",13.82,14.09,13.67,13.86,6700100,13.593897
"2020-10-30",13.71,13.91,13.31,13.51,4334400,13.250617
"2020-11-02",14.6,14.75,13.91,14.03,8492000,13.760633
"2020-11-03",14.13,14.47,14.1,14.24,4490400,13.966601
"2020-11-04",14.08,14.48,13.88,14.03,3921900,13.760633
"2020-11-05",14.21,14.37,13.93,14.13,3771000,13.858715
"2020-11-06",14.12,14.36,14.05,14.18,3087700,13.907753
