"","NOC.Open","NOC.High","NOC.Low","NOC.Close","NOC.Volume","NOC.Adjusted"
"2020-07-01",308.869995,311.140015,306.5,308.140015,737900,297.7771
"2020-07-02",311.130005,313.23999,308.619995,309.970001,629700,299.545532
"2020-07-06",313.049988,313.5,308.76001,312.399994,739200,301.893799
"2020-07-07",310.130005,312.5,303.649994,304.470001,741000,294.23056
"2020-07-08",304,306.549988,298.769989,301.100006,908100,290.973816
"2020-07-09",299.630005,300.309998,285.48999,285.950012,1729500,276.333344
"2020-07-10",287.170013,294.220001,286.809998,292,1504700,282.17984
"2020-07-13",294.420013,296.570007,290.290009,292.350006,1043600,282.518097
"2020-07-14",291.269989,295.850006,287.519989,295.549988,1180200,285.610443
"2020-07-15",300.119995,303.929993,298,300.76001,1196300,290.645294
"2020-07-16",299.470001,305.980011,296.5,303.649994,1162900,293.43808
"2020-07-17",305.850006,307.690002,303.570007,306.839996,1544800,296.520813
"2020-07-20",306.75,306.76001,301.25,301.48999,921800,291.350739
"2020-07-21",306.329987,309.130005,302.390015,308.190002,1007400,297.825348
"2020-07-22",306.589996,316.390015,306.01001,316,942100,305.372711
"2020-07-23",316,318.720001,311.690002,313.059998,694200,302.531647
"2020-07-24",314.779999,318.790009,310.26001,312.690002,686900,302.174072
"2020-07-27",311.01001,311.720001,305.880005,308.019989,575800,297.661163
"2020-07-28",307.910004,317.940002,307.910004,312.869995,709300,302.347992
"2020-07-29",316.140015,316.690002,310.529999,315.26001,1299500,304.657654
"2020-07-30",314,329.459991,313.01001,326.01001,1493800,315.046082
"2020-07-31",326.01001,326.579987,318.200012,325.01001,1161300,314.079712
"2020-08-03",324.579987,326.190002,321.829987,323.589996,603100,312.707489
"2020-08-04",324.600006,325.290009,320.859985,325.01001,538100,314.079712
"2020-08-05",325.920013,330.929993,325.01001,329.709991,566400,318.621643
"2020-08-06",327.98999,329.649994,325.450012,326.339996,720200,315.36496
"2020-08-07",326.829987,332,325.480011,329.269989,1470200,318.196442
"2020-08-10",330.359985,336.269989,330.359985,335.730011,1016000,324.43924
