"","NOW.Open","NOW.High","NOW.Low","NOW.Close","NOW.Volume","NOW.Adjusted"
"2020-07-01",405.380005,417.619995,403.5,416.790009,1794200,416.790009
"2020-07-02",421.309998,424.839996,412.690002,414.209991,1385300,414.209991
"2020-07-06",419.290009,425,412.149994,416.440002,1774600,416.440002
"2020-07-07",416.440002,421.230011,410.970001,411.73999,1313400,411.73999
"2020-07-08",416.799988,426.779999,415.5,425.200012,1515900,425.200012
"2020-07-09",428,430.829987,415.600006,426.369995,1407100,426.369995
"2020-07-10",426.5,427.779999,419.459991,422.910004,1482300,422.910004
"2020-07-13",425,427.779999,399.470001,401.869995,1623000,401.869995
"2020-07-14",400,413.809998,390.839996,413.230011,1782700,413.230011
"2020-07-15",422.890015,425.959991,415.73999,423.559998,2118400,423.559998
"2020-07-16",416.059998,418.26001,404.48999,413.880005,1446500,413.880005
"2020-07-17",415.75,423.399994,411.450012,421.809998,1099300,421.809998
"2020-07-20",425,454.700012,424.540009,449.269989,3131800,449.269989
"2020-07-21",447.230011,447.470001,434.179993,437.220001,1600400,437.220001
"2020-07-22",440,443.959991,434.320007,441.600006,872800,441.600006
"2020-07-23",441.100006,448.339996,428.619995,430.850006,1324200,430.850006
"2020-07-24",420.279999,430.309998,414.600006,425.190002,1003800,425.190002
"2020-07-27",430,436.160004,426.01001,433.809998,985300,433.809998
"2020-07-28",435,442.579987,431,435.040009,1038100,435.040009
"2020-07-29",442.570007,446.51001,437.869995,445.709991,2255900,445.709991
"2020-07-30",432.720001,438.600006,421.329987,431.399994,3143100,431.399994
"2020-07-31",436.98999,439.200012,428.320007,439.200012,1745500,439.200012
"2020-08-03",443.720001,444.790009,431.160004,439.959991,1801700,439.959991
"2020-08-04",437.420013,442.48999,433.869995,438.149994,1141100,438.149994
"2020-08-05",440,441.049988,435.329987,435.73999,1008000,435.73999
"2020-08-06",437.880005,439.570007,425.339996,430.329987,2230800,430.329987
"2020-08-07",432.040009,439.290009,423.709991,431.209991,2459700,431.209991
"2020-08-10",430.440002,439.130005,422.170013,438.679993,2724100,438.679993
"2020-08-11",434.350006,434.98999,418.529999,421.359985,1639100,421.359985
"2020-08-12",425.140015,431.429993,423.049988,427.130005,1619700,427.130005
"2020-08-13",427.859985,439.809998,426.709991,438.420013,1699900,438.420013
"2020-08-14",438.359985,442.890015,434.320007,435.730011,1252000,435.730011
