"","NRG.Open","NRG.High","NRG.Low","NRG.Close","NRG.Volume","NRG.Adjusted"
"2020-07-01",32.59,33.310001,32.41,33.150002,1748200,30.636597
"2020-07-02",33.5,33.860001,32.68,32.790001,1847200,30.303894
"2020-07-06",33.209999,33.450001,32.77,33.029999,1443100,30.525692
"2020-07-07",32.720001,32.93,32.419998,32.75,2782600,30.266928
"2020-07-08",32.830002,33.380001,32.599998,33.189999,2200500,30.673565
"2020-07-09",33.060001,33.060001,31.66,32.310001,2339200,29.860287
"2020-07-10",32.25,32.98,32.200001,32.959999,1677700,30.461
"2020-07-13",33.060001,33.630001,32.779999,33.23,2440000,30.710531
"2020-07-14",33.119999,34.060001,33.119999,33.84,2430800,31.274279
"2020-07-15",34.259998,34.580002,33.950001,34.02,1737900,31.440636
"2020-07-16",34.029999,34.419998,33.740002,33.84,1597300,31.274279
"2020-07-17",34.080002,34.169998,33.419998,33.720001,1590400,31.163382
"2020-07-20",33.540001,33.810001,33.119999,33.419998,2225900,30.886124
"2020-07-21",33.41,33.84,33.209999,33.529999,1937100,30.987785
"2020-07-22",33.310001,33.759998,32.939999,33.59,2689500,31.043236
"2020-07-23",33.580002,33.790001,33.060001,33.23,3177500,30.710531
"2020-07-24",33,34.23,32.349998,34.189999,5891100,31.597744
"2020-07-27",34.57,35.549999,33.639999,33.740002,3406000,31.181868
"2020-07-28",33.599998,34.209999,33.389999,33.740002,1830900,31.181868
"2020-07-29",33.759998,33.919998,33.279999,33.639999,1795900,31.089447
"2020-07-30",33.279999,33.919998,32.720001,33.849998,2329800,31.283516
"2020-07-31",33.279999,33.84,33.040001,33.810001,1914100,31.525959
"2020-08-03",33.709999,33.790001,33.169998,33.470001,1532900,31.208929
"2020-08-04",33.549999,34.099998,33.549999,34.029999,1988900,31.731096
"2020-08-05",34.18,34.41,33.439999,33.560001,1817100,31.292852
"2020-08-06",33.439999,34.119999,33.419998,33.98,1432600,31.684475
"2020-08-07",33.810001,34.57,33.810001,34.279999,1958500,31.964205
"2020-08-10",34.439999,35.259998,34.400002,34.98,2984400,32.616917
"2020-08-11",35.18,35.66,34.720001,34.900002,2224800,32.54232
"2020-08-12",35.080002,35.490002,34.889999,35.259998,2108200,32.878006
"2020-08-13",35.169998,35.389999,34.860001,35.290001,1328600,32.905979
"2020-08-14",35.18,35.220001,34.880001,34.939999,1226900,32.57962
"2020-08-17",34.91,35.68,34.810001,35.299999,2016400,32.915298
"2020-08-18",35.299999,36.349998,35.299999,36.09,2927400,33.651936
"2020-08-19",36.240002,36.279999,35.369999,35.41,2342500,33.017872
"2020-08-20",35.200001,35.41,34.540001,34.650002,1621100,32.309216
"2020-08-21",34.700001,34.950001,34.509998,34.529999,1767100,32.197319
"2020-08-24",34.68,34.830002,34.02,34.700001,1390800,32.355839
"2020-08-25",34.93,35.02,34.259998,34.560001,1176000,32.225292
"2020-08-26",34.349998,34.349998,33.57,33.939999,1405600,31.647173
"2020-08-27",33.950001,34.25,33.509998,33.73,2530700,31.451365
"2020-08-28",33.73,34.330002,33.619999,34.290001,1569100,31.973536
"2020-08-31",34.330002,34.709999,34.18,34.41,2085600,32.085423
"2020-09-01",34.330002,34.470001,33.84,34.169998,2185400,31.861641
"2020-09-02",34.25,35.509998,34.009998,35.41,1431200,33.017872
"2020-09-03",35.599998,36,33.950001,34.23,3417000,31.917587
"2020-09-04",34.330002,34.48,33.220001,33.380001,2125600,31.125006
"2020-09-08",33.220001,33.32,31.889999,31.959999,3110900,29.800934
"2020-09-09",32.27,32.880001,32.189999,32.360001,2236200,30.173914
"2020-09-10",32.25,32.450001,31.299999,31.379999,2186000,29.260118
"2020-09-11",31.5,31.68,31.15,31.610001,1788100,29.474581
"2020-09-14",31.700001,31.9,31.370001,31.540001,1676000,29.409307
"2020-09-15",31.67,31.799999,30.469999,30.6,2376700,28.532812
"2020-09-16",30.6,31.440001,30.52,30.92,1841500,28.831194
"2020-09-17",30.559999,30.559999,29.93,30.540001,2359000,28.476866
"2020-09-18",30.41,30.57,29.83,29.93,3561800,27.908075
"2020-09-21",29.469999,29.6,28.75,29.15,2592100,27.180765
"2020-09-22",29.209999,29.5,28.620001,28.84,2220900,26.891706
"2020-09-23",28.969999,29.219999,28.5,28.52,1885100,26.593328
"2020-09-24",28.49,29.110001,28.219999,29.030001,2441900,27.068872
"2020-09-25",28.83,29.620001,28.74,29.52,1659100,27.52577
"2020-09-28",29.85,30.09,29.48,29.52,2087700,27.52577
"2020-09-29",29.76,30.07,29.43,29.700001,2255500,27.693611
"2020-09-30",29.950001,30.92,29.809999,30.74,3045700,28.663353
"2020-10-01",30.790001,30.93,30.24,30.629999,2224900,28.56078
"2020-10-02",30.25,31.17,29.950001,31.059999,1826800,28.961733
"2020-10-05",31.15,31.59,30.879999,31.27,2018200,29.157551
"2020-10-06",31.309999,31.549999,30.9,31.1,1408200,28.999035
"2020-10-07",31.129999,31.530001,31.040001,31.389999,1945000,29.269442
"2020-10-08",31.48,32.41,31.440001,32.349998,1828800,30.164585
"2020-10-09",32.529999,32.669998,32.060001,32.27,2999600,30.089994
"2020-10-12",32.349998,33.02,32.040001,32.759998,2345900,30.54689
"2020-10-13",32.700001,33.360001,32.52,33.209999,2817200,30.966492
"2020-10-14",33.259998,34.07,33.18,33.709999,2568300,31.432716
"2020-10-15",33.200001,34.400002,33.099998,34.040001,1921300,31.740417
"2020-10-16",34.07,34.220001,33.669998,33.689999,2199400,31.414064
"2020-10-19",33.84,34.139999,33.290001,33.400002,1822600,31.143661
"2020-10-20",33.57,33.720001,33.060001,33.18,1931500,30.938519
"2020-10-21",33.040001,33.110001,32.48,32.529999,2015400,30.33243
"2020-10-22",32.529999,33.32,32.09,33.18,1667000,30.938519
"2020-10-23",33.400002,33.759998,33.16,33.669998,1343500,31.395412
"2020-10-26",33.330002,33.950001,33.169998,33.779999,1643800,31.497978
"2020-10-27",33.830002,33.98,33.040001,33.040001,2305000,30.807978
"2020-10-28",32.380001,32.77,31.09,31.129999,2605700,29.027006
"2020-10-29",31.01,31.74,30.59,31.440001,2472100,29.316067
"2020-10-30",31.08,31.719999,30.93,31.620001,2947500,29.76795
"2020-11-02",32.040001,32.330002,31.639999,32.169998,2103100,30.285734
"2020-11-03",32.650002,33.32,32.529999,32.73,2004300,30.812933
"2020-11-04",32.93,32.939999,32.330002,32.709999,3138500,30.794104
"2020-11-05",32.810001,33.299999,31.93,32.119999,2563900,30.238663
"2020-11-06",32.130001,32.349998,31.09,31.23,2506600,29.400791
"2020-11-09",32.919998,33.560001,31.889999,31.92,3362200,30.050379
"2020-11-10",32.119999,32.849998,31.99,32.610001,2377300,30.699968
"2020-11-11",32.91,33.040001,32.009998,32.220001,2934100,30.332806
"2020-11-12",32.080002,32.23,31.059999,31.190001,2119700,29.363134
"2020-11-13",31.32,32.279999,31.309999,32.139999,2289000,30.257488
"2020-11-16",32.669998,32.919998,32.189999,32.650002,2091600,30.737623
"2020-11-17",32.5,32.650002,31.85,31.889999,2295500,30.022135
"2020-11-18",32,32.459999,31.33,31.34,2508100,29.504351
"2020-11-19",31.43,31.459999,30.58,30.969999,2704900,29.156021
"2020-11-20",30.950001,31,30.469999,30.540001,2729200,28.751209
"2020-11-23",30.620001,30.99,30.59,30.809999,2340800,29.005394
"2020-11-24",31.17,31.82,30.860001,31.780001,2570100,29.918581
"2020-11-25",31.73,32.310001,31.58,32.25,2483700,30.36105
"2020-11-27",32.240002,32.619999,32.060001,32.509998,1419800,30.60582
"2020-11-30",32.66,33.060001,32.130001,32.75,4917300,30.831766
"2020-12-01",32.939999,33.740002,32.900002,33.360001,4304100,31.406031
"2020-12-02",33.290001,33.639999,32.799999,33.599998,2151800,31.631973
"2020-12-03",33.279999,33.470001,32.849998,33.099998,1724200,31.161264
"2020-12-04",33.07,34.540001,33.07,34.52,2814300,32.498089
"2020-12-07",34.52,34.700001,33.779999,33.880001,1555500,31.895582
"2020-12-08",33.790001,34.07,33.639999,34.009998,1356600,32.01796
"2020-12-09",34.099998,34.459999,33.700001,33.810001,1676900,31.829678
"2020-12-10",33.57,33.939999,33.150002,33.91,1847600,31.923817
"2020-12-11",33.900002,33.900002,33.130001,33.18,2279600,31.236578
"2020-12-14",33.619999,33.84,32.529999,32.630001,2240900,30.718794
"2020-12-15",32.93,33.740002,32.700001,33.57,1653100,31.603735
"2020-12-16",33.77,33.849998,33.27,33.380001,1626900,31.424862
"2020-12-17",33.389999,33.639999,33.119999,33.540001,2500000,31.575495
"2020-12-18",33.790001,34.080002,33.619999,33.790001,4427900,31.81085
"2020-12-21",33.299999,33.709999,33.09,33.700001,2291900,31.726118
"2020-12-22",33.709999,34.549999,33.650002,34.549999,1676100,32.526333
"2020-12-23",34.779999,35.549999,34.779999,35.330002,1803000,33.260651
"2020-12-24",35.290001,35.290001,34.66,35.080002,732700,33.025291
"2020-12-28",35.41,35.75,35.139999,35.23,1107100,33.1665
"2020-12-29",35.419998,35.669998,35.16,35.549999,1365300,33.467758
"2020-12-30",35.630001,36.669998,35.560001,36.360001,1764300,34.23032
"2020-12-31",36.360001,37.639999,36.360001,37.549999,2630000,35.35062
"2021-01-04",37.73,37.77,36.169998,36.299999,2887700,34.173836
"2021-01-05",35.900002,37.139999,35.73,36.810001,2240000,34.653965
"2021-01-06",37.259998,37.759998,37.029999,37.220001,2506600,35.039951
"2021-01-07",37.5,37.970001,36.959999,37.400002,2715500,35.209404
"2021-01-08",37.77,39.27,37.700001,39.009998,3321200,36.725101
"2021-01-11",38.59,39.830002,38.5,39.720001,3490300,37.39352
"2021-01-12",39.82,40.970001,39.610001,40.82,3898500,38.429085
"2021-01-13",40.599998,41.73,40.459999,41.400002,2401500,38.975121
"2021-01-14",41.369999,41.439999,40.23,40.240002,1837300,37.88306
"2021-01-15",40,41.189999,39.779999,40.82,2238500,38.429085
"2021-01-19",40.950001,41.650002,40.18,41.23,3636800,38.815071
"2021-01-20",41.139999,41.349998,40.470001,40.610001,2768500,38.231388
"2021-01-21",40.939999,41.150002,40.23,40.869999,2071000,38.476158
"2021-01-22",40.669998,41.709999,40.459999,41.529999,1501600,39.097496
"2021-01-25",41.599998,42.950001,41.240002,41.93,2165100,39.474075
"2021-01-26",41.880001,42.18,40.970001,41.080002,1710400,38.673859
"2021-01-27",40.580002,40.740002,39.549999,39.799999,3206900,37.46883
"2021-01-28",39.849998,41.860001,39.580002,41.220001,2169700,38.80566
"2021-01-29",40.68,42.549999,40.59,41.41,3815800,39.29435
"2021-02-01",41.669998,42.630001,40.860001,42.23,2361700,40.072453
"2021-02-02",42.400002,43.540001,42.259998,42.75,2677400,40.565887
"2021-02-03",42.689999,42.849998,42.049999,42.459999,2039800,40.290703
"2021-02-04",42.48,42.759998,40.970001,41.950001,3114800,39.806759
"2021-02-05",42.200001,42.52,41.66,41.84,1984600,39.702377
"2021-02-08",42.130001,42.16,41.59,42.07,1694300,39.920624
"2021-02-09",42.16,42.759998,42.110001,42.689999,924900,40.508949
"2021-02-10",42.959999,43.23,42.400002,43.080002,1365600,40.879032
"2021-02-11",43.200001,43.25,42.400002,42.880001,2032100,40.689243
"2021-02-12",42.549999,43.150002,42.389999,43.040001,2259900,40.841068
"2021-02-16",40.650002,41.400002,39.560001,40.59,6737600,38.516239
"2021-02-17",40.75,41.189999,39.139999,39.77,4729000,37.73814
"2021-02-18",39.639999,39.799999,37.900002,37.900002,4648600,35.963673
"2021-02-19",38.66,40.099998,37.869999,39.580002,5459400,37.557842
"2021-02-22",39.240002,39.330002,36.68,36.900002,5257700,35.014771
"2021-02-23",37.049999,38.59,36.389999,38.279999,4828100,36.324261
"2021-02-24",38.41,39.099998,37.91,38.419998,3443400,36.457108
"2021-02-25",38.279999,38.849998,37.32,37.57,2330500,35.650536
"2021-02-26",36.5,36.900002,35.82,36.509998,7710600,34.644684
"2021-03-01",41.98,43.040001,40.330002,40.360001,11537800,38.297989
"2021-03-02",40.41,40.630001,38.580002,39.279999,4541800,37.273167
"2021-03-03",39.25,39.380001,37.830002,38.709999,3713500,36.732288
"2021-03-04",38.720001,39.560001,37.91,38.75,3487400,36.770248
"2021-03-05",39.029999,40.07,38.509998,39.849998,3409300,37.814041
"2021-03-08",39.970001,42.220001,39.799999,41.630001,3222800,39.503105
"2021-03-09",42.299999,43.099998,41.669998,42.830002,3652800,40.6418
"2021-03-10",42.77,42.959999,40.419998,40.740002,4520000,38.658581
"2021-03-11",41.060001,43.48,40.889999,42.540001,3850000,40.366615
"2021-03-12",42.59,42.82,41.279999,41.5,3166600,39.379745
"2021-03-15",41.73,44.080002,41.529999,43.93,4394600,41.685596
"2021-03-16",43.720001,43.849998,42.869999,43.439999,2400400,41.220631
"2021-03-17",38.150002,38.610001,36.02,36.18,17004800,34.331551
"2021-03-18",36.25,37.41,35.75,36.400002,8475400,34.54031
"2021-03-19",36.799999,37.470001,36.330002,37.040001,11378100,35.14761
"2021-03-22",36.869999,36.93,35.689999,35.779999,6012800,33.951984
