"","NSC.Open","NSC.High","NSC.Low","NSC.Close","NSC.Volume","NSC.Adjusted"
"2020-07-01",175.759995,177.630005,170.789993,171.520004,1116600,165.810547
"2020-07-02",176.050003,177.729996,173.330002,174.509995,964700,168.701019
"2020-07-06",177.410004,179.660004,176.759995,178.619995,1245400,172.67421
"2020-07-07",176.240005,178.339996,173.839996,174.119995,1055800,168.32402
"2020-07-08",174.130005,175.309998,172.529999,175.259995,1214200,169.426086
"2020-07-09",174.660004,175.350006,169.619995,170.910004,1815000,165.220871
"2020-07-10",170.809998,171.690002,169.149994,170.850006,1283300,165.162872
"2020-07-13",172.380005,177.410004,171.279999,175.130005,1144600,169.3004
"2020-07-14",174.050003,178.399994,173.389999,177.929993,1045300,172.007187
"2020-07-15",181.309998,182.139999,179.160004,181.279999,1357300,175.245697
"2020-07-16",181,185.789993,180.300003,182.919998,1431300,176.8311
"2020-07-17",184.169998,189.020004,183.820007,188.25,1979400,181.983658
"2020-07-20",186.770004,187.740005,184.339996,186.169998,1943000,179.972931
"2020-07-21",186.5,189.770004,186.240005,187.179993,1335100,180.94928
"2020-07-22",186,191.179993,185.929993,189.080002,1436000,182.786026
"2020-07-23",187.910004,188.800003,185.759995,186.979996,1844600,180.755951
"2020-07-24",187.009995,188.360001,186.619995,187.009995,1099300,180.784927
"2020-07-27",186.470001,190.740005,185.169998,189.929993,1418300,183.607742
"2020-07-28",189.330002,189.910004,184.210007,185.100006,1850700,178.938507
"2020-07-29",188.070007,193.880005,185.190002,192.820007,2315500,186.40155
"2020-07-30",190.960007,191.080002,186.149994,188.869995,1631700,182.583008
"2020-07-31",190.960007,193.220001,184.919998,192.210007,1746200,185.811859
"2020-08-03",192.380005,193.179993,188.559998,190.470001,1224300,184.129776
"2020-08-04",189.460007,192.550003,189.029999,192.389999,1319900,185.98587
"2020-08-05",193.929993,194.729996,192.210007,193.059998,1129900,186.633545
"2020-08-06",191.779999,196.399994,191.539993,195.770004,1388400,190.179321
"2020-08-07",195.070007,199.350006,195.070007,198.990005,1375400,193.307373
"2020-08-10",201,204.610001,200.429993,204.5,1942700,198.660019
"2020-08-11",206.770004,211.720001,205.779999,206.080002,1891800,200.194885
"2020-08-12",207,208.350006,204.809998,204.850006,1397200,199.000031
"2020-08-13",203.770004,205.169998,203.119995,204.380005,806900,198.543442
"2020-08-14",204.25,208.300003,203.449997,206.610001,977800,200.709747
"2020-08-17",207.339996,209.960007,206.610001,208.350006,998900,202.400085
"2020-08-18",208.949997,209.240005,205.589996,206.330002,934900,200.437744
"2020-08-19",207.25,207.869995,205.320007,205.399994,800100,199.534286
"2020-08-20",204.080002,207.440002,203.130005,206.229996,770700,200.340607
"2020-08-21",206.309998,209.710007,205.130005,208.929993,1573400,202.963516
"2020-08-24",212.119995,212.339996,209.729996,212.220001,763600,206.159546
"2020-08-25",212.5,214.279999,211.520004,213.619995,1099200,207.519562
"2020-08-26",212.529999,214.350006,211.009995,213.080002,829800,206.99498
"2020-08-27",213.229996,214.520004,212.220001,212.850006,750600,206.771561
