"","NTRS.Open","NTRS.High","NTRS.Low","NTRS.Close","NTRS.Volume","NTRS.Adjusted"
"2020-07-01",78.860001,79.32,76.629997,76.940002,895400,72.895424
"2020-07-02",78.889999,79.57,77.410004,77.669998,833600,73.587059
"2020-07-06",79.639999,80,77.800003,78.699997,1036000,74.562904
"2020-07-07",78.309998,78.660004,77.620003,77.849998,1419600,73.757599
"2020-07-08",80.150002,80.260002,78.169998,80.160004,1456700,75.946159
"2020-07-09",79.07,79.660004,75.629997,76.410004,1379500,72.393295
"2020-07-10",76.870003,80.440002,76.739998,80.169998,1144300,75.955635
"2020-07-13",80.779999,82.730003,79.970001,81.57,1437800,77.282036
"2020-07-14",81.760002,82.279999,80.309998,81.650002,1044800,77.357834
"2020-07-15",82.82,82.82,79.809998,80.550003,1636900,76.315659
"2020-07-16",79.709999,81.589996,79.019997,79.940002,1102300,75.737724
"2020-07-17",80.269997,80.269997,77.550003,77.709999,1399300,73.624954
"2020-07-20",76.970001,78.18,76.970001,77.739998,1528200,73.653366
"2020-07-21",77.639999,80.540001,77.5,79.830002,1507700,75.633507
"2020-07-22",82.279999,82.279999,72.639999,75.620003,2889400,71.644821
"2020-07-23",75.279999,77.709999,75.169998,77.480003,1709300,73.407043
"2020-07-24",78.07,79.040001,75.779999,76.029999,1092200,72.033264
"2020-07-27",75.269997,76.779999,74.470001,76.610001,1072700,72.582771
"2020-07-28",76.089996,77.370003,75.870003,77.099998,1290300,73.047012
"2020-07-29",76.870003,79.639999,76.779999,79.260002,1263400,75.093475
"2020-07-30",77.809998,78.169998,76.739998,77.93,890700,73.833389
"2020-07-31",77.93,78.440002,77.239998,78.349998,845800,74.231308
"2020-08-03",78.559998,80.040001,77.800003,79.279999,993600,75.112411
"2020-08-04",79.699997,79.790001,78.529999,79.279999,672400,75.112411
"2020-08-05",79.57,80.480003,79.379997,80.389999,602400,76.16407
"2020-08-06",80.449997,80.919998,79.949997,80.059998,764800,75.85141
"2020-08-07",79.709999,83.32,79.68,83.25,752800,78.873718
"2020-08-10",83.199997,84.199997,82.610001,83.660004,871500,79.262177
"2020-08-11",85.470001,86.489998,83.919998,84.269997,1033400,79.840103
"2020-08-12",85.93,86.040001,83.43,84.07,705600,79.65062
"2020-08-13",83.029999,83.830002,82.230003,82.650002,603100,78.305267
"2020-08-14",82.690002,83.970001,82.459999,83.419998,616300,79.034782
"2020-08-17",82.940002,83.349998,82.010002,82.580002,560600,78.238937
"2020-08-18",82.400002,82.690002,81.550003,82.220001,599000,77.897881
"2020-08-19",82.760002,83.739998,82.440002,83,635600,78.636864
"2020-08-20",82.120003,82.290001,81.07,81.43,725400,77.149384
"2020-08-21",81.190002,81.809998,80.529999,81.730003,628700,77.433617
"2020-08-24",81.690002,84.360001,81.550003,84.260002,698200,79.830627
"2020-08-25",85,85.449997,83.879997,84,568200,79.584305
"2020-08-26",83.959999,83.959999,82.699997,82.739998,729400,78.390533
"2020-08-27",83.089996,84.730003,82.959999,84.279999,515600,79.849586
"2020-08-28",84.449997,84.449997,83.519997,83.910004,566600,79.499031
"2020-08-31",83.739998,84.019997,81.559998,81.889999,1048400,77.585213
"2020-09-01",81.790001,83.190002,81.089996,82.080002,835600,77.765221
"2020-09-02",81.830002,84.290001,81.269997,83.919998,699700,79.508492
"2020-09-03",84.459999,86.239998,83,83.660004,1015500,79.262177
"2020-09-04",84.839996,86.199997,83.669998,84.449997,1002500,80.010635
"2020-09-08",83.010002,83.75,81.110001,81.610001,1585700,77.319931
"2020-09-09",82.629997,82.629997,81.040001,81.089996,955900,76.827263
"2020-09-10",80.519997,81.43,78.540001,78.650002,1077100,75.164391
"2020-09-11",78.379997,80.459999,78.080002,79.849998,792500,76.311195
"2020-09-14",80.559998,81.970001,80.239998,80.5,1335900,76.932396
"2020-09-15",81.199997,81.199997,78.32,78.760002,1603100,75.269508
"2020-09-16",79.110001,85.900002,79,83.220001,2867600,79.531853
"2020-09-17",82.190002,83.529999,81.919998,82.900002,1988100,79.226044
"2020-09-18",82.559998,83.599998,81.580002,81.739998,2014600,78.117447
"2020-09-21",79.699997,81.160004,77.690002,79.5,1648400,75.976707
"2020-09-22",79.080002,80.150002,76.940002,77.790001,1574600,74.342499
"2020-09-23",77.730003,79.040001,75.860001,75.989998,807400,72.622261
"2020-09-24",76.480003,77.279999,74.75,75.220001,1017700,71.886398
"2020-09-25",74.230003,76.529999,74.029999,76.459999,875100,73.071434
"2020-09-28",78.099998,79.580002,77.720001,78.610001,679300,75.126144
"2020-09-29",78.360001,78.639999,77.07,77.459999,607900,74.027122
"2020-09-30",78.129997,79.029999,77.400002,77.970001,798100,74.514511
"2020-10-01",77.779999,78.790001,76.529999,77.050003,772700,73.635292
"2020-10-02",75.830002,79.089996,75.720001,78.410004,514800,74.935028
"2020-10-05",79.279999,81.040001,79.279999,80.830002,659100,77.247765
"2020-10-06",81.690002,82.25,79.919998,80.190002,1034600,76.636124
"2020-10-07",81.790001,83.410004,81.440002,82.239998,889100,78.595276
"2020-10-08",82.589996,84.489998,82.019997,84.25,532800,80.516205
"2020-10-09",83.620003,85.57,83.389999,85.220001,703800,81.443207
"2020-10-12",85.019997,86.690002,84.629997,86.309998,658700,82.484909
"2020-10-13",85.540001,86.389999,83.620003,83.93,835900,80.210381
"2020-10-14",84.139999,85.480003,83.919998,84.389999,691200,80.649994
"2020-10-15",83.660004,87.269997,83.610001,87.019997,943300,83.163452
"2020-10-16",87.5,87.989998,86.279999,87.379997,700600,83.507477
"2020-10-19",87.470001,87.959999,85.230003,85.410004,723000,81.624794
"2020-10-20",86.5,87.330002,85.489998,85.760002,807900,81.959282
"2020-10-21",85.129997,90.459999,85,85.769997,1823000,81.968842
"2020-10-22",85.809998,86.32,83.870003,85.760002,896700,81.959282
"2020-10-23",87.07,87.07,84.089996,84.410004,931600,80.669113
"2020-10-26",83.43,83.650002,80.970001,82.230003,751700,78.585732
"2020-10-27",81.949997,82.370003,80.32,80.699997,884300,77.123528
"2020-10-28",79.339996,79.769997,77.379997,77.800003,896800,74.352058
"2020-10-29",77.510002,78.889999,76.230003,78.290001,811200,74.820328
"2020-10-30",77.709999,78.57,76.199997,78.269997,866700,74.801224
"2020-11-02",79.769997,80.099998,78.260002,79.050003,859000,75.546654
"2020-11-03",80.620003,83.480003,80.300003,82.540001,950100,78.881981
"2020-11-04",80.760002,82.190002,78.699997,78.889999,1016200,75.393745
"2020-11-05",79.639999,82.400002,79.610001,81.580002,657700,77.964539
"2020-11-06",81.940002,82.400002,81.120003,81.660004,1097500,78.040993
"2020-11-09",88.290001,92.120003,88.279999,90.800003,1809600,86.775925
"2020-11-10",91.370003,92.599998,89.760002,91.849998,1337300,87.779388
"2020-11-11",92.050003,92.779999,88.650002,89.209999,611000,85.256386
"2020-11-12",88.010002,89.199997,86.610001,87.57,590300,83.689064
"2020-11-13",88.760002,91.339996,87.730003,90.800003,792100,86.775925
"2020-11-16",93.279999,94.139999,91.959999,93.139999,682900,89.012207
"2020-11-17",91.360001,93.900002,90.82,93.790001,844200,89.633415
"2020-11-18",94.669998,95.129997,92.690002,92.690002,562100,88.582161
"2020-11-19",92.010002,93.660004,90.93,93.360001,789500,89.222458
"2020-11-20",92.830002,92.949997,91.169998,91.389999,595100,87.339767
"2020-11-23",92.5,93.809998,91.220001,93.559998,861200,89.413605
"2020-11-24",95.169998,98.550003,94.970001,97.610001,1209300,93.284119
"2020-11-25",96.699997,97.519997,95.120003,96.879997,665000,92.586456
"2020-11-27",97.300003,97.599998,95.529999,96.139999,589000,91.879265
"2020-11-30",95.75,95.839996,92.68,93.120003,1162900,88.993095
"2020-12-01",92.629997,95.099998,92.629997,93.269997,1465400,89.136452
"2020-12-02",92.739998,94.099998,92.099998,93.900002,1123200,89.738525
"2020-12-03",94.029999,94.120003,92.489998,92.989998,1127400,88.868858
"2020-12-04",94.330002,95.360001,93.699997,94.809998,1184700,90.6082
"2020-12-07",94.07,94.489998,92.949997,94.419998,611100,90.235497
"2020-12-08",93.220001,94.830002,93.220001,94.629997,713800,90.436165
"2020-12-09",94.720001,95.620003,92.510002,93.220001,1173500,89.088669
"2020-12-10",92.099998,92.099998,90.43,91.720001,1203700,88.318344
"2020-12-11",89.839996,90.410004,88.709999,90.099998,1309400,86.75843
"2020-12-14",91.620003,91.879997,88.459999,88.580002,1038400,85.2948
"2020-12-15",89.870003,91.470001,88.599998,90.730003,1155800,87.365051
"2020-12-16",90.68,91.129997,89.849998,90.790001,836600,87.422836
"2020-12-17",90.910004,92.120003,90.139999,92.099998,994300,88.68425
"2020-12-18",92.839996,92.900002,91.290001,91.900002,1926200,88.491669
"2020-12-21",91.419998,92.650002,88.849998,91.050003,1005500,87.673195
"2020-12-22",90.959999,91.449997,90,90.599998,1036500,87.239876
"2020-12-23",91.349998,93.019997,91.290001,91.989998,590000,88.578316
"2020-12-24",92.230003,92.230003,90.18,91.589996,269300,88.193153
"2020-12-28",92.089996,93.599998,91.830002,92.480003,627400,89.050148
"2020-12-29",92.839996,92.849998,91.440002,91.910004,500500,88.501297
"2020-12-30",91.610001,92.839996,91.07,91.919998,385800,88.510925
"2020-12-31",92.160004,93.290001,91.389999,93.139999,514200,89.685669
"2021-01-04",93.510002,93.989998,91.089996,92.5,733200,89.069405
"2021-01-05",90.660004,92.739998,90.629997,91.809998,975200,88.404999
"2021-01-06",94.120003,98.129997,92.690002,97.290001,1373800,93.681763
"2021-01-07",97.800003,99.230003,97.529999,97.580002,761200,93.961006
"2021-01-08",97.75,97.910004,95.400002,96.889999,637800,93.2966
"2021-01-11",96.800003,97.900002,95.43,97.889999,775500,94.259506
"2021-01-12",97.32,99.5,96.900002,99.349998,866100,95.665359
"2021-01-13",98.620003,99.400002,97.910004,98.330002,703500,94.683189
