"","NUE.Open","NUE.High","NUE.Low","NUE.Close","NUE.Volume","NUE.Adjusted"
"2020-07-01",41.400002,41.490002,39.950001,40.380001,2408900,38.709404
"2020-07-02",41.139999,42.099998,41.139999,41.400002,2072000,39.687202
"2020-07-06",42.380001,42.419998,40.630001,41.650002,2405000,39.926865
"2020-07-07",41.099998,41.650002,40.610001,41.18,2659300,39.476311
"2020-07-08",41.389999,41.389999,39.279999,39.66,3177100,38.019196
"2020-07-09",39.5,39.610001,38.509998,38.799999,2644900,37.194778
"2020-07-10",38.91,40.599998,38.869999,40.450001,1752900,38.776512
"2020-07-13",40.889999,41.169998,39.880001,39.939999,2211800,38.287605
"2020-07-14",39.759998,41.119999,39.48,41.060001,1670200,39.361271
"2020-07-15",41.84,42.029999,40.759998,41.68,1864600,39.955624
"2020-07-16",41.5,42.389999,41.169998,41.759998,1848000,40.03231
"2020-07-17",41.970001,42.290001,41.209999,41.259998,1176200,39.552994
"2020-07-20",40.869999,41.279999,40.419998,40.700001,2001700,39.016167
"2020-07-21",40.900002,42.099998,40.889999,41.889999,1808300,40.156933
"2020-07-22",41.509998,42.360001,41.369999,42.259998,1638900,40.511623
"2020-07-23",42.380001,43.759998,42.07,42.59,2444300,40.827976
"2020-07-24",42.509998,42.919998,41.990002,42.849998,1801200,41.077221
"2020-07-27",42.610001,43.900002,42.41,43.830002,2301800,42.016678
"2020-07-28",43.459999,43.599998,42.610001,42.669998,2693800,40.904663
"2020-07-29",42.740002,43.259998,42.740002,43.259998,2119900,41.470257
"2020-07-30",42.509998,42.799999,42.209999,42.700001,1920800,40.933418
"2020-07-31",42.369999,42.540001,41.639999,41.950001,4898900,40.214451
"2020-08-03",42.310001,43.080002,41.869999,42.860001,2471300,41.086803
"2020-08-04",42.75,43.23,42.330002,43.009998,1924500,41.230591
"2020-08-05",43.5,44.330002,43.450001,43.48,1833800,41.681156
"2020-08-06",43.849998,43.880001,43.119999,43.259998,1902100,41.470257
"2020-08-07",42.810001,44.48,42.650002,44.34,2190600,42.505577
"2020-08-10",44.610001,46.290001,44.490002,46.099998,2165600,44.19276
"2020-08-11",46.32,46.720001,45.16,45.41,2688500,43.531303
"2020-08-12",45.919998,46.029999,45.330002,45.889999,1615600,43.991447
"2020-08-13",45.240002,45.830002,44.990002,45.5,1437800,43.617584
"2020-08-14",45.18,46.549999,45.02,46.240002,1382900,44.326973
"2020-08-17",46.529999,46.84,46.209999,46.369999,2126400,44.451584
"2020-08-18",46.389999,46.82,46.220001,46.369999,2102900,44.451584
"2020-08-19",46.509998,46.939999,45.689999,45.790001,1715700,43.895584
"2020-08-20",45.139999,45.82,45.02,45.650002,1226900,43.761379
"2020-08-21",45.439999,45.439999,44.470001,44.689999,1503000,42.841087
"2020-08-24",45.150002,46.040001,44.970001,46.02,1286900,44.11607
"2020-08-25",46.060001,46.080002,45.209999,45.57,1246500,43.684692
