"","NVDA.Open","NVDA.High","NVDA.Low","NVDA.Close","NVDA.Volume","NVDA.Adjusted"
"2020-07-01",95.207497,95.7575,94.129997,95.300003,32664800,95.123924
"2020-07-02",96.389999,97.375,95.782501,96.122498,36405600,95.944908
"2020-07-06",97.417503,99.087502,97.125,98.392502,31589200,98.210709
"2020-07-07",99.462502,100.699997,98.5075,98.717499,35780000,98.53511
"2020-07-08",99.9375,102.25,99.654999,102.160004,36548000,101.971252
"2020-07-09",103.802498,105.699997,102.334999,105.089996,49454800,104.895836
"2020-07-10",105.887497,106.552498,103.787498,104.792503,49767600,104.598885
"2020-07-13",105.949997,107.922501,100.25,100.522499,45707600,100.336777
"2020-07-14",100.75,104.027496,97.855003,103.769997,54267600,103.57827
"2020-07-15",104.142502,104.330002,100.557503,102.272499,40398400,102.083542
"2020-07-16",100.150002,102.067497,98.955002,101.347504,34496400,101.160255
"2020-07-17",102.254997,102.485001,100.877502,102.014999,26628400,101.826515
"2020-07-20",102.7425,105.3125,101.567497,105.107498,28485200,104.913292
"2020-07-21",105.129997,105.599998,102.8675,103.285004,27703600,103.094185
"2020-07-22",103.675003,106.025002,102.915001,104.387497,36729200,104.194618
"2020-07-23",104.5,105.470001,100.3125,101.297501,41166000,101.110344
"2020-07-24",98.75,103.647499,97.769997,101.945,47329200,101.756653
"2020-07-27",102.322502,104.417503,102.177498,104.214996,29213200,104.022453
"2020-07-28",103.7425,103.82,102.092499,102.154999,27163600,101.966248
"2020-07-29",103.907501,105.162498,103.470001,104.654999,28450800,104.461639
"2020-07-30",103.75,106.230003,102.952499,106.139999,30888000,105.943893
"2020-07-31",105.6325,107.665001,104.330002,106.147499,38608000,105.951385
"2020-08-03",107.324997,110.987503,107.152496,110.102501,41272000,109.899078
"2020-08-04",110.5,112.277496,109.059998,112.277496,31033600,112.070061
"2020-08-05",112.440002,113.717499,111.662498,112.8675,24992400,112.658966
"2020-08-06",113.497498,113.580002,111.787498,113.355003,24431600,113.145569
"2020-08-07",113.125,115.047501,110.375,111.995003,34251600,111.788078
"2020-08-10",113.342499,114.082497,108.565002,111.650002,42779600,111.44371
"2020-08-11",110.737503,111.3675,107.957497,108.5,35451200,108.299538
"2020-08-12",109.907501,114.669998,109.582497,114.402496,46441200,114.191132
"2020-08-13",115.459999,117.217499,113.557503,114.43,37446000,114.218575
"2020-08-14",115.300003,117.047501,114.404999,115.639999,36643600,115.426338
"2020-08-17",118.512497,124.097504,118.172501,123.370003,62130000,123.142075
"2020-08-18",124.5,124.959999,120.862503,122.607498,50344800,122.380966
"2020-08-19",122.964996,123.150002,120.980003,121.385002,62262400,121.160728
"2020-08-20",119.75,123.75,118.787498,121.410004,92138800,121.185677
"2020-08-21",122.017502,128.087494,121.952499,126.834999,99986800,126.600662
"2020-08-24",128.837494,129.125,125.074997,127.202499,49056400,126.967484
"2020-08-25",126.307503,127.612503,125.737503,127.5,28907600,127.264435
"2020-08-26",127.9925,128.684998,126.777496,127.730003,32124400,127.494011
"2020-08-27",127.815002,128.5,125.665001,126.282501,31760400,126.049179
"2020-08-28",126.75,131.479996,126.425003,131.477493,53716000,131.234573
"2020-08-31",131.827499,135.75,130.377502,133.744995,50084000,133.497894
"2020-09-01",134.800003,139.9375,134.365005,138.210007,51131600,137.995926
"2020-09-02",147.037506,147.267502,139,143.464996,87401200,143.242767
"2020-09-03",138.287506,138.845001,128.787506,130.154999,94512800,129.953384
"2020-09-04",127.837502,131.75,117.047501,126.224998,146368400,126.029488
"2020-09-08",117.345001,125.5,117.042503,119.129997,79572800,118.945473
"2020-09-09",124,128.092499,122.317497,127.150002,73620000,126.953049
"2020-09-10",129.892502,130.652496,121.669998,123.1175,69868400,122.926804
"2020-09-11",124.855003,126.525002,118.957497,121.644997,63692800,121.456581
"2020-09-14",130.809998,133.149994,126.3125,128.722504,120174400,128.523132
"2020-09-15",132.800003,132.987503,128.277496,129.910004,72755600,129.708786
"2020-09-16",129.572495,130.927505,125.137497,125.144997,55638400,124.951157
"2020-09-17",121.322502,125.897499,120.347504,124.635002,79251200,124.441956
"2020-09-18",125.9375,126.324997,119.887497,121.892502,69846000,121.703697
"2020-09-21",119.25,125.224998,119.044998,125.172501,72104400,124.978607
"2020-09-22",125.75,126.480003,121.555,126.377502,64645200,126.181747
"2020-09-23",125.754997,127.269997,120.792503,121.237503,64701200,121.049713
"2020-09-24",120.722504,125.695,120.139999,123.480003,73124000,123.288734
"2020-09-25",124.474998,128.835007,122.457497,128.737503,58801600,128.538071
"2020-09-28",130.402496,130.517502,127.5,130.350006,57380800,130.148102
"2020-09-29",129.375,134.427505,129.332504,132.257507,62146000,132.052658
"2020-09-30",131.574997,136.225006,131.502502,135.304993,68918400,135.095413
"2020-10-01",137.580002,137.627502,134.607498,136.145004,52500400,135.934143
"2020-10-02",132.25,135.195007,130.509995,130.622498,55249600,130.420166
"2020-10-05",132.360001,136.442505,132.227493,136.425003,47982000,136.213699
"2020-10-06",138.300003,141.419998,136.649994,137.365005,78442000,137.152222
"2020-10-07",139.997498,141.192505,138.634995,139.639999,41808400,139.423706
"2020-10-08",140.75,140.845001,137.580002,138.387497,37890000,138.173141
"2020-10-09",137.669998,138.242493,136.607498,137.627502,34689200,137.414322
"2020-10-12",139.895004,143.470001,139.125,142.259995,43474400,142.039627
"2020-10-13",142.964996,143.485001,140.1875,142.482498,34460400,142.261795
"2020-10-14",142.904999,143.427505,139.600006,140.952499,27610000,140.734146
"2020-10-15",138.107498,140.057495,137.677505,139.699997,26722400,139.483612
"2020-10-16",140.367493,141.214996,137.925003,138.115005,24239200,137.901077
"2020-10-19",139.029999,139.835007,134.067505,134.977493,29806800,134.768402
"2020-10-20",135.835007,137.997498,135.070007,136.455002,22921200,136.243622
"2020-10-21",136.25,137.914993,134.774994,135.247498,21959600,135.037994
"2020-10-22",135.225006,136.117493,132.317505,133.610001,29048000,133.403046
"2020-10-23",134.5,135.932495,132.912506,135.902496,23348400,135.691986
"2020-10-26",134.270004,136.927505,130.384995,131.412506,33689600,131.208954
"2020-10-27",133.059998,134.419998,131.914993,133.967499,25052000,133.759979
"2020-10-28",131.979996,132.600006,126.089996,126.269997,37652000,126.074417
"2020-10-29",128.384995,131.927505,127.5,130.240005,32008000,130.038239
"2020-10-30",128.5,129.365005,123,125.339996,41682000,125.145844
"2020-11-02",126.577499,128.367493,123.949997,125.807503,29965200,125.61264
"2020-11-03",127.084999,131.050003,126.027496,130.195007,27290000,129.993347
"2020-11-04",133.892502,138.274994,133.369995,137.942505,41022800,137.728851
"2020-11-05",141.625,143.389999,139.910004,141.600006,31902800,141.380676
"2020-11-06",141.097504,145.887497,138.949997,145.619995,38334800,145.394424
"2020-11-09",145.524994,146.914993,136.107498,136.307495,58297600,136.096359
"2020-11-10",136.065002,136.065002,126.282501,127.699997,64406800,127.502205
"2020-11-11",130.537506,134.350006,129.482498,134.179993,40474400,133.972168
"2020-11-12",134.789993,137.660004,133.160004,134.567505,36581200,134.35907
"2020-11-13",136.272507,136.6875,130.592499,132.970001,34631200,132.764038
"2020-11-16",131.725006,136.494995,131.559998,135.152496,41377600,134.94313
"2020-11-17",135.524994,135.962494,133.037506,134.222504,31202800,134.014572
"2020-11-18",134.652496,136.057495,131.850006,134.287506,51092400,134.079483
"2020-11-19",132.127502,134.875,131,134.402496,56593600,134.194321
"2020-11-20",134.539993,134.945007,130.649994,130.877502,34108800,130.674789
"2020-11-23",131.712494,133.824997,130.154999,131.399994,36135600,131.196472
"2020-11-24",131.425003,131.619995,128.850006,129.577499,34650000,129.376801
"2020-11-25",130.324997,132.695007,130.199997,132.347504,25991600,132.142502
"2020-11-27",133.75,134.074997,131.705002,132.612503,16727600,132.407104
"2020-11-30",132.649994,134.125,129.722504,134.014999,28695200,133.807419
"2020-12-01",134.922501,135.287506,132.282501,133.899994,29694800,133.692596
"2020-12-02",133.505005,136.735001,132.342499,135.445007,28336000,135.235199
"2020-12-03",135.875,136.600006,133.289993,133.960007,19952000,133.792023
"2020-12-04",134.485001,135.600006,133.887497,135.582504,20224400,135.412476
"2020-12-07",136.012497,137.3125,135,136.067505,22324400,135.896866
"2020-12-08",135.850006,135.987503,132.815002,133.5,27192000,133.332611
"2020-12-09",133.005005,134.139999,128.682495,129.307495,40130000,129.145355
"2020-12-10",128.690002,130.6875,128.494995,129.722504,20776400,129.55983
"2020-12-11",129.672501,130.199997,128.229996,130.132507,20926400,129.969315
"2020-12-14",130.880005,133.887497,130.774994,133.087494,27015600,132.920609
"2020-12-15",134.397507,134.639999,131.867493,133.604996,19301600,133.437454
"2020-12-16",134.225006,134.372498,132.125,132.425003,22311600,132.258942
"2020-12-17",133.667496,133.794998,131.785004,133.412506,23138400,133.245224
"2020-12-18",133.789993,134.050003,130.705002,132.720001,34206400,132.553558
"2020-12-21",130.747498,133.699997,129.675003,133.322495,30233200,133.155304
"2020-12-22",133.192505,133.372498,130.539993,132.782501,18558000,132.615997
"2020-12-23",132.559998,132.75,130.050003,130.092499,17914400,129.929367
"2020-12-24",130.372498,131.324997,129.387497,129.9375,9788400,129.774536
"2020-12-28",130.625,130.625,127.6325,129,21256400,128.838242
"2020-12-29",129.25,130.725006,128.422501,129.432495,17037200,129.270203
"2020-12-30",129.902496,132.137497,128.967499,131.457504,22539600,131.292648
"2020-12-31",131.365005,131.509995,129.149994,130.550003,19242400,130.386322
"2021-01-04",131.042496,136.524994,129.625,131.134995,56064000,130.970551
"2021-01-05",130.997498,134.434998,130.869995,134.047501,32276000,133.87941
"2021-01-06",132.225006,132.449997,125.860001,126.144997,58042400,125.986816
"2021-01-07",129.675003,133.777496,128.865005,133.440002,46148000,133.272675
"2021-01-08",133.625,134.210007,130.419998,132.767502,29252800,132.601013
"2021-01-11",134.1875,139.610001,133.625,136.214996,51834400,136.044189
"2021-01-12",137.524994,137.544998,133.449997,134.847504,29147600,134.678391
"2021-01-13",134.899994,136.25,133.850006,135.317505,21002800,135.147812
"2021-01-14",135.75,135.997498,131.804993,132.002502,28312000,131.836975
"2021-01-15",132.279999,133.252502,128.485001,128.595001,27778000,128.433746
"2021-01-19",130.162506,130.940002,128.440002,130.252502,22618800,130.089172
"2021-01-20",131.117493,134.304993,130.567505,133.657501,25857200,133.489899
"2021-01-21",134.184998,139.992493,132.529999,138.675003,33778000,138.501099
"2021-01-22",137.399994,138.417496,136.272507,137.125,24682000,136.953049
"2021-01-25",137.817505,138.285004,132.365005,136.532501,25111200,136.361298
"2021-01-26",135.804993,136.447495,133.875,134.352493,16398000,134.184021
"2021-01-27",132.300003,132.327499,127.9375,129.177505,37127200,129.015549
"2021-01-28",129.962494,133.397507,129.604996,130.509995,22831600,130.346344
"2021-01-29",130.75,133.347504,129.115005,129.897507,27155200,129.734634
"2021-02-01",130.532501,132.707504,129.027496,132.369995,21720400,132.203995
"2021-02-02",133.987503,135.720001,132.854996,135.567505,22044000,135.397507
"2021-02-03",136.360001,139.317505,135.164993,135.304993,24540800,135.13533
"2021-02-04",135.309998,136.735001,133.377502,136.642502,20134000,136.471161
"2021-02-05",137.25,137.372498,135.457504,135.910004,16915200,135.739563
"2021-02-08",137.272507,144.737503,137.272507,144.387497,43462400,144.206436
"2021-02-09",143.407501,145.832504,142.225006,142.632507,28756000,142.453674
"2021-02-10",144.632507,149.050003,143.414993,147.642502,48535200,147.457352
"2021-02-11",149.802505,152.722504,149.25,152.507507,45082800,152.316254
"2021-02-12",150.5,152.912506,147.75,149.612503,37475600,149.424911
"2021-02-16",150.642502,153.725006,149.5,153.302505,32196000,153.11026
"2021-02-17",151.710007,152.235001,147.800003,149.059998,27475600,148.873062
"2021-02-18",147.289993,148.732498,145.75,148.289993,23386800,148.10405
"2021-02-19",150.244995,151.770004,148.467499,149.264999,27172400,149.077835
"2021-02-22",147.747498,151.332504,143.25,143.557495,32588400,143.377487
"2021-02-23",140.752502,142.387497,133.895004,141.419998,39178000,141.242661
"2021-02-24",141.227493,145.067505,137.559998,144.990005,44832000,144.808197
"2021-02-25",140.455002,143.747498,132.162506,133.074997,82443600,132.908112
"2021-02-26",137.524994,138.544998,133.610001,137.145004,50093200,136.973038
"2021-03-01",138.75,139.25,135.532501,138.417496,35318400,138.243927
"2021-03-02",139,139.205002,133.960007,134.0625,26411600,133.894363
"2021-03-03",134.262497,134.514999,127.987503,128.047501,37759200,127.886948
"2021-03-04",128.007507,129.75,120.837502,123.702499,57334400,123.547379
"2021-03-05",125.5,125.5,116.792503,124.614998,54284000,124.458733
"2021-03-08",124.5,124.712502,115.665001,115.932503,54311200,115.787132
"2021-03-09",121.302498,126.167503,120.592499,125.202499,52182400,125.088661
"2021-03-10",128.404999,129.800003,124.574997,124.682503,38437600,124.569138
