"","NWSA.Open","NWSA.High","NWSA.Low","NWSA.Close","NWSA.Volume","NWSA.Adjusted"
"2020-07-01",11.85,12.21,11.7,12.08,2016000,11.844122
"2020-07-02",12.21,12.33,12,12.03,1612900,11.795097
"2020-07-06",12.25,12.46,12.06,12.17,1550800,11.932364
"2020-07-07",12.04,12.16,11.98,12,1318400,11.765684
"2020-07-08",11.97,12,11.7,11.85,1618900,11.618612
"2020-07-09",11.79,12.13,11.57,11.73,2136200,11.500955
"2020-07-10",11.78,12,11.6,11.96,1671900,11.726464
"2020-07-13",12.03,12.22,11.86,11.93,1877300,11.69705
"2020-07-14",11.92,12.44,11.8,12.43,2656100,12.187287
"2020-07-15",12.54,12.71,12.44,12.65,2590300,12.402991
"2020-07-16",12.61,12.87,12.58,12.76,1130400,12.510843
"2020-07-17",12.79,12.89,12.64,12.82,1079000,12.569672
"2020-07-20",12.75,12.82,12.61,12.66,986500,12.412795
"2020-07-21",12.7,12.87,12.66,12.75,1205600,12.501038
"2020-07-22",13.05,13.05,12.75,12.85,1610600,12.599085
"2020-07-23",12.89,13,12.67,12.72,1409300,12.471623
"2020-07-24",12.81,12.9,12.67,12.71,921800,12.46182
"2020-07-27",12.72,12.91,12.65,12.88,1119400,12.628501
"2020-07-28",12.77,12.82,12.57,12.71,1208400,12.46182
"2020-07-29",12.82,12.95,12.76,12.87,1405200,12.618695
"2020-07-30",12.75,12.97,12.63,12.9,1148000,12.648109
"2020-07-31",12.85,12.92,12.6,12.72,1647700,12.471623
"2020-08-03",12.78,13.04,12.67,13,1944900,12.746157
"2020-08-04",12.98,13.41,12.64,13.39,1602300,13.128542
"2020-08-05",13.41,13.51,13.19,13.29,1918100,13.030493
"2020-08-06",13.15,13.6,13.02,13.51,2483000,13.246199
"2020-08-07",13.44,14.36,13.34,14.34,2532300,14.059992
"2020-08-10",14.34,14.97,14.34,14.84,4597900,14.550229
"2020-08-11",14.85,15.33,14.82,14.89,3044600,14.599253
"2020-08-12",15.1,15.41,15.05,15.17,3880000,14.873785
"2020-08-13",15.21,15.42,15.16,15.29,2111100,14.991442
"2020-08-14",15.31,15.46,15.2,15.33,1806100,15.030661
"2020-08-17",15.33,15.39,15.03,15.12,2019600,14.82476
"2020-08-18",14.89,15.27,14.83,15.18,2077500,14.883589
"2020-08-19",15.22,15.41,15.2,15.22,1805700,14.922808
"2020-08-20",15.04,15.28,15.01,15.14,1923700,14.844371
"2020-08-21",15.17,15.17,14.57,14.61,2293100,14.324718
"2020-08-24",14.85,14.88,14.74,14.87,1903400,14.579641
"2020-08-25",14.96,15.01,14.82,14.99,1414900,14.6973
"2020-08-26",15.05,15.15,14.88,15,1513500,14.707103
"2020-08-27",15.08,15.16,14.9,15.06,1175600,14.765932
"2020-08-28",15.15,15.28,14.95,15.26,1374800,14.962027
"2020-08-31",15.32,15.43,15.11,15.12,2079900,14.82476
"2020-09-01",15.11,15.3,14.96,15.18,1553100,14.883589
"2020-09-02",15.19,15.28,14.99,15.24,2486300,14.942418
"2020-09-03",15.27,15.45,15.05,15.21,2973200,14.913004
"2020-09-04",15.26,15.39,14.66,14.95,2423100,14.65808
"2020-09-08",14.85,14.9,14.62,14.64,1935100,14.354135
"2020-09-09",14.77,15.17,14.69,15.12,1965300,14.82476
"2020-09-10",15.09,15.23,14.83,14.84,1961100,14.550229
"2020-09-11",14.97,15.21,14.88,15.06,1964400,14.765932
"2020-09-14",15.17,15.37,15.14,15.31,2204200,15.01105
"2020-09-15",15.27,15.36,15.19,15.32,1630500,15.119611
"2020-09-16",15.4,15.4,15.08,15.11,2612400,14.912357
"2020-09-17",14.92,15.25,14.86,15.21,3641700,15.01105
"2020-09-18",14.98,15.9,14.9,15.64,8038400,15.435427
"2020-09-21",15.42,15.59,14.37,14.57,5159000,14.379421
"2020-09-22",14.67,14.81,14.47,14.74,2804000,14.547197
"2020-09-23",14.68,14.88,14.16,14.24,2924100,14.053738
"2020-09-24",14.29,14.33,13.96,14.02,1880200,13.836617
"2020-09-25",13.94,14.12,13.84,14.1,3076600,13.915569
"2020-09-28",14.35,14.55,14.17,14.34,2655400,14.152431
"2020-09-29",14.11,14.24,13.78,13.89,1632300,13.708317
"2020-09-30",13.97,14.15,13.9,14.02,2481900,13.836617
"2020-10-01",14.04,14.23,13.97,14.18,1607700,13.994523
"2020-10-02",14.01,14.32,13.89,14.22,1487900,14.033999
"2020-10-05",14.27,14.43,14.14,14.34,2590200,14.152431
"2020-10-06",14.41,14.7,14.13,14.32,2428400,14.132691
"2020-10-07",14.62,14.62,14.23,14.23,1893400,14.043869
"2020-10-08",14.27,14.45,14.04,14.44,2232500,14.251122
"2020-10-09",14.57,14.57,14.22,14.25,1832300,14.063607
"2020-10-12",14.36,14.54,14.13,14.21,1603800,14.024132
"2020-10-13",14.08,14.34,13.91,14.31,1948000,14.122823
"2020-10-14",14.37,14.6,14.13,14.18,1430600,13.994523
"2020-10-15",14.06,14.13,13.8,13.97,1713000,13.78727
"2020-10-16",14.05,14.23,13.92,14.06,974900,13.876093
"2020-10-19",13.97,14.1,13.61,13.77,1439500,13.589887
"2020-10-20",13.85,13.98,13.75,13.85,1350500,13.668839
"2020-10-21",13.79,14.01,13.76,13.95,1392000,13.767531
"2020-10-22",13.96,14.09,13.78,13.92,1258900,13.737924
"2020-10-23",13.99,14.54,13.73,13.98,1325400,13.797138
"2020-10-26",13.78,13.87,13.47,13.65,1829200,13.471456
"2020-10-27",13.63,13.74,13.4,13.43,1482200,13.254333
"2020-10-28",13.18,13.29,12.95,12.97,2628500,12.800349
"2020-10-29",12.92,13.25,12.79,13.09,1399900,12.918781
"2020-10-30",13.07,13.18,12.87,13.13,1856200,12.958258
"2020-11-02",13.31,13.44,13.07,13.29,1757600,13.116164
"2020-11-03",13.54,13.66,13.41,13.5,1208600,13.323418
"2020-11-04",13.49,13.71,13.32,13.54,1769400,13.362894
"2020-11-05",13.72,14.12,13.28,14,1640200,13.816877
"2020-11-06",15.67,15.91,14.79,15.16,2931700,14.961704
"2020-11-09",15.93,16.49,15.64,15.67,4351400,15.465033
"2020-11-10",15.72,16.370001,15.72,16.27,4164700,16.057186
"2020-11-11",16.299999,17.209999,16.26,17.200001,5795100,16.975021
"2020-11-12",17.08,17.18,16.23,16.389999,2870600,16.175615
"2020-11-13",16.469999,17.030001,16.34,16.98,2040000,16.757898
"2020-11-16",17.790001,18.15,17.15,17.389999,2095100,17.162537
"2020-11-17",17.27,17.84,17.25,17.68,2312500,17.448744
"2020-11-18",17.6,17.959999,17.5,17.549999,1883200,17.320442
"2020-11-19",17.52,17.700001,17.4,17.549999,1950800,17.320442
"2020-11-20",17.530001,17.6,17.25,17.52,1828900,17.290836
"2020-11-23",17.690001,18,17.549999,17.9,1554900,17.665865
"2020-11-24",18.059999,18.27,17.809999,18.17,2591300,17.932333
"2020-11-25",18.219999,18.27,17.790001,18,2540500,17.764557
"2020-11-27",17.99,18.01,17.66,17.709999,1141700,17.478348
"2020-11-30",17.700001,17.92,17.59,17.65,7736400,17.419134
"2020-12-01",17.700001,18.209999,17.700001,18.07,6509300,17.833639
"2020-12-02",18,18.459999,17.74,18.389999,2754100,18.149456
"2020-12-03",18.33,18.6,18.219999,18.57,2157700,18.327099
"2020-12-04",18.629999,18.700001,18.41,18.68,4480400,18.435663
"2020-12-07",18.52,18.629999,18.389999,18.5,1823700,18.258017
"2020-12-08",18.299999,18.5,18.24,18.379999,4797000,18.139585
"2020-12-09",18.43,18.469999,18.18,18.27,3616100,18.031027
