"","NXPI.Open","NXPI.High","NXPI.Low","NXPI.Close","NXPI.Volume","NXPI.Adjusted"
"2020-07-01",114.050003,114.599998,111.68,111.910004,1824300,109.023483
"2020-07-02",114.220001,115.669998,112.580002,112.720001,2030500,109.812592
"2020-07-06",115.68,116.860001,115.019997,116.529999,2002000,113.524323
"2020-07-07",116.25,117.459999,115.220001,115.43,1327200,112.452705
"2020-07-08",116.169998,116.730003,114.529999,116.43,1499100,113.426895
"2020-07-09",116.57,119,113.25,117.900002,2320800,114.858978
"2020-07-10",118.489998,119.5,116.07,117.099998,1621600,114.079613
"2020-07-13",120.709999,122.709999,116.870003,117.040001,3100500,114.021179
"2020-07-14",116.400002,120.800003,115.489998,120.449997,2583200,117.343201
"2020-07-15",121.959999,122.970001,120.25,121.830002,2037800,118.687614
"2020-07-16",119.230003,121.699997,118.529999,121.129997,1534700,118.005661
"2020-07-17",122.669998,122.82,120.660004,122.709999,2173100,119.544922
"2020-07-20",121.889999,124.010002,120.410004,123.559998,1731200,120.372993
"2020-07-21",125,126.120003,122.949997,123.489998,2380100,120.304794
"2020-07-22",122.970001,124.190002,120.889999,121.360001,2333500,118.229744
"2020-07-23",121.580002,121.669998,117.309998,119.18,2605400,116.105972
"2020-07-24",116.860001,118.040001,114.379997,115.75,3147700,112.764427
"2020-07-27",117.050003,120.379997,116.290001,120.239998,2978600,117.138618
"2020-07-28",116.57,119,115,115.239998,6709100,112.267586
"2020-07-29",115.75,119.75,115.75,119.089996,2861600,116.01828
"2020-07-30",116.889999,117.870003,115.660004,117.220001,3057700,114.196518
"2020-07-31",118.360001,118.629997,114.769997,117.529999,3344800,114.49852
"2020-08-03",118.410004,119.75,117.889999,119.150002,1606200,116.076744
"2020-08-04",119.470001,121.559998,119.290001,120.910004,2327700,117.791351
"2020-08-05",118.18,120.050003,117.25,119.860001,2182900,116.768433
"2020-08-06",119.57,122.580002,119.050003,122.449997,2337900,119.291618
"2020-08-07",121.889999,122.669998,119.400002,120.709999,1842700,117.596504
"2020-08-10",120.519997,121.839996,119.690002,121.389999,1224400,118.258949
"2020-08-11",122.18,124.480003,121.150002,121.330002,1764300,118.200523
"2020-08-12",122.139999,125.410004,121.860001,124.910004,1735500,121.688171
"2020-08-13",124.300003,124.559998,122.519997,122.739998,1096800,119.574142
"2020-08-14",122.360001,123.660004,122.18,123.040001,739300,119.866409
"2020-08-17",124.440002,125.019997,123.730003,124.800003,1171800,121.581017
"2020-08-18",125.940002,126.199997,122.889999,124.379997,2000800,121.171852
"2020-08-19",125.099998,125.559998,123.120003,123.75,1561000,120.55809
"2020-08-20",122.07,122.760002,120.610001,121.449997,1112900,118.317421
"2020-08-21",120.93,121.5,119.800003,121.5,1376000,118.366119
"2020-08-24",122.699997,123.849998,122.160004,123.779999,1042400,120.587318
"2020-08-25",125.919998,127.800003,124.919998,127.309998,2054900,124.026276
"2020-08-26",127.199997,128.419998,126.110001,127.529999,1422900,124.240593
