"","ODFL.Open","ODFL.High","ODFL.Low","ODFL.Close","ODFL.Volume","ODFL.Adjusted"
"2020-07-01",171,171.570007,167.029999,168.360001,865800,167.273651
"2020-07-02",169.449997,173.240005,169.309998,170.869995,872300,169.767471
"2020-07-06",172.570007,176.970001,172.570007,175.880005,905300,174.745132
"2020-07-07",175.110001,178.910004,174.179993,175.630005,603300,174.496735
"2020-07-08",177.990005,178.570007,175.770004,176.869995,674900,175.728745
"2020-07-09",177.259995,178.509995,175.919998,176.419998,665400,175.281647
"2020-07-10",177.460007,178.080002,175.25,176.880005,514800,175.738678
"2020-07-13",178.369995,178.550003,171.860001,172.289993,618700,171.178299
"2020-07-14",172.669998,178.070007,171.570007,177.729996,573400,176.583176
"2020-07-15",179.820007,179.820007,175.589996,179.360001,486400,178.202682
"2020-07-16",180.350006,183.440002,179.679993,180.970001,517500,179.802292
"2020-07-17",182.619995,186.839996,182.160004,186.429993,668000,185.227051
"2020-07-20",185.529999,188.089996,184.949997,187.589996,469600,186.379578
"2020-07-21",188,189.080002,186.419998,187.440002,466700,186.23053
"2020-07-22",188.699997,190.130005,185.800003,186.25,551300,185.048187
"2020-07-23",185.529999,187.940002,183.679993,184.119995,685300,182.931961
"2020-07-24",184.509995,186.880005,181.710007,182.240005,885700,181.064087
"2020-07-27",182.5,186.080002,182.020004,185.289993,1049400,184.094421
"2020-07-28",185.360001,186.259995,182.039993,182.399994,687600,181.223053
"2020-07-29",183.479996,186.179993,182.110001,182.320007,1250300,181.143585
"2020-07-30",180.770004,181.5,176.990005,180.210007,1081100,179.047211
"2020-07-31",184.410004,184.979996,178.559998,182.820007,764400,181.640381
"2020-08-03",183.149994,186.440002,181.75,182.419998,599400,181.24292
"2020-08-04",182.520004,185.169998,182,185.009995,635900,183.816208
"2020-08-05",185.149994,186.729996,182.610001,185.399994,591700,184.20369
"2020-08-06",185.919998,187.979996,185.389999,187.190002,565200,185.982162
"2020-08-07",187.039993,189.360001,184.910004,185.979996,630800,184.779953
"2020-08-10",186.470001,187.649994,184.759995,186.979996,686000,185.773514
"2020-08-11",187.850006,190.279999,187.210007,187.949997,734800,186.737244
"2020-08-12",189.5,195.479996,189.419998,192.350006,972200,191.108871
"2020-08-13",191,194.600006,190.740005,192.5,690400,191.257874
"2020-08-14",193.5,194.929993,190.910004,191.559998,457600,190.323944
"2020-08-17",191.860001,193.940002,191.860001,193.270004,679700,192.022934
"2020-08-18",194.089996,196.610001,193.770004,195.399994,1052800,194.13916
"2020-08-19",196.860001,197.440002,195.690002,195.990005,707100,194.725388
"2020-08-20",194.360001,197.559998,193.679993,195.820007,529600,194.556473
"2020-08-21",196.259995,198.080002,195.070007,197.25,741400,195.977249
"2020-08-24",199.800003,200.949997,197.570007,198.830002,425500,197.547043
"2020-08-25",193.029999,197.860001,192.889999,197.669998,602600,196.394531
"2020-08-26",197.919998,199.649994,196.279999,199,405700,197.715958
"2020-08-27",199.539993,200.619995,196.610001,199.070007,817600,197.785492
"2020-08-28",201.339996,201.5,198.600006,200.320007,557700,199.027451
"2020-08-31",203.679993,204.440002,201.529999,202.179993,889500,200.875443
"2020-09-01",202.169998,204.970001,200.369995,204.130005,626500,202.96344
"2020-09-02",206.529999,207.440002,202.699997,203.610001,789600,202.446396
"2020-09-03",201.639999,202.369995,195.179993,198.720001,850800,197.584335
"2020-09-04",200.759995,200.889999,190.600006,196.259995,871100,195.138428
"2020-09-08",195.619995,197.460007,192.300003,194.279999,1147300,193.169724
"2020-09-09",196.020004,201.720001,196.020004,199.039993,1165800,197.902512
"2020-09-10",199.160004,199.509995,193.029999,194.570007,688000,193.458038
"2020-09-11",195.199997,197.839996,193.259995,195.639999,680800,194.521957
"2020-09-14",197.089996,197.699997,192.070007,193.149994,799300,192.046158
"2020-09-15",193.740005,198,192.460007,197.460007,1216400,196.331558
"2020-09-16",198.699997,198.75,189.789993,190.080002,955900,188.993729
"2020-09-17",187.089996,192.240005,185.149994,190.5,812900,189.411316
"2020-09-18",190.410004,190.410004,182.110001,184.070007,1600200,183.018082
"2020-09-21",181.990005,182.490005,176.350006,178.610001,1793600,177.589249
"2020-09-22",179.009995,182.169998,176.339996,180.720001,1281200,179.68721
"2020-09-23",180.809998,185.449997,180.050003,182.179993,1075000,181.13887
"2020-09-24",181.100006,185.729996,180.320007,183.929993,1153300,182.87886
"2020-09-25",182.220001,185.160004,181.080002,182.410004,779000,181.367569
"2020-09-28",184.600006,187.789993,184.460007,187.350006,793900,186.279327
"2020-09-29",186.210007,188.289993,184.899994,185.110001,1310700,184.052139
"2020-09-30",186,187,179.820007,180.919998,1006400,179.886063
"2020-10-01",182.449997,184.910004,180.5,182.770004,927400,181.72551
"2020-10-02",180.690002,187.160004,180.690002,184.559998,595200,183.505264
"2020-10-05",185.139999,189.570007,185.139999,188.460007,707400,187.383011
"2020-10-06",188.880005,192.179993,185.960007,189.110001,764600,188.029266
"2020-10-07",190.919998,194.139999,190.029999,192.929993,758000,191.827408
"2020-10-08",194.029999,197.279999,193,197.110001,640500,195.983551
"2020-10-09",198.029999,200.509995,196.889999,199.759995,866900,198.618393
"2020-10-12",201.059998,203.5,200.479996,200.759995,576500,199.612701
"2020-10-13",200.529999,202.520004,199.880005,200.610001,501600,199.463547
"2020-10-14",201.339996,205,201.339996,202.509995,442500,201.352676
"2020-10-15",200.75,205.110001,200,204.009995,380700,202.844101
"2020-10-16",203.919998,204.270004,200.419998,200.580002,560400,199.433716
"2020-10-19",201.070007,201.960007,195.860001,196.899994,592100,195.774734
"2020-10-20",198.479996,201.720001,197.970001,199.119995,397400,197.982056
"2020-10-21",199.190002,201.619995,196.149994,196.279999,587600,195.158295
"2020-10-22",197.139999,199.050003,193.690002,196.160004,586200,195.038986
"2020-10-23",197.059998,200.970001,196.919998,200.619995,642700,199.47348
"2020-10-26",198.259995,199.380005,196.080002,198.410004,820800,197.276138
"2020-10-27",195.210007,201.990005,189,189.589996,911000,188.506516
"2020-10-28",186.899994,189.520004,185.210007,186.660004,826300,185.593277
"2020-10-29",186.570007,191.020004,185.199997,190.350006,785900,189.262207
"2020-10-30",188.440002,193.399994,188.440002,190.369995,803200,189.282074
"2020-11-02",193.889999,194.910004,191.229996,193.75,686000,192.642746
"2020-11-03",195.720001,199.899994,194.880005,198.139999,503400,197.007675
"2020-11-04",200.660004,204.229996,199.880005,200.399994,609500,199.254745
"2020-11-05",203.5,207.369995,201.050003,206.169998,561000,204.991791
"2020-11-06",205.529999,208.869995,205.350006,207.020004,424300,205.836914
"2020-11-09",212.449997,213.660004,198.929993,199.289993,1010400,198.151093
"2020-11-10",199.070007,201.5,194.210007,197.479996,867200,196.35144
"2020-11-11",201.270004,201.270004,196.089996,198,852100,196.868454
"2020-11-12",198.970001,199.539993,194.970001,197.270004,775600,196.142654
"2020-11-13",198.949997,203.759995,198.720001,202.75,629100,201.591309
"2020-11-16",202.699997,207.410004,201.410004,206.110001,776100,204.932114
"2020-11-17",203.639999,206.779999,201.889999,205.929993,534200,204.753113
"2020-11-18",205.889999,207.679993,204.369995,204.5,517400,203.331329
"2020-11-19",204.309998,206.059998,202.289993,205.529999,538700,204.355408
"2020-11-20",204.800003,207.25,204.289993,205.619995,428200,204.444901
"2020-11-23",206.509995,209.300003,201.699997,202.240005,726900,201.084244
"2020-11-24",202.649994,205.589996,201.229996,203.470001,725500,202.307205
"2020-11-25",204.570007,205,200.240005,202.910004,514500,201.750427
"2020-11-27",201.309998,202.869995,200.220001,201.990005,242100,200.835648
"2020-11-30",201.490005,204.330002,199.289993,203.360001,965500,202.19783
"2020-12-01",203.740005,211.449997,202.669998,211.039993,1342600,209.988815
"2020-12-02",210.539993,210.639999,203.580002,204.830002,803700,203.809769
"2020-12-03",203.190002,208.419998,203.190002,207.009995,595100,205.978897
"2020-12-04",209.509995,212.580002,208.320007,209.25,672600,208.207748
"2020-12-07",208.970001,209.449997,206.389999,208.080002,513900,207.043579
"2020-12-08",207.850006,210.229996,206.860001,210.139999,512200,209.093307
"2020-12-09",210.160004,210.960007,202.059998,202.770004,676100,201.759995
"2020-12-10",201.490005,201.5,196.429993,198.699997,754200,197.710281
"2020-12-11",197.75,202.880005,197.5,200.789993,589700,199.789886
"2020-12-14",202.220001,202.320007,194.949997,195.350006,807000,194.376999
"2020-12-15",196.699997,200.320007,195.809998,198.279999,513200,197.292374
"2020-12-16",198.110001,198.75,194.860001,195,570900,194.028717
"2020-12-17",195.5,196.759995,194.100006,196.059998,942300,195.08345
"2020-12-18",195.070007,200.130005,193.350006,199.539993,1581500,198.546097
"2020-12-21",197.100006,199.580002,196.009995,197.820007,539300,196.834686
"2020-12-22",198,199.820007,197.770004,198.660004,464100,197.670486
"2020-12-23",199.220001,200.429993,196.720001,196.830002,347600,195.849594
"2020-12-24",196.869995,199,196.550003,198.25,146900,197.262558
"2020-12-28",199.210007,199.889999,194.789993,194.910004,395700,193.939178
"2020-12-29",195.690002,197.020004,192.190002,194.130005,428700,193.163055
"2020-12-30",194.899994,195.279999,191.960007,193.619995,496100,192.655594
"2020-12-31",194.589996,195.619995,192.910004,195.179993,497700,194.207809
"2021-01-04",195.130005,196.520004,190.270004,190.690002,1039800,189.740189
"2021-01-05",190.279999,193.470001,189.449997,191.75,1362500,190.794907
"2021-01-06",190.699997,195.729996,190.699997,193.300003,1049100,192.337204
"2021-01-07",195.970001,203.130005,194.960007,201.960007,1021000,200.954056
"2021-01-08",202.179993,207,202.179993,205.559998,640900,204.536118
"2021-01-11",204.179993,206.020004,201.970001,202.339996,601800,201.332153
"2021-01-12",203.149994,205.830002,200.820007,203.350006,376000,202.337143
"2021-01-13",203.199997,203.289993,200.139999,200.960007,539700,199.95903
"2021-01-14",205.070007,209.770004,202.889999,207.509995,675100,206.476395
"2021-01-15",205.479996,208.580002,202.460007,207.389999,777300,206.35701
"2021-01-19",208.229996,213.399994,207.410004,207.509995,537500,206.476395
"2021-01-20",207.509995,209.789993,204.119995,208.960007,789300,207.919205
"2021-01-21",210,211.990005,207.630005,207.720001,598300,206.685349
"2021-01-22",207.449997,207.449997,203.210007,204.610001,498200,203.590866
"2021-01-25",203.929993,211.529999,203.899994,211.119995,608400,210.06842
"2021-01-26",212.050003,212.550003,206.580002,207.539993,622100,206.506256
"2021-01-27",204.610001,204.610001,192.759995,194.330002,755900,193.362045
"2021-01-28",195.300003,200.479996,194.119995,199.020004,707200,198.028687
"2021-01-29",197.710007,198.669998,193.720001,194,740100,193.033707
"2021-02-01",197.009995,199.830002,194.449997,199.100006,762900,198.108292
"2021-02-02",200.729996,206.210007,200.339996,204.570007,500100,203.551071
"2021-02-03",204.809998,206,197.619995,197.75,735300,196.76503
"2021-02-04",199,205.990005,196.940002,204.360001,1246500,203.342102
"2021-02-05",207.360001,211.960007,205.589996,209.449997,779100,208.406754
"2021-02-08",209.320007,214,208.610001,212.25,631900,211.19278
"2021-02-09",212.039993,216.309998,211.660004,215.520004,650600,214.446518
"2021-02-10",216.320007,217.149994,207.979996,208.990005,930700,207.949051
"2021-02-11",210.740005,211.399994,204.940002,208.039993,680600,207.003769
"2021-02-12",206.699997,212.740005,206.699997,212.210007,316200,211.153
"2021-02-16",213.059998,213.059998,209.289993,210.190002,466700,209.143066
"2021-02-17",208.25,210.020004,203.880005,207.990005,368700,206.95401
"2021-02-18",207.240005,213.580002,206.580002,211.789993,487600,210.735092
"2021-02-19",213.649994,216.839996,213.029999,215.639999,634900,214.565918
"2021-02-22",214.279999,214.559998,210.539993,211.759995,481100,210.705246
"2021-02-23",210,212.699997,207.020004,211.619995,621100,210.565933
"2021-02-24",210.289993,218.490005,210.149994,217.309998,637200,216.227585
"2021-02-25",217.589996,220.639999,214.809998,215.529999,549900,214.456436
"2021-02-26",215.990005,218.75,214.020004,214.770004,722800,213.700256
"2021-03-01",217.699997,222.039993,216.949997,220.720001,972900,219.62059
"2021-03-02",220.220001,223.309998,217.800003,222.410004,636100,221.502914
"2021-03-03",222.5,227.139999,219.759995,222.759995,737600,221.851456
"2021-03-04",222.589996,223.600006,214.130005,215.020004,1031500,214.143036
"2021-03-05",217.639999,222.839996,211.770004,219.850006,1079400,218.953354
"2021-03-08",220.369995,223.940002,218.279999,218.649994,751800,217.758224
"2021-03-09",222.210007,226.440002,221.710007,223.820007,684100,222.907166
"2021-03-10",226.5,228.839996,224.820007,225.929993,639800,225.00853
"2021-03-11",226.800003,230.630005,225.669998,229.669998,454300,228.733292
"2021-03-12",230.029999,235.160004,228.919998,233.809998,618100,232.8564
"2021-03-15",232.699997,234.009995,229.139999,231.990005,509400,231.043854
"2021-03-16",234,234.279999,228.360001,228.979996,412200,228.046112
"2021-03-17",227.509995,231.990005,225.610001,227.919998,619400,226.990448
"2021-03-18",227.270004,233.059998,227,230.100006,1009000,229.16156
"2021-03-19",228.509995,232.820007,226.25,230.610001,1333100,229.669464
"2021-03-22",231.070007,233.050003,228.789993,231.25,782200,230.306839
"2021-03-23",231.479996,234.759995,230.589996,231.649994,874100,230.7052
"2021-03-24",231.589996,236.160004,231.589996,234.110001,822000,233.155167
"2021-03-25",233.990005,233.990005,228.25,231.759995,862200,230.814758
"2021-03-26",230.539993,236.979996,230.350006,235.75,692300,234.788498
"2021-03-29",236.149994,238.389999,233.190002,235.339996,668200,234.380142
"2021-03-30",236.130005,241.839996,235.229996,240.610001,845700,239.628677
"2021-03-31",240.550003,243.509995,237.820007,240.410004,668100,239.429504
"2021-04-01",240.270004,243.809998,240.270004,243.690002,529400,242.696121
"2021-04-05",245.970001,248.699997,244.570007,246.300003,627400,245.295471
"2021-04-06",246.360001,248.860001,244.25,244.589996,496000,243.592438
"2021-04-07",244.410004,245.940002,243.360001,243.399994,476400,242.407303
"2021-04-08",244.229996,246.240005,242.309998,244.979996,569600,243.980835
"2021-04-09",247.710007,251.110001,247.330002,249.279999,659200,248.263321
"2021-04-12",249.289993,250.490005,246.839996,249.020004,671700,248.004379
"2021-04-13",249.839996,249.839996,245.639999,248.330002,652500,247.3172
"2021-04-14",248.960007,249.520004,246.779999,247.889999,517400,246.878998
"2021-04-15",249.080002,251.369995,247.210007,250.089996,556700,249.070007
"2021-04-16",251.949997,253.380005,251.190002,251.369995,756400,250.344788
"2021-04-19",251.339996,251.410004,247.009995,247.910004,608400,246.898895
"2021-04-20",249.910004,251.490005,245.649994,247.639999,6e+05,246.630005
"2021-04-21",247.610001,250.100006,245.089996,246.699997,1017100,245.693832
"2021-04-22",247,255.110001,247,250.75,1056700,249.72731
"2021-04-23",252.710007,259.26001,252.710007,257.76001,787700,256.70874
"2021-04-26",258.670013,259.470001,252.089996,253.490005,625600,252.456146
"2021-04-27",254.910004,258.660004,254.100006,258.359985,513300,257.306274
"2021-04-28",257.209991,258.679993,255.440002,257.220001,496100,256.170898
