"","OGN.Open","OGN.High","OGN.Low","OGN.Close","OGN.Volume","OGN.Adjusted"
"2021-05-14",31,33.25,31,33.25,342900,32.168556
"2021-05-17",34,35,34,34.099998,31500,32.99091
"2021-05-18",34.48,38.421001,34.48,37.5,48900,36.280327
"2021-05-19",37,37.75,37,37.5,43900,36.280327
"2021-05-20",37.5,37.75,37.5,37.75,22900,36.522194
"2021-05-21",38.5,38.5,37.5,37.599998,18300,36.377071
"2021-05-24",38,38.25,37.900002,38,30600,36.764065
"2021-05-25",38.75,38.75,36.900002,36.950001,35800,35.748215
"2021-05-26",38,38,36,36.830002,44400,35.632122
"2021-05-27",37,37,35.5,35.5,40700,34.345375
"2021-05-28",36,37.109001,35.75,35.75,60800,34.587246
"2021-06-01",36.650002,37.459,35.900002,36,52000,34.829113
"2021-06-02",36.5,36.740002,34.5,35.259998,1306900,34.113182
"2021-06-03",34.150002,38.240002,32.220001,37,22326000,35.796589
"2021-06-04",36.150002,36.169998,33.709999,34.150002,7502300,33.039284
"2021-06-07",33.599998,33.880001,30.85,31.42,11513100,30.398077
"2021-06-08",30.33,30.91,28.530001,28.91,18500300,27.969711
"2021-06-09",28.299999,29.440001,27.25,28.450001,14563600,27.524675
"2021-06-10",28.459999,31.16,28.4,30.33,11205900,29.343527
"2021-06-11",30.379999,30.379999,29.4,29.65,5728900,28.685646
"2021-06-14",30.08,30.629999,29.27,30.280001,6972000,29.295155
"2021-06-15",30.030001,32.09,29.799999,31.809999,6339100,30.775391
"2021-06-16",31.52,31.65,30.27,30.700001,5288100,29.701492
"2021-06-17",30.49,31.73,30.1,31.459999,5086400,30.436775
"2021-06-18",31.5,31.709999,29.959999,29.98,10213800,29.004911
"2021-06-21",30.200001,30.67,29.360001,29.41,3542700,28.453451
"2021-06-22",29.25,29.870001,28.844999,29.530001,4218300,28.569548
"2021-06-23",29.530001,30.08,29.1,29.5,3880900,28.540524
"2021-06-24",29.389999,30.07,29.299999,29.77,2769600,28.801743
"2021-06-25",29.77,30.870001,29.209999,30.190001,13582700,29.20808
"2021-06-28",29.690001,31.030001,29.41,30.940001,3106200,29.933689
"2021-06-29",30.98,31.32,30.459999,30.549999,2256700,29.55637
"2021-06-30",30.33,30.83,30.25,30.26,2011100,29.275806
"2021-07-01",30.110001,31.24,30.059999,30.82,2437100,29.817591
"2021-07-02",30.709999,31.120001,30.299999,30.860001,1813100,29.856291
"2021-07-06",30.6,31.1,29.9,31,2853500,29.991735
