"","ON.Open","ON.High","ON.Low","ON.Close","ON.Volume","ON.Adjusted"
"2020-07-01",20.17,20.18,19.02,19.049999,8119200,19.049999
"2020-07-02",19.4,19.73,19.059999,19.18,7108600,19.18
"2020-07-06",19.6,19.84,19.41,19.66,7969900,19.66
"2020-07-07",19.440001,19.67,19.16,19.27,10560000,19.27
"2020-07-08",19.389999,19.98,19.16,19.969999,9845500,19.969999
"2020-07-09",20.08,20.959999,19.370001,20.76,14886000,20.76
"2020-07-10",20.809999,21,20.35,20.49,12939500,20.49
"2020-07-13",21.25,21.540001,20.530001,20.549999,12975800,20.549999
"2020-07-14",20.41,20.74,19.77,20.690001,11842900,20.690001
"2020-07-15",21.18,21.639999,20.709999,21.530001,9645600,21.530001
"2020-07-16",21.01,21.52,20.82,21.34,8204200,21.34
"2020-07-17",21.48,21.549999,21.18,21.190001,8309200,21.190001
"2020-07-20",21.290001,21.67,21.08,21.629999,6162700,21.629999
"2020-07-21",21.83,22.08,21.610001,21.66,8318800,21.66
"2020-07-22",21.76,22.049999,21.299999,21.450001,7460600,21.450001
"2020-07-23",21.309999,21.459999,20.610001,20.860001,7876600,20.860001
"2020-07-24",20.389999,20.950001,20.290001,20.469999,5724900,20.469999
"2020-07-27",20.780001,21.309999,20.68,21.280001,5373900,21.280001
"2020-07-28",20.790001,21.17,20.48,20.5,3692500,20.5
"2020-07-29",20.700001,21.059999,20.700001,20.959999,3753600,20.959999
"2020-07-30",20.459999,20.790001,20.27,20.77,8131300,20.77
"2020-07-31",20.84,20.870001,20.32,20.6,5854900,20.6
"2020-08-03",20.709999,21.299999,20.65,21.24,4227600,21.24
"2020-08-04",21.280001,21.74,21.200001,21.690001,4280500,21.690001
"2020-08-05",21.5,21.5,20.9,21.26,7743400,21.26
"2020-08-06",21.15,21.209999,20.870001,21.129999,4629000,21.129999
"2020-08-07",21.129999,21.34,20.450001,20.84,10297600,20.84
"2020-08-10",20.959999,22.09,20.889999,21.92,10311900,21.92
"2020-08-11",22.08,23.110001,21.950001,22.190001,9482500,22.190001
"2020-08-12",22.35,22.440001,22.059999,22.379999,4793600,22.379999
"2020-08-13",22.280001,22.42,21.82,21.9,7336800,21.9
"2020-08-14",22.309999,22.309999,21.549999,22.040001,4072400,22.040001
"2020-08-17",22.26,22.34,21.799999,21.959999,4566500,21.959999
"2020-08-18",22.139999,22.15,21.73,21.75,3917200,21.75
"2020-08-19",21.690001,21.879999,21.459999,21.66,4975300,21.66
"2020-08-20",21.299999,21.52,21.030001,21.059999,4527800,21.059999
"2020-08-21",21,21,20.709999,20.91,8875100,20.91
"2020-08-24",21.08,21.389999,20.969999,21.389999,3066500,21.389999
"2020-08-25",21.48,21.719999,21.24,21.59,2977700,21.59
"2020-08-26",21.59,21.75,21.33,21.68,3838300,21.68
"2020-08-27",21.77,21.83,21.18,21.33,3263900,21.33
"2020-08-28",21.440001,22.139999,21.030001,22.030001,4012900,22.030001
"2020-08-31",21.879999,21.99,21.35,21.370001,4128400,21.370001
"2020-09-01",21.5,21.77,21.209999,21.75,7053000,21.75
"2020-09-02",21.799999,22.459999,21.66,22.379999,7101500,22.379999
"2020-09-03",22.07,22.17,21.34,21.450001,6600200,21.450001
"2020-09-04",21.440001,23.120001,21.370001,22.68,14139400,22.68
"2020-09-08",21.77,21.99,20.91,20.93,11541000,20.93
"2020-09-09",21.52,21.99,21.190001,21.82,7290000,21.82
"2020-09-10",21.5,22.26,21.5,21.52,5954700,21.52
"2020-09-11",21.91,22.030001,21.32,21.58,4347400,21.58
"2020-09-14",21.959999,22.15,21.65,22.01,3426600,22.01
"2020-09-15",22.209999,22.26,21.91,22.02,4589800,22.02
"2020-09-16",22.33,22.690001,22,22.049999,4733800,22.049999
"2020-09-17",21.5,22.17,21.4,21.9,4542900,21.9
"2020-09-18",22.09,22.09,21.24,21.42,5513600,21.42
"2020-09-21",21.01,21.030001,20.41,20.610001,6529500,20.610001
"2020-09-22",20.969999,21,20.51,20.82,7966100,20.82
"2020-09-23",20.9,21.059999,20.059999,20.08,4578000,20.08
"2020-09-24",19.92,20.709999,19.790001,20.309999,5377200,20.309999
"2020-09-25",20.16,20.540001,19.75,20.49,5166300,20.49
"2020-09-28",20.969999,21.75,20.809999,21.73,5079300,21.73
"2020-09-29",21.6,21.959999,21.549999,21.780001,4780600,21.780001
"2020-09-30",21.700001,22.07,21.610001,21.690001,3635800,21.690001
"2020-10-01",22.4,23.370001,22.35,22.91,10092800,22.91
"2020-10-02",21.950001,22.93,21.91,22.440001,6980700,22.440001
"2020-10-05",22.780001,23.190001,22.709999,23.15,4960400,23.15
"2020-10-06",23.18,23.49,22.67,22.889999,5289000,22.889999
"2020-10-07",23.370001,23.530001,23.219999,23.35,5890500,23.35
"2020-10-08",25.040001,26.059999,24.9,26.040001,22188100,26.040001
"2020-10-09",26.1,26.84,25.51,26.35,14617700,26.35
"2020-10-12",26.52,26.58,26.25,26.51,5826500,26.51
"2020-10-13",26.360001,26.41,25.76,25.91,7619400,25.91
"2020-10-14",26,26.120001,25.67,25.93,3884300,25.93
"2020-10-15",25.280001,26.120001,25.08,26.07,5773600,26.07
"2020-10-16",26.48,26.530001,26.02,26.07,4486200,26.07
"2020-10-19",26.110001,26.59,25.959999,26.209999,5466800,26.209999
"2020-10-20",26.07,26.440001,25.91,26.1,5999800,26.1
"2020-10-21",26.209999,26.25,25.51,25.530001,4547700,25.530001
"2020-10-22",25.690001,26,25.459999,25.92,3095500,25.92
"2020-10-23",26.040001,26.24,25.780001,26.16,3608700,26.16
"2020-10-26",25.77,25.870001,25.190001,25.549999,7651000,25.549999
"2020-10-27",25.450001,25.58,25.040001,25.17,4011600,25.17
"2020-10-28",24.620001,24.75,24.23,24.540001,4529700,24.540001
"2020-10-29",24.57,25.610001,24.51,25.190001,9795600,25.190001
"2020-10-30",24.99,25.26,24.559999,25.09,10703300,25.09
"2020-11-02",24.309999,24.84,23.860001,24.360001,12688700,24.360001
"2020-11-03",25.030001,25.370001,24.709999,25.049999,8822900,25.049999
"2020-11-04",25.25,26.299999,25.049999,25.889999,11950600,25.889999
"2020-11-05",26.379999,26.66,25.99,26.450001,10102100,26.450001
"2020-11-06",26.49,27.08,26.26,26.58,7976700,26.58
"2020-11-09",28,28.799999,27.49,27.530001,14243500,27.530001
"2020-11-10",27.5,27.91,26.940001,27.09,8515900,27.09
"2020-11-11",27.309999,28.4,27.309999,27.93,8684600,27.93
"2020-11-12",27.780001,27.950001,27.219999,27.48,7139600,27.48
"2020-11-13",27.950001,28.4,27.790001,28.059999,7721400,28.059999
"2020-11-16",28.5,28.77,28.049999,28.58,8538300,28.58
"2020-11-17",28.27,28.4,27.74,28.16,6701300,28.16
"2020-11-18",28.129999,28.440001,27.549999,27.6,9452700,27.6
"2020-11-19",27.42,27.940001,27.32,27.85,7610500,27.85
"2020-11-20",27.940001,28.17,27.4,27.440001,5843500,27.440001
"2020-11-23",27.77,28.58,27.620001,28.41,8095900,28.41
"2020-11-24",29.059999,29.059999,28.27,28.610001,7774500,28.610001
"2020-11-25",28.370001,29.120001,28.09,28.58,7426800,28.58
"2020-11-27",29.290001,29.43,28.549999,28.65,2673000,28.65
"2020-11-30",28.790001,28.99,28.34,28.75,6078800,28.75
"2020-12-01",29.049999,29.629999,28.98,29.27,6168200,29.27
"2020-12-02",28.860001,29.129999,28.74,28.959999,4724000,28.959999
"2020-12-03",29.17,29.75,29.030001,29.1,4657000,29.1
"2020-12-04",29.459999,30.040001,29.15,29.92,7681600,29.92
"2020-12-07",30.030001,30.76,29.879999,30.58,7978500,30.58
"2020-12-08",31.950001,32.599998,31.24,31.389999,16728300,31.389999
"2020-12-09",31.299999,31.77,30.41,30.67,8556000,30.67
"2020-12-10",30.799999,31.1,30.42,30.540001,4962200,30.540001
"2020-12-11",30.450001,30.799999,30.200001,30.66,4596100,30.66
"2020-12-14",31.27,31.469999,30.629999,30.82,4359200,30.82
"2020-12-15",31.469999,31.48,31.139999,31.370001,4704600,31.370001
"2020-12-16",31.379999,31.43,30.59,31.110001,4982500,31.110001
"2020-12-17",31.76,31.84,31.309999,31.6,4898500,31.6
"2020-12-18",31.67,32.099998,31.309999,31.540001,6762300,31.540001
"2020-12-21",31.139999,31.67,30.780001,31.58,4855100,31.58
"2020-12-22",31.93,32.049999,31.540001,31.85,4115300,31.85
"2020-12-23",32.25,32.419998,31.76,31.799999,3794300,31.799999
"2020-12-24",32,32.16,31.700001,31.99,1776100,31.99
"2020-12-28",32.150002,32.540001,31.889999,31.950001,3676200,31.950001
"2020-12-29",32.220001,32.23,31.26,31.66,4088000,31.66
"2020-12-30",31.870001,32.57,31.860001,32.48,3839800,32.48
"2020-12-31",32.5,32.93,32.290001,32.73,3987500,32.73
"2021-01-04",33.049999,33.639999,32.32,32.669998,8089800,32.669998
"2021-01-05",32.52,33.279999,32.490002,33.220001,4261500,33.220001
"2021-01-06",33.290001,34.77,33.290001,34.060001,9206100,34.060001
"2021-01-07",34.490002,35.450001,34.439999,35.360001,8294100,35.360001
"2021-01-08",36.110001,36.599998,35.119999,35.52,6827500,35.52
"2021-01-11",34.91,36.27,34.91,36.049999,4738800,36.049999
"2021-01-12",36.349998,36.939999,36.02,36.41,11886300,36.41
"2021-01-13",36.82,37.32,36.610001,36.990002,6420900,36.990002
"2021-01-14",37.25,38.25,37.119999,37.900002,9299000,37.900002
"2021-01-15",37.849998,38.119999,36.099998,36.709999,7565500,36.709999
"2021-01-19",37.73,38.709999,37.43,38.52,7666000,38.52
"2021-01-20",39.150002,39.43,37.689999,37.939999,10752600,37.939999
"2021-01-21",38.610001,38.66,37.560001,37.84,6564000,37.84
"2021-01-22",37.450001,37.669998,36.900002,37.299999,5252600,37.299999
"2021-01-25",37.599998,37.740002,36.099998,36.970001,6313900,36.970001
"2021-01-26",37.279999,37.290001,36.09,36.099998,8546300,36.099998
"2021-01-27",35.049999,35.150002,33.779999,34.07,12694800,34.07
"2021-01-28",35.349998,36.169998,34.639999,35.25,9481200,35.25
"2021-01-29",35.25,35.630001,34.41,34.490002,7948500,34.490002
"2021-02-01",36.400002,37.209999,35.639999,36.709999,13481600,36.709999
"2021-02-02",37.529999,37.900002,36.470001,36.849998,6901700,36.849998
"2021-02-03",37.029999,37.459999,36.290001,36.900002,5916500,36.900002
"2021-02-04",36.91,38.16,36.799999,38.110001,7132700,38.110001
"2021-02-05",38.599998,38.799999,38.099998,38.389999,5631100,38.389999
"2021-02-08",38.919998,39.959999,38.720001,39.810001,7757500,39.810001
"2021-02-09",39.509998,40.880001,39.27,40.610001,6585000,40.610001
"2021-02-10",41.639999,41.66,39.540001,39.93,8596800,39.93
"2021-02-11",40.209999,40.529999,38.970001,40.450001,7925900,40.450001
"2021-02-12",40.77,41.950001,40.130001,41.27,6511100,41.27
"2021-02-16",42,42.330002,41.470001,41.849998,5127500,41.849998
"2021-02-17",41.43,41.619999,40.200001,41.080002,5227000,41.080002
"2021-02-18",40.439999,40.630001,39.349998,39.869999,4395300,39.869999
"2021-02-19",40.43,41.919998,40.43,41.869999,8363000,41.869999
"2021-02-22",41.639999,42.16,40.150002,40.439999,6879100,40.439999
"2021-02-23",39.439999,40.380001,37.07,40.279999,11498700,40.279999
"2021-02-24",40.009998,40.77,39.279999,40.66,7426500,40.66
"2021-02-25",40.290001,40.369999,37.389999,37.740002,6097500,37.740002
